Time,fGPS_ts,estOrientQuaternion[0],estOrientQuaternion[1],estOrientQuaternion[2],estOrientQuaternion[3],estOrientQuaternion:valid,flag
1777928444615,  1310.965, 0.999971, 0.006639,-0.003733,-0.000332,1,0
1777928444626,  1311.215, 0.999971, 0.006631,-0.003714,-0.000383,1,0
1777928444639,  1327.515, 0.999962, 0.006624,-0.003981,-0.004046,1,0
1777928444649,  1327.515, 0.999962, 0.006624,-0.003981,-0.004046,1,0
1777928444661,  1327.535, 0.999962, 0.006627,-0.003978,-0.004051,1,0
1777928444671,  1327.535, 0.999962, 0.006627,-0.003978,-0.004051,1,0
1777928444688,  1327.565, 0.999962, 0.006630,-0.003976,-0.004058,1,0
1777928444698,  1327.565, 0.999962, 0.006630,-0.003976,-0.004058,1,0
1777928444710,  1327.585, 0.999962, 0.006633,-0.003972,-0.004063,1,0
1777928444720,  1327.585, 0.999962, 0.006633,-0.003972,-0.004063,1,0
1777928444738,  1327.615, 0.999962, 0.006639,-0.003971,-0.004074,1,0
1777928444748,  1327.615, 0.999962, 0.006639,-0.003971,-0.004074,1,0
1777928444760,  1327.635, 0.999962, 0.006644,-0.003966,-0.004079,1,0
1777928444770,  1327.635, 0.999962, 0.006644,-0.003966,-0.004079,1,0
1777928444783,  1327.660, 0.999962, 0.006649,-0.003962,-0.004085,1,0
1777928444793,  1327.660, 0.999962, 0.006649,-0.003962,-0.004085,1,0
1777928444809,  1327.685, 0.999962, 0.006647,-0.003961,-0.004089,1,0
1777928444819,  1327.685, 0.999962, 0.006647,-0.003961,-0.004089,1,0
1777928444833,  1327.710, 0.999962, 0.006647,-0.003966,-0.004100,1,0
1777928444843,  1327.710, 0.999962, 0.006647,-0.003966,-0.004100,1,0
1777928444859,  1327.735, 0.999962, 0.006644,-0.003970,-0.004106,1,0
1777928444869,  1327.735, 0.999962, 0.006644,-0.003970,-0.004106,1,0
1777928444881,  1327.755, 0.999962, 0.006638,-0.003971,-0.004110,1,0
1777928444891,  1327.755, 0.999962, 0.006638,-0.003971,-0.004110,1,0
1777928444909,  1327.785, 0.999962, 0.006632,-0.003970,-0.004121,1,0
1777928444919,  1327.785, 0.999962, 0.006632,-0.003970,-0.004121,1,0
1777928444931,  1327.805, 0.999962, 0.006631,-0.003974,-0.004126,1,0
1777928444941,  1327.805, 0.999962, 0.006631,-0.003974,-0.004126,1,0
1777928444958,  1327.835, 0.999962, 0.006632,-0.003969,-0.004131,1,0
1777928444968,  1327.835, 0.999962, 0.006632,-0.003969,-0.004131,1,0
1777928444980,  1327.855, 0.999962, 0.006631,-0.003962,-0.004139,1,0
1777928444990,  1327.855, 0.999962, 0.006631,-0.003962,-0.004139,1,0
1777928445008,  1327.885, 0.999962, 0.006624,-0.003961,-0.004146,1,0
1777928445018,  1327.885, 0.999962, 0.006624,-0.003961,-0.004146,1,0
1777928445030,  1327.905, 0.999962, 0.006623,-0.003965,-0.004150,1,0
1777928445040,  1327.905, 0.999962, 0.006623,-0.003965,-0.004150,1,0
1777928445053,  1327.930, 0.999962, 0.006620,-0.003965,-0.004162,1,0
1777928445063,  1327.930, 0.999962, 0.006620,-0.003965,-0.004162,1,0
1777928445079,  1327.955, 0.999962, 0.006615,-0.003968,-0.004167,1,0
1777928445090,  1327.955, 0.999962, 0.006615,-0.003968,-0.004167,1,0
1777928445103,  1327.980, 0.999962, 0.006609,-0.003971,-0.004176,1,0
1777928445113,  1327.980, 0.999962, 0.006609,-0.003971,-0.004176,1,0
1777928445129,  1328.005, 0.999961, 0.006613,-0.003970,-0.004181,1,0
1777928445139,  1328.005, 0.999961, 0.006613,-0.003970,-0.004181,1,0
1777928445151,  1328.025, 0.999961, 0.006612,-0.003973,-0.004186,1,0
1777928445161,  1328.025, 0.999961, 0.006612,-0.003973,-0.004186,1,0
1777928445179,  1328.055, 0.999961, 0.006612,-0.003974,-0.004197,1,0
1777928445189,  1328.055, 0.999961, 0.006612,-0.003974,-0.004197,1,0
1777928445201,  1328.075, 0.999961, 0.006610,-0.003970,-0.004203,1,0
1777928445211,  1328.075, 0.999961, 0.006610,-0.003970,-0.004203,1,0
1777928445228,  1328.105, 0.999961, 0.006616,-0.003970,-0.004207,1,0
1777928445238,  1328.105, 0.999961, 0.006616,-0.003970,-0.004207,1,0
1777928445250,  1328.125, 0.999961, 0.006613,-0.003967,-0.004208,1,0
1777928445260,  1328.125, 0.999961, 0.006613,-0.003967,-0.004208,1,0
1777928445278,  1328.155, 0.999961, 0.006613,-0.003971,-0.004219,1,0
1777928445288,  1328.155, 0.999961, 0.006613,-0.003971,-0.004219,1,0
1777928445300,  1328.175, 0.999961, 0.006613,-0.003970,-0.004223,1,0
1777928445310,  1328.175, 0.999961, 0.006613,-0.003970,-0.004223,1,0
1777928445323,  1328.200, 0.999961, 0.006608,-0.003972,-0.004229,1,0
1777928445333,  1328.200, 0.999961, 0.006608,-0.003972,-0.004229,1,0
1777928445350,  1328.225, 0.999961, 0.006616,-0.003970,-0.004235,1,0
1777928445360,  1328.225, 0.999961, 0.006616,-0.003970,-0.004235,1,0
1777928445373,  1328.250, 0.999961, 0.006612,-0.003970,-0.004242,1,0
1777928445383,  1328.250, 0.999961, 0.006612,-0.003970,-0.004242,1,0
1777928445399,  1328.275, 0.999961, 0.006610,-0.003970,-0.004246,1,0
1777928445409,  1328.275, 0.999961, 0.006610,-0.003970,-0.004246,1,0
1777928445421,  1328.295, 0.999961, 0.006608,-0.003972,-0.004254,1,0
1777928445431,  1328.295, 0.999961, 0.006608,-0.003972,-0.004254,1,0
1777928445449,  1328.325, 0.999961, 0.006612,-0.003973,-0.004262,1,0
1777928445459,  1328.325, 0.999961, 0.006612,-0.003973,-0.004262,1,0
1777928445471,  1328.345, 0.999961, 0.006613,-0.003970,-0.004264,1,0
1777928445481,  1328.345, 0.999961, 0.006613,-0.003970,-0.004264,1,0
1777928445498,  1328.375, 0.999961, 0.006613,-0.003963,-0.004270,1,0
1777928445509,  1328.375, 0.999961, 0.006613,-0.003963,-0.004270,1,0
1777928445520,  1328.395, 0.999961, 0.006609,-0.003959,-0.004278,1,0
1777928445530,  1328.395, 0.999961, 0.006609,-0.003959,-0.004278,1,0
1777928445548,  1328.425, 0.999961, 0.006606,-0.003957,-0.004286,1,0
1777928445558,  1328.425, 0.999961, 0.006606,-0.003957,-0.004286,1,0
1777928445570,  1328.445, 0.999961, 0.006603,-0.003954,-0.004289,1,0
1777928445580,  1328.445, 0.999961, 0.006603,-0.003954,-0.004289,1,0
1777928445593,  1328.470, 0.999961, 0.006608,-0.003956,-0.004293,1,0
1777928445604,  1328.470, 0.999961, 0.006608,-0.003956,-0.004293,1,0
1777928445620,  1328.495, 0.999961, 0.006604,-0.003958,-0.004299,1,0
1777928445633,  1328.495, 0.999961, 0.006604,-0.003958,-0.004299,1,0
1777928445643,  1328.520, 0.999961, 0.006601,-0.003961,-0.004304,1,0
1777928445653,  1328.520, 0.999961, 0.006601,-0.003961,-0.004304,1,0
1777928445670,  1328.545, 0.999961, 0.006600,-0.003960,-0.004308,1,0
1777928445680,  1328.545, 0.999961, 0.006600,-0.003960,-0.004308,1,0
1777928445691,  1328.565, 0.999961, 0.006600,-0.003953,-0.004313,1,0
1777928445701,  1328.565, 0.999961, 0.006600,-0.003953,-0.004313,1,0
1777928445719,  1328.595, 0.999961, 0.006597,-0.003949,-0.004323,1,0
1777928445729,  1328.595, 0.999961, 0.006597,-0.003949,-0.004323,1,0
1777928445741,  1328.615, 0.999961, 0.006597,-0.003948,-0.004327,1,0
1777928445751,  1328.615, 0.999961, 0.006597,-0.003948,-0.004327,1,0
1777928445768,  1328.645, 0.999961, 0.006596,-0.003945,-0.004330,1,0
1777928445779,  1328.645, 0.999961, 0.006596,-0.003945,-0.004330,1,0
1777928445790,  1328.665, 0.999961, 0.006596,-0.003945,-0.004335,1,0
1777928445801,  1328.665, 0.999961, 0.006596,-0.003945,-0.004335,1,0
1777928445818,  1328.695, 0.999961, 0.006596,-0.003948,-0.004343,1,0
1777928445828,  1328.695, 0.999961, 0.006596,-0.003948,-0.004343,1,0
1777928445840,  1328.715, 0.999961, 0.006593,-0.003948,-0.004346,1,0
1777928445850,  1328.715, 0.999961, 0.006593,-0.003948,-0.004346,1,0
1777928445863,  1328.740, 0.999961, 0.006591,-0.003951,-0.004354,1,0
1777928445874,  1328.740, 0.999961, 0.006591,-0.003951,-0.004354,1,0
1777928445890,  1328.765, 0.999961, 0.006588,-0.003953,-0.004359,1,0
1777928445900,  1328.765, 0.999961, 0.006588,-0.003953,-0.004359,1,0
1777928445913,  1328.790, 0.999961, 0.006594,-0.003944,-0.004370,1,0
1777928445923,  1328.790, 0.999961, 0.006594,-0.003944,-0.004370,1,0
1777928445939,  1328.815, 0.999961, 0.006597,-0.003940,-0.004377,1,0
1777928445949,  1328.815, 0.999961, 0.006597,-0.003940,-0.004377,1,0
1777928445961,  1328.835, 0.999961, 0.006600,-0.003938,-0.004382,1,0
1777928445971,  1328.835, 0.999961, 0.006600,-0.003938,-0.004382,1,0
1777928445989,  1328.865, 0.999961, 0.006601,-0.003936,-0.004391,1,0
1777928445999,  1328.865, 0.999961, 0.006601,-0.003936,-0.004391,1,0
1777928446011,  1328.885, 0.999961, 0.006598,-0.003939,-0.004396,1,0
1777928446021,  1328.885, 0.999961, 0.006598,-0.003939,-0.004396,1,0
1777928446039,  1328.915, 0.999961, 0.006595,-0.003928,-0.004404,1,0
1777928446049,  1328.915, 0.999961, 0.006595,-0.003928,-0.004404,1,0
1777928446061,  1328.935, 0.999961, 0.006591,-0.003932,-0.004408,1,0
1777928446071,  1328.935, 0.999961, 0.006591,-0.003932,-0.004408,1,0
1777928446088,  1328.965, 0.999961, 0.006588,-0.003930,-0.004413,1,0
