Time,GPS_ts,fGPS_ts,scaledAccelX,scaledAccelY,scaledAccelZ,deltaVelX,deltaVelY,deltaVelZ,estLinearAccelX,estLinearAccelY,estLinearAccelZ,estLinearAccel:valid,estAngularRateX,estAngularRateY,estAngularRateZ,estAngularRate:valid,estGravityX,estGravityY,estGravityZ,estGravity:valid,flag
1777928444615,  1310.970,  1310.965,-0.007322,-0.013247,-0.996066,-0.000074,-0.000132,-0.009962, 0.004127, 0.000612, 0.039489,1,-0.000616,-0.000465, 0.000291,1, 0.073178, 0.130232, 9.805512,1,0
1777928444626,  1311.215,  1311.215,-0.007812,-0.012853,-0.995700,-0.000077,-0.000131,-0.009956,-0.003813, 0.004028, 0.041034,1, 0.000449, 0.000001,-0.000466,1, 0.072794, 0.130087, 9.805517,1,0
1777928444639,  1327.515,  1327.515,-0.008045,-0.012825,-0.995740,-0.000079,-0.000128,-0.009954,-0.001341, 0.004436, 0.040603,1, 0.000492,-0.000133,-0.000042,1, 0.077554, 0.130224, 9.805479,1,0
1777928444649,  1327.515,  1327.515,-0.008045,-0.012825,-0.995740,-0.000079,-0.000128,-0.009954,-0.001341, 0.004436, 0.040603,1, 0.000492,-0.000133,-0.000042,1, 0.077554, 0.130224, 9.805479,1,0
1777928444661,  1327.540,  1327.535,-0.007413,-0.012916,-0.995515,-0.000075,-0.000129,-0.009951, 0.001186,-0.003939, 0.030603,1,-0.000072, 0.000291,-0.000568,1, 0.077498, 0.130298, 9.805478,1,0
1777928444671,  1327.540,  1327.535,-0.007413,-0.012916,-0.995515,-0.000075,-0.000129,-0.009951, 0.001186,-0.003939, 0.030603,1,-0.000072, 0.000291,-0.000568,1, 0.077498, 0.130298, 9.805478,1,0
1777928444688,  1327.565,  1327.565,-0.007748,-0.013123,-0.995497,-0.000077,-0.000131,-0.009956, 0.001469, 0.001652, 0.042982,1, 0.000095,-0.000300,-0.000705,1, 0.077458, 0.130349, 9.805478,1,0
1777928444698,  1327.565,  1327.565,-0.007748,-0.013123,-0.995497,-0.000077,-0.000131,-0.009956, 0.001469, 0.001652, 0.042982,1, 0.000095,-0.000300,-0.000705,1, 0.077458, 0.130349, 9.805478,1,0
1777928444710,  1327.590,  1327.585,-0.007508,-0.013644,-0.995986,-0.000076,-0.000136,-0.009958, 0.004709,-0.004183, 0.038873,1, 0.000298, 0.000191,-0.000582,1, 0.077380, 0.130408, 9.805477,1,0
1777928444720,  1327.590,  1327.585,-0.007508,-0.013644,-0.995986,-0.000076,-0.000136,-0.009958, 0.004709,-0.004183, 0.038873,1, 0.000298, 0.000191,-0.000582,1, 0.077380, 0.130408, 9.805477,1,0
1777928444738,  1327.615,  1327.615,-0.007584,-0.013901,-0.995131,-0.000077,-0.000138,-0.009953, 0.002973,-0.005803, 0.046572,1, 0.000372,-0.000087,-0.000588,1, 0.077345, 0.130532, 9.805476,1,0
1777928444748,  1327.615,  1327.615,-0.007584,-0.013901,-0.995131,-0.000077,-0.000138,-0.009953, 0.002973,-0.005803, 0.046572,1, 0.000372,-0.000087,-0.000588,1, 0.077345, 0.130532, 9.805476,1,0
1777928444760,  1327.640,  1327.635,-0.007544,-0.013252,-0.996272,-0.000078,-0.000130,-0.009961, 0.005589,-0.000957, 0.036900,1, 0.000399, 0.000091,-0.000188,1, 0.077255, 0.130625, 9.805475,1,0
1777928444770,  1327.640,  1327.635,-0.007544,-0.013252,-0.996272,-0.000078,-0.000130,-0.009961, 0.005589,-0.000957, 0.036900,1, 0.000399, 0.000091,-0.000188,1, 0.077255, 0.130625, 9.805475,1,0
1777928444783,  1327.665,  1327.660,-0.007741,-0.013161,-0.995953,-0.000075,-0.000129,-0.009963, 0.001285, 0.001630, 0.038511,1, 0.000657, 0.000667,-0.000909,1, 0.077173, 0.130716, 9.805475,1,0
1777928444793,  1327.665,  1327.660,-0.007741,-0.013161,-0.995953,-0.000075,-0.000129,-0.009963, 0.001285, 0.001630, 0.038511,1, 0.000657, 0.000667,-0.000909,1, 0.077173, 0.130716, 9.805475,1,0
1777928444809,  1327.690,  1327.685,-0.008369,-0.013390,-0.995646,-0.000080,-0.000132,-0.009953, 0.000952, 0.002220, 0.047775,1,-0.000450,-0.000248,-0.000415,1, 0.077157, 0.130686, 9.805475,1,0
1777928444819,  1327.690,  1327.685,-0.008369,-0.013390,-0.995646,-0.000080,-0.000132,-0.009953, 0.000952, 0.002220, 0.047775,1,-0.000450,-0.000248,-0.000415,1, 0.077157, 0.130686, 9.805475,1,0
1777928444833,  1327.710,  1327.710,-0.008126,-0.013538,-0.995645,-0.000079,-0.000135,-0.009957,-0.002435,-0.002093, 0.041529,1, 0.000176,-0.000128,-0.000930,1, 0.077255, 0.130680, 9.805475,1,0
1777928444843,  1327.710,  1327.710,-0.008126,-0.013538,-0.995645,-0.000079,-0.000135,-0.009957,-0.002435,-0.002093, 0.041529,1, 0.000176,-0.000128,-0.000930,1, 0.077255, 0.130680, 9.805475,1,0
1777928444859,  1327.735,  1327.735,-0.008142,-0.013549,-0.995908,-0.000079,-0.000137,-0.009958,-0.002542,-0.002217, 0.038949,1,-0.000715,-0.000840,-0.000801,1, 0.077328, 0.130628, 9.805475,1,0
1777928444869,  1327.735,  1327.735,-0.008142,-0.013549,-0.995908,-0.000079,-0.000137,-0.009958,-0.002542,-0.002217, 0.038949,1,-0.000715,-0.000840,-0.000801,1, 0.077328, 0.130628, 9.805475,1,0
1777928444881,  1327.760,  1327.755,-0.007615,-0.013550,-0.994731,-0.000074,-0.000136,-0.009948, 0.002370,-0.005144, 0.036749,1,-0.000827,-0.000495,-0.000216,1, 0.077343, 0.130499, 9.805476,1,0
1777928444891,  1327.760,  1327.755,-0.007615,-0.013550,-0.994731,-0.000074,-0.000136,-0.009948, 0.002370,-0.005144, 0.036749,1,-0.000827,-0.000495,-0.000216,1, 0.077343, 0.130499, 9.805476,1,0
1777928444909,  1327.785,  1327.785,-0.007677,-0.013493,-0.996012,-0.000081,-0.000134,-0.009961, 0.002049,-0.001939, 0.037933,1,-0.000056, 0.000101,-0.000856,1, 0.077331, 0.130383, 9.805478,1,0
1777928444919,  1327.785,  1327.785,-0.007677,-0.013493,-0.996012,-0.000081,-0.000134,-0.009961, 0.002049,-0.001939, 0.037933,1,-0.000056, 0.000101,-0.000856,1, 0.077331, 0.130383, 9.805478,1,0
1777928444931,  1327.810,  1327.805,-0.007631,-0.013144,-0.995552,-0.000077,-0.000133,-0.009956, 0.003187,-0.002126, 0.042608,1,-0.000162,-0.000769, 0.000216,1, 0.077410, 0.130377, 9.805478,1,0
1777928444941,  1327.810,  1327.805,-0.007631,-0.013144,-0.995552,-0.000077,-0.000133,-0.009956, 0.003187,-0.002126, 0.042608,1,-0.000162,-0.000769, 0.000216,1, 0.077410, 0.130377, 9.805478,1,0
1777928444958,  1327.835,  1327.835,-0.007655,-0.012898,-0.995562,-0.000077,-0.000129,-0.009956, 0.002234, 0.003910, 0.042347,1,-0.000151,-0.000146,-0.000552,1, 0.077310, 0.130393, 9.805478,1,0
1777928444968,  1327.835,  1327.835,-0.007655,-0.012898,-0.995562,-0.000077,-0.000129,-0.009956, 0.002234, 0.003910, 0.042347,1,-0.000151,-0.000146,-0.000552,1, 0.077310, 0.130393, 9.805478,1,0
1777928444980,  1327.860,  1327.855,-0.007775,-0.013108,-0.995162,-0.000078,-0.000131,-0.009950, 0.000538, 0.000903, 0.042352,1,-0.000286, 0.000696,-0.001195,1, 0.077170, 0.130367, 9.805480,1,0
