FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,05/04/26 16:20:24.847852032
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:orientQuaternion,Matrix,100Hz[1x4],,,,,,

DATA_START
Time,inertial-6286.188861:orientQuaternion[0-0],inertial-6286.188861:orientQuaternion[0-1],inertial-6286.188861:orientQuaternion[0-2],inertial-6286.188861:orientQuaternion[0-3]
1777911624847852032,0.755756,0.006218,0.001377,0.654823
1777911624857890304,0.753858,0.006213,0.001394,0.657007
1777911624867918592,0.753974,0.006214,0.001390,0.656873
1777911624877937408,0.755564,0.006219,0.001373,0.655044
1777911624887945984,0.755507,0.006220,0.001370,0.655110
1777911624897944832,0.755755,0.006220,0.001372,0.654823
1777911624907933952,0.754716,0.006216,0.001376,0.656021
1777911624917913856,0.755632,0.006218,0.001373,0.654966
1777911624927883776,0.753978,0.006213,0.001384,0.656869
1777911624937843712,0.752683,0.006213,0.001397,0.658352
1777911624947793664,0.753913,0.006217,0.001388,0.656944
1777911624957734400,0.755122,0.006217,0.001374,0.655553
1777911624967664896,0.754326,0.006213,0.001381,0.656469
1777911624977585920,0.753915,0.006212,0.001384,0.656941
1777911624987496960,0.754581,0.006213,0.001378,0.656176
1777911624997398272,0.753026,0.006211,0.001391,0.657960
1777911625007290112,0.757454,0.006222,0.001344,0.652857
1777911625017396224,0.754232,0.006212,0.001376,0.656578
1777911625027492352,0.755374,0.006214,0.001366,0.655263
1777911625037578240,0.752107,0.006208,0.001396,0.659010
1777911625047654400,0.754291,0.006212,0.001376,0.656510
1777911625057720576,0.754078,0.006211,0.001375,0.656754
1777911625067777024,0.754001,0.006210,0.001377,0.656842
1777911625077823232,0.754393,0.006212,0.001373,0.656393
1777911625087859712,0.754613,0.006213,0.001373,0.656139
1777911625097885952,0.754512,0.006213,0.001374,0.656256
1777911625107902464,0.754108,0.006213,0.001377,0.656719
1777911625117908992,0.756230,0.006218,0.001358,0.654276
1777911625127905536,0.753249,0.006211,0.001388,0.657705
1777911625137892608,0.752735,0.006211,0.001392,0.658293
1777911625147869696,0.753143,0.006210,0.001385,0.657826
1777911625157836544,0.754768,0.006215,0.001368,0.655961
1777911625167793920,0.752742,0.006210,0.001390,0.658285
1777911625177741312,0.752076,0.006210,0.001395,0.659045
1777911625187678464,0.753766,0.006215,0.001377,0.657112
1777911625197607424,0.755059,0.006216,0.001367,0.655625
1777911625207526144,0.754624,0.006218,0.001372,0.656126
1777911625217435136,0.754175,0.006216,0.001378,0.656643
1777911625227333888,0.753250,0.006212,0.001385,0.657703
1777911625237442048,0.753249,0.006212,0.001384,0.657705
1777911625247539968,0.754831,0.006212,0.001368,0.655889
1777911625257628160,0.755026,0.006212,0.001365,0.655665
1777911625267706112,0.755662,0.006213,0.001358,0.654931
1777911625277774336,0.753657,0.006208,0.001374,0.657238
1777911625287832576,0.755155,0.006207,0.001362,0.655515
1777911625297880576,0.753567,0.006205,0.001380,0.657340
1777911625307918848,0.751535,0.006201,0.001399,0.659663
1777911625317947136,0.755888,0.006210,0.001357,0.654671
1777911625327965952,0.754651,0.006209,0.001367,0.656096
1777911625337974784,0.755187,0.006211,0.001363,0.655478
1777911625347973120,0.755501,0.006211,0.001364,0.655117
1777911625357961728,0.755658,0.006211,0.001363,0.654936
1777911625367940608,0.755438,0.006212,0.001367,0.655189
1777911625377909504,0.754899,0.006210,0.001373,0.655810
1777911625387868928,0.752110,0.006203,0.001402,0.659007
1777911625397818624,0.754617,0.006209,0.001375,0.656135
1777911625407758336,0.754271,0.006208,0.001377,0.656533
1777911625417688064,0.755248,0.006208,0.001368,0.655409
1777911625427607808,0.755881,0.006212,0.001360,0.654679
1777911625437517824,0.755157,0.006215,0.001364,0.655513
1777911625447418624,0.753756,0.006215,0.001375,0.657124
1777911625457309952,0.753106,0.006216,0.001378,0.657869
1777911625467416320,0.751911,0.006212,0.001389,0.659234
1777911625477512960,0.754522,0.006215,0.001362,0.656244
1777911625487599360,0.754970,0.006216,0.001357,0.655729
1777911625497676032,0.755917,0.006216,0.001349,0.654637
1777911625507742720,0.756171,0.006217,0.001344,0.654343
1777911625517799168,0.754075,0.006213,0.001364,0.656758
1777911625527845888,0.755942,0.006218,0.001346,0.654608
1777911625537882624,0.754777,0.006219,0.001358,0.655951
1777911625547909632,0.753192,0.006215,0.001374,0.657770
1777911625557926656,0.756362,0.006221,0.001346,0.654122
1777911625567934208,0.754960,0.006216,0.001357,0.655740
1777911625577931776,0.754836,0.006213,0.001357,0.655883
1777911625587919104,0.754495,0.006212,0.001358,0.656275
1777911625597896960,0.751849,0.006209,0.001378,0.659304
1777911625607864832,0.753602,0.006214,0.001363,0.657301
1777911625617822720,0.751101,0.006207,0.001389,0.660157
1777911625627770624,0.754485,0.006212,0.001356,0.656287
1777911625637709056,0.754395,0.006215,0.001357,0.656390
1777911625647637760,0.753945,0.006216,0.001360,0.656907
1777911625657556480,0.755405,0.006220,0.001347,0.655228
1777911625667464960,0.754771,0.006213,0.001353,0.655957
1777911625677363968,0.752621,0.006212,0.001374,0.658424
1777911625687472640,0.752797,0.006212,0.001371,0.658222
1777911625697571072,0.754903,0.006215,0.001347,0.655806
1777911625707659776,0.751788,0.006211,0.001377,0.659374
1777911625717738240,0.753786,0.006216,0.001360,0.657089
1777911625727807232,0.752740,0.006213,0.001368,0.658287
1777911625737866496,0.754487,0.006218,0.001354,0.656284
1777911625747915520,0.754296,0.006217,0.001355,0.656504
1777911625757954816,0.754837,0.006219,0.001349,0.655882
1777911625767984384,0.755158,0.006222,0.001349,0.655512
1777911625778003968,0.754618,0.006220,0.001357,0.656134
1777911625788013568,0.753036,0.006217,0.001370,0.657949
1777911625798013184,0.753317,0.006221,0.001367,0.657627
1777911625808003072,0.754937,0.006228,0.001352,0.655766
1777911625817982976,0.753894,0.006226,0.001363,0.656965
1777911625827952896,0.753770,0.006230,0.001361,0.657107
1777911625837913344,0.754082,0.006233,0.001356,0.656750
1777911625847864064,0.754263,0.006234,0.001356,0.656541
1777911625857805056,0.755503,0.006235,0.001346,0.655114
1777911625867736064,0.755731,0.006237,0.001345,0.654851
1777911625877657088,0.755226,0.006235,0.001347,0.655434
1777911625887568384,0.754467,0.006233,0.001352,0.656307
1777911625897470208,0.755128,0.006231,0.001344,0.655546
1777911625907363328,0.754307,0.006231,0.001354,0.656491
1777911625917469952,0.754271,0.006229,0.001357,0.656533
1777911625927566848,0.753257,0.006226,0.001367,0.657696
1777911625937653248,0.754715,0.006230,0.001351,0.656021
1777911625947729920,0.755415,0.006231,0.001344,0.655216
1777911625957796608,0.752342,0.006222,0.001372,0.658741
1777911625967853568,0.755255,0.006229,0.001341,0.655400
1777911625977900288,0.754012,0.006227,0.001351,0.656829
1777911625987937536,0.754845,0.006230,0.001341,0.655872
1777911625997964800,0.754720,0.006232,0.001339,0.656016
1777911626007981824,0.754052,0.006229,0.001349,0.656783
1777911626017989120,0.753379,0.006230,0.001358,0.657556
1777911626027986176,0.754116,0.006232,0.001349,0.656710
1777911626037973760,0.755573,0.006233,0.001335,0.655033
1777911626047951616,0.755513,0.006232,0.001335,0.655103
1777911626057919488,0.754914,0.006233,0.001342,0.655793
1777911626067877120,0.755669,0.006234,0.001339,0.654923
1777911626077825280,0.753285,0.006224,0.001363,0.657664
1777911626087763456,0.754306,0.006226,0.001355,0.656493
