FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,05/04/26 16:20:24.843272704
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:estOrientQuaternion,Matrix,100Hz[1x4],,,,,,
inertial-6286.188861:estOrientQuaternion:valid,ValidFlag,100Hz[1x4],,,,,,

DATA_START
Time,inertial-6286.188861:estOrientQuaternion[0-0],inertial-6286.188861:estOrientQuaternion[0-1],inertial-6286.188861:estOrientQuaternion[0-2],inertial-6286.188861:estOrientQuaternion[0-3],inertial-6286.188861:estOrientQuaternion:valid
1777911624843272704,0.999975,0.005728,-0.002446,-0.003414,1
1777911624853315584,0.999975,0.005728,-0.002446,-0.003414,1
1777911624863348480,0.999975,0.005727,-0.002446,-0.003414,1
1777911624873371648,0.999975,0.005725,-0.002448,-0.003414,1
1777911624883384576,0.999975,0.005724,-0.002450,-0.003413,1
1777911624893388032,0.999975,0.005723,-0.002454,-0.003413,1
1777911624903381504,0.999975,0.005725,-0.002450,-0.003411,1
1777911624913365760,0.999975,0.005721,-0.002453,-0.003412,1
1777911624923340288,0.999975,0.005724,-0.002449,-0.003414,1
1777911624933304832,0.999975,0.005720,-0.002451,-0.003414,1
1777911624943259392,0.999975,0.005722,-0.002452,-0.003417,1
1777911624953204480,0.999975,0.005726,-0.002451,-0.003420,1
1777911624963139584,0.999975,0.005722,-0.002451,-0.003418,1
1777911624973064960,0.999975,0.005719,-0.002450,-0.003419,1
1777911624982980608,0.999975,0.005719,-0.002451,-0.003418,1
1777911624992886272,0.999975,0.005718,-0.002450,-0.003418,1
1777911625002781952,0.999975,0.005719,-0.002452,-0.003418,1
1777911625012892672,0.999975,0.005717,-0.002457,-0.003420,1
1777911625022992896,0.999975,0.005716,-0.002453,-0.003420,1
1777911625033083392,0.999975,0.005715,-0.002453,-0.003423,1
1777911625043163648,0.999975,0.005716,-0.002453,-0.003423,1
1777911625053234176,0.999975,0.005715,-0.002453,-0.003424,1
1777911625063294720,0.999975,0.005713,-0.002455,-0.003423,1
1777911625073345536,0.999975,0.005713,-0.002453,-0.003422,1
1777911625083386112,0.999975,0.005714,-0.002454,-0.003424,1
1777911625093417216,0.999975,0.005715,-0.002453,-0.003423,1
1777911625103438336,0.999975,0.005715,-0.002453,-0.003419,1
1777911625113449216,0.999975,0.005716,-0.002454,-0.003416,1
1777911625123450624,0.999975,0.005717,-0.002453,-0.003418,1
1777911625133441792,0.999975,0.005718,-0.002452,-0.003419,1
1777911625143423232,0.999975,0.005718,-0.002453,-0.003421,1
1777911625153394688,0.999975,0.005714,-0.002455,-0.003422,1
1777911625163355904,0.999975,0.005715,-0.002457,-0.003422,1
1777911625173307904,0.999975,0.005716,-0.002454,-0.003421,1
1777911625183249664,0.999975,0.005716,-0.002457,-0.003423,1
1777911625193182976,0.999975,0.005716,-0.002459,-0.003422,1
1777911625203106304,0.999975,0.005716,-0.002456,-0.003421,1
1777911625213019392,0.999975,0.005719,-0.002457,-0.003420,1
1777911625222923008,0.999975,0.005719,-0.002455,-0.003420,1
1777911625232816896,0.999975,0.005717,-0.002456,-0.003422,1
1777911625242919680,0.999975,0.005716,-0.002456,-0.003422,1
1777911625253012480,0.999975,0.005713,-0.002455,-0.003423,1
1777911625263094784,0.999975,0.005712,-0.002455,-0.003421,1
1777911625273167360,0.999975,0.005711,-0.002456,-0.003421,1
1777911625283230208,0.999975,0.005707,-0.002456,-0.003421,1
1777911625293282816,0.999975,0.005706,-0.002452,-0.003420,1
1777911625303325696,0.999975,0.005709,-0.002450,-0.003422,1
1777911625313358592,0.999975,0.005709,-0.002450,-0.003422,1
1777911625323381760,0.999975,0.005709,-0.002452,-0.003421,1
1777911625333394688,0.999975,0.005709,-0.002454,-0.003424,1
1777911625343397888,0.999975,0.005710,-0.002453,-0.003424,1
1777911625353391104,0.999975,0.005712,-0.002450,-0.003423,1
1777911625363374592,0.999975,0.005712,-0.002449,-0.003422,1
1777911625373348096,0.999975,0.005715,-0.002449,-0.003420,1
1777911625383311872,0.999975,0.005715,-0.002447,-0.003423,1
1777911625393265664,0.999975,0.005715,-0.002445,-0.003422,1
1777911625403209472,0.999975,0.005714,-0.002447,-0.003421,1
1777911625413143808,0.999975,0.005713,-0.002448,-0.003421,1
1777911625423068416,0.999975,0.005711,-0.002447,-0.003419,1
1777911625432983040,0.999975,0.005712,-0.002450,-0.003417,1
1777911625442888192,0.999975,0.005714,-0.002455,-0.003420,1
1777911625452783616,0.999975,0.005715,-0.002459,-0.003421,1
1777911625462894336,0.999975,0.005714,-0.002462,-0.003420,1
1777911625472995328,0.999975,0.005713,-0.002461,-0.003420,1
1777911625483086080,0.999975,0.005710,-0.002461,-0.003422,1
1777911625493167360,0.999975,0.005710,-0.002461,-0.003420,1
1777911625503238400,0.999975,0.005708,-0.002459,-0.003420,1
1777911625513299712,0.999975,0.005707,-0.002461,-0.003422,1
1777911625523351040,0.999975,0.005708,-0.002462,-0.003422,1
1777911625533392128,0.999975,0.005708,-0.002463,-0.003423,1
1777911625543423488,0.999975,0.005711,-0.002464,-0.003423,1
1777911625553445120,0.999975,0.005712,-0.002463,-0.003421,1
1777911625563457024,0.999975,0.005712,-0.002461,-0.003420,1
1777911625573458944,0.999975,0.005710,-0.002461,-0.003423,1
1777911625583450880,0.999975,0.005707,-0.002461,-0.003427,1
1777911625593433344,0.999975,0.005705,-0.002461,-0.003428,1
1777911625603405824,0.999975,0.005704,-0.002467,-0.003428,1
1777911625613368320,0.999975,0.005706,-0.002467,-0.003426,1
1777911625623320832,0.999975,0.005706,-0.002464,-0.003428,1
1777911625633263872,0.999975,0.005704,-0.002463,-0.003430,1
1777911625643196928,0.999975,0.005707,-0.002465,-0.003429,1
1777911625653119744,0.999975,0.005707,-0.002468,-0.003429,1
1777911625663032832,0.999975,0.005708,-0.002467,-0.003431,1
1777911625672935936,0.999975,0.005704,-0.002464,-0.003433,1
1777911625682829312,0.999975,0.005707,-0.002464,-0.003434,1
1777911625692932096,0.999975,0.005706,-0.002465,-0.003434,1
1777911625703025152,0.999975,0.005703,-0.002467,-0.003433,1
1777911625713107968,0.999975,0.005704,-0.002468,-0.003435,1
1777911625723181056,0.999975,0.005707,-0.002467,-0.003435,1
1777911625733244416,0.999975,0.005705,-0.002467,-0.003433,1
1777911625743297792,0.999975,0.005708,-0.002467,-0.003434,1
1777911625753341440,0.999975,0.005706,-0.002467,-0.003434,1
1777911625763375104,0.999975,0.005706,-0.002468,-0.003434,1
1777911625773399040,0.999975,0.005711,-0.002468,-0.003432,1
1777911625783412992,0.999975,0.005712,-0.002464,-0.003432,1
1777911625793417216,0.999975,0.005710,-0.002466,-0.003434,1
1777911625803411200,0.999975,0.005713,-0.002468,-0.003435,1
1777911625813395712,0.999975,0.005715,-0.002471,-0.003438,1
1777911625823370496,0.999975,0.005716,-0.002470,-0.003439,1
1777911625833335296,0.999975,0.005718,-0.002475,-0.003440,1
1777911625843290112,0.999975,0.005718,-0.002478,-0.003441,1
1777911625853235456,0.999975,0.005720,-0.002477,-0.003440,1
1777911625863171072,0.999975,0.005720,-0.002475,-0.003439,1
1777911625873096704,0.999975,0.005722,-0.002475,-0.003439,1
1777911625883012352,0.999975,0.005719,-0.002476,-0.003439,1
1777911625892918784,0.999975,0.005717,-0.002477,-0.003440,1
1777911625902816256,0.999975,0.005714,-0.002477,-0.003440,1
1777911625912927232,0.999975,0.005717,-0.002477,-0.003440,1
1777911625923028480,0.999975,0.005717,-0.002474,-0.003441,1
1777911625933119488,0.999975,0.005717,-0.002472,-0.003441,1
1777911625943200512,0.999975,0.005716,-0.002475,-0.003442,1
1777911625953271808,0.999975,0.005716,-0.002475,-0.003440,1
1777911625963332864,0.999975,0.005713,-0.002474,-0.003440,1
1777911625973384448,0.999975,0.005711,-0.002477,-0.003440,1
1777911625983426048,0.999975,0.005711,-0.002479,-0.003442,1
1777911625993457408,0.999975,0.005710,-0.002482,-0.003443,1
1777911626003479040,0.999975,0.005710,-0.002486,-0.003442,1
1777911626013490688,0.999975,0.005711,-0.002482,-0.003442,1
1777911626023492352,0.999975,0.005715,-0.002482,-0.003442,1
1777911626033484544,0.999975,0.005713,-0.002483,-0.003442,1
1777911626043466752,0.999975,0.005713,-0.002482,-0.003440,1
1777911626053438976,0.999975,0.005711,-0.002482,-0.003438,1
1777911626063401216,0.999975,0.005713,-0.002482,-0.003439,1
1777911626073353728,0.999975,0.005716,-0.002479,-0.003440,1
1777911626083296256,0.999975,0.005712,-0.002473,-0.003442,1
1777911626093228800,0.999975,0.005714,-0.002471,-0.003443,1
1777911626103151616,0.999975,0.005712,-0.002474,-0.003441,1
1777911626113064448,0.999975,0.005712,-0.002475,-0.003442,1
1777911626122967552,0.999975,0.005714,-0.002476,-0.003442,1
1777911626132860928,0.999975,0.005710,-0.002476,-0.003442,1
1777911626142963968,0.999975,0.005710,-0.002480,-0.003446,1
1777911626153057280,0.999975,0.005713,-0.002482,-0.003448,1
1777911626163140608,0.999975,0.005714,-0.002481,-0.003448,1
1777911626173213696,0.999975,0.005714,-0.002480,-0.003449,1
1777911626183277056,0.999975,0.005717,-0.002481,-0.003450,1
1777911626193330432,0.999975,0.005717,-0.002481,-0.003450,1
1777911626203374848,0.999975,0.005716,-0.002479,-0.003448,1
1777911626213409280,0.999975,0.005714,-0.002477,-0.003451,1
