Time,fGPS_ts,estOrientQuaternion[0],estOrientQuaternion[1],estOrientQuaternion[2],estOrientQuaternion[3],estOrientQuaternion:valid,flag
1777906289439,   603.791, 0.999988, 0.004751,-0.001338,-0.000018,1,1
1777906289450,   604.056, 0.999988, 0.004736,-0.001329,-0.000016,1,1
1777906289467,   613.046, 0.999988, 0.004808,-0.001351,-0.000027,1,1
1777906289477,   613.046, 0.999988, 0.004808,-0.001351,-0.000027,1,1
1777906289490,   613.066, 0.999988, 0.004803,-0.001350,-0.000025,1,1
1777906289500,   613.066, 0.999988, 0.004803,-0.001350,-0.000025,1,1
1777906289519,   613.096, 0.999988, 0.004799,-0.001353,-0.000027,1,1
1777906289529,   613.096, 0.999988, 0.004799,-0.001353,-0.000027,1,1
1777906289547,   613.126, 0.999988, 0.004792,-0.001352,-0.000029,1,1
1777906289557,   613.126, 0.999988, 0.004792,-0.001352,-0.000029,1,1
1777906289570,   613.146, 0.999988, 0.004792,-0.001347,-0.000028,1,1
1777906289580,   613.146, 0.999988, 0.004792,-0.001347,-0.000028,1,1
1777906289599,   613.176, 0.999988, 0.004787,-0.001338,-0.000028,1,1
1777906289609,   613.176, 0.999988, 0.004787,-0.001338,-0.000028,1,1
1777906289627,   613.206, 0.999988, 0.004790,-0.001341,-0.000026,1,1
1777906289637,   613.206, 0.999988, 0.004790,-0.001341,-0.000026,1,1
1777906289650,   613.226, 0.999988, 0.004785,-0.001338,-0.000026,1,1
1777906289660,   613.226, 0.999988, 0.004785,-0.001338,-0.000026,1,1
1777906289679,   613.256, 0.999988, 0.004784,-0.001339,-0.000028,1,1
1777906289689,   613.256, 0.999988, 0.004784,-0.001339,-0.000028,1,1
1777906289707,   613.286, 0.999988, 0.004778,-0.001339,-0.000027,1,1
1777906289717,   613.286, 0.999988, 0.004778,-0.001339,-0.000027,1,1
1777906289730,   613.306, 0.999988, 0.004780,-0.001344,-0.000024,1,1
1777906289740,   613.306, 0.999988, 0.004780,-0.001344,-0.000024,1,1
1777906289759,   613.336, 0.999988, 0.004780,-0.001350,-0.000026,1,1
1777906289769,   613.336, 0.999988, 0.004780,-0.001350,-0.000026,1,1
1777906289787,   613.366, 0.999988, 0.004781,-0.001349,-0.000025,1,1
1777906289797,   613.366, 0.999988, 0.004781,-0.001349,-0.000025,1,1
1777906289810,   613.386, 0.999988, 0.004778,-0.001346,-0.000026,1,1
1777906289820,   613.386, 0.999988, 0.004778,-0.001346,-0.000026,1,1
1777906289839,   613.416, 0.999988, 0.004780,-0.001345,-0.000025,1,1
1777906289849,   613.416, 0.999988, 0.004780,-0.001345,-0.000025,1,1
1777906289867,   613.446, 0.999988, 0.004775,-0.001345,-0.000027,1,1
1777906289877,   613.446, 0.999988, 0.004775,-0.001345,-0.000027,1,1
1777906289890,   613.466, 0.999988, 0.004779,-0.001344,-0.000028,1,1
1777906289900,   613.466, 0.999988, 0.004779,-0.001344,-0.000028,1,1
