Time,GPS_ts,orientQuaternion[0],orientQuaternion[1],orientQuaternion[2],orientQuaternion[3],flag
1777906289439,   603.796, 0.226369, 0.002646, 0.004179, 0.974029,1
1777906289450,   604.061, 0.224913, 0.002639, 0.004162, 0.974366,1
1777906289467,   613.046, 0.225860, 0.002753, 0.004264, 0.974147,1
1777906289477,   613.046, 0.225860, 0.002753, 0.004264, 0.974147,1
1777906289490,   613.071, 0.225424, 0.002747, 0.004260, 0.974248,1
1777906289500,   613.071, 0.225424, 0.002747, 0.004260, 0.974248,1
1777906289519,   613.096, 0.222465, 0.002737, 0.004264, 0.974927,1
1777906289529,   613.096, 0.222465, 0.002737, 0.004264, 0.974927,1
1777906289547,   613.126, 0.224649, 0.002743, 0.004252, 0.974427,1
1777906289557,   613.126, 0.224649, 0.002743, 0.004252, 0.974427,1
1777906289570,   613.151, 0.226857, 0.002743, 0.004245, 0.973915,1
1777906289580,   613.151, 0.226857, 0.002743, 0.004245, 0.973915,1
1777906289599,   613.176, 0.226247, 0.002734, 0.004246, 0.974057,1
1777906289609,   613.176, 0.226247, 0.002734, 0.004246, 0.974057,1
1777906289627,   613.206, 0.227665, 0.002744, 0.004244, 0.973726,1
1777906289637,   613.206, 0.227665, 0.002744, 0.004244, 0.973726,1
1777906289650,   613.231, 0.226100, 0.002733, 0.004242, 0.974091,1
1777906289660,   613.231, 0.226100, 0.002733, 0.004242, 0.974091,1
1777906289679,   613.256, 0.225237, 0.002731, 0.004245, 0.974291,1
1777906289689,   613.256, 0.225237, 0.002731, 0.004245, 0.974291,1
1777906289707,   613.286, 0.226114, 0.002734, 0.004237, 0.974088,1
1777906289717,   613.286, 0.226114, 0.002734, 0.004237, 0.974088,1
1777906289730,   613.311, 0.222487, 0.002727, 0.004246, 0.974923,1
1777906289740,   613.311, 0.222487, 0.002727, 0.004246, 0.974923,1
1777906289759,   613.336, 0.225475, 0.002743, 0.004238, 0.974236,1
1777906289769,   613.336, 0.225475, 0.002743, 0.004238, 0.974236,1
1777906289787,   613.366, 0.226491, 0.002746, 0.004237, 0.974000,1
1777906289797,   613.366, 0.226491, 0.002746, 0.004237, 0.974000,1
1777906289810,   613.391, 0.224710, 0.002735, 0.004239, 0.974413,1
1777906289820,   613.391, 0.224710, 0.002735, 0.004239, 0.974413,1
1777906289839,   613.416, 0.224124, 0.002733, 0.004243, 0.974548,1
1777906289849,   613.416, 0.224124, 0.002733, 0.004243, 0.974548,1
1777906289867,   613.446, 0.226320, 0.002741, 0.004236, 0.974040,1
