Time,GPS_ts,fGPS_ts,scaledAccelX,scaledAccelY,scaledAccelZ,deltaVelX,deltaVelY,deltaVelZ,estLinearAccelX,estLinearAccelY,estLinearAccelZ,estLinearAccel:valid,estAngularRateX,estAngularRateY,estAngularRateZ,estAngularRate:valid,flag
1777906289439,   603.796,   603.791,-0.002672,-0.009662,-0.996305,-0.000026,-0.000095,-0.009964, 0.000043,-0.001566, 0.035758,1,-0.000314,-0.000142,-0.000224,1,1
1777906289450,   604.061,   604.056,-0.002245,-0.009313,-0.995453,-0.000023,-0.000093,-0.009955, 0.003621, 0.001219, 0.041059,1, 0.000529,-0.000883,-0.000083,1,1
1777906289467,   613.046,   613.046,-0.002361,-0.008767,-0.992200,-0.000024,-0.000088,-0.009950, 0.003356, 0.008405, 0.076004,1,-0.001466,-0.000577,-0.000281,1,1
1777906289477,   613.046,   613.046,-0.002361,-0.008767,-0.992200,-0.000024,-0.000088,-0.009950, 0.003356, 0.008405, 0.076004,1,-0.001466,-0.000577,-0.000281,1,1
1777906289490,   613.071,   613.066,-0.003234,-0.009568,-0.998172,-0.000034,-0.000095,-0.009978, 0.007072,-0.003919, 0.086852,1,-0.000320,-0.000895, 0.000605,1,1
1777906289500,   613.071,   613.066,-0.003234,-0.009568,-0.998172,-0.000034,-0.000095,-0.009978, 0.007072,-0.003919, 0.086852,1,-0.000320,-0.000895, 0.000605,1,1
1777906289519,   613.096,   613.096,-0.001953,-0.008749,-0.995687,-0.000028,-0.000089,-0.009968, 0.007396, 0.008318, 0.041806,1,-0.000144, 0.000283,-0.000366,1,1
1777906289529,   613.096,   613.096,-0.001953,-0.008749,-0.995687,-0.000028,-0.000089,-0.009968, 0.007396, 0.008318, 0.041806,1,-0.000144, 0.000283,-0.000366,1,1
1777906289547,   613.126,   613.126,-0.003114,-0.009172,-0.990143,-0.000032,-0.000091,-0.009901,-0.004025, 0.004059, 0.096181,1,-0.000321, 0.000019,-0.000008,1,1
1777906289557,   613.126,   613.126,-0.003114,-0.009172,-0.990143,-0.000032,-0.000091,-0.009901,-0.004025, 0.004059, 0.096181,1,-0.000321, 0.000019,-0.000008,1,1
1777906289570,   613.151,   613.146,-0.002945,-0.010167,-0.997852,-0.000034,-0.000102,-0.009999,-0.001466,-0.001881, 0.040163,1, 0.000211,-0.000163,-0.000104,1,1
1777906289580,   613.151,   613.146,-0.002945,-0.010167,-0.997852,-0.000034,-0.000102,-0.009999,-0.001466,-0.001881, 0.040163,1, 0.000211,-0.000163,-0.000104,1,1
1777906289599,   613.176,   613.176,-0.001974,-0.009992,-0.996041,-0.000025,-0.000100,-0.009964, 0.006911,-0.004078, 0.038343,1,-0.000533, 0.001165,-0.000072,1,1
1777906289609,   613.176,   613.176,-0.001974,-0.009992,-0.996041,-0.000025,-0.000100,-0.009964, 0.006911,-0.004078, 0.038343,1,-0.000533, 0.001165,-0.000072,1,1
1777906289627,   613.206,   613.206,-0.001933,-0.009846,-0.994303,-0.000021,-0.000098,-0.009939, 0.007327,-0.002627, 0.055384,1, 0.000232,-0.000158,-0.000092,1,1
1777906289637,   613.206,   613.206,-0.001933,-0.009846,-0.994303,-0.000021,-0.000098,-0.009939, 0.007327,-0.002627, 0.055384,1, 0.000232,-0.000158,-0.000092,1,1
1777906289650,   613.231,   613.226,-0.002424,-0.009682,-0.995765,-0.000022,-0.000097,-0.009965,-0.000200, 0.001014, 0.023094,1,-0.000584, 0.000507,-0.000121,1,1
1777906289660,   613.231,   613.226,-0.002424,-0.009682,-0.995765,-0.000022,-0.000097,-0.009965,-0.000200, 0.001014, 0.023094,1,-0.000584, 0.000507,-0.000121,1,1
