Time,fGPS_ts,estOrientQuaternion[0],estOrientQuaternion[1],estOrientQuaternion[2],estOrientQuaternion[3],estOrientQuaternion:valid,flag
1777905931869,   241.408, 0.999985, 0.005386,-0.001058, 0.000013,1,1
1777905931880,   241.673, 0.999985, 0.005386,-0.001050, 0.000014,1,1
1777905931893,   255.483, 0.999985, 0.005349,-0.001079, 0.000082,1,1
1777905931903,   255.483, 0.999985, 0.005349,-0.001079, 0.000082,1,1
1777905931918,   255.508, 0.999985, 0.005348,-0.001076, 0.000079,1,1
1777905931928,   255.508, 0.999985, 0.005348,-0.001076, 0.000079,1,1
1777905931944,   255.533, 0.999985, 0.005343,-0.001077, 0.000081,1,1
1777905931955,   255.533, 0.999985, 0.005343,-0.001077, 0.000081,1,1
1777905931973,   255.563, 0.999985, 0.005342,-0.001083, 0.000081,1,1
1777905931983,   255.563, 0.999985, 0.005342,-0.001083, 0.000081,1,1
1777905931998,   255.588, 0.999985, 0.005340,-0.001089, 0.000078,1,1
1777905932008,   255.588, 0.999985, 0.005340,-0.001089, 0.000078,1,1
1777905932024,   255.613, 0.999985, 0.005341,-0.001088, 0.000078,1,1
1777905932035,   255.613, 0.999985, 0.005341,-0.001088, 0.000078,1,1
1777905932053,   255.643, 0.999985, 0.005345,-0.001090, 0.000081,1,1
1777905932063,   255.643, 0.999985, 0.005345,-0.001090, 0.000081,1,1
1777905932078,   255.668, 0.999985, 0.005344,-0.001082, 0.000083,1,1
1777905932088,   255.668, 0.999985, 0.005344,-0.001082, 0.000083,1,1
1777905932104,   255.693, 0.999985, 0.005338,-0.001080, 0.000083,1,1
1777905932114,   255.693, 0.999985, 0.005338,-0.001080, 0.000083,1,1
1777905932133,   255.723, 0.999985, 0.005333,-0.001079, 0.000089,1,1
1777905932143,   255.723, 0.999985, 0.005333,-0.001079, 0.000089,1,1
1777905932158,   255.748, 0.999985, 0.005334,-0.001077, 0.000088,1,1
1777905932168,   255.748, 0.999985, 0.005334,-0.001077, 0.000088,1,1
1777905932184,   255.773, 0.999985, 0.005332,-0.001077, 0.000088,1,1
1777905932195,   255.773, 0.999985, 0.005332,-0.001077, 0.000088,1,1
1777905932213,   255.803, 0.999985, 0.005328,-0.001080, 0.000093,1,1
1777905932223,   255.803, 0.999985, 0.005328,-0.001080, 0.000093,1,1
1777905932238,   255.828, 0.999985, 0.005325,-0.001082, 0.000092,1,1
1777905932248,   255.828, 0.999985, 0.005325,-0.001082, 0.000092,1,1
1777905932264,   255.853, 0.999985, 0.005325,-0.001080, 0.000091,1,1
1777905932275,   255.853, 0.999985, 0.005325,-0.001080, 0.000091,1,1
1777905932293,   255.883, 0.999985, 0.005326,-0.001085, 0.000089,1,1
1777905932303,   255.883, 0.999985, 0.005326,-0.001085, 0.000089,1,1
1777905932318,   255.908, 0.999985, 0.005329,-0.001089, 0.000086,1,1
1777905932328,   255.908, 0.999985, 0.005329,-0.001089, 0.000086,1,1
1777905932344,   255.933, 0.999985, 0.005334,-0.001089, 0.000086,1,1
1777905932354,   255.933, 0.999985, 0.005334,-0.001089, 0.000086,1,1
1777905932373,   255.963, 0.999985, 0.005335,-0.001093, 0.000082,1,1
1777905932383,   255.963, 0.999985, 0.005335,-0.001093, 0.000082,1,1
1777905932398,   255.988, 0.999985, 0.005329,-0.001090, 0.000085,1,1
1777905932408,   255.988, 0.999985, 0.005329,-0.001090, 0.000085,1,1
1777905932424,   256.013, 0.999985, 0.005322,-0.001091, 0.000087,1,1
1777905932435,   256.013, 0.999985, 0.005322,-0.001091, 0.000087,1,1
1777905932453,   256.043, 0.999985, 0.005318,-0.001095, 0.000092,1,1
1777905932463,   256.043, 0.999985, 0.005318,-0.001095, 0.000092,1,1
1777905932478,   256.068, 0.999985, 0.005316,-0.001102, 0.000089,1,1
