Time,GPS_ts,orientQuaternion[0],orientQuaternion[1],orientQuaternion[2],orientQuaternion[3],flag
1777905931869,   241.413, 1.000000, 0.000023,-0.000020, 0.000001,1
1777905931880,   241.678, 1.000000, 0.000027,-0.000019, 0.000004,1
1777905931893,   255.483, 1.000000,-0.000007,-0.000072, 0.000071,1
1777905931903,   255.483, 1.000000,-0.000007,-0.000072, 0.000071,1
1777905931918,   255.513, 1.000000,-0.000009,-0.000069, 0.000068,1
1777905931928,   255.513, 1.000000,-0.000009,-0.000069, 0.000068,1
1777905931944,   255.538, 1.000000,-0.000013,-0.000071, 0.000069,1
1777905931955,   255.538, 1.000000,-0.000013,-0.000071, 0.000069,1
1777905931973,   255.563, 1.000000,-0.000015,-0.000075, 0.000070,1
1777905931983,   255.563, 1.000000,-0.000015,-0.000075, 0.000070,1
1777905931998,   255.593, 1.000000,-0.000016,-0.000082, 0.000067,1
1777905932008,   255.593, 1.000000,-0.000016,-0.000082, 0.000067,1
1777905932024,   255.618, 1.000000,-0.000014,-0.000088, 0.000066,1
1777905932035,   255.618, 1.000000,-0.000014,-0.000088, 0.000066,1
1777905932053,   255.643, 1.000000,-0.000012,-0.000082, 0.000070,1
1777905932063,   255.643, 1.000000,-0.000012,-0.000082, 0.000070,1
1777905932078,   255.673, 1.000000,-0.000011,-0.000075, 0.000072,1
1777905932088,   255.673, 1.000000,-0.000011,-0.000075, 0.000072,1
1777905932104,   255.698, 1.000000,-0.000020,-0.000073, 0.000074,1
1777905932114,   255.698, 1.000000,-0.000020,-0.000073, 0.000074,1
1777905932133,   255.723, 1.000000,-0.000022,-0.000072, 0.000078,1
1777905932143,   255.723, 1.000000,-0.000022,-0.000072, 0.000078,1
1777905932158,   255.753, 1.000000,-0.000021,-0.000070, 0.000077,1
1777905932168,   255.753, 1.000000,-0.000021,-0.000070, 0.000077,1
1777905932184,   255.778, 1.000000,-0.000027,-0.000071, 0.000078,1
1777905932195,   255.778, 1.000000,-0.000027,-0.000071, 0.000078,1
1777905932213,   255.803, 1.000000,-0.000027,-0.000072, 0.000082,1
1777905932223,   255.803, 1.000000,-0.000027,-0.000072, 0.000082,1
1777905932238,   255.833, 1.000000,-0.000030,-0.000075, 0.000081,1
1777905932248,   255.833, 1.000000,-0.000030,-0.000075, 0.000081,1
1777905932264,   255.858, 1.000000,-0.000035,-0.000074, 0.000077,1
1777905932275,   255.858, 1.000000,-0.000035,-0.000074, 0.000077,1
1777905932293,   255.883, 1.000000,-0.000030,-0.000078, 0.000078,1
1777905932303,   255.883, 1.000000,-0.000030,-0.000078, 0.000078,1
1777905932318,   255.913, 1.000000,-0.000027,-0.000082, 0.000075,1
1777905932328,   255.913, 1.000000,-0.000027,-0.000082, 0.000075,1
1777905932344,   255.938, 1.000000,-0.000020,-0.000083, 0.000071,1
1777905932354,   255.938, 1.000000,-0.000020,-0.000083, 0.000071,1
1777905932373,   255.963, 1.000000,-0.000021,-0.000086, 0.000071,1
1777905932383,   255.963, 1.000000,-0.000021,-0.000086, 0.000071,1
1777905932398,   255.993, 1.000000,-0.000027,-0.000083, 0.000074,1
1777905932408,   255.993, 1.000000,-0.000027,-0.000083, 0.000074,1
1777905932424,   256.018, 1.000000,-0.000036,-0.000084, 0.000078,1
1777905932435,   256.018, 1.000000,-0.000036,-0.000084, 0.000078,1
1777905932453,   256.043, 1.000000,-0.000037,-0.000088, 0.000081,1
1777905932463,   256.043, 1.000000,-0.000037,-0.000088, 0.000081,1
1777905932478,   256.073, 1.000000,-0.000041,-0.000095, 0.000078,1
1777905932488,   256.073, 1.000000,-0.000041,-0.000095, 0.000078,1
1777905932504,   256.098, 1.000000,-0.000038,-0.000106, 0.000076,1
1777905932515,   256.098, 1.000000,-0.000038,-0.000106, 0.000076,1
1777905932533,   256.123, 1.000000,-0.000036,-0.000111, 0.000077,1
1777905932543,   256.123, 1.000000,-0.000036,-0.000111, 0.000077,1
1777905932558,   256.153, 1.000000,-0.000041,-0.000109, 0.000080,1
1777905932568,   256.153, 1.000000,-0.000041,-0.000109, 0.000080,1
1777905932584,   256.178, 1.000000,-0.000039,-0.000103, 0.000076,1
1777905932595,   256.178, 1.000000,-0.000039,-0.000103, 0.000076,1
1777905932613,   256.203, 1.000000,-0.000034,-0.000102, 0.000078,1
1777905932623,   256.203, 1.000000,-0.000034,-0.000102, 0.000078,1
1777905932638,   256.233, 1.000000,-0.000035,-0.000103, 0.000080,1
1777905932648,   256.233, 1.000000,-0.000035,-0.000103, 0.000080,1
1777905932664,   256.258, 1.000000,-0.000042,-0.000099, 0.000080,1
1777905932675,   256.258, 1.000000,-0.000042,-0.000099, 0.000080,1
1777905932693,   256.283, 1.000000,-0.000044,-0.000104, 0.000079,1
1777905932703,   256.283, 1.000000,-0.000044,-0.000104, 0.000079,1
1777905932718,   256.313, 1.000000,-0.000045,-0.000107, 0.000079,1
1777905932728,   256.313, 1.000000,-0.000045,-0.000107, 0.000079,1
1777905932744,   256.338, 1.000000,-0.000042,-0.000111, 0.000077,1
1777905932755,   256.338, 1.000000,-0.000042,-0.000111, 0.000077,1
1777905932773,   256.363, 1.000000,-0.000039,-0.000110, 0.000078,1
1777905932783,   256.363, 1.000000,-0.000039,-0.000110, 0.000078,1
1777905932797,   256.388, 1.000000,-0.000041,-0.000113, 0.000076,1
1777905932807,   256.388, 1.000000,-0.000041,-0.000113, 0.000076,1
1777905932824,   256.418, 1.000000,-0.000038,-0.000110, 0.000077,1
1777905932834,   256.418, 1.000000,-0.000038,-0.000110, 0.000077,1
1777905932853,   256.443, 1.000000,-0.000036,-0.000113, 0.000079,1
1777905932863,   256.443, 1.000000,-0.000036,-0.000113, 0.000079,1
1777905932877,   256.468, 1.000000,-0.000039,-0.000121, 0.000079,1
1777905932887,   256.468, 1.000000,-0.000039,-0.000121, 0.000079,1
1777905932904,   256.498, 1.000000,-0.000042,-0.000121, 0.000084,1
1777905932914,   256.498, 1.000000,-0.000042,-0.000121, 0.000084,1
1777905932933,   256.523, 1.000000,-0.000046,-0.000123, 0.000084,1
1777905932943,   256.523, 1.000000,-0.000046,-0.000123, 0.000084,1
1777905932957,   256.548, 1.000000,-0.000047,-0.000123, 0.000085,1
