Time,GPS_ts,fGPS_ts,scaledAccelX,scaledAccelY,scaledAccelZ,deltaVelX,deltaVelY,deltaVelZ,estLinearAccelX,estLinearAccelY,estLinearAccelZ,estLinearAccel:valid,estAngularRateX,estAngularRateY,estAngularRateZ,estAngularRate:valid,flag
1777905931869,   241.413,   241.408,-0.001830,-0.010872,-0.995537,-0.000019,-0.000108,-0.009953, 0.002794,-0.001018, 0.043172,1, 0.000290,-0.000152,-0.000091,1,1
1777905931880,   241.678,   241.673,-0.001951,-0.010810,-0.995787,-0.000020,-0.000112,-0.009960, 0.001475, 0.002797, 0.042255,1, 0.000169, 0.000111, 0.000325,1,1
1777905931893,   255.483,   255.483,-0.001849,-0.010689,-0.996360,-0.000018,-0.000107,-0.009941, 0.003154, 0.000085, 0.035116,1,-0.000018, 0.000663,-0.000134,1,1
1777905931903,   255.483,   255.483,-0.001849,-0.010689,-0.996360,-0.000018,-0.000107,-0.009941, 0.003154, 0.000085, 0.035116,1,-0.000018, 0.000663,-0.000134,1,1
1777905931918,   255.513,   255.508,-0.001932,-0.010099,-0.997330,-0.000023,-0.000100,-0.009998, 0.002228, 0.005855, 0.025604,1,-0.000013, 0.000327,-0.000177,1,1
1777905931928,   255.513,   255.508,-0.001932,-0.010099,-0.997330,-0.000023,-0.000100,-0.009998, 0.002228, 0.005855, 0.025604,1,-0.000013, 0.000327,-0.000177,1,1
1777905931944,   255.538,   255.533,-0.002232,-0.010652,-0.995733,-0.000028,-0.000114,-0.009965, 0.004386, 0.006327, 0.050249,1,-0.000393, 0.000101, 0.000081,1,1
1777905931955,   255.538,   255.533,-0.002232,-0.010652,-0.995733,-0.000028,-0.000114,-0.009965, 0.004386, 0.006327, 0.050249,1,-0.000393, 0.000101, 0.000081,1,1
1777905931973,   255.563,   255.563,-0.002076,-0.011431,-0.995372,-0.000019,-0.000119,-0.009946, 0.000832,-0.007314, 0.044805,1,-0.000159,-0.000396,-0.000022,1,1
1777905931983,   255.563,   255.563,-0.002076,-0.011431,-0.995372,-0.000019,-0.000119,-0.009946, 0.000832,-0.007314, 0.044805,1,-0.000159,-0.000396,-0.000022,1,1
1777905931998,   255.593,   255.588,-0.002256,-0.011032,-0.998227,-0.000022,-0.000110,-0.010007,-0.000786,-0.003400, 0.016804,1,-0.000293,-0.000243,-0.000273,1,1
1777905932008,   255.593,   255.588,-0.002256,-0.011032,-0.998227,-0.000022,-0.000110,-0.010007,-0.000786,-0.003400, 0.016804,1,-0.000293,-0.000243,-0.000273,1,1
1777905932024,   255.618,   255.613,-0.002302,-0.009639,-0.996702,-0.000022,-0.000092,-0.009986,-0.001110, 0.007368, 0.048814,1,-0.000057,-0.000004,-0.000039,1,1
1777905932035,   255.618,   255.613,-0.002302,-0.009639,-0.996702,-0.000022,-0.000092,-0.009986,-0.001110, 0.007368, 0.048814,1,-0.000057,-0.000004,-0.000039,1,1
1777905932053,   255.643,   255.643,-0.002005,-0.009868,-0.994343,-0.000016,-0.000097,-0.009908, 0.001747, 0.007990, 0.054893,1, 0.000396, 0.000172, 0.000298,1,1
1777905932063,   255.643,   255.643,-0.002005,-0.009868,-0.994343,-0.000016,-0.000097,-0.009908, 0.001747, 0.007990, 0.054893,1, 0.000396, 0.000172, 0.000298,1,1
1777905932078,   255.673,   255.668,-0.002282,-0.010896,-0.996574,-0.000024,-0.000110,-0.009969,-0.001050,-0.002064, 0.033018,1, 0.000151, 0.000651, 0.000243,1,1
1777905932088,   255.673,   255.668,-0.002282,-0.010896,-0.996574,-0.000024,-0.000110,-0.009969,-0.001050,-0.002064, 0.033018,1, 0.000151, 0.000651, 0.000243,1,1
1777905932104,   255.698,   255.693,-0.002413,-0.011250,-0.997007,-0.000031,-0.000117,-0.009991, 0.003237,-0.001684, 0.046830,1,-0.000335, 0.000154, 0.000031,1,1
1777905932114,   255.698,   255.693,-0.002413,-0.011250,-0.997007,-0.000031,-0.000117,-0.009991, 0.003237,-0.001684, 0.046830,1,-0.000335, 0.000154, 0.000031,1,1
1777905932133,   255.723,   255.723,-0.002117,-0.010874,-0.995627,-0.000022,-0.000106,-0.009950, 0.000423,-0.001996, 0.042303,1,-0.000281, 0.000042, 0.000265,1,1
1777905932143,   255.723,   255.723,-0.002117,-0.010874,-0.995627,-0.000022,-0.000106,-0.009950, 0.000423,-0.001996, 0.042303,1,-0.000281, 0.000042, 0.000265,1,1
1777905932158,   255.753,   255.748,-0.001902,-0.010681,-0.995965,-0.000017,-0.000105,-0.009953, 0.002504,-0.000146, 0.038990,1, 0.000085, 0.000161, 0.000149,1,1
1777905932168,   255.753,   255.748,-0.001902,-0.010681,-0.995965,-0.000017,-0.000105,-0.009953, 0.002504,-0.000146, 0.038990,1, 0.000085, 0.000161, 0.000149,1,1
1777905932184,   255.778,   255.773,-0.002004,-0.010229,-0.996583,-0.000020,-0.000101,-0.009971, 0.001508, 0.002741, 0.036706,1,-0.000142, 0.000062, 0.000011,1,1
1777905932195,   255.778,   255.773,-0.002004,-0.010229,-0.996583,-0.000020,-0.000101,-0.009971, 0.001508, 0.002741, 0.036706,1,-0.000142, 0.000062, 0.000011,1,1
1777905932213,   255.803,   255.803,-0.002142,-0.010015,-0.995259,-0.000020,-0.000097,-0.009942, 0.000154, 0.006303, 0.045915,1,-0.000099,-0.000157, 0.000255,1,1
1777905932223,   255.803,   255.803,-0.002142,-0.010015,-0.995259,-0.000020,-0.000097,-0.009942, 0.000154, 0.006303, 0.045915,1,-0.000099,-0.000157, 0.000255,1,1
1777905932238,   255.833,   255.828,-0.002213,-0.010839,-0.995355,-0.000021,-0.000113,-0.009947,-0.000497,-0.001840, 0.044976,1,-0.000094,-0.000112,-0.000031,1,1
1777905932248,   255.833,   255.828,-0.002213,-0.010839,-0.995355,-0.000021,-0.000113,-0.009947,-0.000497,-0.001840, 0.044976,1,-0.000094,-0.000112,-0.000031,1,1
1777905932264,   255.858,   255.853,-0.002156,-0.011130,-0.996367,-0.000021,-0.000115,-0.009968,-0.000695,-0.002141, 0.037707,1, 0.000000, 0.000101,-0.000160,1,1
1777905932275,   255.858,   255.853,-0.002156,-0.011130,-0.996367,-0.000021,-0.000115,-0.009968,-0.000695,-0.002141, 0.037707,1, 0.000000, 0.000101,-0.000160,1,1
1777905932293,   255.883,   255.883,-0.002007,-0.011128,-0.995994,-0.000018,-0.000111,-0.009961, 0.001553,-0.004700, 0.038710,1, 0.000212,-0.000286,-0.000036,1,1
1777905932303,   255.883,   255.883,-0.002007,-0.011128,-0.995994,-0.000018,-0.000111,-0.009961, 0.001553,-0.004700, 0.038710,1, 0.000212,-0.000286,-0.000036,1,1
1777905932318,   255.913,   255.908,-0.002052,-0.010431,-0.995715,-0.000021,-0.000103,-0.009957, 0.001189, 0.002191, 0.041440,1, 0.000196,-0.000384,-0.000095,1,1
1777905932328,   255.913,   255.908,-0.002052,-0.010431,-0.995715,-0.000021,-0.000103,-0.009957, 0.001189, 0.002191, 0.041440,1, 0.000196,-0.000384,-0.000095,1,1
1777905932344,   255.938,   255.933,-0.002205,-0.010223,-0.995820,-0.000020,-0.000102,-0.009955,-0.001953, 0.004133, 0.037655,1, 0.000362,-0.000025, 0.000022,1,1
1777905932354,   255.938,   255.933,-0.002205,-0.010223,-0.995820,-0.000020,-0.000102,-0.009955,-0.001953, 0.004133, 0.037655,1, 0.000362,-0.000025, 0.000022,1,1
1777905932373,   255.963,   255.963,-0.002207,-0.010568,-0.996346,-0.000023,-0.000111,-0.009969,-0.000241, 0.000994, 0.035253,1, 0.000010,-0.000210,-0.000087,1,1
1777905932383,   255.963,   255.963,-0.002207,-0.010568,-0.996346,-0.000023,-0.000111,-0.009969,-0.000241, 0.000994, 0.035253,1, 0.000010,-0.000210,-0.000087,1,1
1777905932398,   255.993,   255.988,-0.002131,-0.010835,-0.995508,-0.000021,-0.000108,-0.009951, 0.000500,-0.001672, 0.043469,1,-0.000415, 0.000036, 0.000169,1,1
1777905932408,   255.993,   255.988,-0.002131,-0.010835,-0.995508,-0.000021,-0.000108,-0.009951, 0.000500,-0.001672, 0.043469,1,-0.000415, 0.000036, 0.000169,1,1
1777905932424,   256.018,   256.013,-0.001847,-0.011028,-0.995606,-0.000016,-0.000107,-0.009955, 0.001464,-0.006128, 0.040196,1,-0.000663,-0.000155, 0.000034,1,1
1777905932435,   256.018,   256.013,-0.001847,-0.011028,-0.995606,-0.000016,-0.000107,-0.009955, 0.001464,-0.006128, 0.040196,1,-0.000663,-0.000155, 0.000034,1,1
1777905932453,   256.043,   256.043,-0.001892,-0.010747,-0.995625,-0.000020,-0.000106,-0.009956, 0.002878,-0.001036, 0.042325,1,-0.000330,-0.000361, 0.000224,1,1
1777905932463,   256.043,   256.043,-0.001892,-0.010747,-0.995625,-0.000020,-0.000106,-0.009956, 0.002878,-0.001036, 0.042325,1,-0.000330,-0.000361, 0.000224,1,1
1777905932478,   256.073,   256.068,-0.001875,-0.010304,-0.995941,-0.000018,-0.000102,-0.009961, 0.003182, 0.003240, 0.039224,1,-0.000212,-0.000360,-0.000094,1,1
1777905932488,   256.073,   256.068,-0.001875,-0.010304,-0.995941,-0.000018,-0.000102,-0.009961, 0.003182, 0.003240, 0.039224,1,-0.000212,-0.000360,-0.000094,1,1
