Time,fGPS_ts,estOrientQuaternion[0],estOrientQuaternion[1],estOrientQuaternion[2],estOrientQuaternion[3],estOrientQuaternion:valid,flag
1777934855994,  3993.452, 0.999944, 0.003631,-0.009904,-0.000569,1,0
1777934856004,  3993.702, 0.999944, 0.003610,-0.009916,-0.000636,1,0
1777934856015,  4002.942, 0.999938, 0.003344,-0.009381,-0.004900,1,0
1777934856025,  4002.942, 0.999938, 0.003344,-0.009381,-0.004900,1,0
1777934856037,  4002.962, 0.999939, 0.003335,-0.009368,-0.004876,1,0
1777934856047,  4002.962, 0.999939, 0.003335,-0.009368,-0.004876,1,0
1777934856065,  4002.992, 0.999939, 0.003330,-0.009359,-0.004883,1,0
1777934856075,  4002.992, 0.999939, 0.003330,-0.009359,-0.004883,1,0
1777934856087,  4003.012, 0.999939, 0.003340,-0.009371,-0.004888,1,0
1777934856097,  4003.012, 0.999939, 0.003340,-0.009371,-0.004888,1,0
1777934856114,  4003.042, 0.999939, 0.003359,-0.009370,-0.004850,1,0
1777934856124,  4003.042, 0.999939, 0.003359,-0.009370,-0.004850,1,0
1777934856136,  4003.062, 0.999939, 0.003352,-0.009367,-0.004862,1,0
1777934856146,  4003.062, 0.999939, 0.003352,-0.009367,-0.004862,1,0
1777934856160,  4003.087, 0.999938, 0.003365,-0.009360,-0.004947,1,0
1777934856170,  4003.087, 0.999938, 0.003365,-0.009360,-0.004947,1,0
1777934856186,  4003.112, 0.999938, 0.003358,-0.009364,-0.005011,1,0
1777934856196,  4003.112, 0.999938, 0.003358,-0.009364,-0.005011,1,0
1777934856209,  4003.137, 0.999937, 0.003427,-0.009376,-0.005066,1,0
1777934856219,  4003.137, 0.999937, 0.003427,-0.009376,-0.005066,1,0
1777934856235,  4003.162, 0.999937, 0.003437,-0.009367,-0.005072,1,0
1777934856245,  4003.162, 0.999937, 0.003437,-0.009367,-0.005072,1,0
1777934856257,  4003.182, 0.999937, 0.003430,-0.009379,-0.005065,1,0
1777934856267,  4003.182, 0.999937, 0.003430,-0.009379,-0.005065,1,0
1777934856285,  4003.212, 0.999937, 0.003447,-0.009375,-0.005055,1,0
1777934856295,  4003.212, 0.999937, 0.003447,-0.009375,-0.005055,1,0
1777934856307,  4003.232, 0.999937, 0.003453,-0.009375,-0.005052,1,0
1777934856317,  4003.232, 0.999937, 0.003453,-0.009375,-0.005052,1,0
1777934856335,  4003.262, 0.999937, 0.003452,-0.009378,-0.005045,1,0
1777934856345,  4003.262, 0.999937, 0.003452,-0.009378,-0.005045,1,0
1777934856357,  4003.282, 0.999937, 0.003452,-0.009374,-0.005038,1,0
1777934856367,  4003.282, 0.999937, 0.003452,-0.009374,-0.005038,1,0
1777934856384,  4003.312, 0.999937, 0.003448,-0.009373,-0.005052,1,0
1777934856394,  4003.312, 0.999937, 0.003448,-0.009373,-0.005052,1,0
1777934856406,  4003.332, 0.999937, 0.003400,-0.009396,-0.005066,1,0
1777934856416,  4003.332, 0.999937, 0.003400,-0.009396,-0.005066,1,0
1777934856430,  4003.357, 0.999937, 0.003392,-0.009401,-0.005091,1,0
1777934856440,  4003.357, 0.999937, 0.003392,-0.009401,-0.005091,1,0
1777934856456,  4003.382, 0.999937, 0.003389,-0.009398,-0.005107,1,0
1777934856466,  4003.382, 0.999937, 0.003389,-0.009398,-0.005107,1,0
1777934856479,  4003.407, 0.999937, 0.003385,-0.009400,-0.005126,1,0
1777934856489,  4003.407, 0.999937, 0.003385,-0.009400,-0.005126,1,0
1777934856505,  4003.432, 0.999937, 0.003386,-0.009402,-0.005133,1,0
1777934856515,  4003.432, 0.999937, 0.003386,-0.009402,-0.005133,1,0
1777934856527,  4003.452, 0.999937, 0.003386,-0.009401,-0.005137,1,0
1777934856537,  4003.452, 0.999937, 0.003386,-0.009401,-0.005137,1,0
1777934856555,  4003.482, 0.999937, 0.003387,-0.009402,-0.005145,1,0
1777934856565,  4003.482, 0.999937, 0.003387,-0.009402,-0.005145,1,0
1777934856577,  4003.502, 0.999937, 0.003385,-0.009405,-0.005150,1,0
1777934856587,  4003.502, 0.999937, 0.003385,-0.009405,-0.005150,1,0
1777934856605,  4003.532, 0.999937, 0.003377,-0.009408,-0.005156,1,0
1777934856615,  4003.532, 0.999937, 0.003377,-0.009408,-0.005156,1,0
1777934856627,  4003.552, 0.999937, 0.003374,-0.009408,-0.005158,1,0
1777934856637,  4003.552, 0.999937, 0.003374,-0.009408,-0.005158,1,0
1777934856654,  4003.582, 0.999937, 0.003379,-0.009398,-0.005158,1,0
1777934856664,  4003.582, 0.999937, 0.003379,-0.009398,-0.005158,1,0
1777934856676,  4003.602, 0.999937, 0.003381,-0.009400,-0.005155,1,0
1777934856686,  4003.602, 0.999937, 0.003381,-0.009400,-0.005155,1,0
1777934856700,  4003.627, 0.999937, 0.003386,-0.009396,-0.005156,1,0
1777934856710,  4003.627, 0.999937, 0.003386,-0.009396,-0.005156,1,0
1777934856726,  4003.652, 0.999937, 0.003389,-0.009392,-0.005164,1,0
1777934856736,  4003.652, 0.999937, 0.003389,-0.009392,-0.005164,1,0
1777934856749,  4003.677, 0.999937, 0.003385,-0.009388,-0.005167,1,0
1777934856759,  4003.677, 0.999937, 0.003385,-0.009388,-0.005167,1,0
1777934856775,  4003.702, 0.999937, 0.003388,-0.009387,-0.005178,1,0
1777934856786,  4003.702, 0.999937, 0.003388,-0.009387,-0.005178,1,0
1777934856797,  4003.722, 0.999937, 0.003390,-0.009379,-0.005187,1,0
1777934856808,  4003.722, 0.999937, 0.003390,-0.009379,-0.005187,1,0
1777934856825,  4003.752, 0.999937, 0.003391,-0.009377,-0.005206,1,0
1777934856835,  4003.752, 0.999937, 0.003391,-0.009377,-0.005206,1,0
1777934856847,  4003.772, 0.999937, 0.003396,-0.009375,-0.005214,1,0
1777934856857,  4003.772, 0.999937, 0.003396,-0.009375,-0.005214,1,0
1777934856875,  4003.802, 0.999937, 0.003399,-0.009374,-0.005228,1,0
1777934856885,  4003.802, 0.999937, 0.003399,-0.009374,-0.005228,1,0
1777934856897,  4003.822, 0.999937, 0.003396,-0.009372,-0.005235,1,0
1777934856907,  4003.822, 0.999937, 0.003396,-0.009372,-0.005235,1,0
1777934856924,  4003.852, 0.999937, 0.003393,-0.009376,-0.005241,1,0
1777934856934,  4003.852, 0.999937, 0.003393,-0.009376,-0.005241,1,0
1777934856946,  4003.872, 0.999937, 0.003391,-0.009373,-0.005247,1,0
1777934856956,  4003.872, 0.999937, 0.003391,-0.009373,-0.005247,1,0
1777934856970,  4003.897, 0.999937, 0.003394,-0.009370,-0.005254,1,0
1777934856980,  4003.897, 0.999937, 0.003394,-0.009370,-0.005254,1,0
1777934856996,  4003.922, 0.999937, 0.003382,-0.009376,-0.005257,1,0
1777934857006,  4003.922, 0.999937, 0.003382,-0.009376,-0.005257,1,0
1777934857019,  4003.947, 0.999937, 0.003381,-0.009375,-0.005261,1,0
1777934857029,  4003.947, 0.999937, 0.003381,-0.009375,-0.005261,1,0
1777934857045,  4003.972, 0.999936, 0.003383,-0.009380,-0.005267,1,0
1777934857056,  4003.972, 0.999936, 0.003383,-0.009380,-0.005267,1,0
1777934857067,  4003.992, 0.999936, 0.003380,-0.009377,-0.005274,1,0
1777934857078,  4003.992, 0.999936, 0.003380,-0.009377,-0.005274,1,0
1777934857095,  4004.022, 0.999936, 0.003386,-0.009374,-0.005285,1,0
1777934857105,  4004.022, 0.999936, 0.003386,-0.009374,-0.005285,1,0
1777934857117,  4004.042, 0.999936, 0.003389,-0.009376,-0.005293,1,0
1777934857127,  4004.042, 0.999936, 0.003389,-0.009376,-0.005293,1,0
1777934857145,  4004.072, 0.999936, 0.003380,-0.009377,-0.005307,1,0
1777934857155,  4004.072, 0.999936, 0.003380,-0.009377,-0.005307,1,0
1777934857167,  4004.092, 0.999936, 0.003377,-0.009379,-0.005317,1,0
1777934857177,  4004.092, 0.999936, 0.003377,-0.009379,-0.005317,1,0
1777934857194,  4004.122, 0.999936, 0.003380,-0.009384,-0.005322,1,0
1777934857204,  4004.122, 0.999936, 0.003380,-0.009384,-0.005322,1,0
1777934857216,  4004.142, 0.999936, 0.003380,-0.009380,-0.005324,1,0
1777934857226,  4004.142, 0.999936, 0.003380,-0.009380,-0.005324,1,0
1777934857240,  4004.167, 0.999936, 0.003379,-0.009380,-0.005321,1,0
1777934857250,  4004.167, 0.999936, 0.003379,-0.009380,-0.005321,1,0
1777934857266,  4004.192, 0.999936, 0.003379,-0.009377,-0.005323,1,0
1777934857276,  4004.192, 0.999936, 0.003379,-0.009377,-0.005323,1,0
1777934857289,  4004.217, 0.999936, 0.003373,-0.009372,-0.005332,1,0
1777934857299,  4004.217, 0.999936, 0.003373,-0.009372,-0.005332,1,0
1777934857316,  4004.242, 0.999936, 0.003370,-0.009366,-0.005337,1,0
1777934857326,  4004.242, 0.999936, 0.003370,-0.009366,-0.005337,1,0
1777934857338,  4004.262, 0.999936, 0.003369,-0.009365,-0.005344,1,0
1777934857348,  4004.262, 0.999936, 0.003369,-0.009365,-0.005344,1,0
1777934857365,  4004.292, 0.999936, 0.003377,-0.009364,-0.005349,1,0
1777934857375,  4004.292, 0.999936, 0.003377,-0.009364,-0.005349,1,0
1777934857387,  4004.312, 0.999936, 0.003381,-0.009365,-0.005352,1,0
1777934857397,  4004.312, 0.999936, 0.003381,-0.009365,-0.005352,1,0
1777934857415,  4004.342, 0.999936, 0.003368,-0.009362,-0.005357,1,0
1777934857425,  4004.342, 0.999936, 0.003368,-0.009362,-0.005357,1,0
1777934857437,  4004.362, 0.999936, 0.003368,-0.009364,-0.005364,1,0
1777934857447,  4004.362, 0.999936, 0.003368,-0.009364,-0.005364,1,0
1777934857464,  4004.392, 0.999936, 0.003364,-0.009367,-0.005369,1,0
1777934857474,  4004.392, 0.999936, 0.003364,-0.009367,-0.005369,1,0
1777934857486,  4004.412, 0.999936, 0.003361,-0.009367,-0.005374,1,0
1777934857496,  4004.412, 0.999936, 0.003361,-0.009367,-0.005374,1,0
1777934857510,  4004.437, 0.999936, 0.003368,-0.009364,-0.005379,1,0
1777934857520,  4004.437, 0.999936, 0.003368,-0.009364,-0.005379,1,0
1777934857536,  4004.462, 0.999936, 0.003364,-0.009363,-0.005389,1,0
1777934857546,  4004.462, 0.999936, 0.003364,-0.009363,-0.005389,1,0
1777934857559,  4004.487, 0.999936, 0.003365,-0.009371,-0.005394,1,0
1777934857570,  4004.487, 0.999936, 0.003365,-0.009371,-0.005394,1,0
1777934857586,  4004.512, 0.999936, 0.003368,-0.009371,-0.005401,1,0
1777934857596,  4004.512, 0.999936, 0.003368,-0.009371,-0.005401,1,0
1777934857608,  4004.532, 0.999936, 0.003364,-0.009376,-0.005406,1,0
1777934857618,  4004.532, 0.999936, 0.003364,-0.009376,-0.005406,1,0
1777934857635,  4004.562, 0.999936, 0.003363,-0.009375,-0.005411,1,0
1777934857645,  4004.562, 0.999936, 0.003363,-0.009375,-0.005411,1,0
1777934857657,  4004.582, 0.999936, 0.003367,-0.009377,-0.005415,1,0
1777934857667,  4004.582, 0.999936, 0.003367,-0.009377,-0.005415,1,0
1777934857685,  4004.612, 0.999936, 0.003363,-0.009374,-0.005423,1,0
1777934857695,  4004.612, 0.999936, 0.003363,-0.009374,-0.005423,1,0
1777934857707,  4004.632, 0.999936, 0.003363,-0.009371,-0.005428,1,0
1777934857717,  4004.632, 0.999936, 0.003363,-0.009371,-0.005428,1,0
1777934857734,  4004.662, 0.999936, 0.003364,-0.009366,-0.005438,1,0
1777934857745,  4004.662, 0.999936, 0.003364,-0.009366,-0.005438,1,0
1777934857756,  4004.682, 0.999936, 0.003366,-0.009373,-0.005445,1,0
