Time,GPS_ts,fGPS_ts,scaledAccelX,scaledAccelY,scaledAccelZ,deltaVelX,deltaVelY,deltaVelZ,estLinearAccelX,estLinearAccelY,estLinearAccelZ,estLinearAccel:valid,estAngularRateX,estAngularRateY,estAngularRateZ,estAngularRate:valid,estGravityX,estGravityY,estGravityZ,estGravity:valid,flag
1777934855994,  3993.457,  3993.452,-0.019882,-0.009074,-0.995264,-0.000198,-0.000091,-0.009955, 0.005216,-0.021103, 0.053936,1, 0.000581, 0.000203,-0.001441,1, 0.194202, 0.071316, 9.804467,1,0
1777934856004,  3993.702,  3993.702,-0.018058,-0.006749,-0.995467,-0.000179,-0.000066,-0.009956, 0.017321, 0.004744, 0.042266,1, 0.000100,-0.000398,-0.000008,1, 0.194426, 0.070929, 9.804466,1,0
1777934856015,  4002.942,  4002.942,-0.018058,-0.006749,-0.995467,-0.000179,-0.000066,-0.009956,-0.112821,-0.104284, 0.024341,1, 0.002611,-0.002714, 0.004087,1, 0.183654, 0.066487, 9.804705,1,0
1777934856025,  4002.942,  4002.942,-0.018058,-0.006749,-0.995467,-0.000179,-0.000066,-0.009956,-0.112821,-0.104284, 0.024341,1, 0.002611,-0.002714, 0.004087,1, 0.183654, 0.066487, 9.804705,1,0
1777934856037,  4002.967,  4002.962,-0.024363,-0.013351,-0.993047,-0.000247,-0.000131,-0.009933,-0.074971,-0.101593, 0.059999,1,-0.000788, 0.001430, 0.001404,1, 0.183401, 0.066296, 9.804710,1,0
1777934856047,  4002.967,  4002.962,-0.024363,-0.013351,-0.993047,-0.000247,-0.000131,-0.009933,-0.074971,-0.101593, 0.059999,1,-0.000788, 0.001430, 0.001404,1, 0.183401, 0.066296, 9.804710,1,0
1777934856065,  4002.992,  4002.992,-0.013352,-0.007179,-0.998551,-0.000139,-0.000084,-0.009994, 0.052372,-0.004119, 0.012271,1,-0.002328, 0.002343,-0.001603,1, 0.183233, 0.066208, 9.804714,1,0
1777934856075,  4002.992,  4002.992,-0.013352,-0.007179,-0.998551,-0.000139,-0.000084,-0.009994, 0.052372,-0.004119, 0.012271,1,-0.002328, 0.002343,-0.001603,1, 0.183233, 0.066208, 9.804714,1,0
1777934856087,  4003.017,  4003.012,-0.000556, 0.000689,-0.996660,-0.000006, 0.000040,-0.009957, 0.137467, 0.121679, 0.052497,1, 0.002539, 0.000054, 0.000686,1, 0.183462, 0.066412, 9.804708,1,0
1777934856097,  4003.017,  4003.012,-0.000556, 0.000689,-0.996660,-0.000006, 0.000040,-0.009957, 0.137467, 0.121679, 0.052497,1, 0.002539, 0.000054, 0.000686,1, 0.183462, 0.066412, 9.804708,1,0
