Time,fGPS_ts,estOrientQuaternion[0],estOrientQuaternion[1],estOrientQuaternion[2],estOrientQuaternion[3],estOrientQuaternion:valid,flag
1777933975279,  3112.866, 0.999989, 0.001475,-0.004407, 0.000013,1,0
1777933975290,  3113.116, 0.999989, 0.001456,-0.004420, 0.000001,1,0
1777933975301,  3122.216, 0.999989, 0.001400,-0.004452,-0.000005,1,0
1777933975311,  3122.216, 0.999989, 0.001400,-0.004452,-0.000005,1,0
1777933975323,  3122.236, 0.999989, 0.001404,-0.004451,-0.000004,1,0
1777933975333,  3122.236, 0.999989, 0.001404,-0.004451,-0.000004,1,0
1777933975350,  3122.266, 0.999989, 0.001406,-0.004448,-0.000001,1,0
1777933975360,  3122.266, 0.999989, 0.001406,-0.004448,-0.000001,1,0
1777933975372,  3122.286, 0.999989, 0.001405,-0.004450,-0.000000,1,0
1777933975382,  3122.286, 0.999989, 0.001405,-0.004450,-0.000000,1,0
1777933975400,  3122.316, 0.999989, 0.001405,-0.004453, 0.000003,1,0
1777933975410,  3122.316, 0.999989, 0.001405,-0.004453, 0.000003,1,0
1777933975422,  3122.336, 0.999989, 0.001408,-0.004451, 0.000003,1,0
1777933975432,  3122.336, 0.999989, 0.001408,-0.004451, 0.000003,1,0
1777933975449,  3122.366, 0.999989, 0.001414,-0.004449, 0.000004,1,0
1777933975459,  3122.366, 0.999989, 0.001414,-0.004449, 0.000004,1,0
1777933975471,  3122.386, 0.999989, 0.001410,-0.004453, 0.000003,1,0
1777933975481,  3122.386, 0.999989, 0.001410,-0.004453, 0.000003,1,0
1777933975495,  3122.411, 0.999989, 0.001414,-0.004455, 0.000002,1,0
1777933975505,  3122.411, 0.999989, 0.001414,-0.004455, 0.000002,1,0
1777933975521,  3122.436, 0.999989, 0.001420,-0.004457, 0.000001,1,0
1777933975531,  3122.436, 0.999989, 0.001420,-0.004457, 0.000001,1,0
1777933975544,  3122.461, 0.999989, 0.001426,-0.004457, 0.000004,1,0
1777933975554,  3122.461, 0.999989, 0.001426,-0.004457, 0.000004,1,0
