Time,GPS_ts,orientQuaternion[0],orientQuaternion[1],orientQuaternion[2],orientQuaternion[3],flag
1777933975279,  3112.871, 0.260367, 0.004486, 0.000331, 0.965499,0
1777933975290,  3113.116, 0.254444, 0.004493, 0.000349, 0.967077,0
1777933975301,  3122.216, 0.254444, 0.004493, 0.000349, 0.967077,0
1777933975311,  3122.216, 0.254444, 0.004493, 0.000349, 0.967077,0
1777933975323,  3122.241, 0.250119, 0.004564, 0.000249, 0.968204,0
1777933975333,  3122.241, 0.250119, 0.004564, 0.000249, 0.968204,0
1777933975350,  3122.266, 0.278242, 0.004567, 0.000118, 0.960500,0
1777933975360,  3122.266, 0.278242, 0.004567, 0.000118, 0.960500,0
1777933975372,  3122.291, 0.267087, 0.004571, 0.000171, 0.963662,0
1777933975382,  3122.291, 0.267087, 0.004571, 0.000171, 0.963662,0
1777933975400,  3122.316, 0.264937, 0.004569, 0.000178, 0.964255,0
1777933975410,  3122.316, 0.264937, 0.004569, 0.000178, 0.964255,0
1777933975422,  3122.341, 0.267291, 0.004571, 0.000169, 0.963605,0
1777933975432,  3122.341, 0.267291, 0.004571, 0.000169, 0.963605,0
1777933975449,  3122.366, 0.265987, 0.004571, 0.000180, 0.963966,0
1777933975459,  3122.366, 0.265987, 0.004571, 0.000180, 0.963966,0
1777933975471,  3122.391, 0.263624, 0.004571, 0.000186, 0.964615,0
1777933975481,  3122.391, 0.263624, 0.004571, 0.000186, 0.964615,0
1777933975495,  3122.416, 0.270158, 0.004577, 0.000159, 0.962805,0
1777933975505,  3122.416, 0.270158, 0.004577, 0.000159, 0.962805,0
1777933975521,  3122.441, 0.265197, 0.004582, 0.000188, 0.964183,0
1777933975531,  3122.441, 0.265197, 0.004582, 0.000188, 0.964183,0
1777933975544,  3122.461, 0.257514, 0.004580, 0.000229, 0.966264,0
1777933975554,  3122.461, 0.257514, 0.004580, 0.000229, 0.966264,0
1777933975571,  3122.486, 0.260853, 0.004585, 0.000214, 0.965368,0
1777933975581,  3122.486, 0.260853, 0.004585, 0.000214, 0.965368,0
1777933975593,  3122.511, 0.264373, 0.004585, 0.000202, 0.964410,0
1777933975603,  3122.511, 0.264373, 0.004585, 0.000202, 0.964410,0
1777933975620,  3122.536, 0.259663, 0.004584, 0.000225, 0.965688,0
1777933975630,  3122.536, 0.259663, 0.004584, 0.000225, 0.965688,0
1777933975642,  3122.561, 0.268060, 0.004591, 0.000183, 0.963391,0
1777933975652,  3122.561, 0.268060, 0.004591, 0.000183, 0.963391,0
