Time,GPS_ts,fGPS_ts,scaledAccelX,scaledAccelY,scaledAccelZ,deltaVelX,deltaVelY,deltaVelZ,estLinearAccelX,estLinearAccelY,estLinearAccelZ,estLinearAccel:valid,estAngularRateX,estAngularRateY,estAngularRateZ,estAngularRate:valid,estGravityX,estGravityY,estGravityZ,estGravity:valid,flag
1777933975279,  3112.871,  3112.866,-0.007717,-0.003906,-0.996715,-0.000077,-0.000037,-0.009962, 0.016687,-0.010510, 0.037916,1, 0.000193,-0.000186,-0.000252,1, 0.086435, 0.028938, 9.806227,1,0
1777933975290,  3113.116,  3113.116,-0.007805,-0.003693,-0.995622,-0.000079,-0.000039,-0.009954, 0.010119,-0.007647, 0.042508,1,-0.000562,-0.000685,-0.000208,1, 0.086681, 0.028547, 9.806226,1,0
1777933975301,  3122.216,  3122.216,-0.007805,-0.003693,-0.995622,-0.000079,-0.000039,-0.009954,-0.002916,-0.007023, 0.040191,1, 0.000718, 0.000537,-0.000295,1, 0.087309, 0.027458, 9.806223,1,0
1777933975311,  3122.216,  3122.216,-0.007805,-0.003693,-0.995622,-0.000079,-0.000039,-0.009954,-0.002916,-0.007023, 0.040191,1, 0.000718, 0.000537,-0.000295,1, 0.087309, 0.027458, 9.806223,1,0
1777933975323,  3122.241,  3122.236,-0.008023,-0.002731,-0.996174,-0.000080,-0.000029,-0.009960, 0.004295,-0.001459, 0.044417,1, 0.000659,-0.000023, 0.000375,1, 0.087294, 0.027540, 9.806223,1,0
1777933975333,  3122.241,  3122.236,-0.008023,-0.002731,-0.996174,-0.000080,-0.000029,-0.009960, 0.004295,-0.001459, 0.044417,1, 0.000659,-0.000023, 0.000375,1, 0.087294, 0.027540, 9.806223,1,0
1777933975350,  3122.266,  3122.266,-0.008472,-0.002578,-0.996774,-0.000084,-0.000024,-0.009971, 0.004177, 0.002294, 0.031212,1, 0.000141, 0.000658, 0.000455,1, 0.087235, 0.027583, 9.806223,1,0
1777933975360,  3122.266,  3122.266,-0.008472,-0.002578,-0.996774,-0.000084,-0.000024,-0.009971, 0.004177, 0.002294, 0.031212,1, 0.000141, 0.000658, 0.000455,1, 0.087235, 0.027583, 9.806223,1,0
1777933975372,  3122.291,  3122.286,-0.009411,-0.003193,-0.995330,-0.000091,-0.000034,-0.009955,-0.002808,-0.008063, 0.045861,1,-0.000177,-0.000627, 0.000229,1, 0.087280, 0.027558, 9.806223,1,0
1777933975382,  3122.291,  3122.286,-0.009411,-0.003193,-0.995330,-0.000091,-0.000034,-0.009955,-0.002808,-0.008063, 0.045861,1,-0.000177,-0.000627, 0.000229,1, 0.087280, 0.027558, 9.806223,1,0
1777933975400,  3122.316,  3122.316,-0.008500,-0.003414,-0.995660,-0.000086,-0.000036,-0.009956, 0.003990,-0.005919, 0.042134,1,-0.000345, 0.000552, 0.000261,1, 0.087332, 0.027546, 9.806223,1,0
1777933975410,  3122.316,  3122.316,-0.008500,-0.003414,-0.995660,-0.000086,-0.000036,-0.009956, 0.003990,-0.005919, 0.042134,1,-0.000345, 0.000552, 0.000261,1, 0.087332, 0.027546, 9.806223,1,0
1777933975422,  3122.341,  3122.336,-0.008971,-0.002145,-0.996226,-0.000087,-0.000024,-0.009960, 0.004758, 0.003172, 0.037046,1, 0.000171,-0.000096, 0.000188,1, 0.087291, 0.027619, 9.806223,1,0
1777933975432,  3122.341,  3122.336,-0.008971,-0.002145,-0.996226,-0.000087,-0.000024,-0.009960, 0.004758, 0.003172, 0.037046,1, 0.000171,-0.000096, 0.000188,1, 0.087291, 0.027619, 9.806223,1,0
1777933975449,  3122.366,  3122.366,-0.008366,-0.002152,-0.997061,-0.000085,-0.000022,-0.009970, 0.005221, 0.006615, 0.028397,1, 0.000234, 0.000099, 0.000150,1, 0.087264, 0.027725, 9.806223,1,0
1777933975459,  3122.366,  3122.366,-0.008366,-0.002152,-0.997061,-0.000085,-0.000022,-0.009970, 0.005221, 0.006615, 0.028397,1, 0.000234, 0.000099, 0.000150,1, 0.087264, 0.027725, 9.806223,1,0
1777933975471,  3122.391,  3122.386,-0.009013,-0.003961,-0.996017,-0.000093,-0.000041,-0.009954,-0.000842,-0.002172, 0.044294,1,-0.000120,-0.000821,-0.000222,1, 0.087333, 0.027650, 9.806222,1,0
1777933975481,  3122.391,  3122.386,-0.009013,-0.003961,-0.996017,-0.000093,-0.000041,-0.009954,-0.000842,-0.002172, 0.044294,1,-0.000120,-0.000821,-0.000222,1, 0.087333, 0.027650, 9.806222,1,0
1777933975495,  3122.416,  3122.411,-0.008771,-0.003163,-0.995466,-0.000088,-0.000035,-0.009957, 0.001349,-0.003301, 0.044029,1, 0.000629,-0.000097,-0.000032,1, 0.087367, 0.027737, 9.806222,1,0
1777933975505,  3122.416,  3122.411,-0.008771,-0.003163,-0.995466,-0.000088,-0.000035,-0.009957, 0.001349,-0.003301, 0.044029,1, 0.000629,-0.000097,-0.000032,1, 0.087367, 0.027737, 9.806222,1,0
1777933975521,  3122.441,  3122.436,-0.008218,-0.002035,-0.996268,-0.000083,-0.000022,-0.009962, 0.000639, 0.013937, 0.034110,1, 0.000322,-0.000140, 0.000226,1, 0.087419, 0.027857, 9.806221,1,0
1777933975531,  3122.441,  3122.436,-0.008218,-0.002035,-0.996268,-0.000083,-0.000022,-0.009962, 0.000639, 0.013937, 0.034110,1, 0.000322,-0.000140, 0.000226,1, 0.087419, 0.027857, 9.806221,1,0
1777933975544,  3122.461,  3122.461,-0.008715,-0.001965,-0.996170,-0.000091,-0.000021,-0.009956, 0.001966, 0.008671, 0.037133,1, 0.000596, 0.000328,-0.000051,1, 0.087417, 0.027962, 9.806220,1,0
