Time,fGPS_ts,estOrientQuaternion[0],estOrientQuaternion[1],estOrientQuaternion[2],estOrientQuaternion[3],estOrientQuaternion:valid,flag
1777934559477,  3697.473, 0.999967, 0.000916,-0.008088,-0.000180,1,0
1777934559488,  3697.723, 0.999967, 0.000925,-0.008114,-0.000218,1,0
1777934559499,  3706.423, 0.999961, 0.000977,-0.008259, 0.002994,1,0
1777934559509,  3706.423, 0.999961, 0.000977,-0.008259, 0.002994,1,0
1777934559522,  3706.448, 0.999961, 0.000969,-0.008260, 0.002989,1,0
1777934559532,  3706.448, 0.999961, 0.000969,-0.008260, 0.002989,1,0
1777934559548,  3706.473, 0.999961, 0.000975,-0.008255, 0.002978,1,0
1777934559559,  3706.473, 0.999961, 0.000975,-0.008255, 0.002978,1,0
1777934559572,  3706.498, 0.999961, 0.000978,-0.008251, 0.002971,1,0
1777934559582,  3706.498, 0.999961, 0.000978,-0.008251, 0.002971,1,0
1777934559598,  3706.523, 0.999961, 0.000973,-0.008257, 0.002966,1,0
1777934559608,  3706.523, 0.999961, 0.000973,-0.008257, 0.002966,1,0
1777934559620,  3706.543, 0.999961, 0.000968,-0.008256, 0.002964,1,0
1777934559630,  3706.543, 0.999961, 0.000968,-0.008256, 0.002964,1,0
1777934559648,  3706.573, 0.999961, 0.000964,-0.008261, 0.002966,1,0
1777934559658,  3706.573, 0.999961, 0.000964,-0.008261, 0.002966,1,0
1777934559670,  3706.593, 0.999961, 0.000965,-0.008262, 0.002965,1,0
1777934559681,  3706.593, 0.999961, 0.000965,-0.008262, 0.002965,1,0
1777934559697,  3706.623, 0.999961, 0.000968,-0.008261, 0.002956,1,0
1777934559708,  3706.623, 0.999961, 0.000968,-0.008261, 0.002956,1,0
1777934559719,  3706.643, 0.999961, 0.000970,-0.008262, 0.002956,1,0
1777934559729,  3706.643, 0.999961, 0.000970,-0.008262, 0.002956,1,0
1777934559747,  3706.673, 0.999961, 0.000969,-0.008260, 0.002952,1,0
1777934559757,  3706.673, 0.999961, 0.000969,-0.008260, 0.002952,1,0
1777934559769,  3706.693, 0.999961, 0.000968,-0.008257, 0.002947,1,0
1777934559779,  3706.693, 0.999961, 0.000968,-0.008257, 0.002947,1,0
