Time,GPS_ts,orientQuaternion[0],orientQuaternion[1],orientQuaternion[2],orientQuaternion[3],flag
1777934559477,  3697.478, 0.839252,-0.004677,-0.007384,-0.543672,0
1777934559488,  3697.723, 0.841110,-0.004633,-0.007396,-0.540794,0
1777934559499,  3706.428, 0.841114,-0.003988,-0.007480,-0.540791,0
1777934559509,  3706.428, 0.841114,-0.003988,-0.007480,-0.540791,0
1777934559522,  3706.453, 0.837958,-0.004037,-0.007455,-0.545670,0
1777934559532,  3706.453, 0.837958,-0.004037,-0.007455,-0.545670,0
1777934559548,  3706.478, 0.842597,-0.003959,-0.007485,-0.538479,0
1777934559559,  3706.478, 0.842597,-0.003959,-0.007485,-0.538479,0
1777934559572,  3706.498, 0.839914,-0.003994,-0.007465,-0.542653,0
1777934559582,  3706.498, 0.839914,-0.003994,-0.007465,-0.542653,0
1777934559598,  3706.523, 0.839995,-0.004001,-0.007467,-0.542527,0
1777934559608,  3706.523, 0.839995,-0.004001,-0.007467,-0.542527,0
1777934559620,  3706.548, 0.838824,-0.004019,-0.007461,-0.544336,0
1777934559630,  3706.548, 0.838824,-0.004019,-0.007461,-0.544336,0
1777934559648,  3706.573, 0.839859,-0.004007,-0.007468,-0.542739,0
1777934559658,  3706.573, 0.839859,-0.004007,-0.007468,-0.542739,0
1777934559670,  3706.598, 0.837758,-0.004032,-0.007457,-0.545975,0
1777934559681,  3706.598, 0.837758,-0.004032,-0.007457,-0.545975,0
1777934559697,  3706.623, 0.839438,-0.004008,-0.007467,-0.543390,0
1777934559708,  3706.623, 0.839438,-0.004008,-0.007467,-0.543390,0
1777934559719,  3706.648, 0.839025,-0.004011,-0.007466,-0.544027,0
1777934559729,  3706.648, 0.839025,-0.004011,-0.007466,-0.544027,0
1777934559747,  3706.673, 0.841495,-0.003977,-0.007482,-0.540199,0
1777934559757,  3706.673, 0.841495,-0.003977,-0.007482,-0.540199,0
1777934559769,  3706.698, 0.837228,-0.004030,-0.007444,-0.546788,0
1777934559779,  3706.698, 0.837228,-0.004030,-0.007444,-0.546788,0
1777934559792,  3706.723, 0.840051,-0.003989,-0.007465,-0.542441,0
1777934559802,  3706.723, 0.840051,-0.003989,-0.007465,-0.542441,0
1777934559818,  3706.748, 0.837211,-0.004030,-0.007445,-0.546814,0
1777934559829,  3706.748, 0.837211,-0.004030,-0.007445,-0.546814,0
1777934559842,  3706.768, 0.842269,-0.003962,-0.007478,-0.538991,0
1777934559852,  3706.768, 0.842269,-0.003962,-0.007478,-0.538991,0
1777934559868,  3706.793, 0.844542,-0.003932,-0.007491,-0.535423,0
1777934559878,  3706.793, 0.844542,-0.003932,-0.007491,-0.535423,0
1777934559890,  3706.818, 0.839856,-0.003996,-0.007459,-0.542744,0
1777934559900,  3706.818, 0.839856,-0.003996,-0.007459,-0.542744,0
1777934559918,  3706.843, 0.845336,-0.003913,-0.007496,-0.534169,0
1777934559928,  3706.843, 0.845336,-0.003913,-0.007496,-0.534169,0
1777934559940,  3706.868, 0.840621,-0.003974,-0.007461,-0.541558,0
1777934559950,  3706.868, 0.840621,-0.003974,-0.007461,-0.541558,0
1777934559967,  3706.893, 0.846121,-0.003895,-0.007498,-0.532924,0
1777934559977,  3706.893, 0.846121,-0.003895,-0.007498,-0.532924,0
1777934559989,  3706.918, 0.842522,-0.003949,-0.007477,-0.538596,0
1777934559999,  3706.918, 0.842522,-0.003949,-0.007477,-0.538596,0
1777934560017,  3706.943, 0.845402,-0.003908,-0.007502,-0.534064,0
1777934560027,  3706.943, 0.845402,-0.003908,-0.007502,-0.534064,0
1777934560039,  3706.968, 0.839905,-0.003985,-0.007465,-0.542667,0
1777934560049,  3706.968, 0.839905,-0.003985,-0.007465,-0.542667,0
1777934560062,  3706.993, 0.844643,-0.003918,-0.007500,-0.535263,0
1777934560072,  3706.993, 0.844643,-0.003918,-0.007500,-0.535263,0
1777934560088,  3707.018, 0.841243,-0.003959,-0.007476,-0.540592,0
1777934560099,  3707.018, 0.841243,-0.003959,-0.007476,-0.540592,0
1777934560112,  3707.038, 0.844404,-0.003916,-0.007503,-0.535641,0
1777934560122,  3707.038, 0.844404,-0.003916,-0.007503,-0.535641,0
1777934560138,  3707.068, 0.840153,-0.003973,-0.007465,-0.542284,0
1777934560148,  3707.068, 0.840153,-0.003973,-0.007465,-0.542284,0
1777934560160,  3707.088, 0.842431,-0.003943,-0.007487,-0.538738,0
1777934560170,  3707.088, 0.842431,-0.003943,-0.007487,-0.538738,0
1777934560188,  3707.113, 0.843683,-0.003926,-0.007495,-0.536775,0
1777934560198,  3707.113, 0.843683,-0.003926,-0.007495,-0.536775,0
1777934560210,  3707.138, 0.842016,-0.003948,-0.007480,-0.539386,0
1777934560220,  3707.138, 0.842016,-0.003948,-0.007480,-0.539386,0
1777934560237,  3707.163, 0.843782,-0.003915,-0.007486,-0.536620,0
1777934560247,  3707.163, 0.843782,-0.003915,-0.007486,-0.536620,0
1777934560259,  3707.188, 0.844748,-0.003901,-0.007490,-0.535097,0
1777934560269,  3707.188, 0.844748,-0.003901,-0.007490,-0.535097,0
1777934560287,  3707.213, 0.844070,-0.003904,-0.007485,-0.536166,0
1777934560297,  3707.213, 0.844070,-0.003904,-0.007485,-0.536166,0
1777934560309,  3707.238, 0.843873,-0.003913,-0.007489,-0.536476,0
1777934560319,  3707.238, 0.843873,-0.003913,-0.007489,-0.536476,0
1777934560332,  3707.263, 0.844794,-0.003900,-0.007494,-0.535025,0
1777934560342,  3707.263, 0.844794,-0.003900,-0.007494,-0.535025,0
1777934560359,  3707.288, 0.845043,-0.003896,-0.007496,-0.534632,0
1777934560369,  3707.288, 0.845043,-0.003896,-0.007496,-0.534632,0
1777934560382,  3707.308, 0.845135,-0.003894,-0.007494,-0.534487,0
1777934560392,  3707.308, 0.845135,-0.003894,-0.007494,-0.534487,0
