Time,GPS_ts,fGPS_ts,scaledAccelX,scaledAccelY,scaledAccelZ,deltaVelX,deltaVelY,deltaVelZ,estLinearAccelX,estLinearAccelY,estLinearAccelZ,estLinearAccel:valid,estAngularRateX,estAngularRateY,estAngularRateZ,estAngularRate:valid,estGravityX,estGravityY,estGravityZ,estGravity:valid,flag
1777934559477,  3697.478,  3697.473,-0.015001,-0.000737,-0.996618,-0.000149,-0.000008,-0.009965, 0.020462, 0.017683, 0.041364,1, 0.000320, 0.000204,-0.000435,1, 0.158621, 0.017991, 9.805350,1,0
1777934559488,  3697.723,  3697.723,-0.015651,-0.002025,-0.996550,-0.000156,-0.000021,-0.009968, 0.005658,-0.001686, 0.032521,1, 0.000170, 0.000014,-0.000138,1, 0.159139, 0.018181, 9.805342,1,0
1777934559499,  3706.428,  3706.423,-0.018032,-0.002771,-0.997194,-0.000185,-0.000029,-0.009973,-0.027815, 0.005938, 0.046377,1,-0.000026, 0.000625,-0.000147,1, 0.162043, 0.018668, 9.805293,1,0
1777934559509,  3706.428,  3706.423,-0.018032,-0.002771,-0.997194,-0.000185,-0.000029,-0.009973,-0.027815, 0.005938, 0.046377,1,-0.000026, 0.000625,-0.000147,1, 0.162043, 0.018668, 9.805293,1,0
1777934559522,  3706.453,  3706.448,-0.017675,-0.002893,-0.994330,-0.000179,-0.000034,-0.009949,-0.011248,-0.009832, 0.054249,1,-0.000817, 0.000750,-0.001047,1, 0.162058, 0.018517, 9.805293,1,0
1777934559532,  3706.453,  3706.448,-0.017675,-0.002893,-0.994330,-0.000179,-0.000034,-0.009949,-0.011248,-0.009832, 0.054249,1,-0.000817, 0.000750,-0.001047,1, 0.162058, 0.018517, 9.805293,1,0
1777934559548,  3706.478,  3706.473,-0.015178,-0.001662,-0.994645,-0.000153,-0.000017,-0.009944, 0.011971,-0.012953, 0.026860,1, 0.000736, 0.000503,-0.000944,1, 0.161967, 0.018643, 9.805295,1,0
1777934559559,  3706.478,  3706.473,-0.015178,-0.001662,-0.994645,-0.000153,-0.000017,-0.009944, 0.011971,-0.012953, 0.026860,1, 0.000736, 0.000503,-0.000944,1, 0.161967, 0.018643, 9.805295,1,0
1777934559572,  3706.498,  3706.498,-0.014753,-0.000021,-0.998395,-0.000147,-0.000001,-0.009974, 0.017195, 0.018496, 0.014386,1,-0.000236, 0.000066,-0.000482,1, 0.161870, 0.018697, 9.805296,1,0
1777934559582,  3706.498,  3706.498,-0.014753,-0.000021,-0.998395,-0.000147,-0.000001,-0.009974, 0.017195, 0.018496, 0.014386,1,-0.000236, 0.000066,-0.000482,1, 0.161870, 0.018697, 9.805296,1,0
