Time,fGPS_ts,estOrientQuaternion[0],estOrientQuaternion[1],estOrientQuaternion[2],estOrientQuaternion[3],estOrientQuaternion:valid,flag
1777934289302,  3418.452, 0.999982, 0.001813,-0.005641,-0.000097,1,0
1777934289312,  3418.702, 0.999983, 0.001884,-0.005578, 0.000014,1,0
1777934289324,  3436.247, 0.999985, 0.001708,-0.005165,-0.000503,1,0
1777934289335,  3436.247, 0.999985, 0.001708,-0.005165,-0.000503,1,0
1777934289351,  3436.272, 0.999985, 0.001704,-0.005162,-0.000499,1,0
1777934289361,  3436.272, 0.999985, 0.001704,-0.005162,-0.000499,1,0
1777934289374,  3436.297, 0.999985, 0.001709,-0.005168,-0.000496,1,0
1777934289384,  3436.297, 0.999985, 0.001709,-0.005168,-0.000496,1,0
1777934289400,  3436.322, 0.999985, 0.001717,-0.005167,-0.000500,1,0
1777934289410,  3436.322, 0.999985, 0.001717,-0.005167,-0.000500,1,0
1777934289424,  3436.347, 0.999985, 0.001719,-0.005171,-0.000504,1,0
1777934289434,  3436.347, 0.999985, 0.001719,-0.005171,-0.000504,1,0
1777934289450,  3436.372, 0.999985, 0.001720,-0.005171,-0.000509,1,0
1777934289460,  3436.372, 0.999985, 0.001720,-0.005171,-0.000509,1,0
1777934289472,  3436.392, 0.999985, 0.001723,-0.005175,-0.000507,1,0
1777934289482,  3436.392, 0.999985, 0.001723,-0.005175,-0.000507,1,0
1777934289499,  3436.422, 0.999985, 0.001723,-0.005175,-0.000508,1,0
1777934289509,  3436.422, 0.999985, 0.001723,-0.005175,-0.000508,1,0
1777934289521,  3436.442, 0.999985, 0.001719,-0.005179,-0.000511,1,0
1777934289531,  3436.442, 0.999985, 0.001719,-0.005179,-0.000511,1,0
1777934289549,  3436.472, 0.999985, 0.001719,-0.005178,-0.000512,1,0
1777934289559,  3436.472, 0.999985, 0.001719,-0.005178,-0.000512,1,0
1777934289571,  3436.492, 0.999985, 0.001724,-0.005176,-0.000512,1,0
1777934289581,  3436.492, 0.999985, 0.001724,-0.005176,-0.000512,1,0
1777934289594,  3436.517, 0.999985, 0.001718,-0.005176,-0.000509,1,0
1777934289605,  3436.517, 0.999985, 0.001718,-0.005176,-0.000509,1,0
1777934289621,  3436.542, 0.999985, 0.001720,-0.005175,-0.000511,1,0
1777934289631,  3436.542, 0.999985, 0.001720,-0.005175,-0.000511,1,0
1777934289644,  3436.567, 0.999985, 0.001724,-0.005172,-0.000516,1,0
1777934289654,  3436.567, 0.999985, 0.001724,-0.005172,-0.000516,1,0
1777934289670,  3436.592, 0.999985, 0.001728,-0.005170,-0.000519,1,0
1777934289680,  3436.592, 0.999985, 0.001728,-0.005170,-0.000519,1,0
1777934289694,  3436.617, 0.999985, 0.001737,-0.005164,-0.000521,1,0
1777934289704,  3436.617, 0.999985, 0.001737,-0.005164,-0.000521,1,0
1777934289720,  3436.642, 0.999985, 0.001734,-0.005171,-0.000521,1,0
1777934289730,  3436.642, 0.999985, 0.001734,-0.005171,-0.000521,1,0
1777934289742,  3436.662, 0.999985, 0.001733,-0.005170,-0.000522,1,0
1777934289752,  3436.662, 0.999985, 0.001733,-0.005170,-0.000522,1,0
1777934289769,  3436.692, 0.999985, 0.001732,-0.005172,-0.000529,1,0
1777934289780,  3436.692, 0.999985, 0.001732,-0.005172,-0.000529,1,0
1777934289791,  3436.712, 0.999985, 0.001730,-0.005177,-0.000527,1,0
1777934289802,  3436.712, 0.999985, 0.001730,-0.005177,-0.000527,1,0
1777934289819,  3436.742, 0.999985, 0.001736,-0.005179,-0.000524,1,0
1777934289829,  3436.742, 0.999985, 0.001736,-0.005179,-0.000524,1,0
1777934289841,  3436.762, 0.999985, 0.001741,-0.005180,-0.000519,1,0
1777934289851,  3436.762, 0.999985, 0.001741,-0.005180,-0.000519,1,0
1777934289869,  3436.792, 0.999985, 0.001740,-0.005177,-0.000517,1,0
1777934289879,  3436.792, 0.999985, 0.001740,-0.005177,-0.000517,1,0
1777934289891,  3436.812, 0.999985, 0.001739,-0.005176,-0.000516,1,0
1777934289901,  3436.812, 0.999985, 0.001739,-0.005176,-0.000516,1,0
1777934289914,  3436.837, 0.999985, 0.001742,-0.005168,-0.000514,1,0
1777934289924,  3436.837, 0.999985, 0.001742,-0.005168,-0.000514,1,0
1777934289940,  3436.862, 0.999985, 0.001739,-0.005168,-0.000511,1,0
