Time,GPS_ts,orientQuaternion[0],orientQuaternion[1],orientQuaternion[2],orientQuaternion[3],flag
1777934289302,  3418.457, 0.834484, 0.003067,-0.005409, 0.550996,0
1777934289312,  3418.702, 0.841727, 0.003064,-0.005349, 0.539868,0
1777934289324,  3436.252, 0.836110, 0.004092,-0.003946, 0.548533,0
1777934289335,  3436.252, 0.836110, 0.004092,-0.003946, 0.548533,0
1777934289351,  3436.277, 0.834300, 0.004104,-0.003938, 0.551281,0
1777934289361,  3436.277, 0.834300, 0.004104,-0.003938, 0.551281,0
1777934289374,  3436.297, 0.838245, 0.004082,-0.003962, 0.545264,0
1777934289384,  3436.297, 0.838245, 0.004082,-0.003962, 0.545264,0
1777934289400,  3436.327, 0.834130, 0.004118,-0.003928, 0.551539,0
1777934289410,  3436.327, 0.834130, 0.004118,-0.003928, 0.551539,0
1777934289424,  3436.347, 0.825174, 0.004183,-0.003865, 0.564850,0
1777934289434,  3436.347, 0.825174, 0.004183,-0.003865, 0.564850,0
1777934289450,  3436.372, 0.822459, 0.004202,-0.003844, 0.568796,0
1777934289460,  3436.372, 0.822459, 0.004202,-0.003844, 0.568796,0
1777934289472,  3436.397, 0.833652, 0.004128,-0.003928, 0.552261,0
1777934289482,  3436.397, 0.833652, 0.004128,-0.003928, 0.552261,0
1777934289499,  3436.422, 0.838568, 0.004095,-0.003966, 0.544768,0
1777934289509,  3436.422, 0.838568, 0.004095,-0.003966, 0.544768,0
1777934289521,  3436.447, 0.830545, 0.004153,-0.003911, 0.556922,0
1777934289531,  3436.447, 0.830545, 0.004153,-0.003911, 0.556922,0
1777934289549,  3436.472, 0.837252, 0.004104,-0.003960, 0.546787,0
1777934289559,  3436.472, 0.837252, 0.004104,-0.003960, 0.546787,0
1777934289571,  3436.497, 0.833400, 0.004132,-0.003928, 0.552642,0
1777934289581,  3436.497, 0.833400, 0.004132,-0.003928, 0.552642,0
1777934289594,  3436.522, 0.834519, 0.004123,-0.003935, 0.550950,0
1777934289605,  3436.522, 0.834519, 0.004123,-0.003935, 0.550950,0
