Time,GPS_ts,fGPS_ts,scaledAccelX,scaledAccelY,scaledAccelZ,deltaVelX,deltaVelY,deltaVelZ,estLinearAccelX,estLinearAccelY,estLinearAccelZ,estLinearAccel:valid,estAngularRateX,estAngularRateY,estAngularRateZ,estAngularRate:valid,estGravityX,estGravityY,estGravityZ,estGravity:valid,flag
1777934289302,  3418.457,  3418.452,-0.012167,-0.005433,-0.997683,-0.000124,-0.000048,-0.009973, 0.007178,-0.001490, 0.024738,1, 0.001529,-0.002934, 0.001597,1, 0.110636, 0.035566, 9.805962,1,0
1777934289312,  3418.702,  3418.702, 0.001106,-0.007549,-0.993355, 0.000008,-0.000072,-0.009926, 0.120159,-0.037039, 0.064483,1,-0.001592,-0.002660,-0.002199,1, 0.109392, 0.036947, 9.805970,1,0
1777934289324,  3436.252,  3436.247,-0.010426,-0.002643,-0.995425,-0.000104,-0.000027,-0.009957,-0.000945, 0.007616, 0.044284,1, 0.000268, 0.000276,-0.000067,1, 0.101288, 0.033540, 9.806069,1,0
1777934289335,  3436.252,  3436.247,-0.010426,-0.002643,-0.995425,-0.000104,-0.000027,-0.009957,-0.000945, 0.007616, 0.044284,1, 0.000268, 0.000276,-0.000067,1, 0.101288, 0.033540, 9.806069,1,0
1777934289351,  3436.277,  3436.272,-0.010397,-0.004175,-0.994932,-0.000102,-0.000041,-0.009954, 0.001235,-0.005113, 0.036670,1,-0.000526, 0.001064, 0.000351,1, 0.101221, 0.033464, 9.806070,1,0
1777934289361,  3436.277,  3436.272,-0.010397,-0.004175,-0.994932,-0.000102,-0.000041,-0.009954, 0.001235,-0.005113, 0.036670,1,-0.000526, 0.001064, 0.000351,1, 0.101221, 0.033464, 9.806070,1,0
1777934289374,  3436.297,  3436.297,-0.010040,-0.005545,-0.997076,-0.000102,-0.000054,-0.009966, 0.002901,-0.020826, 0.028096,1, 0.000676, 0.000841, 0.000261,1, 0.101334, 0.033572, 9.806069,1,0
1777934289384,  3436.297,  3436.297,-0.010040,-0.005545,-0.997076,-0.000102,-0.000054,-0.009966, 0.002901,-0.020826, 0.028096,1, 0.000676, 0.000841, 0.000261,1, 0.101334, 0.033572, 9.806069,1,0
1777934289400,  3436.327,  3436.322,-0.010289,-0.002711,-0.994725,-0.000104,-0.000026,-0.009947, 0.001448,-0.004943, 0.052635,1,-0.000880,-0.000728,-0.000669,1, 0.101326, 0.033724, 9.806068,1,0
1777934289410,  3436.327,  3436.322,-0.010289,-0.002711,-0.994725,-0.000104,-0.000026,-0.009947, 0.001448,-0.004943, 0.052635,1,-0.000880,-0.000728,-0.000669,1, 0.101326, 0.033724, 9.806068,1,0
1777934289424,  3436.347,  3436.347,-0.010798,-0.002472,-0.996301,-0.000108,-0.000024,-0.009962,-0.004484, 0.009520, 0.035688,1, 0.000192,-0.000156,-0.000075,1, 0.101411, 0.033764, 9.806067,1,0
1777934289434,  3436.347,  3436.347,-0.010798,-0.002472,-0.996301,-0.000108,-0.000024,-0.009962,-0.004484, 0.009520, 0.035688,1, 0.000192,-0.000156,-0.000075,1, 0.101411, 0.033764, 9.806067,1,0
1777934289450,  3436.372,  3436.372,-0.010933,-0.002498,-0.995119,-0.000111,-0.000023,-0.009950,-0.005813, 0.009257, 0.047283,1, 0.000834,-0.000086,-0.000466,1, 0.101406, 0.033780, 9.806067,1,0
1777934289460,  3436.372,  3436.372,-0.010933,-0.002498,-0.995119,-0.000111,-0.000023,-0.009950,-0.005813, 0.009257, 0.047283,1, 0.000834,-0.000086,-0.000466,1, 0.101406, 0.033780, 9.806067,1,0
1777934289472,  3436.397,  3436.392,-0.011015,-0.004140,-0.995106,-0.000114,-0.000041,-0.009955,-0.007585,-0.005055, 0.042692,1, 0.001264,-0.000830, 0.000336,1, 0.101481, 0.033851, 9.806067,1,0
1777934289482,  3436.397,  3436.392,-0.011015,-0.004140,-0.995106,-0.000114,-0.000041,-0.009955,-0.007585,-0.005055, 0.042692,1, 0.001264,-0.000830, 0.000336,1, 0.101481, 0.033851, 9.806067,1,0
1777934289499,  3436.422,  3436.422,-0.010534,-0.003889,-0.996505,-0.000103,-0.000041,-0.009963,-0.001846,-0.004303, 0.033688,1, 0.000130,-0.001088,-0.000239,1, 0.101488, 0.033838, 9.806067,1,0
1777934289509,  3436.422,  3436.422,-0.010534,-0.003889,-0.996505,-0.000103,-0.000041,-0.009963,-0.001846,-0.004303, 0.033688,1, 0.000130,-0.001088,-0.000239,1, 0.101488, 0.033838, 9.806067,1,0
1777934289521,  3436.447,  3436.442,-0.009779,-0.003283,-0.995515,-0.000097,-0.000034,-0.009956, 0.005892,-0.003378, 0.040658,1,-0.000518,-0.000316,-0.000287,1, 0.101556, 0.033770, 9.806066,1,0
1777934289531,  3436.447,  3436.442,-0.009779,-0.003283,-0.995515,-0.000097,-0.000034,-0.009956, 0.005892,-0.003378, 0.040658,1,-0.000518,-0.000316,-0.000287,1, 0.101556, 0.033770, 9.806066,1,0
1777934289549,  3436.472,  3436.472,-0.010070,-0.003251,-0.995939,-0.000101,-0.000032,-0.009958, 0.002811, 0.001896, 0.039236,1,-0.000284, 0.000882,-0.000846,1, 0.101537, 0.033772, 9.806067,1,0
1777934289559,  3436.472,  3436.472,-0.010070,-0.003251,-0.995939,-0.000101,-0.000032,-0.009958, 0.002811, 0.001896, 0.039236,1,-0.000284, 0.000882,-0.000846,1, 0.101537, 0.033772, 9.806067,1,0
