Time,GPS_ts,fGPS_ts,scaledAccelX,scaledAccelY,scaledAccelZ,deltaVelX,deltaVelY,deltaVelZ,estLinearAccelX,estLinearAccelY,estLinearAccelZ,estLinearAccel:valid,estAngularRateX,estAngularRateY,estAngularRateZ,estAngularRate:valid,estGravityX,estGravityY,estGravityZ,estGravity:valid,flag
1777931639370,   749.073,   749.068, 0.012247,-0.003315,-0.995255, 0.000122,-0.000031,-0.009963,-0.001583,-0.000683, 0.040660,1,-0.000529, 0.000066,-0.000223,1,-0.117427, 0.030362, 9.805900,1,0
1777931639380,   749.318,   749.318, 0.011991,-0.003295,-0.995756, 0.000121,-0.000032,-0.009962, 0.000282,-0.002229, 0.040869,1, 0.000289, 0.000312,-0.000161,1,-0.117322, 0.030095, 9.805902,1,0
1777931639391,   786.303,   786.298, 0.011462,-0.003220,-0.996058, 0.000114,-0.000034,-0.009962,-0.001388, 0.005071, 0.039841,1,-0.000388, 0.000228, 0.000410,1,-0.117367, 0.030051, 9.805902,1,0
1777931639401,   786.303,   786.298, 0.011462,-0.003220,-0.996058, 0.000114,-0.000034,-0.009962,-0.001388, 0.005071, 0.039841,1,-0.000388, 0.000228, 0.000410,1,-0.117367, 0.030051, 9.805902,1,0
1777931639419,   786.328,   786.328, 0.011591,-0.004075,-0.996630, 0.000118,-0.000039,-0.009964, 0.000961,-0.009677, 0.032349,1,-0.000876, 0.000885, 0.000028,1,-0.112738, 0.030260, 9.805955,1,0
1777931639429,   786.328,   786.328, 0.011591,-0.004075,-0.996630, 0.000118,-0.000039,-0.009964, 0.000961,-0.009677, 0.032349,1,-0.000876, 0.000885, 0.000028,1,-0.112738, 0.030260, 9.805955,1,0
1777931639441,   786.353,   786.348, 0.011846,-0.003422,-0.995502, 0.000116,-0.000036,-0.009953,-0.002142,-0.013230, 0.026002,1,-0.000957,-0.000370, 0.000488,1,-0.112839, 0.030171, 9.805954,1,0
1777931639451,   786.353,   786.348, 0.011846,-0.003422,-0.995502, 0.000116,-0.000036,-0.009953,-0.002142,-0.013230, 0.026002,1,-0.000957,-0.000370, 0.000488,1,-0.112839, 0.030171, 9.805954,1,0
1777931639468,   786.378,   786.378, 0.012619,-0.001833,-0.996523, 0.000126,-0.000022,-0.009960, 0.011049, 0.012236, 0.033407,1,-0.000375,-0.000088, 0.000390,1,-0.112699, 0.030202, 9.805956,1,0
1777931639479,   786.378,   786.378, 0.012619,-0.001833,-0.996523, 0.000126,-0.000022,-0.009960, 0.011049, 0.012236, 0.033407,1,-0.000375,-0.000088, 0.000390,1,-0.112699, 0.030202, 9.805956,1,0
1777931639490,   786.403,   786.398, 0.012441,-0.002164,-0.995547, 0.000124,-0.000022,-0.009955, 0.010794, 0.013596, 0.034800,1, 0.000454,-0.000340, 0.000106,1,-0.112589, 0.030260, 9.805957,1,0
1777931639501,   786.403,   786.398, 0.012441,-0.002164,-0.995547, 0.000124,-0.000022,-0.009955, 0.010794, 0.013596, 0.034800,1, 0.000454,-0.000340, 0.000106,1,-0.112589, 0.030260, 9.805957,1,0
1777931639518,   786.428,   786.428, 0.012253,-0.003073,-0.995357, 0.000122,-0.000030,-0.009953, 0.007473, 0.000127, 0.044835,1, 0.000419, 0.000245, 0.000368,1,-0.112696, 0.030277, 9.805956,1,0
1777931639528,   786.428,   786.428, 0.012253,-0.003073,-0.995357, 0.000122,-0.000030,-0.009953, 0.007473, 0.000127, 0.044835,1, 0.000419, 0.000245, 0.000368,1,-0.112696, 0.030277, 9.805956,1,0
1777931639540,   786.453,   786.448, 0.012142,-0.004521,-0.994773, 0.000121,-0.000041,-0.009953, 0.006929,-0.000355, 0.035549,1, 0.000096, 0.000214, 0.000484,1,-0.112742, 0.030345, 9.805955,1,0
1777931639550,   786.453,   786.448, 0.012142,-0.004521,-0.994773, 0.000121,-0.000041,-0.009953, 0.006929,-0.000355, 0.035549,1, 0.000096, 0.000214, 0.000484,1,-0.112742, 0.030345, 9.805955,1,0
1777931639564,   786.478,   786.473, 0.011230,-0.004544,-0.994789, 0.000113,-0.000048,-0.009948,-0.002689,-0.014167, 0.050406,1, 0.000643, 0.000323, 0.000064,1,-0.112823, 0.030416, 9.805954,1,0
1777931639574,   786.478,   786.473, 0.011230,-0.004544,-0.994789, 0.000113,-0.000048,-0.009948,-0.002689,-0.014167, 0.050406,1, 0.000643, 0.000323, 0.000064,1,-0.112823, 0.030416, 9.805954,1,0
1777931639590,   786.503,   786.498, 0.011525,-0.002438,-0.995537, 0.000117,-0.000021,-0.009963,-0.002392, 0.008402, 0.041622,1,-0.000755, 0.000154, 0.000395,1,-0.112831, 0.030345, 9.805954,1,0
1777931639600,   786.503,   786.498, 0.011525,-0.002438,-0.995537, 0.000117,-0.000021,-0.009963,-0.002392, 0.008402, 0.041622,1,-0.000755, 0.000154, 0.000395,1,-0.112831, 0.030345, 9.805954,1,0
1777931639613,   786.523,   786.523, 0.011441,-0.001867,-0.994822, 0.000114,-0.000020,-0.009952,-0.000694, 0.011947, 0.050082,1,-0.000397, 0.000343,-0.000238,1,-0.112907, 0.030246, 9.805953,1,0
1777931639623,   786.523,   786.523, 0.011441,-0.001867,-0.994822, 0.000114,-0.000020,-0.009952,-0.000694, 0.011947, 0.050082,1,-0.000397, 0.000343,-0.000238,1,-0.112907, 0.030246, 9.805953,1,0
1777931639639,   786.548,   786.548, 0.011753,-0.003525,-0.995240, 0.000117,-0.000033,-0.009954, 0.002245,-0.004360, 0.045981,1,-0.000172, 0.000677, 0.000153,1,-0.113032, 0.030200, 9.805952,1,0
1777931639649,   786.548,   786.548, 0.011753,-0.003525,-0.995240, 0.000117,-0.000033,-0.009954, 0.002245,-0.004360, 0.045981,1,-0.000172, 0.000677, 0.000153,1,-0.113032, 0.030200, 9.805952,1,0
1777931639661,   786.573,   786.568, 0.012059,-0.003303,-0.995683, 0.000123,-0.000029,-0.009961, 0.002488,-0.001367, 0.036741,1, 0.000716, 0.000825, 0.000089,1,-0.113112, 0.030195, 9.805951,1,0
1777931639671,   786.573,   786.568, 0.012059,-0.003303,-0.995683, 0.000123,-0.000029,-0.009961, 0.002488,-0.001367, 0.036741,1, 0.000716, 0.000825, 0.000089,1,-0.113112, 0.030195, 9.805951,1,0
1777931639689,   786.598,   786.598, 0.012099,-0.004035,-0.994975, 0.000122,-0.000041,-0.009951, 0.005571,-0.009312, 0.048579,1, 0.000291,-0.000034, 0.000077,1,-0.113078, 0.030266, 9.805951,1,0
1777931639699,   786.598,   786.598, 0.012099,-0.004035,-0.994975, 0.000122,-0.000041,-0.009951, 0.005571,-0.009312, 0.048579,1, 0.000291,-0.000034, 0.000077,1,-0.113078, 0.030266, 9.805951,1,0
1777931639711,   786.623,   786.618, 0.012252,-0.002902,-0.995392, 0.000124,-0.000029,-0.009962, 0.005411,-0.000991, 0.043707,1,-0.001087,-0.000538, 0.000008,1,-0.113065, 0.030238, 9.805951,1,0
1777931639721,   786.623,   786.618, 0.012252,-0.002902,-0.995392, 0.000124,-0.000029,-0.009962, 0.005411,-0.000991, 0.043707,1,-0.001087,-0.000538, 0.000008,1,-0.113065, 0.030238, 9.805951,1,0
1777931639739,   786.648,   786.648, 0.011391,-0.002395,-0.995693, 0.000118,-0.000025,-0.009960,-0.001320, 0.006771, 0.041534,1,-0.000201,-0.000336, 0.000321,1,-0.113019, 0.030255, 9.805952,1,0
1777931639749,   786.648,   786.648, 0.011391,-0.002395,-0.995693, 0.000118,-0.000025,-0.009960,-0.001320, 0.006771, 0.041534,1,-0.000201,-0.000336, 0.000321,1,-0.113019, 0.030255, 9.805952,1,0
1777931639761,   786.673,   786.668, 0.011264,-0.002732,-0.996389, 0.000112,-0.000030,-0.009965,-0.007303, 0.005661, 0.047348,1, 0.000022, 0.000243, 0.000352,1,-0.113032, 0.030274, 9.805952,1,0
1777931639771,   786.673,   786.668, 0.011264,-0.002732,-0.996389, 0.000112,-0.000030,-0.009965,-0.007303, 0.005661, 0.047348,1, 0.000022, 0.000243, 0.000352,1,-0.113032, 0.030274, 9.805952,1,0
1777931639788,   786.698,   786.698, 0.012211,-0.002813,-0.995660, 0.000121,-0.000028,-0.009960, 0.006546, 0.002693, 0.041861,1, 0.000251,-0.000106,-0.000356,1,-0.113204, 0.030284, 9.805950,1,0
1777931639798,   786.698,   786.698, 0.012211,-0.002813,-0.995660, 0.000121,-0.000028,-0.009960, 0.006546, 0.002693, 0.041861,1, 0.000251,-0.000106,-0.000356,1,-0.113204, 0.030284, 9.805950,1,0
1777931639810,   786.723,   786.718, 0.012057,-0.003729,-0.996783, 0.000120,-0.000037,-0.009966,-0.000419,-0.008581, 0.049832,1, 0.000310,-0.000110, 0.000112,1,-0.113146, 0.030307, 9.805950,1,0
1777931639820,   786.723,   786.718, 0.012057,-0.003729,-0.996783, 0.000120,-0.000037,-0.009966,-0.000419,-0.008581, 0.049832,1, 0.000310,-0.000110, 0.000112,1,-0.113146, 0.030307, 9.805950,1,0
1777931639834,   786.748,   786.743, 0.012066,-0.003106,-0.996075, 0.000121,-0.000031,-0.009968, 0.005006,-0.000163, 0.037785,1, 0.000155, 0.000126, 0.000625,1,-0.113328, 0.030299, 9.805948,1,0
1777931639844,   786.748,   786.743, 0.012066,-0.003106,-0.996075, 0.000121,-0.000031,-0.009968, 0.005006,-0.000163, 0.037785,1, 0.000155, 0.000126, 0.000625,1,-0.113328, 0.030299, 9.805948,1,0
1777931639860,   786.773,   786.768, 0.012036,-0.001807,-0.996635, 0.000120,-0.000019,-0.009963, 0.003959, 0.004343, 0.046156,1,-0.000320, 0.000447,-0.000126,1,-0.113369, 0.030294, 9.805948,1,0
1777931639870,   786.773,   786.768, 0.012036,-0.001807,-0.996635, 0.000120,-0.000019,-0.009963, 0.003959, 0.004343, 0.046156,1,-0.000320, 0.000447,-0.000126,1,-0.113369, 0.030294, 9.805948,1,0
1777931639883,   786.793,   786.793, 0.012280,-0.002491,-0.995584, 0.000121,-0.000021,-0.009962, 0.007069, 0.005823, 0.042608,1, 0.000343,-0.000785,-0.000315,1,-0.113329, 0.030261, 9.805948,1,0
1777931639893,   786.793,   786.793, 0.012280,-0.002491,-0.995584, 0.000121,-0.000021,-0.009962, 0.007069, 0.005823, 0.042608,1, 0.000343,-0.000785,-0.000315,1,-0.113329, 0.030261, 9.805948,1,0
1777931639909,   786.818,   786.818, 0.011701,-0.003624,-0.995350, 0.000118,-0.000035,-0.009960, 0.001490,-0.005236, 0.044898,1, 0.000406, 0.000036, 0.000125,1,-0.113262, 0.030315, 9.805949,1,0
1777931639919,   786.818,   786.818, 0.011701,-0.003624,-0.995350, 0.000118,-0.000035,-0.009960, 0.001490,-0.005236, 0.044898,1, 0.000406, 0.000036, 0.000125,1,-0.113262, 0.030315, 9.805949,1,0
1777931639931,   786.843,   786.838, 0.011534,-0.003701,-0.996042, 0.000115,-0.000036,-0.009962, 0.001803,-0.009026, 0.043365,1, 0.000235, 0.000025, 0.000004,1,-0.113272, 0.030323, 9.805949,1,0
1777931639941,   786.843,   786.838, 0.011534,-0.003701,-0.996042, 0.000115,-0.000036,-0.009962, 0.001803,-0.009026, 0.043365,1, 0.000235, 0.000025, 0.000004,1,-0.113272, 0.030323, 9.805949,1,0
1777931639959,   786.868,   786.868, 0.011824,-0.003425,-0.995916, 0.000116,-0.000035,-0.009964, 0.002760,-0.003330, 0.039349,1,-0.000050,-0.000675, 0.000535,1,-0.113172, 0.030252, 9.805950,1,0
1777931639969,   786.868,   786.868, 0.011824,-0.003425,-0.995916, 0.000116,-0.000035,-0.009964, 0.002760,-0.003330, 0.039349,1,-0.000050,-0.000675, 0.000535,1,-0.113172, 0.030252, 9.805950,1,0
1777931639981,   786.893,   786.888, 0.012276,-0.002397,-0.996399, 0.000121,-0.000022,-0.009958, 0.006787, 0.003596, 0.050206,1,-0.000357,-0.000454,-0.000268,1,-0.113106, 0.030274, 9.805951,1,0
1777931639991,   786.893,   786.888, 0.012276,-0.002397,-0.996399, 0.000121,-0.000022,-0.009958, 0.006787, 0.003596, 0.050206,1,-0.000357,-0.000454,-0.000268,1,-0.113106, 0.030274, 9.805951,1,0
