Time,fGPS_ts,estOrientQuaternion[0],estOrientQuaternion[1],estOrientQuaternion[2],estOrientQuaternion[3],estOrientQuaternion:valid,flag
1777933270299,  2400.817, 0.999945, 0.001774, 0.010321,-0.000031,1,0
1777933270309,  2401.067, 0.999945, 0.001767, 0.010330,-0.000016,1,0
1777933270320,  2417.217, 0.999944, 0.001849, 0.010388,-0.000201,1,0
1777933270330,  2417.217, 0.999944, 0.001849, 0.010388,-0.000201,1,0
1777933270344,  2417.242, 0.999944, 0.001846, 0.010394,-0.000202,1,0
1777933270354,  2417.242, 0.999944, 0.001846, 0.010394,-0.000202,1,0
1777933270370,  2417.267, 0.999944, 0.001853, 0.010389,-0.000198,1,0
1777933270380,  2417.267, 0.999944, 0.001853, 0.010389,-0.000198,1,0
1777933270393,  2417.292, 0.999944, 0.001852, 0.010387,-0.000201,1,0
1777933270404,  2417.292, 0.999944, 0.001852, 0.010387,-0.000201,1,0
1777933270420,  2417.317, 0.999944, 0.001854, 0.010387,-0.000209,1,0
1777933270430,  2417.317, 0.999944, 0.001854, 0.010387,-0.000209,1,0
1777933270442,  2417.337, 0.999944, 0.001849, 0.010390,-0.000212,1,0
1777933270452,  2417.337, 0.999944, 0.001849, 0.010390,-0.000212,1,0
1777933270469,  2417.367, 0.999944, 0.001846, 0.010391,-0.000216,1,0
1777933270479,  2417.367, 0.999944, 0.001846, 0.010391,-0.000216,1,0
1777933270491,  2417.387, 0.999944, 0.001844, 0.010384,-0.000212,1,0
1777933270501,  2417.387, 0.999944, 0.001844, 0.010384,-0.000212,1,0
1777933270519,  2417.417, 0.999944, 0.001846, 0.010385,-0.000206,1,0
1777933270529,  2417.417, 0.999944, 0.001846, 0.010385,-0.000206,1,0
1777933270541,  2417.437, 0.999944, 0.001852, 0.010390,-0.000208,1,0
1777933270551,  2417.437, 0.999944, 0.001852, 0.010390,-0.000208,1,0
1777933270568,  2417.467, 0.999944, 0.001851, 0.010389,-0.000205,1,0
1777933270578,  2417.467, 0.999944, 0.001851, 0.010389,-0.000205,1,0
1777933270590,  2417.487, 0.999944, 0.001854, 0.010394,-0.000199,1,0
1777933270600,  2417.487, 0.999944, 0.001854, 0.010394,-0.000199,1,0
1777933270614,  2417.512, 0.999944, 0.001852, 0.010395,-0.000197,1,0
1777933270624,  2417.512, 0.999944, 0.001852, 0.010395,-0.000197,1,0
1777933270640,  2417.537, 0.999944, 0.001856, 0.010399,-0.000202,1,0
1777933270650,  2417.537, 0.999944, 0.001856, 0.010399,-0.000202,1,0
1777933270663,  2417.562, 0.999944, 0.001858, 0.010406,-0.000205,1,0
1777933270674,  2417.562, 0.999944, 0.001858, 0.010406,-0.000205,1,0
1777933270690,  2417.587, 0.999944, 0.001860, 0.010404,-0.000208,1,0
1777933270700,  2417.587, 0.999944, 0.001860, 0.010404,-0.000208,1,0
1777933270712,  2417.607, 0.999944, 0.001861, 0.010406,-0.000208,1,0
1777933270722,  2417.607, 0.999944, 0.001861, 0.010406,-0.000208,1,0
1777933270739,  2417.637, 0.999944, 0.001859, 0.010405,-0.000209,1,0
1777933270749,  2417.637, 0.999944, 0.001859, 0.010405,-0.000209,1,0
1777933270761,  2417.657, 0.999944, 0.001857, 0.010404,-0.000212,1,0
1777933270771,  2417.657, 0.999944, 0.001857, 0.010404,-0.000212,1,0
1777933270789,  2417.687, 0.999944, 0.001851, 0.010402,-0.000212,1,0
1777933270799,  2417.687, 0.999944, 0.001851, 0.010402,-0.000212,1,0
1777933270811,  2417.707, 0.999944, 0.001851, 0.010406,-0.000208,1,0
1777933270821,  2417.707, 0.999944, 0.001851, 0.010406,-0.000208,1,0
1777933270839,  2417.737, 0.999944, 0.001852, 0.010402,-0.000206,1,0
1777933270849,  2417.737, 0.999944, 0.001852, 0.010402,-0.000206,1,0
1777933270861,  2417.757, 0.999944, 0.001849, 0.010399,-0.000206,1,0
1777933270872,  2417.757, 0.999944, 0.001849, 0.010399,-0.000206,1,0
1777933270884,  2417.782, 0.999944, 0.001845, 0.010402,-0.000209,1,0
1777933270894,  2417.782, 0.999944, 0.001845, 0.010402,-0.000209,1,0
1777933270910,  2417.807, 0.999944, 0.001846, 0.010403,-0.000213,1,0
1777933270920,  2417.807, 0.999944, 0.001846, 0.010403,-0.000213,1,0
1777933270934,  2417.832, 0.999944, 0.001846, 0.010401,-0.000217,1,0
1777933270944,  2417.832, 0.999944, 0.001846, 0.010401,-0.000217,1,0
1777933270960,  2417.857, 0.999944, 0.001848, 0.010399,-0.000221,1,0
1777933270970,  2417.857, 0.999944, 0.001848, 0.010399,-0.000221,1,0
1777933270983,  2417.882, 0.999944, 0.001849, 0.010399,-0.000227,1,0
1777933270993,  2417.882, 0.999944, 0.001849, 0.010399,-0.000227,1,0
1777933271009,  2417.907, 0.999944, 0.001854, 0.010397,-0.000228,1,0
1777933271019,  2417.907, 0.999944, 0.001854, 0.010397,-0.000228,1,0
1777933271031,  2417.927, 0.999944, 0.001851, 0.010394,-0.000231,1,0
1777933271041,  2417.927, 0.999944, 0.001851, 0.010394,-0.000231,1,0
1777933271059,  2417.957, 0.999944, 0.001847, 0.010392,-0.000227,1,0
1777933271069,  2417.957, 0.999944, 0.001847, 0.010392,-0.000227,1,0
1777933271081,  2417.977, 0.999944, 0.001850, 0.010397,-0.000224,1,0
1777933271091,  2417.977, 0.999944, 0.001850, 0.010397,-0.000224,1,0
1777933271109,  2418.007, 0.999944, 0.001848, 0.010394,-0.000221,1,0
1777933271119,  2418.007, 0.999944, 0.001848, 0.010394,-0.000221,1,0
1777933271130,  2418.027, 0.999944, 0.001847, 0.010390,-0.000217,1,0
1777933271141,  2418.027, 0.999944, 0.001847, 0.010390,-0.000217,1,0
1777933271154,  2418.052, 0.999944, 0.001839, 0.010389,-0.000217,1,0
1777933271164,  2418.052, 0.999944, 0.001839, 0.010389,-0.000217,1,0
1777933271180,  2418.077, 0.999944, 0.001839, 0.010390,-0.000217,1,0
