Time,GPS_ts,orientQuaternion[0],orientQuaternion[1],orientQuaternion[2],orientQuaternion[3],flag
1777933270299,  2400.822, 0.484976,-0.008080, 0.006343, 0.874467,0
1777933270309,  2401.067, 0.493042,-0.008030, 0.006423, 0.869945,0
1777933270320,  2417.222, 0.492200,-0.008054, 0.006498, 0.870421,0
1777933270330,  2417.222, 0.492200,-0.008054, 0.006498, 0.870421,0
1777933270344,  2417.247, 0.487962,-0.008094, 0.006457, 0.872804,0
1777933270354,  2417.247, 0.487962,-0.008094, 0.006457, 0.872804,0
1777933270370,  2417.272, 0.493486,-0.008042, 0.006507, 0.869692,0
1777933270380,  2417.272, 0.493486,-0.008042, 0.006507, 0.869692,0
1777933270393,  2417.292, 0.488875,-0.008079, 0.006464, 0.872293,0
1777933270404,  2417.292, 0.488875,-0.008079, 0.006464, 0.872293,0
1777933270420,  2417.322, 0.492012,-0.008056, 0.006495, 0.870527,0
1777933270430,  2417.322, 0.492012,-0.008056, 0.006495, 0.870527,0
1777933270442,  2417.342, 0.488875,-0.008083, 0.006464, 0.872292,0
1777933270452,  2417.342, 0.488875,-0.008083, 0.006464, 0.872292,0
1777933270469,  2417.367, 0.486947,-0.008100, 0.006446, 0.873370,0
1777933270479,  2417.367, 0.486947,-0.008100, 0.006446, 0.873370,0
1777933270491,  2417.392, 0.487488,-0.008093, 0.006449, 0.873068,0
1777933270501,  2417.392, 0.487488,-0.008093, 0.006449, 0.873068,0
1777933270519,  2417.417, 0.487123,-0.008095, 0.006445, 0.873272,0
1777933270529,  2417.417, 0.487123,-0.008095, 0.006445, 0.873272,0
1777933270541,  2417.442, 0.485526,-0.008109, 0.006435, 0.874161,0
1777933270551,  2417.442, 0.485526,-0.008109, 0.006435, 0.874161,0
1777933270568,  2417.467, 0.489639,-0.008077, 0.006475, 0.871864,0
1777933270578,  2417.467, 0.489639,-0.008077, 0.006475, 0.871864,0
1777933270590,  2417.492, 0.488535,-0.008090, 0.006460, 0.872483,0
1777933270600,  2417.492, 0.488535,-0.008090, 0.006460, 0.872483,0
1777933270614,  2417.517, 0.485946,-0.008107, 0.006434, 0.873928,0
1777933270624,  2417.517, 0.485946,-0.008107, 0.006434, 0.873928,0
1777933270640,  2417.542, 0.488458,-0.008093, 0.006466, 0.872526,0
1777933270650,  2417.542, 0.488458,-0.008093, 0.006466, 0.872526,0
1777933270663,  2417.562, 0.487925,-0.008099, 0.006464, 0.872824,0
1777933270674,  2417.562, 0.487925,-0.008099, 0.006464, 0.872824,0
1777933270690,  2417.592, 0.488542,-0.008093, 0.006470, 0.872479,0
1777933270700,  2417.592, 0.488542,-0.008093, 0.006470, 0.872479,0
1777933270712,  2417.612, 0.486329,-0.008110, 0.006450, 0.873714,0
1777933270722,  2417.612, 0.486329,-0.008110, 0.006450, 0.873714,0
1777933270739,  2417.637, 0.491042,-0.008074, 0.006493, 0.871074,0
1777933270749,  2417.637, 0.491042,-0.008074, 0.006493, 0.871074,0
1777933270761,  2417.662, 0.487138,-0.008102, 0.006453, 0.873264,0
1777933270771,  2417.662, 0.487138,-0.008102, 0.006453, 0.873264,0
1777933270789,  2417.687, 0.487666,-0.008101, 0.006456, 0.872969,0
1777933270799,  2417.687, 0.487666,-0.008101, 0.006456, 0.872969,0
1777933270811,  2417.712, 0.483894,-0.008131, 0.006421, 0.875065,0
1777933270821,  2417.712, 0.483894,-0.008131, 0.006421, 0.875065,0
1777933270839,  2417.737, 0.490869,-0.008077, 0.006487, 0.871172,0
1777933270849,  2417.737, 0.490869,-0.008077, 0.006487, 0.871172,0
1777933270861,  2417.762, 0.488840,-0.008093, 0.006464, 0.872312,0
1777933270872,  2417.762, 0.488840,-0.008093, 0.006464, 0.872312,0
1777933270884,  2417.787, 0.489250,-0.008092, 0.006465, 0.872082,0
1777933270894,  2417.787, 0.489250,-0.008092, 0.006465, 0.872082,0
1777933270910,  2417.812, 0.486760,-0.008111, 0.006445, 0.873474,0
1777933270920,  2417.812, 0.486760,-0.008111, 0.006445, 0.873474,0
1777933270934,  2417.832, 0.485718,-0.008117, 0.006432, 0.874054,0
1777933270944,  2417.832, 0.485718,-0.008117, 0.006432, 0.874054,0
1777933270960,  2417.862, 0.487635,-0.008102, 0.006449, 0.872986,0
1777933270970,  2417.862, 0.487635,-0.008102, 0.006449, 0.872986,0
1777933270983,  2417.882, 0.489129,-0.008093, 0.006469, 0.872150,0
1777933270993,  2417.882, 0.489129,-0.008093, 0.006469, 0.872150,0
1777933271009,  2417.907, 0.492267,-0.008066, 0.006501, 0.870383,0
1777933271019,  2417.907, 0.492267,-0.008066, 0.006501, 0.870383,0
1777933271031,  2417.932, 0.487560,-0.008096, 0.006452, 0.873028,0
1777933271041,  2417.932, 0.487560,-0.008096, 0.006452, 0.873028,0
1777933271059,  2417.957, 0.492164,-0.008066, 0.006492, 0.870441,0
1777933271069,  2417.957, 0.492164,-0.008066, 0.006492, 0.870441,0
1777933271081,  2417.982, 0.491930,-0.008072, 0.006492, 0.870573,0
1777933271091,  2417.982, 0.491930,-0.008072, 0.006492, 0.870573,0
1777933271109,  2418.007, 0.493374,-0.008058, 0.006504, 0.869756,0
1777933271119,  2418.007, 0.493374,-0.008058, 0.006504, 0.869756,0
1777933271130,  2418.032, 0.490361,-0.008079, 0.006472, 0.871458,0
1777933271141,  2418.032, 0.490361,-0.008079, 0.006472, 0.871458,0
1777933271154,  2418.057, 0.492993,-0.008060, 0.006490, 0.869972,0
1777933271164,  2418.057, 0.492993,-0.008060, 0.006490, 0.869972,0
1777933271180,  2418.082, 0.491345,-0.008071, 0.006470, 0.870904,0
1777933271190,  2418.082, 0.491345,-0.008071, 0.006470, 0.870904,0
1777933271204,  2418.107, 0.493695,-0.008058, 0.006490, 0.869573,0
1777933271214,  2418.107, 0.493695,-0.008058, 0.006490, 0.869573,0
1777933271230,  2418.132, 0.488985,-0.008093, 0.006451, 0.872231,0
1777933271240,  2418.132, 0.488985,-0.008093, 0.006451, 0.872231,0
1777933271253,  2418.152, 0.492418,-0.008064, 0.006488, 0.870297,0
1777933271263,  2418.152, 0.492418,-0.008064, 0.006488, 0.870297,0
1777933271279,  2418.177, 0.493219,-0.008058, 0.006496, 0.869844,0
1777933271289,  2418.177, 0.493219,-0.008058, 0.006496, 0.869844,0
1777933271301,  2418.202, 0.493309,-0.008061, 0.006494, 0.869793,0
1777933271312,  2418.202, 0.493309,-0.008061, 0.006494, 0.869793,0
1777933271329,  2418.227, 0.489953,-0.008080, 0.006463, 0.871687,0
1777933271341,  2418.252, 0.493174,-0.008054, 0.006490, 0.869869,0
1777933271351,  2418.252, 0.493174,-0.008054, 0.006490, 0.869869,0
1777933271361,  2418.252, 0.493174,-0.008054, 0.006490, 0.869869,0
1777933271379,  2418.277, 0.491492,-0.008068, 0.006478, 0.870821,0
1777933271389,  2418.277, 0.491492,-0.008068, 0.006478, 0.870821,0
1777933271401,  2418.302, 0.492498,-0.008059, 0.006487, 0.870252,0
1777933271411,  2418.302, 0.492498,-0.008059, 0.006487, 0.870252,0
1777933271428,  2418.327, 0.488519,-0.008090, 0.006450, 0.872492,0
1777933271438,  2418.327, 0.488519,-0.008090, 0.006450, 0.872492,0
1777933271450,  2418.352, 0.494460,-0.008046, 0.006501, 0.869139,0
1777933271460,  2418.352, 0.494460,-0.008046, 0.006501, 0.869139,0
1777933271474,  2418.377, 0.490697,-0.008071, 0.006468, 0.871269,0
1777933271484,  2418.377, 0.490697,-0.008071, 0.006468, 0.871269,0
1777933271500,  2418.402, 0.492838,-0.008058, 0.006490, 0.870060,0
1777933271510,  2418.402, 0.492838,-0.008058, 0.006490, 0.870060,0
1777933271523,  2418.422, 0.491203,-0.008068, 0.006474, 0.870984,0
1777933271533,  2418.422, 0.491203,-0.008068, 0.006474, 0.870984,0
1777933271549,  2418.447, 0.488240,-0.008095, 0.006449, 0.872648,0
1777933271559,  2418.447, 0.488240,-0.008095, 0.006449, 0.872648,0
1777933271571,  2418.472, 0.491577,-0.008064, 0.006478, 0.870772,0
1777933271582,  2418.472, 0.491577,-0.008064, 0.006478, 0.870772,0
1777933271599,  2418.497, 0.486994,-0.008100, 0.006435, 0.873344,0
1777933271609,  2418.497, 0.486994,-0.008100, 0.006435, 0.873344,0
1777933271621,  2418.522, 0.491238,-0.008072, 0.006476, 0.870964,0
1777933271631,  2418.522, 0.491238,-0.008072, 0.006476, 0.870964,0
1777933271649,  2418.547, 0.485525,-0.008115, 0.006424, 0.874162,0
1777933271659,  2418.547, 0.485525,-0.008115, 0.006424, 0.874162,0
