Time,fGPS_ts,estOrientQuaternion[0],estOrientQuaternion[1],estOrientQuaternion[2],estOrientQuaternion[3],estOrientQuaternion:valid,flag
1777932340897,  1450.966, 0.999959, 0.005558, 0.007098,-0.000056,1,0
1777932340907,  1451.216, 0.999959, 0.005557, 0.007106,-0.000061,1,0
1777932340918,  1487.826, 0.999959, 0.005556, 0.007102,-0.000059,1,0
1777932340928,  1487.826, 0.999959, 0.005556, 0.007102,-0.000059,1,0
1777932340946,  1487.856, 0.999955, 0.005867, 0.007511,-0.000367,1,0
1777932340956,  1487.856, 0.999955, 0.005867, 0.007511,-0.000367,1,0
1777932340968,  1487.876, 0.999955, 0.005867, 0.007504,-0.000358,1,0
1777932340978,  1487.876, 0.999955, 0.005867, 0.007504,-0.000358,1,0
1777932340991,  1487.901, 0.999954, 0.005874, 0.007510,-0.000357,1,0
1777932341002,  1487.901, 0.999954, 0.005874, 0.007510,-0.000357,1,0
1777932341018,  1487.926, 0.999954, 0.005881, 0.007508,-0.000362,1,0
1777932341028,  1487.926, 0.999954, 0.005881, 0.007508,-0.000362,1,0
1777932341041,  1487.951, 0.999954, 0.005875, 0.007512,-0.000364,1,0
1777932341051,  1487.951, 0.999954, 0.005875, 0.007512,-0.000364,1,0
1777932341067,  1487.976, 0.999954, 0.005879, 0.007514,-0.000366,1,0
1777932341077,  1487.976, 0.999954, 0.005879, 0.007514,-0.000366,1,0
1777932341091,  1488.001, 0.999954, 0.005878, 0.007513,-0.000373,1,0
1777932341101,  1488.001, 0.999954, 0.005878, 0.007513,-0.000373,1,0
1777932341117,  1488.026, 0.999954, 0.005880, 0.007518,-0.000372,1,0
1777932341127,  1488.026, 0.999954, 0.005880, 0.007518,-0.000372,1,0
1777932341139,  1488.046, 0.999954, 0.005883, 0.007516,-0.000374,1,0
1777932341149,  1488.046, 0.999954, 0.005883, 0.007516,-0.000374,1,0
1777932341166,  1488.076, 0.999954, 0.005883, 0.007516,-0.000370,1,0
1777932341176,  1488.076, 0.999954, 0.005883, 0.007516,-0.000370,1,0
1777932341188,  1488.096, 0.999954, 0.005879, 0.007517,-0.000366,1,0
