Time,GPS_ts,orientQuaternion[0],orientQuaternion[1],orientQuaternion[2],orientQuaternion[3],flag
1777933601136,  2733.862, 0.512077,-0.007572, 0.007055, 0.858877,0
1777933601147,  2734.107, 0.503348,-0.007660, 0.006987, 0.864022,0
1777933601158,  2748.057, 0.505335,-0.007522, 0.007074, 0.862862,0
1777933601168,  2748.057, 0.505335,-0.007522, 0.007074, 0.862862,0
1777933601180,  2748.082, 0.506610,-0.007513, 0.007082, 0.862114,0
1777933601190,  2748.082, 0.506610,-0.007513, 0.007082, 0.862114,0
1777933601207,  2748.107, 0.508462,-0.007504, 0.007102, 0.861023,0
1777933601217,  2748.107, 0.508462,-0.007504, 0.007102, 0.861023,0
1777933601229,  2748.132, 0.508931,-0.007499, 0.007113, 0.860745,0
1777933601239,  2748.132, 0.508931,-0.007499, 0.007113, 0.860745,0
1777933601257,  2748.157, 0.505715,-0.007526, 0.007087, 0.862638,0
1777933601267,  2748.157, 0.505715,-0.007526, 0.007087, 0.862638,0
1777933601279,  2748.182, 0.509529,-0.007494, 0.007120, 0.860391,0
1777933601289,  2748.182, 0.509529,-0.007494, 0.007120, 0.860391,0
1777933601302,  2748.207, 0.508493,-0.007498, 0.007106, 0.861004,0
1777933601312,  2748.207, 0.508493,-0.007498, 0.007106, 0.861004,0
1777933601329,  2748.232, 0.508680,-0.007496, 0.007107, 0.860894,0
1777933601339,  2748.232, 0.508680,-0.007496, 0.007107, 0.860894,0
1777933601352,  2748.252, 0.503759,-0.007536, 0.007066, 0.863783,0
1777933601362,  2748.252, 0.503759,-0.007536, 0.007066, 0.863783,0
1777933601378,  2748.277, 0.501830,-0.007550, 0.007048, 0.864905,0
1777933601388,  2748.277, 0.501830,-0.007550, 0.007048, 0.864905,0
1777933601400,  2748.302, 0.508662,-0.007485, 0.007101, 0.860905,0
1777933601410,  2748.302, 0.508662,-0.007485, 0.007101, 0.860905,0
1777933601428,  2748.327, 0.505346,-0.007510, 0.007066, 0.862855,0
1777933601438,  2748.327, 0.505346,-0.007510, 0.007066, 0.862855,0
1777933601450,  2748.352, 0.506157,-0.007503, 0.007077, 0.862380,0
1777933601460,  2748.352, 0.506157,-0.007503, 0.007077, 0.862380,0
1777933601477,  2748.377, 0.504674,-0.007513, 0.007059, 0.863249,0
1777933601487,  2748.377, 0.504674,-0.007513, 0.007059, 0.863249,0
1777933601499,  2748.397, 0.505933,-0.007502, 0.007069, 0.862511,0
1777933601509,  2748.397, 0.505933,-0.007502, 0.007069, 0.862511,0
1777933601527,  2748.427, 0.505961,-0.007500, 0.007067, 0.862495,0
1777933601537,  2748.427, 0.505961,-0.007500, 0.007067, 0.862495,0
1777933601549,  2748.452, 0.506720,-0.007491, 0.007073, 0.862049,0
1777933601559,  2748.452, 0.506720,-0.007491, 0.007073, 0.862049,0
1777933601572,  2748.477, 0.502608,-0.007529, 0.007035, 0.864453,0
1777933601582,  2748.477, 0.502608,-0.007529, 0.007035, 0.864453,0
1777933601599,  2748.502, 0.503526,-0.007525, 0.007044, 0.863919,0
1777933601609,  2748.502, 0.503526,-0.007525, 0.007044, 0.863919,0
1777933601622,  2748.522, 0.501856,-0.007535, 0.007024, 0.864890,0
1777933601632,  2748.522, 0.501856,-0.007535, 0.007024, 0.864890,0
1777933601648,  2748.547, 0.506053,-0.007500, 0.007053, 0.862441,0
1777933601658,  2748.547, 0.506053,-0.007500, 0.007053, 0.862441,0
1777933601670,  2748.572, 0.504599,-0.007507, 0.007036, 0.863293,0
1777933601680,  2748.572, 0.504599,-0.007507, 0.007036, 0.863293,0
1777933601698,  2748.597, 0.503404,-0.007505, 0.007024, 0.863990,0
1777933601708,  2748.597, 0.503404,-0.007505, 0.007024, 0.863990,0
1777933601720,  2748.622, 0.504750,-0.007489, 0.007030, 0.863205,0
1777933601730,  2748.622, 0.504750,-0.007489, 0.007030, 0.863205,0
1777933601747,  2748.647, 0.507515,-0.007467, 0.007050, 0.861582,0
1777933601757,  2748.647, 0.507515,-0.007467, 0.007050, 0.861582,0
1777933601769,  2748.672, 0.503272,-0.007510, 0.007016, 0.864067,0
1777933601780,  2748.672, 0.503272,-0.007510, 0.007016, 0.864067,0
1777933601797,  2748.697, 0.505837,-0.007484, 0.007041, 0.862568,0
1777933601807,  2748.697, 0.505837,-0.007484, 0.007041, 0.862568,0
1777933601819,  2748.722, 0.502944,-0.007504, 0.007011, 0.864258,0
1777933601829,  2748.722, 0.502944,-0.007504, 0.007011, 0.864258,0
1777933601842,  2748.747, 0.504599,-0.007494, 0.007024, 0.863293,0
1777933601853,  2748.747, 0.504599,-0.007494, 0.007024, 0.863293,0
1777933601869,  2748.772, 0.502921,-0.007512, 0.007008, 0.864271,0
1777933601879,  2748.772, 0.502921,-0.007512, 0.007008, 0.864271,0
1777933601892,  2748.792, 0.504976,-0.007493, 0.007017, 0.863072,0
1777933601902,  2748.792, 0.504976,-0.007493, 0.007017, 0.863072,0
1777933601918,  2748.817, 0.510240,-0.007449, 0.007060, 0.859971,0
1777933601928,  2748.817, 0.510240,-0.007449, 0.007060, 0.859971,0
1777933601940,  2748.842, 0.504532,-0.007492, 0.007008, 0.863332,0
1777933601950,  2748.842, 0.504532,-0.007492, 0.007008, 0.863332,0
1777933601968,  2748.867, 0.508130,-0.007462, 0.007039, 0.861220,0
1777933601978,  2748.867, 0.508130,-0.007462, 0.007039, 0.861220,0
1777933601990,  2748.892, 0.504295,-0.007492, 0.007002, 0.863470,0
1777933602000,  2748.892, 0.504295,-0.007492, 0.007002, 0.863470,0
1777933602017,  2748.917, 0.510549,-0.007440, 0.007053, 0.859788,0
1777933602028,  2748.917, 0.510549,-0.007440, 0.007053, 0.859788,0
1777933602039,  2748.942, 0.504278,-0.007489, 0.006989, 0.863480,0
1777933602050,  2748.942, 0.504278,-0.007489, 0.006989, 0.863480,0
1777933602067,  2748.967, 0.506297,-0.007471, 0.007003, 0.862298,0
1777933602077,  2748.967, 0.506297,-0.007471, 0.007003, 0.862298,0
1777933602089,  2748.992, 0.505365,-0.007480, 0.006980, 0.862845,0
1777933602099,  2748.992, 0.505365,-0.007480, 0.006980, 0.862845,0
1777933602112,  2749.017, 0.510192,-0.007445, 0.007018, 0.860000,0
1777933602123,  2749.017, 0.510192,-0.007445, 0.007018, 0.860000,0
1777933602139,  2749.042, 0.503584,-0.007494, 0.006952, 0.863886,0
1777933602149,  2749.042, 0.503584,-0.007494, 0.006952, 0.863886,0
1777933602162,  2749.062, 0.506425,-0.007470, 0.006971, 0.862224,0
1777933602172,  2749.062, 0.506425,-0.007470, 0.006971, 0.862224,0
1777933602188,  2749.087, 0.511213,-0.007435, 0.007014, 0.859393,0
1777933602198,  2749.087, 0.511213,-0.007435, 0.007014, 0.859393,0
1777933602210,  2749.112, 0.512079,-0.007430, 0.007019, 0.858878,0
1777933602220,  2749.112, 0.512079,-0.007430, 0.007019, 0.858878,0
1777933602238,  2749.137, 0.508408,-0.007459, 0.006985, 0.861055,0
1777933602248,  2749.137, 0.508408,-0.007459, 0.006985, 0.861055,0
1777933602260,  2749.162, 0.511027,-0.007438, 0.007004, 0.859504,0
1777933602270,  2749.162, 0.511027,-0.007438, 0.007004, 0.859504,0
1777933602287,  2749.187, 0.505962,-0.007479, 0.006962, 0.862495,0
1777933602298,  2749.187, 0.505962,-0.007479, 0.006962, 0.862495,0
1777933602309,  2749.212, 0.507649,-0.007472, 0.006976, 0.861503,0
1777933602320,  2749.212, 0.507649,-0.007472, 0.006976, 0.861503,0
1777933602337,  2749.237, 0.507914,-0.007472, 0.006973, 0.861347,0
1777933602347,  2749.237, 0.507914,-0.007472, 0.006973, 0.861347,0
1777933602359,  2749.262, 0.511465,-0.007445, 0.007005, 0.859244,0
1777933602369,  2749.262, 0.511465,-0.007445, 0.007005, 0.859244,0
1777933602382,  2749.287, 0.507721,-0.007478, 0.006972, 0.861461,0
1777933602393,  2749.287, 0.507721,-0.007478, 0.006972, 0.861461,0
1777933602409,  2749.312, 0.509140,-0.007457, 0.006979, 0.860623,0
1777933602419,  2749.312, 0.509140,-0.007457, 0.006979, 0.860623,0
1777933602432,  2749.332, 0.509274,-0.007455, 0.006979, 0.860544,0
1777933602442,  2749.332, 0.509274,-0.007455, 0.006979, 0.860544,0
1777933602458,  2749.357, 0.505258,-0.007486, 0.006943, 0.862908,0
1777933602468,  2749.357, 0.505258,-0.007486, 0.006943, 0.862908,0
1777933602480,  2749.382, 0.508047,-0.007462, 0.006964, 0.861269,0
1777933602490,  2749.382, 0.508047,-0.007462, 0.006964, 0.861269,0
1777933602508,  2749.407, 0.504044,-0.007494, 0.006927, 0.863618,0
1777933602518,  2749.407, 0.504044,-0.007494, 0.006927, 0.863618,0
1777933602530,  2749.432, 0.507460,-0.007468, 0.006960, 0.861615,0
1777933602540,  2749.432, 0.507460,-0.007468, 0.006960, 0.861615,0
1777933602558,  2749.457, 0.502323,-0.007511, 0.006916, 0.864620,0
1777933602568,  2749.457, 0.502323,-0.007511, 0.006916, 0.864620,0
1777933602579,  2749.482, 0.508534,-0.007464, 0.006964, 0.860982,0
1777933602590,  2749.482, 0.508534,-0.007464, 0.006964, 0.860982,0
1777933602607,  2749.507, 0.503330,-0.007512, 0.006922, 0.864034,0
1777933602617,  2749.507, 0.503330,-0.007512, 0.006922, 0.864034,0
1777933602629,  2749.532, 0.509312,-0.007463, 0.006975, 0.860521,0
1777933602639,  2749.532, 0.509312,-0.007463, 0.006975, 0.860521,0
1777933602652,  2749.557, 0.506349,-0.007485, 0.006944, 0.862268,0
1777933602663,  2749.557, 0.506349,-0.007485, 0.006944, 0.862268,0
1777933602679,  2749.582, 0.507851,-0.007477, 0.006958, 0.861385,0
1777933602689,  2749.582, 0.507851,-0.007477, 0.006958, 0.861385,0
1777933602702,  2749.602, 0.505033,-0.007499, 0.006935, 0.863040,0
1777933602712,  2749.602, 0.505033,-0.007499, 0.006935, 0.863040,0
1777933602728,  2749.632, 0.508485,-0.007467, 0.006961, 0.861010,0
1777933602738,  2749.632, 0.508485,-0.007467, 0.006961, 0.861010,0
1777933602750,  2749.652, 0.505375,-0.007491, 0.006933, 0.862840,0
1777933602760,  2749.652, 0.505375,-0.007491, 0.006933, 0.862840,0
1777933602778,  2749.677, 0.504321,-0.007496, 0.006921, 0.863456,0
1777933602788,  2749.677, 0.504321,-0.007496, 0.006921, 0.863456,0
1777933602800,  2749.702, 0.504214,-0.007498, 0.006918, 0.863519,0
1777933602810,  2749.702, 0.504214,-0.007498, 0.006918, 0.863519,0
1777933602827,  2749.727, 0.504574,-0.007493, 0.006919, 0.863308,0
1777933602838,  2749.727, 0.504574,-0.007493, 0.006919, 0.863308,0
1777933602849,  2749.752, 0.501191,-0.007523, 0.006887, 0.865277,0
1777933602860,  2749.752, 0.501191,-0.007523, 0.006887, 0.865277,0
1777933602877,  2749.777, 0.503745,-0.007506, 0.006906, 0.863792,0
1777933602887,  2749.777, 0.503745,-0.007506, 0.006906, 0.863792,0
1777933602899,  2749.802, 0.504884,-0.007499, 0.006907, 0.863127,0
1777933602909,  2749.802, 0.504884,-0.007499, 0.006907, 0.863127,0
1777933602923,  2749.827, 0.502132,-0.007519, 0.006878, 0.864731,0
1777933602933,  2749.827, 0.502132,-0.007519, 0.006878, 0.864731,0
1777933602949,  2749.852, 0.501760,-0.007521, 0.006875, 0.864947,0
1777933602959,  2749.852, 0.501760,-0.007521, 0.006875, 0.864947,0
1777933602972,  2749.872, 0.504048,-0.007503, 0.006899, 0.863616,0
1777933602982,  2749.872, 0.504048,-0.007503, 0.006899, 0.863616,0
1777933602998,  2749.902, 0.504766,-0.007498, 0.006909, 0.863196,0
1777933603008,  2749.902, 0.504766,-0.007498, 0.006909, 0.863196,0
1777933603020,  2749.922, 0.505179,-0.007495, 0.006918, 0.862955,0
1777933603030,  2749.922, 0.505179,-0.007495, 0.006918, 0.862955,0
1777933603048,  2749.947, 0.507008,-0.007481, 0.006938, 0.861881,0
1777933603058,  2749.947, 0.507008,-0.007481, 0.006938, 0.861881,0
1777933603070,  2749.972, 0.501832,-0.007524, 0.006896, 0.864905,1
