Time,GPS_ts,fGPS_ts,scaledAccelX,scaledAccelY,scaledAccelZ,deltaVelX,deltaVelY,deltaVelZ,estLinearAccelX,estLinearAccelY,estLinearAccelZ,estLinearAccel:valid,estAngularRateX,estAngularRateY,estAngularRateZ,estAngularRate:valid,estGravityX,estGravityY,estGravityZ,estGravity:valid,flag
1777933601136,  2733.862,  2733.857, 0.020157,-0.004613,-0.996301, 0.000202,-0.000046,-0.009960,-0.004944, 0.000181, 0.042233,1, 0.000486,-0.000253, 0.000607,1,-0.202471, 0.045189, 9.804456,1,0
1777933601147,  2734.107,  2734.107, 0.020345,-0.004684,-0.995944, 0.000200,-0.000044,-0.009959,-0.003311,-0.000642, 0.037573,1, 0.000515,-0.000339, 0.000463,1,-0.202822, 0.045308, 9.804448,1,0
1777933601158,  2748.057,  2748.057, 0.019245,-0.001753,-0.996041, 0.000194,-0.000021,-0.009959,-0.013125, 0.028811, 0.036638,1,-0.000269, 0.000862, 0.000949,1,-0.201886, 0.045991, 9.804463,1,0
1777933601168,  2748.057,  2748.057, 0.019245,-0.001753,-0.996041, 0.000194,-0.000021,-0.009959,-0.013125, 0.028811, 0.036638,1,-0.000269, 0.000862, 0.000949,1,-0.201886, 0.045991, 9.804463,1,0
1777933601180,  2748.082,  2748.077, 0.020687,-0.002205,-0.995159, 0.000211,-0.000021,-0.009954, 0.000141, 0.027206, 0.039132,1,-0.000018, 0.000537, 0.000312,1,-0.201821, 0.045970, 9.804465,1,0
1777933601190,  2748.082,  2748.077, 0.020687,-0.002205,-0.995159, 0.000211,-0.000021,-0.009954, 0.000141, 0.027206, 0.039132,1,-0.000018, 0.000537, 0.000312,1,-0.201821, 0.045970, 9.804465,1,0
1777933601207,  2748.107,  2748.107, 0.020399,-0.004464,-0.995431, 0.000207,-0.000043,-0.009951,-0.001946, 0.002199, 0.042616,1, 0.000195, 0.000261,-0.001100,1,-0.202004, 0.045980, 9.804461,1,0
1777933601217,  2748.107,  2748.107, 0.020399,-0.004464,-0.995431, 0.000207,-0.000043,-0.009951,-0.001946, 0.002199, 0.042616,1, 0.000195, 0.000261,-0.001100,1,-0.202004, 0.045980, 9.804461,1,0
1777933601229,  2748.132,  2748.127, 0.020525,-0.006406,-0.996326, 0.000205,-0.000062,-0.009962,-0.001931,-0.010217, 0.032247,1, 0.000364,-0.000862,-0.000740,1,-0.202019, 0.045843, 9.804461,1,0
1777933601239,  2748.132,  2748.127, 0.020525,-0.006406,-0.996326, 0.000205,-0.000062,-0.009962,-0.001931,-0.010217, 0.032247,1, 0.000364,-0.000862,-0.000740,1,-0.202019, 0.045843, 9.804461,1,0
1777933601257,  2748.157,  2748.157, 0.021339,-0.005704,-0.996295, 0.000210,-0.000056,-0.009961, 0.007135,-0.009966, 0.034142,1,-0.000582, 0.000398, 0.000029,1,-0.202138, 0.045954, 9.804459,1,0
1777933601267,  2748.157,  2748.157, 0.021339,-0.005704,-0.996295, 0.000210,-0.000056,-0.009961, 0.007135,-0.009966, 0.034142,1,-0.000582, 0.000398, 0.000029,1,-0.202138, 0.045954, 9.804459,1,0
1777933601279,  2748.182,  2748.177, 0.021480,-0.004184,-0.995815, 0.000214,-0.000044,-0.009957, 0.008458,-0.000637, 0.044030,1, 0.000696,-0.000519,-0.000674,1,-0.202103, 0.045972, 9.804460,1,0
1777933601289,  2748.182,  2748.177, 0.021480,-0.004184,-0.995815, 0.000214,-0.000044,-0.009957, 0.008458,-0.000637, 0.044030,1, 0.000696,-0.000519,-0.000674,1,-0.202103, 0.045972, 9.804460,1,0
1777933601302,  2748.207,  2748.202, 0.020629,-0.004125,-0.995437, 0.000206,-0.000042,-0.009956, 0.000295, 0.005464, 0.042562,1,-0.000292,-0.000365,-0.000600,1,-0.201991, 0.045911, 9.804462,1,0
1777933601312,  2748.207,  2748.202, 0.020629,-0.004125,-0.995437, 0.000206,-0.000042,-0.009956, 0.000295, 0.005464, 0.042562,1,-0.000292,-0.000365,-0.000600,1,-0.201991, 0.045911, 9.804462,1,0
1777933601329,  2748.232,  2748.227, 0.020051,-0.005433,-0.995880, 0.000201,-0.000053,-0.009960,-0.006442,-0.005226, 0.040963,1, 0.000092, 0.000491,-0.000004,1,-0.201984, 0.045955, 9.804462,1,0
1777933601339,  2748.232,  2748.227, 0.020051,-0.005433,-0.995880, 0.000201,-0.000053,-0.009960,-0.006442,-0.005226, 0.040963,1, 0.000092, 0.000491,-0.000004,1,-0.201984, 0.045955, 9.804462,1,0
1777933601352,  2748.252,  2748.252, 0.020082,-0.004963,-0.995435, 0.000203,-0.000052,-0.009956,-0.005065,-0.002733, 0.042575,1, 0.000124,-0.000376,-0.000308,1,-0.201993, 0.045942, 9.804461,1,0
1777933601362,  2748.252,  2748.252, 0.020082,-0.004963,-0.995435, 0.000203,-0.000052,-0.009956,-0.005065,-0.002733, 0.042575,1, 0.000124,-0.000376,-0.000308,1,-0.201993, 0.045942, 9.804461,1,0
1777933601378,  2748.277,  2748.277, 0.020517,-0.004522,-0.995257, 0.000207,-0.000042,-0.009955,-0.000745, 0.001610, 0.044325,1,-0.000637, 0.000359,-0.000283,1,-0.201960, 0.045939, 9.804462,1,0
1777933601388,  2748.277,  2748.277, 0.020517,-0.004522,-0.995257, 0.000207,-0.000042,-0.009955,-0.000745, 0.001610, 0.044325,1,-0.000637, 0.000359,-0.000283,1,-0.201960, 0.045939, 9.804462,1,0
