Time,fGPS_ts,estOrientQuaternion[0],estOrientQuaternion[1],estOrientQuaternion[2],estOrientQuaternion[3],estOrientQuaternion:valid,flag
1778021950147,   932.273, 0.999990, 0.000410, 0.003067, 0.003256,1,0
1778021950147,   932.282, 0.999990, 0.000598, 0.003075, 0.003332,1,0
1778021950147,   932.291, 0.999989, 0.000834, 0.003091, 0.003403,1,0
1778021950147,   932.300, 0.999989, 0.001068, 0.003109, 0.003464,1,0
1778021950147,   932.309, 0.999988, 0.001264, 0.003112, 0.003516,1,0
1778021950147,   932.318, 0.999988, 0.001418, 0.003114, 0.003561,1,0
1778021950147,   932.327, 0.999987, 0.001539, 0.003122, 0.003598,1,0
1778021950147,   932.336, 0.999987, 0.001640, 0.003120, 0.003635,1,0
1778021950147,   932.345, 0.999987, 0.001761, 0.003111, 0.003671,1,0
1778021950147,   932.351, 0.999987, 0.001863, 0.003111, 0.003694,1,0
1778021950147,   932.360, 0.999986, 0.002055, 0.003119, 0.003723,1,0
1778021950153,   932.366, 0.999986, 0.002203, 0.003133, 0.003738,1,0
1778021950164,   943.274, 0.999469, 0.006468, 0.004013, 0.031673,1,0
1778021950174,   943.283, 0.999469, 0.006477, 0.004014, 0.031672,1,0
1778021950185,   943.292, 0.999469, 0.006476, 0.004016, 0.031672,1,0
1778021950196,   943.301, 0.999469, 0.006472, 0.004016, 0.031670,1,0
1778021950207,   943.310, 0.999469, 0.006463, 0.004017, 0.031668,1,0
1778021950217,   943.319, 0.999469, 0.006469, 0.004018, 0.031668,1,0
1778021950228,   943.328, 0.999469, 0.006489, 0.004018, 0.031671,1,0
1778021950239,   943.334, 0.999469, 0.006511, 0.004018, 0.031671,1,0
1778021950250,   943.343, 0.999469, 0.006547, 0.004016, 0.031672,1,0
1778021950260,   943.352, 0.999469, 0.006587, 0.004015, 0.031672,1,0
1778021950271,   943.361, 0.999468, 0.006619, 0.004014, 0.031675,1,0
1778021950282,   943.370, 0.999468, 0.006640, 0.004011, 0.031678,1,0
1778021950293,   943.379, 0.999468, 0.006652, 0.004011, 0.031680,1,0
1778021950303,   943.388, 0.999468, 0.006658, 0.004010, 0.031684,1,0
1778021950314,   943.397, 0.999468, 0.006664, 0.004010, 0.031686,1,0
1778021950325,   943.472, 0.999467, 0.006729, 0.004007, 0.031690,1,0
1778021950336,   943.481, 0.999467, 0.006720, 0.004007, 0.031690,1,0
1778021950347,   943.487, 0.999467, 0.006712, 0.004007, 0.031689,1,0
1778021950357,   943.496, 0.999467, 0.006706, 0.004011, 0.031686,1,0
1778021950368,   943.505, 0.999467, 0.006710, 0.004014, 0.031683,1,0
1778021950379,   943.514, 0.999467, 0.006720, 0.004013, 0.031680,1,0
1778021950390,   943.523, 0.999467, 0.006741, 0.004012, 0.031679,1,0
1778021950400,   943.532, 0.999467, 0.006752, 0.004014, 0.031675,1,0
1778021950411,   943.541, 0.999467, 0.006757, 0.004014, 0.031673,1,0
1778021950422,   943.550, 0.999467, 0.006754, 0.004015, 0.031672,1,0
1778021950433,   943.556, 0.999468, 0.006746, 0.004015, 0.031670,1,0
1778021950443,   943.565, 0.999468, 0.006728, 0.004019, 0.031668,1,0
1778021950454,   943.574, 0.999468, 0.006708, 0.004018, 0.031665,1,0
1778021950465,   943.583, 0.999468, 0.006689, 0.004016, 0.031663,1,0
1778021950476,   943.592, 0.999468, 0.006680, 0.004018, 0.031660,1,0
1778021950486,   943.601, 0.999468, 0.006681, 0.004015, 0.031656,1,0
1778021950497,   943.610, 0.999468, 0.006694, 0.004016, 0.031653,1,0
1778021950508,   943.619, 0.999468, 0.006711, 0.004015, 0.031652,1,0
1778021950519,   943.628, 0.999468, 0.006729, 0.004016, 0.031650,1,0
1778021950530,   943.634, 0.999468, 0.006735, 0.004018, 0.031647,1,0
1778021950540,   943.643, 0.999468, 0.006733, 0.004021, 0.031645,1,0
1778021950551,   943.652, 0.999469, 0.006721, 0.004023, 0.031643,1,0
1778021950562,   943.661, 0.999469, 0.006617, 0.004020, 0.031640,1,0
1778021950573,   943.670, 0.999469, 0.006611, 0.004021, 0.031641,1,0
1778021950583,   943.679, 0.999469, 0.006616, 0.004024, 0.031643,1,0
1778021950594,   943.688, 0.999469, 0.006638, 0.004029, 0.031641,1,0
1778021950605,   943.697, 0.999469, 0.006670, 0.004029, 0.031639,1,0
1778021950616,   943.703, 0.999469, 0.006690, 0.004028, 0.031640,1,0
1778021950626,   943.712, 0.999469, 0.006716, 0.004028, 0.031641,1,0
1778021950637,   943.721, 0.999469, 0.006733, 0.004029, 0.031642,1,0
1778021950648,   943.787, 0.999467, 0.006850, 0.004046, 0.031649,1,0
1778021950659,   943.796, 0.999467, 0.006880, 0.004048, 0.031652,1,0
1778021950669,   943.805, 0.999467, 0.006909, 0.004048, 0.031654,1,0
1778021950680,   943.814, 0.999467, 0.006921, 0.004049, 0.031654,1,0
1778021950691,   943.820, 0.999467, 0.006924, 0.004050, 0.031657,1,0
1778021950702,   943.829, 0.999466, 0.006929, 0.004051, 0.031659,1,0
1778021950712,   943.838, 0.999466, 0.006929, 0.004052, 0.031662,1,0
1778021950723,   943.847, 0.999466, 0.006929, 0.004050, 0.031663,1,0
1778021950734,   943.856, 0.999466, 0.006935, 0.004049, 0.031664,1,0
1778021950745,   943.865, 0.999467, 0.006857, 0.004056, 0.031663,1,0
1778021950756,   943.874, 0.999467, 0.006871, 0.004055, 0.031661,1,0
1778021950766,   943.883, 0.999467, 0.006883, 0.004058, 0.031664,1,0
1778021950777,   943.892, 0.999467, 0.006891, 0.004056, 0.031661,1,0
1778021950788,   943.898, 0.999467, 0.006891, 0.004056, 0.031659,1,0
1778021950799,   943.907, 0.999467, 0.006881, 0.004056, 0.031656,1,0
1778021950809,   943.916, 0.999467, 0.006866, 0.004055, 0.031655,1,0
1778021950820,   943.925, 0.999467, 0.006846, 0.004057, 0.031653,1,0
1778021950831,   943.934, 0.999467, 0.006832, 0.004054, 0.031651,1,0
1778021950842,   943.943, 0.999468, 0.006820, 0.004050, 0.031647,1,0
1778021950852,   943.952, 0.999468, 0.006813, 0.004047, 0.031643,1,0
1778021950863,   943.961, 0.999468, 0.006807, 0.004047, 0.031642,1,0
1778021950874,   943.967, 0.999468, 0.006803, 0.004047, 0.031641,1,0
1778021950885,   943.976, 0.999468, 0.006796, 0.004046, 0.031638,1,0
1778021950895,   943.985, 0.999468, 0.006783, 0.004042, 0.031635,1,0
