Time,GPS_ts,orientQuaternion[0],orientQuaternion[1],orientQuaternion[2],orientQuaternion[3],flag
1778021831968,   812.461, 0.712530, 0.015197,-0.005194,-0.701458,0
1778021831969,   812.470, 0.713921, 0.015215,-0.005172,-0.700042,0
1778021831969,   812.479, 0.713367, 0.015205,-0.005178,-0.700607,0
1778021831969,   812.488, 0.712957, 0.015192,-0.005171,-0.701024,0
1778021831969,   812.497, 0.711670, 0.015177,-0.005192,-0.702331,0
1778021831969,   812.506, 0.712728, 0.015188,-0.005169,-0.701257,0
1778021831969,   812.515, 0.710905, 0.015186,-0.005224,-0.703104,0
1778021831969,   812.524, 0.711935, 0.015213,-0.005223,-0.702061,0
1778021831969,   812.533, 0.712150, 0.015233,-0.005241,-0.701842,0
1778021831969,   812.542, 0.711815, 0.015243,-0.005261,-0.702182,0
1778021831969,   812.548, 0.710823, 0.015243,-0.005288,-0.703186,0
1778021831974,   825.088, 0.713337, 0.018071,-0.006293,-0.700560,0
1778021831985,   825.097, 0.714629, 0.018040,-0.006266,-0.699243,0
1778021831996,   825.106, 0.712085, 0.018012,-0.006344,-0.701834,0
1778021832007,   825.112, 0.716167, 0.018024,-0.006240,-0.697668,0
1778021832017,   825.121, 0.714525, 0.017940,-0.006215,-0.699352,0
1778021832028,   825.130, 0.711111, 0.017809,-0.006112,-0.702827,0
1778021832039,   825.139, 0.714150, 0.017678,-0.005790,-0.699745,0
1778021832050,   825.145, 0.714648, 0.017597,-0.005645,-0.699240,0
1778021832060,   825.202, 0.715309, 0.017522,-0.005633,-0.698566,0
1778021832071,   825.211, 0.713313, 0.017357,-0.005479,-0.700609,0
1778021832082,   825.220, 0.712319, 0.017320,-0.005442,-0.701621,0
1778021832093,   825.229, 0.711491, 0.017376,-0.005568,-0.702458,0
1778021832103,   825.235, 0.712932, 0.017458,-0.005657,-0.700993,0
1778021832114,   825.244, 0.715139, 0.017580,-0.005757,-0.698737,0
1778021832125,   825.253, 0.711536, 0.017548,-0.005884,-0.702406,0
1778021832136,   825.262, 0.710761, 0.017458,-0.005793,-0.703193,0
1778021832147,   825.271, 0.716331, 0.017366,-0.005455,-0.697523,0
1778021832157,   825.280, 0.712114, 0.017196,-0.005383,-0.701832,0
1778021832168,   825.289, 0.714238, 0.017158,-0.005246,-0.699673,0
1778021832179,   825.298, 0.714273, 0.017173,-0.005275,-0.699636,0
1778021832190,   825.307, 0.710697, 0.017214,-0.005463,-0.703266,0
1778021832200,   825.313, 0.709395, 0.017257,-0.005566,-0.704578,0
1778021832211,   825.322, 0.713713, 0.017329,-0.005532,-0.700202,0
1778021832222,   825.331, 0.712855, 0.017314,-0.005541,-0.701076,0
1778021832233,   825.340, 0.714175, 0.017253,-0.005412,-0.699733,0
1778021832243,   825.349, 0.711110, 0.017136,-0.005356,-0.702852,0
1778021832254,   825.358, 0.711517, 0.017072,-0.005238,-0.702442,0
1778021832265,   825.367, 0.710259, 0.017048,-0.005248,-0.703714,0
1778021832276,   825.376, 0.712094, 0.017116,-0.005272,-0.701855,0
1778021832286,   825.382, 0.712912, 0.017177,-0.005328,-0.701023,0
1778021832297,   825.391, 0.711131, 0.017237,-0.005484,-0.702826,0
1778021832308,   825.400, 0.714197, 0.017297,-0.005456,-0.699710,0
1778021832319,   825.409, 0.716373, 0.017276,-0.005357,-0.697483,0
1778021832329,   825.418, 0.714615, 0.017190,-0.005298,-0.699287,0
1778021832340,   825.427, 0.714250, 0.017124,-0.005207,-0.699662,0
1778021832351,   825.436, 0.712719, 0.017094,-0.005219,-0.701222,0
1778021832362,   825.523, 0.713313, 0.017175,-0.005324,-0.700615,0
1778021832373,   825.532, 0.711946, 0.017187,-0.005393,-0.702004,0
1778021832383,   825.541, 0.716445, 0.017229,-0.005299,-0.697411,0
1778021832394,   825.550, 0.713349, 0.017196,-0.005368,-0.700577,0
1778021832405,   825.556, 0.712892, 0.017189,-0.005366,-0.701043,0
1778021832416,   825.565, 0.714130, 0.017190,-0.005321,-0.699782,0
1778021832426,   825.574, 0.715311, 0.017200,-0.005291,-0.698575,0
1778021832437,   825.583, 0.714918, 0.017207,-0.005312,-0.698977,0
1778021832448,   825.592, 0.717556, 0.017249,-0.005276,-0.696267,0
1778021832459,   825.601, 0.713142, 0.017239,-0.005415,-0.700787,0
1778021832469,   825.610, 0.714202, 0.017268,-0.005415,-0.699706,0
1778021832480,   825.619, 0.714596, 0.017282,-0.005421,-0.699303,0
1778021832491,   825.625, 0.711495, 0.017256,-0.005495,-0.702458,0
1778021832502,   825.634, 0.712908, 0.017267,-0.005453,-0.701023,0
1778021832512,   825.643, 0.711574, 0.017261,-0.005489,-0.702378,0
1778021832523,   825.652, 0.713737, 0.017300,-0.005458,-0.700178,0
1778021832534,   825.661, 0.711175, 0.017314,-0.005559,-0.702780,0
1778021832545,   825.670, 0.713574, 0.017373,-0.005544,-0.700343,0
1778021832556,   825.679, 0.710706, 0.017378,-0.005646,-0.703252,0
1778021832566,   825.688, 0.714529, 0.017423,-0.005566,-0.699366,0
1778021832577,   825.697, 0.714190, 0.017426,-0.005581,-0.699713,0
1778021832588,   825.703, 0.713485, 0.017425,-0.005601,-0.700432,0
1778021832599,   825.712, 0.717961, 0.017477,-0.005511,-0.695842,0
1778021832609,   825.721, 0.716221, 0.017496,-0.005591,-0.697632,0
1778021832620,   825.730, 0.713380, 0.017517,-0.005712,-0.700535,0
1778021832631,   825.739, 0.715490, 0.017574,-0.005706,-0.698379,0
1778021832642,   825.748, 0.712969, 0.017586,-0.005805,-0.700951,0
1778021832652,   825.757, 0.713612, 0.017622,-0.005816,-0.700296,0
1778021832663,   825.766, 0.712091, 0.017638,-0.005885,-0.701841,0
1778021832674,   825.772, 0.714550, 0.017681,-0.005848,-0.699336,0
1778021832685,   825.823, 0.711927, 0.017916,-0.006193,-0.701998,0
1778021832696,   825.832, 0.713124, 0.017972,-0.006210,-0.700780,0
1778021832706,   825.841, 0.713262, 0.018021,-0.006258,-0.700638,0
1778021832717,   825.850, 0.715898, 0.018095,-0.006244,-0.697943,0
1778021832728,   825.859, 0.713326, 0.018120,-0.006363,-0.700569,0
1778021832739,   825.868, 0.712506, 0.018167,-0.006437,-0.701402,0
1778021832749,   825.877, 0.715614, 0.018248,-0.006410,-0.698228,0
1778021832760,   825.886, 0.713175, 0.018274,-0.006525,-0.700718,0
1778021832771,   825.895, 0.713605, 0.018323,-0.006560,-0.700278,0
1778021832782,   825.901, 0.713717, 0.018356,-0.006590,-0.700163,0
1778021832792,   825.910, 0.712379, 0.018386,-0.006672,-0.701523,0
1778021832803,   825.919, 0.712765, 0.018440,-0.006710,-0.701128,0
1778021832814,   825.928, 0.714470, 0.018507,-0.006720,-0.699389,0
1778021832825,   825.937, 0.711880, 0.018531,-0.006845,-0.702023,0
1778021832835,   825.946, 0.712759, 0.018585,-0.006873,-0.701130,0
1778021832846,   825.955, 0.713681, 0.018635,-0.006893,-0.700190,0
1778021832857,   825.964, 0.714677, 0.018677,-0.006902,-0.699171,0
1778021832868,   825.970, 0.712037, 0.018674,-0.006994,-0.701859,0
1778021832878,   825.979, 0.713344, 0.018723,-0.006990,-0.700529,0
1778021832889,   825.988, 0.713277, 0.018761,-0.007031,-0.700596,0
1778021832900,   825.997, 0.712030, 0.018784,-0.007109,-0.701861,0
1778021832911,   826.006, 0.714260, 0.018842,-0.007089,-0.699591,0
1778021832922,   826.015, 0.713754, 0.018864,-0.007137,-0.700106,0
1778021832932,   826.024, 0.713369, 0.018887,-0.007177,-0.700498,0
1778021832943,   826.033, 0.715010, 0.018925,-0.007155,-0.698822,0
1778021832954,   826.042, 0.712367, 0.018923,-0.007248,-0.701514,0
1778021832965,   826.048, 0.712003, 0.018934,-0.007276,-0.701884,0
1778021832975,   826.057, 0.715292, 0.018992,-0.007210,-0.698530,0
1778021832986,   826.144, 0.712451, 0.019008,-0.007324,-0.701427,0
1778021832997,   826.153, 0.714062, 0.019010,-0.007260,-0.699787,0
1778021833008,   826.162, 0.711554, 0.018972,-0.007313,-0.702337,0
1778021833018,   826.171, 0.710292, 0.018945,-0.007333,-0.703614,0
1778021833029,   826.180, 0.711999, 0.018950,-0.007273,-0.701887,0
1778021833040,   826.189, 0.714587, 0.018966,-0.007185,-0.699253,0
1778021833051,   826.198, 0.715047, 0.018956,-0.007154,-0.698783,0
1778021833061,   826.207, 0.712946, 0.018923,-0.007196,-0.700926,0
