Time,GPS_ts,fGPS_ts,scaledAccelX,scaledAccelY,scaledAccelZ,deltaVelX,deltaVelY,deltaVelZ,estLinearAccelX,estLinearAccelY,estLinearAccelZ,estLinearAccel:valid,estAngularRateX,estAngularRateY,estAngularRateZ,estAngularRate:valid,estGravityX,estGravityY,estGravityZ,estGravity:valid,flag
1778021831968,   812.461,   812.458, 0.016922,-0.020046,-0.995593, 0.000051,-0.000060,-0.002987,-0.027521, 0.013208, 0.055608,1, 0.007694,-0.000203, 0.003806,1,-0.189811, 0.212833, 9.802503,1,0
1778021831969,   812.470,   812.467, 0.015387,-0.019919,-0.999414, 0.000046,-0.000060,-0.002998,-0.033455, 0.018385, 0.020421,1, 0.002642,-0.000121, 0.003478,1,-0.189797, 0.213265, 9.802493,1,0
1778021831969,   812.479,   812.476, 0.014759,-0.019442,-0.994082, 0.000045,-0.000058,-0.002982,-0.019752, 0.030131, 0.031161,1,-0.000966, 0.000336, 0.004140,1,-0.189801, 0.213315, 9.802492,1,0
1778021831969,   812.488,   812.485, 0.016446,-0.016399,-0.992452, 0.000051,-0.000049,-0.002978,-0.021351, 0.049037, 0.066657,1,-0.003385, 0.001437, 0.003686,1,-0.189867, 0.213099, 9.802496,1,0
1778021831969,   812.497,   812.494, 0.017979,-0.016957,-0.998624, 0.000054,-0.000052,-0.002997,-0.032598, 0.022539, 0.008773,1,-0.001398,-0.000009, 0.004208,1,-0.189876, 0.212955, 9.802499,1,0
1778021831969,   812.506,   812.503, 0.018529,-0.017274,-0.999971, 0.000056,-0.000052,-0.003001,-0.027117, 0.038863,-0.006935,1, 0.002299, 0.000502, 0.003972,1,-0.189847, 0.212973, 9.802499,1,0
1778021831969,   812.515,   812.512, 0.018366,-0.017038,-0.996614, 0.000055,-0.000052,-0.002991,-0.017263, 0.035657, 0.014221,1, 0.005258,-0.000319, 0.004523,1,-0.188810, 0.211992, 9.802540,1,0
1778021831969,   812.524,   812.521, 0.017928,-0.018018,-0.990838, 0.000053,-0.000054,-0.002972,-0.003529, 0.050421, 0.086583,1, 0.007825,-0.000433, 0.004003,1,-0.188751, 0.212638, 9.802527,1,0
1778021831969,   812.533,   812.530, 0.018684,-0.016705,-0.993011, 0.000056,-0.000050,-0.002978, 0.015147, 0.057610, 0.083690,1, 0.008412,-0.001290, 0.003731,1,-0.188648, 0.213314, 9.802515,1,0
1778021831969,   812.542,   812.539, 0.019199,-0.014080,-0.993053, 0.000058,-0.000042,-0.002979, 0.011337, 0.076641, 0.061943,1, 0.005295,-0.000685, 0.004783,1,-0.188562, 0.213873, 9.802505,1,0
1778021831969,   812.548,   812.545, 0.019447,-0.012389,-0.994404, 0.000058,-0.000037,-0.002983,-0.012770, 0.080456, 0.061692,1, 0.005078, 0.000046, 0.005947,1,-0.188539, 0.214166, 9.802498,1,0
1778021831974,   825.088,   825.085, 0.022227,-0.019009,-0.979293, 0.000066,-0.000053,-0.002933, 0.018201, 0.114171, 0.142865,1,-0.013317,-0.001305, 0.002861,1,-0.176686, 0.253781, 9.801773,1,0
1778021831985,   825.097,   825.094, 0.015113,-0.030356,-0.948765, 0.000049,-0.000090,-0.002846, 0.009629, 0.067514, 0.466779,1,-0.007343,-0.004248, 0.002891,1,-0.176196, 0.252992, 9.801803,1,0
1778021831996,   825.106,   825.103, 0.023090,-0.040410,-1.027839, 0.000071,-0.000122,-0.003084, 0.042936,-0.199239,-0.046637,1,-0.000991,-0.001631,-0.002091,1,-0.175745, 0.253149, 9.801806,1,0
1778021832007,   825.112,   825.112, 0.018473,-0.052842,-1.067286, 0.000057,-0.000161,-0.003213, 0.005728,-0.266740,-0.664647,1,-0.012387,-0.006498,-0.002833,1,-0.175408, 0.250981, 9.801868,1,0
1778021832017,   825.121,   825.121, 0.011450,-0.050161,-1.018525, 0.000032,-0.000155,-0.003054,-0.063058,-0.242734,-0.186404,1,-0.031827, 0.006075,-0.004018,1,-0.175398, 0.248873, 9.801923,1,0
1778021832028,   825.130,   825.130, 0.016191,-0.021089,-1.034930, 0.000049,-0.000064,-0.003106,-0.017717, 0.038493,-0.347207,1,-0.051400, 0.016681,-0.001585,1,-0.176657, 0.244824, 9.802002,1,0
1778021832039,   825.139,   825.136, 0.017178, 0.007465,-0.971005, 0.000053, 0.000024,-0.002911, 0.025128, 0.242796,-0.004174,1,-0.063320, 0.014806, 0.003047,1,-0.177613, 0.241202, 9.802074,1,0
1778021832050,   825.145,   825.145, 0.016156, 0.017808,-0.939316, 0.000047, 0.000053,-0.002814,-0.020067, 0.411738, 0.590617,1,-0.041864, 0.012698, 0.003394,1,-0.178623, 0.236706, 9.802165,1,0
1778021832060,   825.202,   825.199, 0.016234,-0.014316,-1.028807, 0.000049,-0.000044,-0.003090,-0.035786, 0.027709,-0.368621,1,-0.059102, 0.015462, 0.002724,1,-0.177345, 0.237642, 9.802166,1,0
1778021832071,   825.211,   825.208, 0.015344, 0.005058,-0.962763, 0.000046, 0.000015,-0.002886,-0.030997, 0.234280, 0.195955,1,-0.054253, 0.009280, 0.000880,1,-0.178321, 0.232352, 9.802275,1,0
1778021832082,   825.220,   825.217, 0.020471, 0.004026,-0.986684, 0.000062, 0.000014,-0.002960,-0.000428, 0.310501, 0.267417,1,-0.011050, 0.005569,-0.003302,1,-0.178947, 0.229939, 9.802320,1,0
1778021832093,   825.229,   825.226, 0.018026,-0.011501,-0.977249, 0.000055,-0.000035,-0.002935, 0.015557, 0.147404, 0.073232,1, 0.028677,-0.006977,-0.007088,1,-0.178687, 0.231479, 9.802289,1,0
1778021832103,   825.235,   825.235, 0.013129,-0.025871,-0.961551, 0.000039,-0.000078,-0.002882,-0.048941,-0.018864, 0.372637,1, 0.047386,-0.012421,-0.005732,1,-0.177576, 0.235286, 9.802218,1,0
1778021832114,   825.244,   825.244, 0.015531,-0.042361,-1.010916, 0.000047,-0.000127,-0.003034,-0.024594,-0.176936,-0.111546,1, 0.030719,-0.007221,-0.003803,1,-0.176833, 0.238767, 9.802148,1,0
1778021832125,   825.253,   825.253, 0.017310,-0.040704,-1.000180, 0.000052,-0.000123,-0.003001,-0.006560,-0.160022,-0.006267,1,-0.009074,-0.004250,-0.001467,1,-0.176269, 0.239065, 9.802151,1,0
1778021832136,   825.262,   825.262, 0.023641,-0.028366,-1.008763, 0.000072,-0.000085,-0.003024, 0.055276,-0.041492,-0.090384,1,-0.040956, 0.008088, 0.000424,1,-0.176642, 0.236305, 9.802211,1,0
1778021832147,   825.271,   825.268, 0.027006,-0.012795,-1.018876, 0.000082,-0.000039,-0.003061, 0.064218, 0.041654,-0.281274,1,-0.053396, 0.010056,-0.000418,1,-0.177228, 0.233322, 9.802272,1,0
1778021832157,   825.280,   825.277, 0.023281, 0.001689,-0.974603, 0.000070, 0.000005,-0.002922, 0.061387, 0.219791, 0.147176,1,-0.047367, 0.005599,-0.001187,1,-0.177859, 0.228708, 9.802369,1,0
1778021832168,   825.289,   825.286, 0.025556,-0.002849,-1.001095, 0.000077,-0.000009,-0.003004, 0.077874, 0.221501, 0.077448,1,-0.019025, 0.003720,-0.002259,1,-0.178283, 0.226109, 9.802422,1,0
1778021832179,   825.298,   825.295, 0.023571,-0.010796,-0.979072, 0.000071,-0.000033,-0.002938, 0.068018, 0.154275, 0.078494,1, 0.008603,-0.003262,-0.000960,1,-0.178254, 0.226082, 9.802423,1,0
1778021832190,   825.307,   825.304, 0.023422,-0.023975,-0.986115, 0.000070,-0.000072,-0.002955, 0.036781, 0.051382, 0.267207,1, 0.027226,-0.006842, 0.000418,1,-0.177702, 0.228052, 9.802387,1,0
1778021832200,   825.313,   825.313, 0.025944,-0.030479,-1.007058, 0.000078,-0.000092,-0.003023, 0.077378,-0.070037,-0.073483,1, 0.027004,-0.005409, 0.000634,1,-0.176959, 0.228909, 9.802381,1,0
1778021832211,   825.322,   825.322, 0.025106,-0.032151,-0.988903, 0.000075,-0.000097,-0.002966, 0.069757,-0.085008, 0.104529,1, 0.009529,-0.005233, 0.000344,1,-0.176402, 0.230371, 9.802357,1,0
1778021832222,   825.331,   825.331, 0.025785,-0.029722,-1.006029, 0.000077,-0.000090,-0.003017, 0.076492,-0.061351,-0.063408,1,-0.010603, 0.002245, 0.000151,1,-0.176398, 0.230025, 9.802365,1,0
1778021832233,   825.340,   825.337, 0.025335,-0.020657,-1.005188, 0.000076,-0.000063,-0.003018, 0.078029,-0.007451,-0.137913,1,-0.027013, 0.003119,-0.001404,1,-0.176575, 0.228656, 9.802394,1,0
1778021832243,   825.349,   825.343, 0.023154,-0.013149,-0.989570, 0.000070,-0.000039,-0.002967, 0.067634, 0.055476, 0.049712,1,-0.034880, 0.004609,-0.000757,1,-0.176813, 0.226673, 9.802436,1,0
1778021832254,   825.358,   825.355, 0.025439,-0.010449,-1.005293, 0.000077,-0.000032,-0.003017, 0.063000, 0.119475,-0.037431,1,-0.026193, 0.006122,-0.000829,1,-0.177538, 0.222941, 9.802508,1,0
