Time,fGPS_ts,estOrientQuaternion[0],estOrientQuaternion[1],estOrientQuaternion[2],estOrientQuaternion[3],estOrientQuaternion:valid,flag
1778021468872,   446.294, 0.999719, 0.022090, 0.008626,-0.000305,1,0
1778021468872,   446.303, 0.999719, 0.022091, 0.008628,-0.000303,1,0
1778021468872,   446.312, 0.999719, 0.022086, 0.008629,-0.000298,1,0
1778021468872,   446.321, 0.999719, 0.022086, 0.008626,-0.000296,1,0
1778021468872,   446.330, 0.999719, 0.022095, 0.008626,-0.000296,1,0
1778021468872,   446.339, 0.999718, 0.022101, 0.008625,-0.000296,1,0
1778021468872,   446.348, 0.999717, 0.022128, 0.008701,-0.000296,1,0
1778021468872,   446.357, 0.999717, 0.022136, 0.008703,-0.000293,1,0
1778021468872,   446.366, 0.999717, 0.022143, 0.008704,-0.000293,1,0
1778021468872,   446.375, 0.999717, 0.022156, 0.008703,-0.000296,1,0
1778021468872,   446.381, 0.999716, 0.022168, 0.008700,-0.000296,1,0
1778021468878,   461.978, 0.999722, 0.021905, 0.008630,-0.000928,1,0
1778021468889,   461.984, 0.999723, 0.021888, 0.008629,-0.000930,1,0
1778021468899,   461.993, 0.999723, 0.021865, 0.008631,-0.000933,1,0
1778021468910,   462.002, 0.999724, 0.021838, 0.008628,-0.000936,1,0
1778021468921,   462.011, 0.999724, 0.021809, 0.008631,-0.000937,1,0
1778021468932,   462.020, 0.999725, 0.021778, 0.008635,-0.000938,1,0
1778021468942,   462.029, 0.999726, 0.021749, 0.008638,-0.000938,1,0
1778021468953,   462.038, 0.999726, 0.021724, 0.008637,-0.000940,1,0
1778021468964,   462.047, 0.999727, 0.021699, 0.008640,-0.000945,1,0
1778021468975,   462.053, 0.999727, 0.021683, 0.008641,-0.000949,1,0
1778021468985,   462.062, 0.999728, 0.021658, 0.008639,-0.000954,1,0
1778021468996,   462.071, 0.999728, 0.021628, 0.008645,-0.000956,1,0
1778021469007,   462.128, 0.999733, 0.021411, 0.008659,-0.000963,1,0
1778021469018,   462.137, 0.999733, 0.021382, 0.008663,-0.000962,1,0
1778021469028,   462.143, 0.999733, 0.021404, 0.008662,-0.000961,1,0
1778021469039,   462.152, 0.999733, 0.021382, 0.008667,-0.000961,1,0
1778021469050,   462.161, 0.999734, 0.021363, 0.008668,-0.000963,1,0
1778021469061,   462.170, 0.999734, 0.021340, 0.008668,-0.000967,1,0
1778021469071,   462.179, 0.999735, 0.021308, 0.008672,-0.000968,1,0
1778021469082,   462.188, 0.999736, 0.021267, 0.008673,-0.000966,1,0
1778021469093,   462.197, 0.999737, 0.021222, 0.008681,-0.000963,1,0
1778021469104,   462.206, 0.999737, 0.021186, 0.008681,-0.000963,1,0
1778021469115,   462.215, 0.999738, 0.021159, 0.008683,-0.000963,1,0
1778021469125,   462.221, 0.999738, 0.021141, 0.008680,-0.000965,1,0
1778021469136,   462.230, 0.999739, 0.021117, 0.008682,-0.000967,1,0
1778021469147,   462.239, 0.999739, 0.021098, 0.008686,-0.000967,1,0
1778021469158,   462.248, 0.999740, 0.021080, 0.008686,-0.000968,1,0
1778021469168,   462.257, 0.999740, 0.021056, 0.008687,-0.000970,1,0
1778021469179,   462.266, 0.999741, 0.021036, 0.008684,-0.000970,1,0
1778021469190,   462.275, 0.999741, 0.021019, 0.008686,-0.000972,1,0
1778021469201,   462.284, 0.999741, 0.020996, 0.008688,-0.000974,1,0
1778021469211,   462.290, 0.999742, 0.020983, 0.008689,-0.000976,1,0
1778021469222,   462.299, 0.999742, 0.020956, 0.008692,-0.000978,1,0
1778021469233,   462.308, 0.999743, 0.020929, 0.008692,-0.000980,1,0
1778021469244,   462.317, 0.999743, 0.020901, 0.008690,-0.000979,1,0
1778021469254,   462.326, 0.999744, 0.020880, 0.008687,-0.000980,1,0
1778021469265,   462.335, 0.999744, 0.020869, 0.008689,-0.000982,1,0
1778021469276,   462.344, 0.999743, 0.020896, 0.008692,-0.000983,1,0
1778021469287,   462.353, 0.999743, 0.020891, 0.008692,-0.000986,1,0
1778021469297,   462.362, 0.999744, 0.020887, 0.008691,-0.000989,1,0
1778021469308,   462.368, 0.999744, 0.020877, 0.008693,-0.000990,1,0
1778021469319,   462.455, 0.999747, 0.020713, 0.008708,-0.001002,1,0
1778021469330,   462.464, 0.999747, 0.020698, 0.008706,-0.001001,1,0
1778021469341,   462.473, 0.999747, 0.020693, 0.008708,-0.001002,1,0
1778021469351,   462.482, 0.999748, 0.020683, 0.008709,-0.001001,1,0
1778021469362,   462.491, 0.999748, 0.020671, 0.008709,-0.001002,1,0
1778021469373,   462.497, 0.999748, 0.020661, 0.008707,-0.001001,1,0
1778021469384,   462.506, 0.999749, 0.020641, 0.008707,-0.000999,1,0
1778021469394,   462.515, 0.999749, 0.020625, 0.008708,-0.000998,1,0
1778021469405,   462.524, 0.999749, 0.020608, 0.008704,-0.001000,1,0
1778021469416,   462.533, 0.999749, 0.020601, 0.008705,-0.001001,1,0
1778021469427,   462.542, 0.999749, 0.020637, 0.008707,-0.001004,1,0
1778021469437,   462.551, 0.999749, 0.020631, 0.008708,-0.001003,1,0
1778021469448,   462.560, 0.999749, 0.020617, 0.008710,-0.001005,1,0
1778021469459,   462.569, 0.999749, 0.020600, 0.008713,-0.001005,1,0
1778021469470,   462.575, 0.999750, 0.020587, 0.008716,-0.001006,1,0
1778021469480,   462.584, 0.999750, 0.020575, 0.008717,-0.001003,1,0
1778021469491,   462.593, 0.999750, 0.020566, 0.008720,-0.001005,1,0
