Time,GPS_ts,orientQuaternion[0],orientQuaternion[1],orientQuaternion[2],orientQuaternion[3],flag
1778021468872,   446.297, 0.731263, 0.022186,-0.007674,-0.681691,0
1778021468872,   446.306, 0.730499, 0.022178,-0.007697,-0.682511,0
1778021468872,   446.315, 0.730811, 0.022178,-0.007686,-0.682177,0
1778021468872,   446.324, 0.732549, 0.022197,-0.007636,-0.680309,0
1778021468872,   446.333, 0.731738, 0.022193,-0.007670,-0.681181,0
1778021468872,   446.342, 0.731808, 0.022199,-0.007675,-0.681105,0
1778021468872,   446.351, 0.732020, 0.022207,-0.007675,-0.680878,0
1778021468872,   446.360, 0.732232, 0.022215,-0.007675,-0.680649,0
1778021468872,   446.369, 0.730475, 0.022201,-0.007741,-0.682535,0
1778021468872,   446.378, 0.731208, 0.022218,-0.007728,-0.681749,0
1778021468872,   446.384, 0.731089, 0.022223,-0.007744,-0.681876,0
1778021468878,   461.978, 0.731259, 0.019578,-0.005884,-0.681794,0
1778021468889,   461.987, 0.732690, 0.019571,-0.005826,-0.680256,0
1778021468899,   461.996, 0.733025, 0.019558,-0.005801,-0.679895,0
1778021468910,   462.005, 0.732792, 0.019533,-0.005791,-0.680148,0
1778021468921,   462.014, 0.732284, 0.019510,-0.005785,-0.680696,0
1778021468932,   462.020, 0.732993, 0.019502,-0.005746,-0.679933,0
1778021468942,   462.029, 0.732964, 0.019483,-0.005725,-0.679964,0
1778021468953,   462.038, 0.731813, 0.019454,-0.005742,-0.681204,0
1778021468964,   462.047, 0.731893, 0.019439,-0.005722,-0.681118,0
1778021468975,   462.056, 0.732648, 0.019430,-0.005685,-0.680307,0
1778021468985,   462.065, 0.733761, 0.019420,-0.005635,-0.679107,0
1778021468996,   462.074, 0.731314, 0.019382,-0.005677,-0.681742,0
1778021469007,   462.128, 0.730873, 0.019236,-0.005541,-0.682219,0
1778021469018,   462.137, 0.732263, 0.019228,-0.005478,-0.680728,0
1778021469028,   462.146, 0.734259, 0.019227,-0.005401,-0.678576,0
1778021469039,   462.155, 0.730699, 0.019187,-0.005486,-0.682408,0
1778021469050,   462.164, 0.732198, 0.019185,-0.005431,-0.680800,0
1778021469061,   462.173, 0.734275, 0.019184,-0.005354,-0.678560,0
1778021469071,   462.182, 0.731011, 0.019135,-0.005423,-0.682076,0
1778021469082,   462.188, 0.732130, 0.019124,-0.005372,-0.680875,0
1778021469093,   462.197, 0.731241, 0.019089,-0.005361,-0.681831,0
1778021469104,   462.206, 0.731053, 0.019061,-0.005341,-0.682034,0
1778021469115,   462.215, 0.730368, 0.019036,-0.005340,-0.682768,0
1778021469125,   462.224, 0.733042, 0.019034,-0.005249,-0.679897,0
1778021469136,   462.233, 0.730957, 0.019005,-0.005289,-0.682139,0
1778021469147,   462.242, 0.730931, 0.018994,-0.005276,-0.682167,0
1778021469158,   462.251, 0.732875, 0.018995,-0.005208,-0.680078,0
1778021469168,   462.257, 0.730975, 0.018969,-0.005249,-0.682120,0
1778021469179,   462.266, 0.731299, 0.018955,-0.005229,-0.681774,0
1778021469190,   462.275, 0.730774, 0.018940,-0.005230,-0.682337,0
1778021469201,   462.284, 0.728650, 0.018909,-0.005272,-0.684604,0
1778021469211,   462.293, 0.730906, 0.018910,-0.005195,-0.682196,0
1778021469222,   462.302, 0.732976, 0.018909,-0.005118,-0.679973,0
1778021469233,   462.311, 0.728819, 0.018855,-0.005213,-0.684427,0
1778021469244,   462.320, 0.730127, 0.018844,-0.005162,-0.683032,0
1778021469254,   462.329, 0.734518, 0.018863,-0.005030,-0.678308,0
1778021469265,   462.335, 0.734443, 0.018859,-0.005025,-0.678390,0
1778021469276,   462.344, 0.730915, 0.018828,-0.005114,-0.682190,0
1778021469287,   462.353, 0.730233, 0.018820,-0.005131,-0.682920,0
1778021469297,   462.362, 0.732268, 0.018832,-0.005073,-0.680737,0
1778021469308,   462.449, 0.730320, 0.018712,-0.005009,-0.682830,0
1778021469319,   462.458, 0.731279, 0.018706,-0.004968,-0.681804,0
1778021469330,   462.464, 0.730827, 0.018695,-0.004975,-0.682288,0
1778021469341,   462.473, 0.733473, 0.018711,-0.004898,-0.679444,0
1778021469351,   462.482, 0.733967, 0.018709,-0.004877,-0.678910,0
1778021469362,   462.491, 0.734582, 0.018704,-0.004853,-0.678244,0
1778021469373,   462.500, 0.733024, 0.018679,-0.004885,-0.679929,0
1778021469384,   462.509, 0.730084, 0.018645,-0.004954,-0.683085,0
1778021469394,   462.518, 0.731025, 0.018641,-0.004917,-0.682079,0
1778021469405,   462.527, 0.731336, 0.018631,-0.004902,-0.681745,0
1778021469416,   462.536, 0.732646, 0.018636,-0.004861,-0.680338,0
1778021469427,   462.542, 0.731350, 0.018626,-0.004895,-0.681731,0
1778021469437,   462.551, 0.732678, 0.018633,-0.004854,-0.680303,0
1778021469448,   462.560, 0.733126, 0.018627,-0.004831,-0.679820,0
1778021469459,   462.569, 0.732740, 0.018614,-0.004828,-0.680237,0
1778021469470,   462.578, 0.731174, 0.018593,-0.004854,-0.681920,0
1778021469480,   462.587, 0.732397, 0.018595,-0.004814,-0.680607,0
1778021469491,   462.596, 0.729291, 0.018567,-0.004892,-0.683935,0
1778021469502,   462.605, 0.733318, 0.018593,-0.004777,-0.679614,0
1778021469513,   462.614, 0.733905, 0.018591,-0.004756,-0.678981,0
1778021469523,   462.620, 0.732550, 0.018577,-0.004792,-0.680443,0
1778021469534,   462.629, 0.731284, 0.018564,-0.004820,-0.681803,0
1778021469545,   462.635, 0.730410, 0.018553,-0.004842,-0.682740,0
1778021469556,   462.647, 0.731637, 0.018560,-0.004807,-0.681425,0
1778021469567,   462.656, 0.733830, 0.018579,-0.004752,-0.679062,0
1778021469577,   462.665, 0.732501, 0.018570,-0.004790,-0.680495,0
1778021469588,   462.674, 0.733059, 0.018575,-0.004779,-0.679895,0
1778021469599,   462.683, 0.732276, 0.018566,-0.004800,-0.680737,0
1778021469610,   462.689, 0.733121, 0.018567,-0.004773,-0.679828,0
1778021469620,   462.698, 0.732150, 0.018557,-0.004795,-0.680874,0
1778021469631,   462.755, 0.731471, 0.018542,-0.004816,-0.681604,0
1778021469642,   462.764, 0.731759, 0.018543,-0.004806,-0.681294,0
1778021469653,   462.773, 0.732787, 0.018551,-0.004776,-0.680188,0
1778021469663,   462.779, 0.733350, 0.018555,-0.004759,-0.679582,0
1778021469674,   462.788, 0.730170, 0.018529,-0.004843,-0.682997,0
1778021469685,   462.797, 0.728362, 0.018514,-0.004892,-0.684925,0
1778021469696,   462.806, 0.731291, 0.018530,-0.004810,-0.681797,0
1778021469706,   462.815, 0.732432, 0.018533,-0.004775,-0.680571,0
1778021469717,   462.824, 0.731235, 0.018525,-0.004811,-0.681857,0
1778021469728,   462.833, 0.733242, 0.018543,-0.004763,-0.679698,0
1778021469739,   462.842, 0.733678, 0.018547,-0.004752,-0.679227,0
1778021469749,   462.851, 0.729474, 0.018519,-0.004870,-0.683740,0
