Time,GPS_ts,fGPS_ts,scaledAccelX,scaledAccelY,scaledAccelZ,deltaVelX,deltaVelY,deltaVelZ,estLinearAccelX,estLinearAccelY,estLinearAccelZ,estLinearAccel:valid,estAngularRateX,estAngularRateY,estAngularRateZ,estAngularRate:valid,estGravityX,estGravityY,estGravityZ,estGravity:valid,flag
1778021468872,   446.297,   446.294, 0.015627,-0.045692,-0.996553, 0.000047,-0.000137,-0.002990,-0.011553,-0.016737, 0.031310,1, 0.001560, 0.000185, 0.001026,1,-0.169272, 0.433081, 9.795620,1,0
1778021468872,   446.306,   446.303, 0.015437,-0.045016,-0.995650, 0.000046,-0.000135,-0.002987,-0.019433,-0.009235, 0.024266,1,-0.000434, 0.000626, 0.000538,1,-0.169304, 0.433103, 9.795618,1,0
1778021468872,   446.315,   446.312, 0.015304,-0.044906,-0.994961, 0.000047,-0.000135,-0.002984,-0.023669,-0.006647, 0.037388,1,-0.000913, 0.000449, 0.001073,1,-0.169323, 0.433007, 9.795623,1,0
1778021468872,   446.324,   446.321, 0.014802,-0.044649,-0.995473, 0.000045,-0.000134,-0.002986,-0.030359,-0.004925, 0.030205,1, 0.000175,-0.001071, 0.000450,1,-0.169272, 0.433010, 9.795623,1,0
1778021468872,   446.333,   446.330, 0.014695,-0.044124,-0.994313, 0.000044,-0.000132,-0.002983,-0.026451,-0.003386, 0.041522,1, 0.002035, 0.000385, 0.000421,1,-0.169262, 0.433181, 9.795616,1,0
1778021468872,   446.342,   446.339, 0.014965,-0.044387,-0.994442, 0.000044,-0.000133,-0.002983,-0.030870, 0.001795, 0.043587,1, 0.001029,-0.000310, 0.000465,1,-0.169254, 0.433304, 9.795610,1,0
1778021468872,   446.351,   446.348, 0.013937,-0.043998,-0.993320, 0.000042,-0.000132,-0.002980,-0.035527, 0.002210, 0.051306,1, 0.002127, 0.000173, 0.000274,1,-0.170730, 0.433830, 9.795562,1,0
1778021468872,   446.360,   446.357, 0.013983,-0.043664,-0.994686, 0.000042,-0.000131,-0.002984,-0.034487, 0.011171, 0.049289,1, 0.002237, 0.000331, 0.000533,1,-0.170773, 0.433978, 9.795554,1,0
1778021468872,   446.369,   446.366, 0.013872,-0.043266,-0.993908, 0.000041,-0.000130,-0.002982,-0.034599, 0.012511, 0.049253,1, 0.002067,-0.000491,-0.000862,1,-0.170784, 0.434124, 9.795547,1,0
1778021468872,   446.378,   446.375, 0.014332,-0.043806,-0.994102, 0.000043,-0.000132,-0.002982,-0.034951, 0.009978, 0.049124,1, 0.002070, 0.000344, 0.000199,1,-0.170772, 0.434370, 9.795537,1,0
1778021468872,   446.384,   446.381, 0.013745,-0.044008,-0.995380, 0.000041,-0.000132,-0.002986,-0.031414, 0.001947, 0.044239,1, 0.004297,-0.001398, 0.000105,1,-0.170721, 0.434615, 9.795527,1,0
1778021468878,   461.978,   461.978, 0.016260,-0.045452,-0.993808, 0.000049,-0.000136,-0.002981,-0.010151,-0.016314, 0.049848,1,-0.005765, 0.000636,-0.000576,1,-0.169615, 0.429359, 9.795778,1,0
1778021468889,   461.987,   461.984, 0.016236,-0.045819,-0.995178, 0.000049,-0.000138,-0.002985,-0.009241,-0.017255, 0.037097,1,-0.006258,-0.000659,-0.000197,1,-0.169594, 0.429027, 9.795793,1,0
1778021468899,   461.996,   461.993, 0.016823,-0.045788,-0.995362, 0.000051,-0.000137,-0.002986,-0.013527,-0.017905, 0.034054,1,-0.005088,-0.000710,-0.000715,1,-0.169635, 0.428569, 9.795813,1,0
1778021468910,   462.005,   462.002, 0.016442,-0.045686,-0.995343, 0.000049,-0.000137,-0.002986,-0.014231,-0.018136, 0.038527,1,-0.006020,-0.001354,-0.000750,1,-0.169584, 0.428031, 9.795836,1,0
1778021468921,   462.014,   462.011, 0.017219,-0.044874,-0.996151, 0.000051,-0.000134,-0.002989,-0.009387,-0.016776, 0.014990,1,-0.006496, 0.000400,-0.000293,1,-0.169632, 0.427478, 9.795860,1,0
1778021468932,   462.020,   462.020, 0.016344,-0.044106,-0.995879, 0.000049,-0.000132,-0.002987,-0.009419,-0.005605, 0.029644,1,-0.007047, 0.000816,-0.000356,1,-0.169711, 0.426861, 9.795885,1,0
1778021468942,   462.029,   462.029, 0.017336,-0.045052,-0.995010, 0.000052,-0.000135,-0.002985, 0.000236,-0.015464, 0.038189,1,-0.005472, 0.000293,-0.000143,1,-0.169779, 0.426292, 9.795909,1,0
