Time,GPS_ts,orientQuaternion[0],orientQuaternion[1],orientQuaternion[2],orientQuaternion[3],flag
1778107564022,   601.017, 0.003165, 0.005230, 0.001220,-0.999981,0
1778107564022,   601.042, 0.004507, 0.005228, 0.001077,-0.999976,0
1778107564022,   601.062, 0.004480, 0.005234, 0.000973,-0.999976,0
1778107564022,   601.087, 0.007171, 0.005235, 0.000891,-0.999960,0
1778107564022,   601.112, 0.005126, 0.005234, 0.000744,-0.999973,0
1778107564022,   601.137, 0.004409, 0.005231, 0.000648,-0.999976,0
1778107564022,   601.162, 0.005740, 0.005222, 0.000533,-0.999970,0
1778107564022,   601.187, 0.005030, 0.005224, 0.000463,-0.999974,0
1778107564022,   601.212, 0.004984, 0.005222, 0.000370,-0.999974,0
1778107564022,   601.232, 0.005712, 0.005227, 0.000326,-0.999970,0
1778107564022,   601.252, 0.003584, 0.005228, 0.000267,-0.999980,0
1778107564033,   615.517, 0.010619, 0.006183, 0.010266,-0.999872,0
1778107564055,   615.542, 0.010513, 0.006179, 0.010187,-0.999874,0
1778107564076,   615.562, 0.010800, 0.006175, 0.010131,-0.999871,0
1778107564103,   615.587, 0.006986, 0.006220, 0.010051,-0.999906,0
1778107564125,   615.612, 0.006931, 0.006215, 0.009960,-0.999907,0
1778107564148,   615.632, 0.009864, 0.006186, 0.009920,-0.999883,0
1778107564173,   615.657, 0.009218, 0.006193, 0.009866,-0.999890,0
1778107564195,   615.682, 0.006233, 0.006223, 0.009787,-0.999913,0
1778107564218,   615.702, 0.009908, 0.006187, 0.009776,-0.999884,0
1778107564243,   615.727, 0.004980, 0.006239, 0.009703,-0.999921,0
1778107564265,   615.752, 0.009938, 0.006198, 0.009679,-0.999885,0
1778107564288,   615.772, 0.007120, 0.006227, 0.009626,-0.999909,0
1778107564314,   615.797, 0.009768, 0.006210, 0.009614,-0.999887,0
1778107564335,   615.822, 0.007942, 0.006230, 0.009585,-0.999903,0
1778107564358,   615.842, 0.009903, 0.006210, 0.009600,-0.999886,0
1778107564384,   615.867, 0.007756, 0.006230, 0.009588,-0.999905,0
1778107564405,   615.892, 0.006956, 0.006234, 0.009597,-0.999910,0
1778107564428,   615.912, 0.010599, 0.006205, 0.009644,-0.999878,0
1778107564454,   615.937, 0.011422, 0.006199, 0.009676,-0.999869,0
1778107564475,   615.962, 0.008547, 0.006227, 0.009703,-0.999897,0
1778107564498,   615.987, 0.007634, 0.006238, 0.009724,-0.999904,0
1778107564524,   616.007, 0.007090, 0.006244, 0.009754,-0.999908,0
1778107564545,   616.032, 0.009002, 0.006225, 0.009821,-0.999892,0
1778107564568,   616.057, 0.009065, 0.006220, 0.009867,-0.999891,0
1778107564594,   616.077, 0.005731, 0.006253, 0.009911,-0.999915,0
1778107564615,   616.102, 0.010606, 0.006208, 0.010062,-0.999874,0
1778107564638,   616.127, 0.009233, 0.006221, 0.010150,-0.999887,0
1778107564664,   616.147, 0.004270, 0.006274, 0.010220,-0.999919,0
1778107564686,   616.172, 0.010778, 0.006211, 0.010409,-0.999869,0
1778107564708,   616.197, 0.009310, 0.006220, 0.010491,-0.999882,0
1778107564734,   616.217, 0.008693, 0.006226, 0.010575,-0.999887,0
1778107564756,   616.242, 0.007935, 0.006232, 0.010682,-0.999892,0
1778107564778,   616.267, 0.008738, 0.006225, 0.010760,-0.999885,0
1778107564804,   616.287, 0.006797, 0.006248, 0.010825,-0.999899,0
1778107564826,   616.312, 0.008900, 0.006227, 0.010957,-0.999881,0
1778107564853,   616.337, 0.009544, 0.006229, 0.011029,-0.999874,0
1778107564874,   616.357, 0.007480, 0.006259, 0.011076,-0.999891,0
1778107564896,   616.382, 0.009402, 0.006244, 0.011138,-0.999874,0
1778107564923,   616.407, 0.012613, 0.006212, 0.011172,-0.999839,0
1778107564944,   616.432, 0.008282, 0.006265, 0.011145,-0.999884,0
1778107564966,   616.452, 0.007719, 0.006272, 0.011124,-0.999889,0
1778107564993,   616.477, 0.006770, 0.006280, 0.011077,-0.999896,0
1778107565014,   616.502, 0.010204, 0.006235, 0.010974,-0.999868,0
1778107565036,   616.522, 0.005278, 0.006282, 0.010826,-0.999908,0
1778107565065,   616.547, 0.006047, 0.006267, 0.010683,-0.999905,0
1778107565085,   616.572, 0.008726, 0.006224, 0.010456,-0.999888,0
1778107565106,   616.592, 0.009205, 0.006214, 0.010290,-0.999885,0
1778107565133,   616.617, 0.007795, 0.006222, 0.010114,-0.999899,0
1778107565155,   616.642, 0.009800, 0.006199, 0.009913,-0.999884,0
1778107565176,   616.662, 0.005613, 0.006240, 0.009763,-0.999917,0
1778107565203,   616.687, 0.011180, 0.006185, 0.009683,-0.999872,0
1778107565225,   616.712, 0.006258, 0.006235, 0.009476,-0.999916,0
1778107565246,   616.732, 0.008221, 0.006220, 0.009405,-0.999903,0
1778107565273,   616.757, 0.009672, 0.006197, 0.009424,-0.999890,0
1778107565295,   616.777, 0.007681, 0.006223, 0.009521,-0.999906,0
1778107565316,   616.802, 0.008407, 0.006223, 0.009839,-0.999897,0
1778107565343,   616.827, 0.009861, 0.006216, 0.010076,-0.999881,0
1778107565365,   616.852, 0.009354, 0.006232, 0.010334,-0.999883,0
1778107565388,   616.872, 0.009308, 0.006218, 0.010464,-0.999883,0
1778107565413,   616.897, 0.008915, 0.006232, 0.010544,-0.999885,0
1778107565435,   616.922, 0.008744, 0.006242, 0.010616,-0.999886,0
1778107565458,   616.942, 0.009606, 0.006230, 0.010693,-0.999877,0
1778107565483,   616.967, 0.009628, 0.006223, 0.010756,-0.999876,0
1778107565505,   616.992, 0.008792, 0.006251, 0.010705,-0.999885,0
1778107565528,   617.012, 0.007994, 0.006267, 0.010532,-0.999893,0
1778107565554,   617.037, 0.008043, 0.006242, 0.010314,-0.999895,0
1778107565575,   617.062, 0.008443, 0.006218, 0.009856,-0.999897,0
1778107565598,   617.082, 0.008958, 0.006226, 0.009485,-0.999896,0
1778107565624,   617.107, 0.008197, 0.006229, 0.009011,-0.999906,0
1778107565645,   617.132, 0.008622, 0.006227, 0.008175,-0.999910,0
1778107565668,   617.152, 0.008562, 0.006208, 0.007635,-0.999915,0
1778107565694,   617.177, 0.010407, 0.006171, 0.007149,-0.999901,0
1778107565715,   617.202, 0.009517, 0.006166, 0.006528,-0.999914,0
1778107565738,   617.227, 0.007325, 0.006155, 0.006276,-0.999935,0
1778107565764,   617.247, 0.008759, 0.006153, 0.006289,-0.999923,0
1778107565785,   617.272, 0.008219, 0.006178, 0.006637,-0.999925,0
1778107565808,   617.297, 0.006245, 0.006193, 0.007173,-0.999936,0
1778107565834,   617.317, 0.005810, 0.006208, 0.007921,-0.999933,0
1778107565856,   617.342, 0.011006, 0.006170, 0.009253,-0.999878,0
1778107565878,   617.367, 0.009876, 0.006189, 0.010038,-0.999882,0
1778107565904,   617.387, 0.010077, 0.006206, 0.010729,-0.999872,0
1778107565926,   617.412, 0.014565, 0.006221, 0.011454,-0.999809,0
1778107565948,   617.437, 0.008350, 0.006290, 0.011589,-0.999878,0
1778107565974,   617.457, 0.011531, 0.006272, 0.012197,-0.999839,0
1778107565996,   617.482, 0.012326, 0.006299, 0.012872,-0.999821,0
1778107566018,   617.507, 0.006424, 0.006389, 0.013181,-0.999872,0
1778107566044,   617.527, 0.012660, 0.006334, 0.013491,-0.999809,0
1778107566066,   617.552, 0.011978, 0.006349, 0.013825,-0.999813,0
1778107566093,   617.577, 0.010886, 0.006362, 0.014028,-0.999822,0
1778107566114,   617.597, 0.011808, 0.006362, 0.014247,-0.999809,0
1778107566136,   617.622, 0.012294, 0.006396, 0.014572,-0.999798,0
1778107566163,   617.647, 0.011633, 0.006461, 0.014745,-0.999803,0
1778107566184,   617.672, 0.010791, 0.006492, 0.014994,-0.999808,0
1778107566206,   617.692, 0.013626, 0.006485, 0.015298,-0.999769,0
1778107566233,   617.717, 0.009090, 0.006606, 0.015727,-0.999813,0
1778107566254,   617.742, 0.014214, 0.006597, 0.016545,-0.999740,0
1778107566276,   617.762, 0.016366, 0.006608, 0.017081,-0.999698,0
1778107566303,   617.787, 0.013717, 0.006719, 0.017558,-0.999729,0
1778107566325,   617.812, 0.013340, 0.006821, 0.018296,-0.999720,0
1778107566346,   617.832, 0.018550, 0.006788, 0.018769,-0.999629,0
1778107566374,   617.857, 0.014452, 0.006915, 0.019001,-0.999691,0
1778107566395,   617.882, 0.014449, 0.007037, 0.019150,-0.999687,0
1778107566416,   617.902, 0.014011, 0.007123, 0.019114,-0.999694,0
1778107566443,   617.927, 0.013093, 0.007224, 0.018937,-0.999709,0
1778107566465,   617.952, 0.017171, 0.007259, 0.018625,-0.999653,0
1778107566486,   617.972, 0.017091, 0.007283, 0.018463,-0.999657,0
1778107566513,   617.997, 0.012504, 0.007350, 0.018289,-0.999728,0
1778107566535,   618.022, 0.019998, 0.007191, 0.018031,-0.999612,0
1778107566556,   618.042, 0.020137, 0.007199, 0.017855,-0.999612,0
1778107566583,   618.067, 0.016675, 0.007292, 0.017688,-0.999678,0
1778107566605,   618.092, 0.018046, 0.007400, 0.017532,-0.999656,0
1778107566628,   618.112, 0.022726, 0.007393, 0.017600,-0.999560,0
1778107566653,   618.137, 0.021936, 0.007465, 0.017749,-0.999574,0
1778107566675,   618.157, 0.022787, 0.007507, 0.018089,-0.999549,0
1778107566698,   618.182, 0.022104, 0.007489, 0.018487,-0.999557,0
1778107566724,   618.207, 0.026023, 0.007408, 0.018753,-0.999458,0
1778107566745,   618.232, 0.022168, 0.007526, 0.018739,-0.999550,0
1778107566768,   618.252, 0.023818, 0.007523, 0.018590,-0.999515,0
1778107566794,   618.277, 0.023744, 0.007524, 0.018299,-0.999522,0
1778107566815,   618.302, 0.026987, 0.007383, 0.017863,-0.999449,0
1778107566838,   618.322, 0.024913, 0.007335, 0.017680,-0.999506,0
1778107566864,   618.347, 0.025417, 0.007274, 0.017650,-0.999495,0
1778107566885,   618.372, 0.027125, 0.007277, 0.017699,-0.999449,0
1778107566908,   618.392, 0.026224, 0.007376, 0.017861,-0.999469,0
1778107566934,   618.417, 0.028314, 0.007389, 0.018162,-0.999407,0
1778107566955,   618.442, 0.031902, 0.007426, 0.018813,-0.999286,0
1778107566978,   618.467, 0.028666, 0.007481, 0.019345,-0.999374,0
1778107567004,   618.487, 0.032169, 0.007360, 0.020037,-0.999255,0
1778107567025,   618.512, 0.032337, 0.007353, 0.020923,-0.999231,0
1778107567048,   618.537, 0.037224, 0.007263, 0.021423,-0.999051,0
1778107567074,   618.557, 0.037728, 0.007206, 0.021722,-0.999026,0
1778107567096,   618.582, 0.038297, 0.007093, 0.021639,-0.999007,0
1778107567118,   618.607, 0.039520, 0.007011, 0.021393,-0.998965,0
1778107567144,   618.627, 0.039090, 0.007017, 0.021172,-0.998987,0
1778107567166,   618.652, 0.040599, 0.007205, 0.020681,-0.998936,0
1778107567188,   618.677, 0.037231, 0.007396, 0.020380,-0.999072,0
1778107567214,   618.697, 0.036998, 0.007455, 0.020136,-0.999085,0
1778107567236,   618.722, 0.042072, 0.007379, 0.019969,-0.998888,0
1778107567259,   618.747, 0.042348, 0.007387, 0.020172,-0.998872,0
1778107567284,   618.767, 0.043140, 0.007486, 0.020506,-0.998831,0
1778107567306,   618.792, 0.040996, 0.007727, 0.021059,-0.998907,0
1778107567333,   618.817, 0.045321, 0.007630, 0.021504,-0.998712,0
1778107567354,   618.837, 0.043944, 0.007687, 0.021670,-0.998769,0
1778107567376,   618.862, 0.044525, 0.007720, 0.021880,-0.998739,0
1778107567403,   618.887, 0.044377, 0.007821, 0.022087,-0.998740,0
1778107567424,   618.912, 0.046436, 0.007989, 0.022521,-0.998635,0
1778107567446,   618.932, 0.047748, 0.007983, 0.023029,-0.998562,0
1778107567473,   618.957, 0.050563, 0.007967, 0.023432,-0.998414,0
1778107567495,   618.982, 0.049352, 0.008142, 0.023604,-0.998469,0
1778107567516,   619.002, 0.051648, 0.008159, 0.023375,-0.998358,0
1778107567543,   619.027, 0.050513, 0.008204, 0.023591,-0.998411,0
1778107567565,   619.052, 0.052372, 0.008022, 0.024891,-0.998285,0
