Time,fGPS_ts,estOrientQuaternion[0],estOrientQuaternion[1],estOrientQuaternion[2],estOrientQuaternion[3],estOrientQuaternion:valid,flag
1778107864413,   905.711, 0.999844,-0.016300, 0.006763, 0.000099,1,0
1778107864413,   905.715, 0.999844,-0.016295, 0.006761, 0.000098,1,0
1778107864413,   905.721, 0.999844,-0.016290, 0.006761, 0.000097,1,0
1778107864413,   905.725, 0.999844,-0.016285, 0.006763, 0.000096,1,0
1778107864413,   905.730, 0.999845,-0.016278, 0.006763, 0.000096,1,0
1778107864413,   905.735, 0.999845,-0.016274, 0.006761, 0.000098,1,0
1778107864413,   905.740, 0.999845,-0.016266, 0.006759, 0.000097,1,0
1778107864413,   905.745, 0.999845,-0.016259, 0.006758, 0.000098,1,0
1778107864413,   905.749, 0.999845,-0.016254, 0.006757, 0.000097,1,0
1778107864413,   905.755, 0.999845,-0.016245, 0.006756, 0.000095,1,0
1778107864413,   905.757, 0.999845,-0.016242, 0.006756, 0.000096,1,0
1778107864419,   915.459, 0.999911,-0.011576, 0.006624,-0.000247,1,0
1778107864429,   915.463, 0.999911,-0.011579, 0.006625,-0.000246,1,0
1778107864440,   915.467, 0.999911,-0.011578, 0.006625,-0.000247,1,0
1778107864451,   915.473, 0.999911,-0.011578, 0.006626,-0.000246,1,0
1778107864462,   915.477, 0.999911,-0.011576, 0.006627,-0.000244,1,0
1778107864472,   915.482, 0.999911,-0.011575, 0.006630,-0.000244,1,0
1778107864483,   915.487, 0.999911,-0.011575, 0.006629,-0.000246,1,0
1778107864494,   915.491, 0.999911,-0.011571, 0.006629,-0.000247,1,0
1778107864505,   915.496, 0.999911,-0.011569, 0.006630,-0.000250,1,0
1778107864515,   915.501, 0.999911,-0.011562, 0.006631,-0.000252,1,0
1778107864526,   915.505, 0.999911,-0.011557, 0.006631,-0.000253,1,0
1778107864537,   915.510, 0.999911,-0.011550, 0.006631,-0.000255,1,0
1778107864548,   915.515, 0.999911,-0.011544, 0.006631,-0.000255,1,0
1778107864558,   915.519, 0.999911,-0.011537, 0.006629,-0.000255,1,0
1778107864569,   915.524, 0.999911,-0.011531, 0.006631,-0.000255,1,0
1778107864580,   915.529, 0.999912,-0.011527, 0.006631,-0.000254,1,0
1778107864591,   915.533, 0.999912,-0.011524, 0.006629,-0.000256,1,0
1778107864602,   915.538, 0.999912,-0.011516, 0.006630,-0.000255,1,0
1778107864612,   915.892, 0.999906,-0.012025, 0.006636,-0.000225,1,0
1778107864623,   915.897, 0.999906,-0.012036, 0.006636,-0.000225,1,0
1778107864634,   915.901, 0.999905,-0.012047, 0.006635,-0.000225,1,0
1778107864645,   915.906, 0.999905,-0.012063, 0.006636,-0.000225,1,0
1778107864655,   915.911, 0.999905,-0.012073, 0.006639,-0.000226,1,0
1778107864666,   915.915, 0.999905,-0.012082, 0.006639,-0.000227,1,0
1778107864677,   915.920, 0.999905,-0.012102, 0.006638,-0.000227,1,0
1778107864688,   915.925, 0.999905,-0.012113, 0.006641,-0.000228,1,0
1778107864698,   915.929, 0.999904,-0.012122, 0.006641,-0.000228,1,0
1778107864709,   915.934, 0.999904,-0.012133, 0.006645,-0.000229,1,0
1778107864720,   915.939, 0.999904,-0.012142, 0.006642,-0.000228,1,0
1778107864731,   915.943, 0.999904,-0.012152, 0.006643,-0.000227,1,0
1778107864741,   915.949, 0.999904,-0.012165, 0.006646,-0.000228,1,0
1778107864752,   915.953, 0.999904,-0.012173, 0.006647,-0.000228,1,0
1778107864763,   915.957, 0.999904,-0.012181, 0.006649,-0.000227,1,0
1778107864774,   915.963, 0.999904,-0.012190, 0.006649,-0.000228,1,0
1778107864785,   915.967, 0.999904,-0.012194, 0.006650,-0.000229,1,0
1778107864795,   915.971, 0.999903,-0.012198, 0.006652,-0.000230,1,0
1778107864806,   915.977, 0.999903,-0.012203, 0.006654,-0.000230,1,0
1778107864817,   915.981, 0.999903,-0.012206, 0.006655,-0.000230,1,0
1778107864828,   915.985, 0.999903,-0.012209, 0.006656,-0.000230,1,0
1778107864838,   915.991, 0.999903,-0.012212, 0.006657,-0.000230,1,0
1778107864849,   915.995, 0.999903,-0.012211, 0.006656,-0.000230,1,0
1778107864860,   915.999, 0.999903,-0.012213, 0.006655,-0.000229,1,0
1778107864871,   916.005, 0.999903,-0.012251, 0.006647,-0.000230,1,0
1778107864881,   916.009, 0.999903,-0.012252, 0.006647,-0.000230,1,0
1778107864892,   916.013, 0.999903,-0.012252, 0.006648,-0.000231,1,0
1778107864903,   916.019, 0.999903,-0.012253, 0.006644,-0.000231,1,0
1778107864914,   916.023, 0.999903,-0.012253, 0.006646,-0.000232,1,0
1778107864924,   916.027, 0.999903,-0.012256, 0.006644,-0.000231,1,0
1778107864935,   916.033, 0.999903,-0.012255, 0.006641,-0.000231,1,0
1778107864946,   916.037, 0.999903,-0.012256, 0.006643,-0.000230,1,0
1778107864957,   916.041, 0.999903,-0.012255, 0.006640,-0.000229,1,0
1778107864967,   916.047, 0.999903,-0.012254, 0.006639,-0.000228,1,0
1778107864978,   916.051, 0.999903,-0.012256, 0.006639,-0.000229,1,0
1778107864989,   916.056, 0.999903,-0.012259, 0.006638,-0.000230,1,0
1778107865000,   916.061, 0.999903,-0.012260, 0.006638,-0.000231,1,0
1778107865011,   916.065, 0.999903,-0.012262, 0.006638,-0.000233,1,0
1778107865021,   916.070, 0.999903,-0.012264, 0.006637,-0.000231,1,0
1778107865032,   916.075, 0.999903,-0.012266, 0.006637,-0.000231,1,0
1778107865043,   916.081, 0.999903,-0.012265, 0.006639,-0.000233,1,0
1778107865054,   916.086, 0.999903,-0.012267, 0.006641,-0.000232,1,0
1778107865064,   916.091, 0.999903,-0.012268, 0.006639,-0.000231,1,0
1778107865075,   916.095, 0.999903,-0.012271, 0.006640,-0.000230,1,0
1778107865086,   916.100, 0.999903,-0.012273, 0.006640,-0.000228,1,0
1778107865097,   916.105, 0.999903,-0.012276, 0.006639,-0.000228,1,0
1778107865107,   916.109, 0.999903,-0.012277, 0.006639,-0.000228,1,0
1778107865118,   916.114, 0.999903,-0.012278, 0.006637,-0.000228,1,0
1778107865129,   916.119, 0.999903,-0.012279, 0.006636,-0.000226,1,0
