Time,GPS_ts,fGPS_ts,scaledAccelX,scaledAccelY,scaledAccelZ,deltaVelX,deltaVelY,deltaVelZ,estLinearAccelX,estLinearAccelY,estLinearAccelZ,estLinearAccel:valid,estAngularRateX,estAngularRateY,estAngularRateZ,estAngularRate:valid,estGravityX,estGravityY,estGravityZ,estGravity:valid,flag
1778107864413,   905.711,   905.711, 0.013192, 0.032989,-0.995165, 0.000026, 0.000066,-0.001990,-0.003299, 0.003863, 0.041309,1, 0.001612,-0.001034, 0.000173,1,-0.132665,-0.319637, 9.800542,1,0
1778107864413,   905.716,   905.715, 0.013710, 0.032978,-0.995789, 0.000028, 0.000066,-0.001992, 0.001115, 0.003440, 0.037720,1, 0.001323,-0.000681,-0.000671,1,-0.132619,-0.319545, 9.800546,1,0
1778107864413,   905.721,   905.721, 0.013157, 0.033346,-0.995904, 0.000026, 0.000067,-0.001992,-0.003594, 0.007560, 0.034064,1, 0.001993, 0.000598, 0.000336,1,-0.132623,-0.319436, 9.800549,1,0
1778107864413,   905.726,   905.725, 0.012903, 0.033264,-0.995044, 0.000026, 0.000067,-0.001990,-0.006490, 0.003516, 0.040113,1, 0.002937, 0.000631,-0.001226,1,-0.132650,-0.319336, 9.800551,1,0
1778107864413,   905.731,   905.730, 0.013673, 0.033370,-0.995375, 0.000027, 0.000067,-0.001991, 0.001439, 0.008037, 0.039263,1, 0.002440, 0.000178, 0.000269,1,-0.132648,-0.319201, 9.800556,1,0
1778107864413,   905.736,   905.735, 0.013225, 0.033589,-0.994989, 0.000027, 0.000067,-0.001990,-0.001093, 0.014552, 0.043693,1, 0.002704,-0.000887, 0.001141,1,-0.132623,-0.319126, 9.800559,1,0
1778107864413,   905.740,   905.740, 0.013022, 0.033470,-0.994981, 0.000026, 0.000067,-0.001990,-0.004882, 0.009239, 0.043130,1, 0.002676,-0.001253, 0.000007,1,-0.132580,-0.318974, 9.800565,1,0
1778107864413,   905.745,   905.745, 0.012540, 0.033579,-0.995584, 0.000025, 0.000067,-0.001991,-0.009588, 0.010446, 0.037228,1, 0.004032, 0.000053, 0.000958,1,-0.132562,-0.318830, 9.800570,1,0
1778107864413,   905.749,   905.749, 0.013233, 0.033479,-0.994884, 0.000026, 0.000067,-0.001990,-0.002764, 0.009581, 0.044088,1, 0.001812,-0.000691,-0.001092,1,-0.132533,-0.318724, 9.800573,1,0
1778107864413,   905.755,   905.755, 0.013319, 0.032602,-0.995607, 0.000027, 0.000065,-0.001991,-0.001901, 0.001133, 0.037010,1, 0.002800,-0.000527,-0.000559,1,-0.132514,-0.318565, 9.800579,1,0
1778107864413,   905.758,   905.757, 0.013512, 0.033375,-0.996422, 0.000027, 0.000067,-0.001993,-0.003278, 0.007980, 0.036214,1, 0.003193,-0.000092, 0.000383,1,-0.132509,-0.318496, 9.800581,1,0
1778107864419,   915.459,   915.459, 0.011808, 0.025817,-0.996373, 0.000024, 0.000052,-0.001993,-0.014046, 0.026134, 0.032080,1,-0.001860, 0.000174, 0.000120,1,-0.129846,-0.227060, 9.803161,1,0
1778107864429,   915.464,   915.463, 0.011443, 0.027087,-0.996009, 0.000023, 0.000054,-0.001992,-0.015646, 0.038603, 0.038296,1,-0.001698, 0.001015, 0.000356,1,-0.129872,-0.227115, 9.803160,1,0
1778107864440,   915.468,   915.467, 0.011167, 0.027101,-0.994654, 0.000022, 0.000054,-0.001989,-0.019402, 0.038134, 0.042195,1, 0.000521,-0.000086,-0.000565,1,-0.129863,-0.227096, 9.803160,1,0
1778107864451,   915.473,   915.473, 0.011353, 0.026499,-0.994235, 0.000023, 0.000053,-0.001989,-0.018553, 0.032773, 0.053040,1, 0.000775, 0.000660, 0.000422,1,-0.129897,-0.227088, 9.803160,1,0
1778107864462,   915.478,   915.477, 0.011566, 0.026351,-0.994564, 0.000023, 0.000052,-0.001989,-0.017830, 0.035487, 0.051606,1, 0.001139, 0.000427, 0.000657,1,-0.129909,-0.227057, 9.803161,1,0
1778107864472,   915.482,   915.482, 0.011309, 0.027363,-0.994616, 0.000023, 0.000055,-0.001989,-0.019058, 0.041297, 0.049312,1,-0.000366, 0.000392,-0.000196,1,-0.129967,-0.227040, 9.803160,1,0
1778107864483,   915.487,   915.487, 0.012930, 0.026948,-0.994981, 0.000026, 0.000054,-0.001990,-0.003157, 0.037235, 0.045733,1, 0.000877,-0.000315,-0.000941,1,-0.129956,-0.227030, 9.803161,1,0
1778107864494,   915.492,   915.491, 0.011679, 0.025723,-0.994542, 0.000023, 0.000051,-0.001989,-0.012290, 0.018900, 0.046264,1, 0.001581, 0.000238,-0.000191,1,-0.129944,-0.226965, 9.803162,1,0
1778107864505,   915.496,   915.496, 0.012588, 0.025522,-0.996804, 0.000025, 0.000051,-0.001994,-0.006526, 0.023356, 0.027854,1, 0.002445, 0.000213,-0.001090,1,-0.129971,-0.226915, 9.803163,1,0
1778107864515,   915.501,   915.501, 0.013115, 0.024910,-0.997461, 0.000026, 0.000050,-0.001995,-0.001364, 0.017481, 0.021414,1, 0.003625, 0.000827,-0.000826,1,-0.129986,-0.226781, 9.803165,1,0
1778107864526,   915.506,   915.505, 0.010995, 0.024036,-0.996042, 0.000022, 0.000048,-0.001992,-0.019748, 0.012347, 0.031762,1, 0.002248,-0.000555,-0.000670,1,-0.129981,-0.226674, 9.803168,1,0
1778107864537,   915.510,   915.510, 0.011937, 0.023783,-0.997149, 0.000024, 0.000048,-0.001994,-0.012927, 0.006671, 0.024481,1, 0.002753, 0.000220,-0.000380,1,-0.129990,-0.226548, 9.803171,1,0
