FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,05/06/26 22:24:46.646917120
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:estOrientQuaternion,Matrix,100Hz[1x4],,,,,,
inertial-6286.188861:estOrientQuaternion:valid,ValidFlag,100Hz[1x4],,,,,,

DATA_START
Time,inertial-6286.188861:estOrientQuaternion[0-0],inertial-6286.188861:estOrientQuaternion[0-1],inertial-6286.188861:estOrientQuaternion[0-2],inertial-6286.188861:estOrientQuaternion[0-3],inertial-6286.188861:estOrientQuaternion:valid
1778106286646917120,0.999303,0.019199,-0.008785,-0.030785,1
1778106286656947712,0.999302,0.019226,-0.008791,-0.030785,1
1778106286666958848,0.999302,0.019251,-0.008791,-0.030779,1
1778106286676950016,0.999302,0.019287,-0.008779,-0.030778,1
1778106286686923008,0.999301,0.019314,-0.008779,-0.030774,1
1778106286696876800,0.999300,0.019347,-0.008781,-0.030776,1
1778106286706810624,0.999300,0.019389,-0.008784,-0.030779,1
1778106286716725248,0.999299,0.019427,-0.008787,-0.030780,1
1778106286726798848,0.999298,0.019459,-0.008785,-0.030780,1
1778106286737031680,0.999297,0.019495,-0.008781,-0.030780,1
1778106286747244032,0.999297,0.019529,-0.008781,-0.030780,1
1778106286757436416,0.999296,0.019567,-0.008780,-0.030781,1
1778106286767608320,0.999296,0.019598,-0.008775,-0.030778,1
1778106286777760512,0.999295,0.019629,-0.008773,-0.030777,1
1778106286787893504,0.999294,0.019663,-0.008773,-0.030777,1
1778106286798006016,0.999293,0.019704,-0.008775,-0.030780,1
1778106286808099072,0.999293,0.019743,-0.008775,-0.030781,1
1778106286818171904,0.999292,0.019778,-0.008771,-0.030782,1
1778106286852332000,0.999291,0.019811,-0.008770,-0.030780,1
1778106286862317056,0.999290,0.019853,-0.008775,-0.030780,1
1778106286872282624,0.999290,0.019885,-0.008777,-0.030779,1
1778106286882228224,0.999289,0.019916,-0.008772,-0.030779,1
1778106286892154368,0.999288,0.019954,-0.008764,-0.030781,1
1778106286902060800,0.999288,0.020001,-0.008756,-0.030785,1
1778106286911947776,0.999287,0.020033,-0.008760,-0.030790,1
1778106286921815040,0.999286,0.020061,-0.008764,-0.030794,1
1778106286931848704,0.999285,0.020088,-0.008761,-0.030793,1
1778106286942048512,0.999285,0.020116,-0.008759,-0.030794,1
1778106286952228352,0.999284,0.020152,-0.008760,-0.030795,1
1778106286962387968,0.999283,0.020188,-0.008760,-0.030797,1
1778106286972527616,0.999282,0.020223,-0.008760,-0.030803,1
1778106286982647296,0.999282,0.020262,-0.008759,-0.030808,1
1778106286992747776,0.999281,0.020291,-0.008760,-0.030814,1
1778106287002828288,0.999280,0.020316,-0.008758,-0.030817,1
1778106287012889088,0.999280,0.020332,-0.008755,-0.030817,1
1778106287022929664,0.999280,0.020346,-0.008751,-0.030816,1
1778106287032950784,0.999279,0.020360,-0.008751,-0.030814,1
1778106287042951936,0.999279,0.020377,-0.008755,-0.030813,1
1778106287052933376,0.999279,0.020391,-0.008759,-0.030817,1
1778106287062894848,0.999278,0.020409,-0.008762,-0.030823,1
1778106287072837120,0.999278,0.020422,-0.008763,-0.030825,1
1778106287082759424,0.999277,0.020436,-0.008761,-0.030824,1
1778106287092662016,0.999277,0.020450,-0.008757,-0.030822,1
1778106287102545152,0.999277,0.020480,-0.008752,-0.030820,1
1778106287112409088,0.999276,0.020504,-0.008756,-0.030822,1
1778106287122438912,0.999276,0.020530,-0.008754,-0.030823,1
1778106287132634624,0.999275,0.020552,-0.008753,-0.030826,1
1778106287142810880,0.999275,0.020575,-0.008754,-0.030826,1
