FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,05/06/26 22:21:13.847542016
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:orientQuaternion,Matrix,100Hz[1x4],,,,,,

DATA_START
Time,inertial-6286.188861:orientQuaternion[0-0],inertial-6286.188861:orientQuaternion[0-1],inertial-6286.188861:orientQuaternion[0-2],inertial-6286.188861:orientQuaternion[0-3]
1778106073847542016,0.035351,-0.005338,-0.027203,-0.998990
1778106073857518336,0.036899,-0.005269,-0.027129,-0.998937
1778106073867474688,0.041405,-0.005122,-0.027074,-0.998762
1778106073877411072,0.044244,-0.005027,-0.027016,-0.998643
1778106073887328000,0.049524,-0.004882,-0.026962,-0.998397
1778106073897225216,0.034993,-0.005276,-0.026785,-0.999015
1778106073907102720,0.037500,-0.005205,-0.026663,-0.998927
1778106073916961024,0.043366,-0.005044,-0.026526,-0.998694
1778106073926799360,0.036528,-0.005205,-0.026313,-0.998973
1778106073936801280,0.041017,-0.005096,-0.026189,-0.998802
1778106073946966016,0.032078,-0.005349,-0.026027,-0.999132
1778106073957110784,0.035735,-0.005262,-0.025937,-0.999011
1778106073967235328,0.048493,-0.004930,-0.025898,-0.998476
1778106073977339648,0.034644,-0.005253,-0.025724,-0.999055
1778106073987423744,0.036410,-0.005160,-0.025620,-0.998995
1778106073997488128,0.034434,-0.005191,-0.025518,-0.999068
1778106074007532800,0.042158,-0.004950,-0.025473,-0.998774
1778106074017557760,0.039728,-0.004931,-0.025384,-0.998876
1778106074027562752,0.034197,-0.004997,-0.025331,-0.999082
1778106074037548032,0.034708,-0.004947,-0.025377,-0.999063
1778106074047513344,0.035198,-0.004915,-0.025451,-0.999044
1778106074057458688,0.032174,-0.004950,-0.025495,-0.999145
1778106074067384832,0.028422,-0.005049,-0.025555,-0.999257
1778106074077291008,0.030835,-0.005024,-0.025672,-0.999182
1778106074087177472,0.035892,-0.004883,-0.025777,-0.999011
1778106074097043968,0.032976,-0.004933,-0.025821,-0.999110
1778106074106891520,0.031967,-0.004981,-0.025918,-0.999140
1778106074116719104,0.040403,-0.004784,-0.026092,-0.998831
1778106074126713088,0.033047,-0.004981,-0.026204,-0.999098
1778106074136873216,0.029252,-0.005111,-0.026383,-0.999211
1778106074147012864,0.024610,-0.005248,-0.026580,-0.999330
1778106074157132544,0.037304,-0.004913,-0.026853,-0.998931
1778106074167231744,0.032651,-0.005029,-0.027026,-0.999089
1778106074177311488,0.016570,-0.005421,-0.027124,-0.999480
1778106074187371008,0.026624,-0.005079,-0.027345,-0.999259
1778106074197410304,0.027187,-0.004985,-0.027536,-0.999239
1778106074207429632,0.022357,-0.005065,-0.027729,-0.999353
1778106074217429504,0.032049,-0.004776,-0.028025,-0.999082
1778106074227409408,0.028830,-0.004864,-0.028252,-0.999173
1778106074237369344,0.033976,-0.004742,-0.028507,-0.999005
1778106074247309312,0.015867,-0.005295,-0.028614,-0.999451
1778106074257229568,0.028184,-0.004987,-0.028841,-0.999174
1778106074267129856,0.026718,-0.005067,-0.028998,-0.999210
1778106074277010688,0.025384,-0.005134,-0.029158,-0.999239
1778106074286872064,0.029074,-0.005045,-0.029345,-0.999134
1778106074296713472,0.033279,-0.004937,-0.029530,-0.998998
1778106074306535936,0.024886,-0.005178,-0.029657,-0.999237
1778106074316712448,0.024455,-0.005153,-0.029787,-0.999244
1778106074326868736,0.032885,-0.004832,-0.029935,-0.998999
1778106074337004800,0.024670,-0.005028,-0.030002,-0.999233
1778106074347120896,0.027716,-0.004881,-0.030119,-0.999150
1778106074357216512,0.037671,-0.004473,-0.030222,-0.998823
1778106074367292416,0.023910,-0.004830,-0.030218,-0.999246
1778106074377348352,0.034812,-0.004512,-0.030350,-0.998923
1778106074387384064,0.034824,-0.004533,-0.030350,-0.998922
1778106074397399808,0.028753,-0.004798,-0.030285,-0.999116
1778106074407396096,0.028105,-0.004884,-0.030258,-0.999135
1778106074417372928,0.034906,-0.004694,-0.030255,-0.998922
1778106074427329792,0.028719,-0.004909,-0.030217,-0.999119
1778106074437266944,0.033290,-0.004812,-0.030236,-0.998977
1778106074447184640,0.034692,-0.004753,-0.030179,-0.998931
1778106074457082368,0.025265,-0.004966,-0.030011,-0.999218
1778106074466960128,0.035109,-0.004621,-0.029997,-0.998923
1778106074476818688,0.021378,-0.004985,-0.029938,-0.999311
1778106074486657536,0.030292,-0.004659,-0.030017,-0.999079
1778106074496659712,0.033693,-0.004517,-0.030112,-0.998968
1778106074506824960,0.035838,-0.004431,-0.030182,-0.998892
1778106074516970240,0.026078,-0.004786,-0.030161,-0.999193
1778106074527095552,0.036323,-0.004591,-0.030268,-0.998871
1778106074537200384,0.030478,-0.004880,-0.030314,-0.999064
1778106074547285248,0.026698,-0.005048,-0.030359,-0.999170
1778106074557350144,0.026213,-0.005103,-0.030414,-0.999181
1778106074567395072,0.023005,-0.005145,-0.030405,-0.999260
1778106074577420032,0.025063,-0.004990,-0.030392,-0.999211
1778106074587425280,0.033907,-0.004728,-0.030529,-0.998947
1778106074597411072,0.025777,-0.005017,-0.030694,-0.999184
1778106074607376896,0.036467,-0.004635,-0.030953,-0.998845
1778106074617323264,0.026926,-0.004775,-0.031078,-0.999143
1778106074627249920,0.023253,-0.004764,-0.031208,-0.999231
1778106074637156608,0.034968,-0.004414,-0.031473,-0.998883
1778106074647043584,0.021329,-0.004931,-0.031641,-0.999260
1778106074656911104,0.024797,-0.004820,-0.031843,-0.999174
1778106074666759168,0.033701,-0.004483,-0.032023,-0.998909
1778106074676587264,0.021634,-0.004828,-0.032099,-0.999239
1778106074686582016,0.034884,-0.004354,-0.032266,-0.998861
1778106074696742144,0.023899,-0.004715,-0.032314,-0.999181
1778106074706882304,0.027175,-0.004607,-0.032401,-0.999095
1778106074717002496,0.030932,-0.004413,-0.032436,-0.998985
1778106074727102464,0.023148,-0.004608,-0.032433,-0.999195
1778106074737182720,0.020745,-0.004636,-0.032519,-0.999245
1778106074747242752,0.022258,-0.004586,-0.032622,-0.999209
1778106074757282560,0.021490,-0.004670,-0.032751,-0.999222
1778106074767302912,0.026700,-0.004491,-0.032849,-0.999094
1778106074777303296,0.022562,-0.004596,-0.032860,-0.999195
1778106074787283712,0.022733,-0.004580,-0.032900,-0.999190
1778106074797244160,0.025000,-0.004485,-0.032959,-0.999134
1778106074807184896,0.020911,-0.004593,-0.032969,-0.999227
1778106074817106176,0.027250,-0.004333,-0.032984,-0.999075
1778106074827007488,0.022112,-0.004438,-0.032946,-0.999203
1778106074836888832,0.026233,-0.004258,-0.032961,-0.999103
1778106074846750976,0.028398,-0.004134,-0.033004,-0.999043
1778106074856593408,0.020485,-0.004328,-0.033013,-0.999236
1778106074866416384,0.026154,-0.004191,-0.033155,-0.999099
1778106074876594432,0.025721,-0.004244,-0.033263,-0.999107
1778106074886752000,0.025675,-0.004248,-0.033326,-0.999106
1778106074896889344,0.030795,-0.004091,-0.033425,-0.998958
1778106074907006720,0.025650,-0.004233,-0.033459,-0.999102
1778106074917103872,0.030417,-0.003969,-0.033497,-0.998968
1778106074927181056,0.025034,-0.004081,-0.033511,-0.999116
1778106074937238016,0.026463,-0.003968,-0.033561,-0.999078
1778106074947275776,0.025436,-0.003927,-0.033585,-0.999104
1778106074957293568,0.034876,-0.003546,-0.033667,-0.998818
1778106074967291392,0.032101,-0.003565,-0.033685,-0.998910
1778106074977268992,0.033463,-0.003482,-0.033693,-0.998866
1778106074987227136,0.031067,-0.003628,-0.033720,-0.998942
1778106074997165568,0.022461,-0.003976,-0.033714,-0.999171
1778106075007084032,0.027201,-0.003822,-0.033693,-0.999055
1778106075016982784,0.024219,-0.003918,-0.033620,-0.999134
1778106075026862080,0.027185,-0.003789,-0.033532,-0.999061
1778106075036721920,0.028530,-0.003690,-0.033408,-0.999028
1778106075046561792,0.024350,-0.003842,-0.033285,-0.999142
1778106075056382208,0.034357,-0.003458,-0.033183,-0.998853
1778106075066557440,0.021778,-0.003831,-0.032973,-0.999212
1778106075076712704,0.020378,-0.003881,-0.032848,-0.999245
1778106075086847744,0.026593,-0.003640,-0.032707,-0.999105
1778106075096962560,0.023683,-0.003706,-0.032530,-0.999183
1778106075107057408,0.030631,-0.003496,-0.032420,-0.998999
1778106075117132544,0.023592,-0.003716,-0.032249,-0.999195
1778106075127187456,0.027709,-0.003546,-0.032067,-0.999095
1778106075137222144,0.028767,-0.003349,-0.031775,-0.999075
1778106075147236864,0.021156,-0.003536,-0.031468,-0.999275
1778106075157232128,0.029983,-0.003196,-0.031219,-0.999058
1778106075167207424,0.023712,-0.003326,-0.030877,-0.999236
1778106075177163776,0.024225,-0.003312,-0.030598,-0.999233
1778106075187100160,0.026419,-0.003226,-0.030282,-0.999187
1778106075197016576,0.017562,-0.003512,-0.029923,-0.999392
1778106075206913536,0.017811,-0.003615,-0.029672,-0.999395
1778106075216790784,0.029444,-0.003341,-0.029459,-0.999127
1778106075226648576,0.030488,-0.003363,-0.029185,-0.999103
1778106075236486400,0.029371,-0.003427,-0.028902,-0.999145
1778106075246486016,0.030735,-0.003366,-0.028549,-0.999114
1778106075256646144,0.029626,-0.003392,-0.028186,-0.999158
1778106075266786304,0.028976,-0.003409,-0.027869,-0.999186
1778106075276906496,0.022119,-0.003594,-0.027579,-0.999368
1778106075287006720,0.033906,-0.003342,-0.027427,-0.999043
1778106075297086976,0.032805,-0.003417,-0.027302,-0.999083
1778106075307147008,0.021892,-0.003715,-0.027157,-0.999385
1778106075317186816,0.031874,-0.003467,-0.027134,-0.999118
1778106075327206912,0.023522,-0.003688,-0.027061,-0.999350
1778106075337207808,0.032216,-0.003421,-0.027004,-0.999110
1778106075347188992,0.020285,-0.003674,-0.026859,-0.999427
1778106075357150464,0.025505,-0.003440,-0.026782,-0.999310
1778106075367091968,0.029319,-0.003229,-0.026759,-0.999207
1778106075377014016,0.020601,-0.003438,-0.026754,-0.999424
1778106075386916352,0.033638,-0.003124,-0.026867,-0.999068
1778106075396798720,0.027424,-0.003331,-0.026913,-0.999256
1778106075406661376,0.037461,-0.003019,-0.026962,-0.998930
1778106075416504832,0.023903,-0.003289,-0.026929,-0.999346
1778106075426328832,0.028120,-0.003170,-0.027000,-0.999235
1778106075436506368,0.030087,-0.003078,-0.027042,-0.999177
1778106075446664448,0.025308,-0.003145,-0.026959,-0.999311
1778106075456802048,0.024963,-0.003147,-0.026921,-0.999321
1778106075466919424,0.022091,-0.003168,-0.026828,-0.999391
1778106075477016576,0.030778,-0.003019,-0.026827,-0.999162
1778106075487094016,0.030792,-0.003273,-0.026927,-0.999158
1778106075497151232,0.024732,-0.003607,-0.026985,-0.999323
1778106075507188736,0.023517,-0.003639,-0.027005,-0.999352
1778106075517206528,0.030486,-0.003347,-0.027014,-0.999164
1778106075527204096,0.017250,-0.003606,-0.026948,-0.999481
1778106075537182208,0.034649,-0.003098,-0.026971,-0.999031
1778106075547140352,0.024562,-0.003272,-0.026874,-0.999332
1778106075557078528,0.024342,-0.003169,-0.026808,-0.999339
1778106075566997248,0.017649,-0.003433,-0.026890,-0.999477
1778106075576896512,0.022733,-0.003569,-0.027137,-0.999367
1778106075586775808,0.019335,-0.003889,-0.027399,-0.999430
1778106075596635392,0.017989,-0.003847,-0.027471,-0.999453
1778106075606475264,0.015386,-0.003757,-0.027472,-0.999497
1778106075616295936,0.014081,-0.003668,-0.027381,-0.999519
1778106075626470912,0.013518,-0.003677,-0.027341,-0.999528
1778106075636626432,0.018179,-0.003498,-0.027289,-0.999456
1778106075646761472,0.012603,-0.003449,-0.027124,-0.999547
1778106075656876288,0.007737,-0.003611,-0.027065,-0.999597
1778106075666971392,0.010121,-0.003860,-0.027285,-0.999569
1778106075677046272,0.007370,-0.004172,-0.027400,-0.999589
1778106075687100928,0.019599,-0.003837,-0.027366,-0.999426
