FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,01/01/70 00:00:00.000000000
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:scaledAccelX,Timeseries,100Hz,,,,,,
inertial-6286.188861:scaledAccelY,Timeseries,100Hz,,,,,,
inertial-6286.188861:scaledAccelZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaVelX,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaVelY,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaVelZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelX,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelX:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estLinearAccelY,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelY:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estLinearAccelZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelZ:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estAngularRateX,Timeseries,100Hz,,,,,,
inertial-6286.188861:estAngularRateX:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estAngularRateY,Timeseries,100Hz,,,,,,
inertial-6286.188861:estAngularRateY:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estAngularRateZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:estAngularRateZ:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estFilterState,Timeseries,100Hz,,,,,,
inertial-6286.188861:estFilterStatusFlags,Timeseries,100Hz,,,,,,
inertial-6286.188861:estGravityVectorX,Timeseries,100Hz,,,,,,
inertial-6286.188861:estGravityVectorX:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estGravityVectorY,Timeseries,100Hz,,,,,,
inertial-6286.188861:estGravityVectorY:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estGravityVectorZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:estGravityVectorZ:valid,ValidFlag,100Hz,,,,,,

DATA_START
Time,inertial-6286.188861:scaledAccelX,inertial-6286.188861:scaledAccelY,inertial-6286.188861:scaledAccelZ,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ,inertial-6286.188861:estLinearAccelX,inertial-6286.188861:estLinearAccelX:valid,inertial-6286.188861:estLinearAccelY,inertial-6286.188861:estLinearAccelY:valid,inertial-6286.188861:estLinearAccelZ,inertial-6286.188861:estLinearAccelZ:valid,inertial-6286.188861:estAngularRateX,inertial-6286.188861:estAngularRateX:valid,inertial-6286.188861:estAngularRateY,inertial-6286.188861:estAngularRateY:valid,inertial-6286.188861:estAngularRateZ,inertial-6286.188861:estAngularRateZ:valid,inertial-6286.188861:estFilterState,inertial-6286.188861:estFilterStatusFlags,inertial-6286.188861:estGravityVectorX,inertial-6286.188861:estGravityVectorX:valid,inertial-6286.188861:estGravityVectorY,inertial-6286.188861:estGravityVectorY:valid,inertial-6286.188861:estGravityVectorZ,inertial-6286.188861:estGravityVectorZ:valid
1778106286643230464,-0.01470742281526327,-0.03963463380932808,-0.9958094954490662,-0.0001490315626142547,-0.000389403197914362,-0.009964711032807827,,,,,,,,,,,,,,,,,,,,
1778106286646917120,,,,,,,0.01431883499026299,1,-0.01991522125899792,1,0.04152561351656914,1,0.005551290232688189,1,-0.001638840651139617,1,6.924945046193898e-05,1,3,1,0.1605819016695023,1,0.3815931975841522,1,9.797906875610352,1
1778106286653267968,-0.01480525080114603,-0.03921332582831383,-0.9958681464195251,-0.0001486466353526339,-0.0003865025064442307,-0.009960483759641647,,,,,,,,,,,,,,,,,,,,
1778106286656947712,,,,,,,0.01589608378708363,1,-0.02614730782806873,1,0.04333850741386414,1,0.005461459048092365,1,-0.0006590135162696242,1,6.92143221385777e-05,1,3,1,0.1606936454772949,1,0.38212651014328,1,9.797884941101074,1
1778106286663285504,-0.01516593992710114,-0.03957322239875793,-0.995148241519928,-0.0001557936484459788,-0.0003986345836892724,-0.009943226352334023,,,,,,,,,,,,,,,,,,,,
1778106286666958848,,,,,,,0.01739823818206787,1,-0.02193358354270458,1,0.03833888471126556,1,0.005088298581540585,1,0.000410205393563956,1,0.0009854505769908428,1,3,1,0.16068035364151,1,0.382625013589859,1,9.79786491394043,1
1778106286673282816,-0.0150326807051897,-0.04011631011962891,-0.994789719581604,-0.0001488655543653294,-0.0004066113033331931,-0.009943858720362186,,,,,,,,,,,,,,,,,,,,
1778106286676950016,,,,,,,0.02289695851504803,1,-0.01561800763010979,1,0.03219672664999962,1,0.005064781289547682,1,7.406342774629593e-07,1,3.822569851763546e-06,1,3,1,0.160422071814537,1,0.383308470249176,1,9.797842979431152,1
1778106286683260416,-0.0149081340059638,-0.04086026549339294,-0.9948773980140686,-0.0001474885939387605,-0.0004164858546573669,-0.009949386119842529,,,,,,,,,,,,,,,,,,,,
1778106286686923008,,,,,,,0.0232210997492075,1,-0.007624912075698376,1,0.03506165742874146,1,0.005503998138010502,1,-0.0001583838457008824,1,0.0004507850389927626,1,3,1,0.1604164093732834,1,0.3838394582271576,1,9.797821998596191,1
1778106286693218560,-0.01475456543266773,-0.04154817387461662,-0.9946902990341187,-0.0001456106692785397,-0.0004227661702316254,-0.009944307617843151,,,,,,,,,,,,,,,,,,,,
1778106286696876800,,,,,,,0.02682006917893887,1,-0.002572515280917287,1,0.03686534985899925,1,0.006792557425796986,1,-0.0001231570640811697,1,-0.0006610237760469317,1,3,1,0.160425141453743,1,0.3844950497150421,1,9.797796249389648,1
1778106286703157248,-0.01460626348853111,-0.04117098823189735,-0.9951979517936707,-0.0001444782537873834,-0.0004079591017216444,-0.009958503767848015,,,,,,,,,,,,,,,,,,,,
1778106286706810624,,,,,,,0.02862721309065819,1,-0.004066695924848318,1,0.04513940587639809,1,0.008392150513827801,1,-0.0002310767595190555,1,-0.0006433551898226142,1,3,1,0.1604582220315933,1,0.3853243291378021,1,9.797762870788574,1
1778106286713075968,-0.0140392268076539,-0.04058467969298363,-0.9958220720291138,-0.0001341910392511636,-0.0003983881033491343,-0.009965277276933193,,,,,,,,,,,,,,,,,,,,
1778106286716725248,,,,,,,0.02875433675944805,1,-0.01030888967216015,1,0.05394185706973076,1,0.007498599123209715,1,0.0001973895850824192,1,-0.0001898392365546897,1,3,1,0.1604880839586258,1,0.3860715627670288,1,9.797733306884766,1
