Time,GPS_ts,orientQuaternion[0],orientQuaternion[1],orientQuaternion[2],orientQuaternion[3],flag
1778108618755,   618.511, 0.709651, 0.002268, 0.011228, 0.704461,0
1778108618755,   618.516, 0.709064, 0.002255, 0.011229, 0.705051,0
1778108618755,   618.521, 0.708668, 0.002250, 0.011231, 0.705449,0
1778108618755,   618.526, 0.711064, 0.002288, 0.011223, 0.703034,0
1778108618755,   618.531, 0.709104, 0.002254, 0.011229, 0.705011,0
1778108618755,   618.536, 0.708629, 0.002244, 0.011229, 0.705488,0
1778108618755,   618.540, 0.711167, 0.002284, 0.011221, 0.702930,0
1778108618755,   618.545, 0.712239, 0.002301, 0.011216, 0.701843,0
1778108618755,   618.550, 0.709133, 0.002252, 0.011226, 0.704982,0
1778108618755,   618.555, 0.711712, 0.002293, 0.011218, 0.702378,0
1778108618755,   618.558, 0.712837, 0.002310, 0.011216, 0.701237,0
1778108618761,   646.270, 0.709117, 0.002385, 0.011316, 0.704996,0
1778108618771,   646.275, 0.713340, 0.002450, 0.011298, 0.700723,0
1778108618782,   646.569, 0.705985, 0.002322, 0.011290, 0.708133,0
1778108618793,   646.574, 0.706592, 0.002334, 0.011289, 0.707527,0
1778108618804,   646.579, 0.706556, 0.002334, 0.011291, 0.707563,0
1778108618814,   646.583, 0.709169, 0.002373, 0.011282, 0.704944,0
1778108618825,   646.588, 0.710818, 0.002399, 0.011275, 0.703281,0
1778108618836,   646.593, 0.707118, 0.002339, 0.011288, 0.707002,0
1778108618847,   646.598, 0.710168, 0.002386, 0.011279, 0.703938,0
1778108618857,   646.602, 0.705519, 0.002311, 0.011292, 0.708597,0
1778108618868,   646.607, 0.710235, 0.002386, 0.011277, 0.703871,0
1778108618879,   646.612, 0.708085, 0.002349, 0.011285, 0.706033,0
1778108618890,   646.616, 0.710182, 0.002381, 0.011280, 0.703924,0
1778108618900,   646.621, 0.710810, 0.002390, 0.011277, 0.703289,0
1778108618911,   646.626, 0.710141, 0.002380, 0.011280, 0.703965,0
1778108618922,   646.630, 0.708196, 0.002350, 0.011288, 0.705922,0
1778108618933,   646.635, 0.713288, 0.002430, 0.011269, 0.700777,0
1778108618944,   646.640, 0.712374, 0.002418, 0.011271, 0.701705,0
1778108618954,   646.644, 0.708587, 0.002358, 0.011287, 0.705529,0
1778108618965,   646.649, 0.704423, 0.002292, 0.011301, 0.709687,0
1778108618976,   646.654, 0.711199, 0.002399, 0.011277, 0.702896,0
1778108618987,   646.658, 0.704545, 0.002293, 0.011299, 0.709565,0
1778108618997,   646.663, 0.706431, 0.002324, 0.011292, 0.707688,0
1778108619008,   646.668, 0.712820, 0.002423, 0.011273, 0.701252,0
1778108619019,   646.672, 0.709792, 0.002374, 0.011283, 0.704317,0
1778108619030,   646.677, 0.707639, 0.002338, 0.011288, 0.706480,0
1778108619040,   646.682, 0.706529, 0.002320, 0.011292, 0.707590,0
1778108619051,   646.686, 0.706519, 0.002320, 0.011292, 0.707601,0
1778108619062,   646.691, 0.707109, 0.002331, 0.011291, 0.707011,0
1778108619073,   646.696, 0.711781, 0.002406, 0.011276, 0.702306,0
1778108619083,   646.700, 0.708118, 0.002344, 0.011287, 0.706000,0
1778108619094,   646.705, 0.709178, 0.002359, 0.011283, 0.704935,0
1778108619105,   646.710, 0.708176, 0.002344, 0.011288, 0.705942,0
1778108619116,   646.714, 0.709185, 0.002359, 0.011285, 0.704928,0
1778108619126,   646.719, 0.709743, 0.002367, 0.011281, 0.704366,0
