Time,fGPS_ts,estOrientQuaternion[0],estOrientQuaternion[1],estOrientQuaternion[2],estOrientQuaternion[3],estOrientQuaternion:valid,flag
1778253818520,   487.959, 0.999982, 0.000686,-0.005969,-0.000053,1,0
1778253818520,   487.979, 0.999982, 0.000692,-0.005973,-0.000054,1,0
1778253818520,   488.004, 0.999982, 0.000694,-0.005969,-0.000051,1,0
1778253818520,   488.029, 0.999982, 0.000694,-0.005968,-0.000053,1,0
1778253818520,   488.049, 0.999982, 0.000693,-0.005967,-0.000055,1,0
1778253818520,   488.079, 0.999982, 0.000693,-0.005965,-0.000058,1,0
1778253818520,   488.094, 0.999982, 0.000695,-0.005965,-0.000055,1,0
1778253818520,   488.124, 0.999982, 0.000698,-0.005975,-0.000054,1,0
1778253818520,   488.149, 0.999982, 0.000701,-0.005974,-0.000054,1,0
1778253818520,   488.169, 0.999982, 0.000705,-0.005973,-0.000053,1,0
1778253818521,   488.189, 0.999982, 0.000705,-0.005975,-0.000049,1,0
1778253818531,   512.434, 0.999844, 0.001894,-0.006325, 0.016361,1,0
1778253818557,   512.459, 0.999844, 0.001917,-0.006338, 0.016378,1,0
1778253818579,   512.479, 0.999844, 0.001922,-0.006350, 0.016392,1,0
1778253818606,   512.509, 0.999844, 0.001917,-0.006338, 0.016372,1,0
1778253818627,   512.529, 0.999844, 0.001920,-0.006346, 0.016342,1,0
1778253818649,   512.549, 0.999845, 0.001910,-0.006343, 0.016324,1,0
1778253818676,   512.579, 0.999845, 0.001890,-0.006342, 0.016325,1,0
1778253818697,   512.599, 0.999845, 0.001890,-0.006341, 0.016331,1,0
1778253818719,   512.619, 0.999845, 0.001890,-0.006344, 0.016339,1,0
1778253818746,   512.649, 0.999844, 0.001892,-0.006342, 0.016345,1,0
1778253818767,   512.669, 0.999844, 0.001895,-0.006346, 0.016347,1,0
1778253818789,   512.689, 0.999844, 0.001894,-0.006341, 0.016359,1,0
1778253818816,   512.719, 0.999844, 0.001894,-0.006356, 0.016360,1,0
1778253818837,   512.739, 0.999844, 0.001878,-0.006354, 0.016356,1,0
1778253818859,   512.759, 0.999844, 0.001875,-0.006361, 0.016355,1,0
1778253818886,   512.789, 0.999844, 0.001871,-0.006368, 0.016352,1,0
1778253818907,   512.809, 0.999844, 0.001874,-0.006373, 0.016344,1,0
1778253818929,   512.829, 0.999844, 0.001872,-0.006373, 0.016337,1,0
1778253818956,   512.859, 0.999845, 0.001872,-0.006372, 0.016331,1,0
1778253818978,   512.879, 0.999845, 0.001868,-0.006375, 0.016332,1,0
1778253818999,   512.899, 0.999844, 0.001870,-0.006374, 0.016335,1,0
1778253819026,   512.929, 0.999844, 0.001872,-0.006372, 0.016337,1,0
1778253819048,   512.949, 0.999844, 0.001872,-0.006376, 0.016343,1,0
1778253819069,   512.969, 0.999844, 0.001873,-0.006378, 0.016345,1,0
1778253819096,   512.999, 0.999844, 0.001870,-0.006374, 0.016349,1,0
1778253819118,   513.019, 0.999844, 0.001869,-0.006375, 0.016352,1,0
1778253819141,   513.044, 0.999844, 0.001872,-0.006378, 0.016354,1,0
1778253819166,   513.069, 0.999844, 0.001871,-0.006379, 0.016351,1,0
1778253819188,   513.089, 0.999844, 0.001871,-0.006380, 0.016344,1,0
1778253819211,   513.114, 0.999844, 0.001865,-0.006378, 0.016337,1,0
1778253819236,   513.139, 0.999845, 0.001870,-0.006380, 0.016330,1,0
1778253819258,   513.159, 0.999845, 0.001867,-0.006379, 0.016327,1,0
1778253819281,   513.184, 0.999845, 0.001869,-0.006376, 0.016327,1,0
1778253819306,   513.209, 0.999845, 0.001867,-0.006381, 0.016329,1,0
1778253819328,   513.229, 0.999845, 0.001867,-0.006381, 0.016331,1,0
1778253819351,   513.254, 0.999845, 0.001875,-0.006377, 0.016333,1,0
1778253819377,   513.279, 0.999844, 0.001876,-0.006375, 0.016337,1,0
1778253819398,   513.299, 0.999844, 0.001879,-0.006375, 0.016338,1,0
1778253819421,   513.324, 0.999844, 0.001880,-0.006373, 0.016334,1,0
1778253819447,   513.349, 0.999845, 0.001878,-0.006370, 0.016327,1,0
1778253819468,   513.369, 0.999845, 0.001871,-0.006371, 0.016319,1,0
1778253819491,   513.394, 0.999845, 0.001866,-0.006371, 0.016308,1,0
1778253819517,   513.419, 0.999845, 0.001860,-0.006369, 0.016307,1,0
1778253819538,   513.439, 0.999845, 0.001865,-0.006372, 0.016308,1,0
1778253819561,   513.464, 0.999845, 0.001873,-0.006375, 0.016310,1,0
1778253819587,   513.489, 0.999845, 0.001879,-0.006380, 0.016314,1,0
1778253819608,   513.509, 0.999845, 0.001890,-0.006374, 0.016327,1,0
1778253819631,   513.534, 0.999844, 0.001904,-0.006381, 0.016352,1,0
1778253819657,   513.559, 0.999844, 0.001926,-0.006372, 0.016374,1,0
1778253819678,   513.579, 0.999844, 0.001932,-0.006368, 0.016383,1,0
1778253819701,   513.604, 0.999844, 0.001928,-0.006363, 0.016373,1,0
1778253819727,   513.629, 0.999844, 0.001909,-0.006363, 0.016354,1,0
1778253819749,   513.649, 0.999845, 0.001884,-0.006364, 0.016318,1,0
1778253819771,   513.674, 0.999846, 0.001826,-0.006366, 0.016255,1,0
1778253819797,   513.699, 0.999846, 0.001796,-0.006368, 0.016224,1,0
1778253819819,   513.719, 0.999847, 0.001780,-0.006366, 0.016208,1,0
1778253819846,   513.749, 0.999846, 0.001793,-0.006345, 0.016238,1,0
1778253819867,   513.769, 0.999846, 0.001796,-0.006342, 0.016261,1,0
1778253819889,   513.789, 0.999846, 0.001799,-0.006341, 0.016268,1,0
1778253819916,   513.819, 0.999846, 0.001790,-0.006346, 0.016249,1,0
1778253819937,   513.839, 0.999846, 0.001791,-0.006343, 0.016237,1,0
