Time,GPS_ts,fGPS_ts,scaledAccelX,scaledAccelY,scaledAccelZ,deltaVelX,deltaVelY,deltaVelZ,estLinearAccelX,estLinearAccelY,estLinearAccelZ,estLinearAccel:valid,estAngularRateX,estAngularRateY,estAngularRateZ,estAngularRate:valid,estGravityX,estGravityY,estGravityZ,estGravity:valid,flag
1778256575378,  1503.555,  1503.555, 0.045622, 0.003694,-0.995261, 0.000457, 0.000036,-0.009951,-0.001369, 0.002075, 0.036143,1,-0.002617, 0.000382, 0.000058,1,-0.448782,-0.034234, 9.796316,1,0
1778256575378,  1503.580,  1503.575, 0.046699, 0.004016,-0.995310, 0.000468, 0.000040,-0.009953, 0.011814, 0.001330, 0.041213,1,-0.002880, 0.000214, 0.000465,1,-0.448845,-0.034746, 9.796311,1,0
1778256575378,  1503.600,  1503.600, 0.046993, 0.003703,-0.995030, 0.000471, 0.000038,-0.009951, 0.011963, 0.001235, 0.038398,1,-0.001079, 0.000186, 0.000224,1,-0.448891,-0.035114, 9.796308,1,0
1778256575378,  1503.625,  1503.625, 0.046782, 0.005030,-0.995161, 0.000469, 0.000047,-0.009951, 0.009838, 0.014037, 0.037105,1,-0.001165, 0.000399, 0.000513,1,-0.448951,-0.035328, 9.796305,1,0
1778256575378,  1503.650,  1503.645, 0.046306, 0.004272,-0.994511, 0.000465, 0.000043,-0.009950, 0.005818, 0.008521, 0.035491,1,-0.000053,-0.001083, 0.000872,1,-0.448833,-0.035393, 9.796309,1,0
1778256575378,  1503.675,  1503.675, 0.045991, 0.004601,-0.995516, 0.000458, 0.000047,-0.009954, 0.002269, 0.009724, 0.033639,1, 0.000786,-0.000753, 0.000927,1,-0.448724,-0.035373, 9.796314,1,0
1778256575378,  1503.700,  1503.695, 0.044739, 0.004245,-0.995169, 0.000450, 0.000046,-0.009950,-0.000612, 0.010376, 0.036118,1, 0.002326,-0.000208, 0.000788,1,-0.448694,-0.035009, 9.796317,1,0
1778256575378,  1503.725,  1503.720, 0.044542, 0.004177,-0.995618, 0.000445, 0.000040,-0.009956,-0.012152, 0.006234, 0.032631,1, 0.003858, 0.000650, 0.000269,1,-0.449003,-0.034636, 9.796305,1,0
1778256575378,  1503.750,  1503.745, 0.044378, 0.004809,-0.995541, 0.000443, 0.000048,-0.009957,-0.011393, 0.016026, 0.034800,1, 0.005702,-0.000239, 0.000508,1,-0.448947,-0.033717, 9.796310,1,0
1778256575378,  1503.770,  1503.765, 0.044505, 0.003774,-0.994817, 0.000444, 0.000040,-0.009948,-0.018229, 0.013346, 0.032973,1, 0.006205,-0.000215,-0.000317,1,-0.448834,-0.032528, 9.796319,1,0
