Time,fGPS_ts,estOrientQuaternion[0],estOrientQuaternion[1],estOrientQuaternion[2],estOrientQuaternion[3],estOrientQuaternion:valid,flag
1778778087583,  2714.335, 0.997778,-0.066575, 0.002501,-0.000089,1,0
1778778087583,  2714.355, 0.997779,-0.066559, 0.002490,-0.000088,1,0
1778778087584,  2714.380, 0.997777,-0.066591, 0.002512,-0.000094,1,0
1778778087584,  2714.405, 0.997779,-0.066568, 0.002507,-0.000089,1,0
1778778087584,  2714.425, 0.997778,-0.066579, 0.002524,-0.000090,1,0
1778778087584,  2714.455, 0.997779,-0.066563, 0.002526,-0.000086,1,0
1778778087584,  2714.475, 0.997779,-0.066562, 0.002524,-0.000086,1,0
1778778087584,  2714.500, 0.997781,-0.066530, 0.002512,-0.000084,1,0
1778778087584,  2714.525, 0.997783,-0.066502, 0.002489,-0.000088,1,0
1778778087584,  2714.545, 0.997779,-0.066565, 0.002540,-0.000093,1,0
1778778087584,  2714.565, 0.997783,-0.066509, 0.002477,-0.000092,1,0
1778778087596,  2781.355, 0.997753,-0.066842, 0.003022,-0.003501,1,0
1778778087617,  2781.375, 0.997751,-0.066868, 0.003058,-0.003509,1,0
1778778087639,  2781.395, 0.997755,-0.066817, 0.003038,-0.003502,1,0
1778778087666,  2781.425, 0.997749,-0.066890, 0.003091,-0.003503,1,0
1778778087687,  2781.445, 0.997752,-0.066855, 0.003042,-0.003495,1,0
1778778087710,  2781.470, 0.997747,-0.066927, 0.003079,-0.003508,1,0
1778778087736,  2781.495, 0.997753,-0.066843, 0.003038,-0.003500,1,0
1778778087758,  2781.515, 0.997753,-0.066841, 0.003043,-0.003505,1,0
1778778087780,  2781.540, 0.997752,-0.066847, 0.003047,-0.003499,1,0
1778778087806,  2781.565, 0.997750,-0.066884, 0.003070,-0.003507,1,0
1778778087828,  2781.585, 0.997750,-0.066875, 0.003078,-0.003507,1,0
1778778087850,  2781.610, 0.997749,-0.066895, 0.003078,-0.003511,1,0
1778778087876,  2781.635, 0.997751,-0.066867, 0.003062,-0.003509,1,0
1778778087898,  2781.655, 0.997752,-0.066850, 0.003039,-0.003506,1,0
1778778087921,  2781.680, 0.997752,-0.066853, 0.003080,-0.003509,1,0
1778778087946,  2781.705, 0.997754,-0.066820, 0.003036,-0.003511,1,0
1778778087968,  2781.725, 0.997750,-0.066881, 0.003088,-0.003519,1,0
1778778087991,  2781.750, 0.997752,-0.066845, 0.003070,-0.003516,1,0
1778778088016,  2781.775, 0.997750,-0.066882, 0.003111,-0.003522,1,0
1778778088038,  2781.795, 0.997753,-0.066841, 0.003085,-0.003512,1,0
1778778088061,  2781.820, 0.997750,-0.066878, 0.003122,-0.003516,1,0
1778778088086,  2781.845, 0.997753,-0.066837, 0.003096,-0.003509,1,0
1778778088108,  2781.865, 0.997749,-0.066898, 0.003134,-0.003514,1,0
1778778088131,  2781.890, 0.997753,-0.066835, 0.003094,-0.003508,1,0
1778778088157,  2781.915, 0.997751,-0.066864, 0.003112,-0.003514,1,0
1778778088178,  2781.935, 0.997753,-0.066830, 0.003116,-0.003510,1,0
1778778088201,  2781.960, 0.997752,-0.066846, 0.003125,-0.003515,1,0
1778778088227,  2781.985, 0.997753,-0.066830, 0.003109,-0.003517,1,0
1778778088248,  2782.005, 0.997752,-0.066856, 0.003100,-0.003512,1,0
1778778088271,  2782.030, 0.997753,-0.066832, 0.003123,-0.003519,1,0
1778778088297,  2782.055, 0.997754,-0.066820, 0.003112,-0.003521,1,0
1778778088318,  2782.075, 0.997751,-0.066869, 0.003155,-0.003524,1,0
1778778088341,  2782.100, 0.997754,-0.066822, 0.003104,-0.003522,1,0
1778778088367,  2782.125, 0.997751,-0.066857, 0.003141,-0.003523,1,0
1778778088388,  2782.145, 0.997753,-0.066831, 0.003107,-0.003516,1,0
1778778088415,  2782.175, 0.997751,-0.066871, 0.003109,-0.003526,1,0
1778778088437,  2782.195, 0.997751,-0.066865, 0.003099,-0.003523,1,0
1778778088458,  2782.215, 0.997749,-0.066899, 0.003131,-0.003530,1,0
1778778088485,  2782.245, 0.997756,-0.066795, 0.003073,-0.003530,1,0
1778778088507,  2782.265, 0.997751,-0.066869, 0.003111,-0.003534,1,0
1778778088529,  2782.285, 0.997750,-0.066871, 0.003127,-0.003533,1,0
1778778088556,  2782.315, 0.997750,-0.066871, 0.003141,-0.003536,1,0
1778778088577,  2782.335, 0.997753,-0.066837, 0.003129,-0.003535,1,0
1778778088599,  2782.355, 0.997752,-0.066843, 0.003102,-0.003536,1,0
1778778088626,  2782.385, 0.997752,-0.066843, 0.003135,-0.003539,1,0
1778778088647,  2782.405, 0.997753,-0.066829, 0.003124,-0.003537,1,0
1778778088669,  2782.425, 0.997752,-0.066852, 0.003138,-0.003540,1,0
1778778088696,  2782.455, 0.997752,-0.066848, 0.003092,-0.003539,1,0
1778778088717,  2782.475, 0.997750,-0.066884, 0.003134,-0.003543,1,0
1778778088739,  2782.495, 0.997755,-0.066808, 0.003082,-0.003541,1,0
1778778088766,  2782.525, 0.997752,-0.066851, 0.003108,-0.003546,1,0
1778778088787,  2782.545, 0.997753,-0.066833, 0.003094,-0.003537,1,0
1778778088809,  2782.565, 0.997752,-0.066850, 0.003111,-0.003541,1,0
1778778088836,  2782.595, 0.997754,-0.066817, 0.003083,-0.003542,1,0
1778778088858,  2782.615, 0.997751,-0.066859, 0.003098,-0.003545,1,0
1778778088879,  2782.635, 0.997754,-0.066827, 0.003098,-0.003543,1,0
1778778088906,  2782.665, 0.997752,-0.066853, 0.003116,-0.003543,1,0
1778778088928,  2782.685, 0.997754,-0.066822, 0.003094,-0.003540,1,0
1778778088950,  2782.710, 0.997751,-0.066857, 0.003095,-0.003545,1,0
1778778088976,  2782.735, 0.997752,-0.066844, 0.003105,-0.003546,1,0
1778778088998,  2782.755, 0.997753,-0.066834, 0.003078,-0.003547,1,0
1778778089020,  2782.780, 0.997754,-0.066817, 0.003081,-0.003550,1,0
1778778089046,  2782.805, 0.997752,-0.066852, 0.003080,-0.003553,1,0
1778778089068,  2782.825, 0.997751,-0.066871, 0.003111,-0.003549,1,0
1778778089091,  2782.850, 0.997755,-0.066806, 0.003052,-0.003546,1,0
1778778089116,  2782.875, 0.997751,-0.066857, 0.003097,-0.003547,1,0
1778778089138,  2782.895, 0.997752,-0.066846, 0.003080,-0.003541,1,0
1778778089161,  2782.920, 0.997752,-0.066845, 0.003077,-0.003546,1,0
1778778089186,  2782.945, 0.997753,-0.066830, 0.003057,-0.003543,1,0
1778778089208,  2782.965, 0.997749,-0.066892, 0.003086,-0.003547,1,0
1778778089231,  2782.990, 0.997754,-0.066816, 0.003062,-0.003542,1,0
1778778089256,  2783.015, 0.997752,-0.066846, 0.003108,-0.003545,1,0
1778778089278,  2783.035, 0.997755,-0.066812, 0.003087,-0.003544,1,0
1778778089301,  2783.060, 0.997750,-0.066873, 0.003109,-0.003541,1,0
1778778089327,  2783.085, 0.997754,-0.066826, 0.003092,-0.003542,1,0
1778778089348,  2783.105, 0.997753,-0.066833, 0.003066,-0.003543,1,0
1778778089371,  2783.130, 0.997751,-0.066861, 0.003102,-0.003535,1,0
1778778089397,  2783.155, 0.997752,-0.066847, 0.003095,-0.003536,1,0
1778778089418,  2783.175, 0.997753,-0.066836, 0.003093,-0.003542,1,0
1778778089441,  2783.200, 0.997750,-0.066874, 0.003094,-0.003539,1,0
1778778089467,  2783.225, 0.997752,-0.066852, 0.003104,-0.003541,1,0
1778778089488,  2783.245, 0.997756,-0.066792, 0.003063,-0.003539,1,0
1778778089511,  2783.270, 0.997752,-0.066853, 0.003100,-0.003542,1,0
1778778089537,  2783.295, 0.997754,-0.066827, 0.003057,-0.003540,1,0
1778778089558,  2783.315, 0.997751,-0.066859, 0.003105,-0.003544,1,0
1778778089581,  2783.340, 0.997754,-0.066814, 0.003077,-0.003540,1,0
