Time,GPS_ts,orientQuaternion[0],orientQuaternion[1],orientQuaternion[2],orientQuaternion[3],flag
1778777560820,  2232.689, 0.987399,-0.050287, 0.005643,-0.149942,0
1778777560820,  2232.714, 0.986463,-0.050228, 0.005961,-0.155990,0
1778777560820,  2232.734, 0.985651,-0.050207, 0.006226,-0.161034,0
1778777560820,  2232.759, 0.985872,-0.050209, 0.006155,-0.159678,0
1778777560820,  2232.784, 0.986290,-0.050233, 0.006042,-0.157071,0
1778777560820,  2232.809, 0.986302,-0.050219, 0.006045,-0.157001,0
1778777560820,  2232.834, 0.986687,-0.050226, 0.005953,-0.154568,0
1778777560820,  2232.859, 0.985791,-0.050186, 0.006266,-0.160179,0
1778777560820,  2232.884, 0.986771,-0.050231, 0.005949,-0.154029,0
1778777560821,  2232.904, 0.986053,-0.050210, 0.006199,-0.158554,0
1778777560821,  2232.924, 0.985887,-0.050196, 0.006270,-0.159584,0
1778777560835,  2254.649, 0.991686,-0.049883, 0.010570,-0.118145,0
1778777560856,  2254.674, 0.991103,-0.049804, 0.010779,-0.122954,0
1778777560878,  2254.694, 0.991507,-0.049879, 0.010650,-0.119633,0
1778777560905,  2254.719, 0.990138,-0.049735, 0.011180,-0.130494,0
1778777560926,  2254.744, 0.991219,-0.049856, 0.010761,-0.121995,0
1778777560949,  2254.764, 0.990320,-0.049734, 0.011092,-0.129115,0
1778777560975,  2254.789, 0.990327,-0.049748, 0.011126,-0.129052,0
1778777560996,  2254.814, 0.990410,-0.049736, 0.011077,-0.128417,0
1778777561019,  2254.834, 0.990073,-0.049740, 0.011228,-0.130975,0
1778777561045,  2254.859, 0.990820,-0.049773, 0.010931,-0.125214,0
1778777561066,  2254.884, 0.989522,-0.049707, 0.011453,-0.135071,0
1778777561089,  2254.904, 0.988966,-0.049640, 0.011634,-0.139096,0
1778777561115,  2254.929, 0.989644,-0.049672, 0.011369,-0.134195,0
1778777561136,  2254.954, 0.988432,-0.049578, 0.011823,-0.142845,0
1778777561159,  2254.974, 0.987566,-0.049512, 0.012117,-0.148711,0
1778777561185,  2254.999, 0.986864,-0.049468, 0.012352,-0.153299,0
1778777561207,  2255.024, 0.987315,-0.049482, 0.012174,-0.150377,0
1778777561229,  2255.044, 0.987873,-0.049545, 0.012024,-0.146652,0
1778777561255,  2255.069, 0.987107,-0.049450, 0.012261,-0.151739,0
1778777561277,  2255.094, 0.987612,-0.049540, 0.012114,-0.148395,0
1778777561299,  2255.119, 0.987829,-0.049508, 0.012017,-0.146962,0
1778777561325,  2255.139, 0.987571,-0.049522, 0.012145,-0.148672,0
1778777561347,  2255.164, 0.985756,-0.049347, 0.012693,-0.160277,0
1778777561370,  2255.189, 0.987089,-0.049479, 0.012288,-0.151841,0
1778777561395,  2255.209, 0.985421,-0.049316, 0.012798,-0.162328,0
1778777561417,  2255.234, 0.986222,-0.049429, 0.012591,-0.157368,0
1778777561440,  2255.259, 0.986927,-0.049456, 0.012334,-0.152897,0
1778777561465,  2255.279, 0.986780,-0.049450, 0.012365,-0.153840,0
1778777561487,  2255.304, 0.985770,-0.049357, 0.012692,-0.160189,0
1778777561510,  2255.329, 0.986634,-0.049436, 0.012435,-0.154774,0
1778777561535,  2255.349, 0.984947,-0.049320, 0.012956,-0.165163,0
1778777561557,  2255.374, 0.986795,-0.049444, 0.012367,-0.153748,0
1778777561580,  2255.399, 0.987401,-0.049488, 0.012191,-0.149808,0
1778777561606,  2255.419, 0.985145,-0.049299, 0.012897,-0.163987,0
1778777561627,  2255.444, 0.986557,-0.049422, 0.012475,-0.155265,0
1778777561654,  2255.469, 0.986745,-0.049405, 0.012398,-0.154075,0
1778777561676,  2255.489, 0.986754,-0.049449, 0.012434,-0.154005,0
1778777561697,  2255.514, 0.984273,-0.049220, 0.013158,-0.169149,0
1778777561724,  2255.539, 0.985358,-0.049330, 0.012846,-0.162702,0
1778777561746,  2255.564, 0.985817,-0.049340, 0.012703,-0.159905,0
1778777561767,  2255.584, 0.987716,-0.049526, 0.012115,-0.147708,0
1778777561794,  2255.609, 0.985680,-0.049321, 0.012738,-0.160751,0
1778777561816,  2255.634, 0.985533,-0.049346, 0.012820,-0.161631,0
1778777561837,  2255.654, 0.986504,-0.049387, 0.012480,-0.155609,0
1778777561864,  2255.679, 0.984453,-0.049263, 0.013136,-0.168087,0
1778777561886,  2255.704, 0.984291,-0.049207, 0.013153,-0.169050,0
1778777561907,  2255.724, 0.984012,-0.049229, 0.013263,-0.170651,0
1778777561934,  2255.749, 0.985549,-0.049341, 0.012810,-0.161537,0
1778777561956,  2255.774, 0.985547,-0.049339, 0.012800,-0.161550,0
1778777561978,  2255.794, 0.983959,-0.049210, 0.013270,-0.170958,0
1778777562005,  2255.819, 0.986050,-0.049369, 0.012633,-0.158455,0
1778777562026,  2255.844, 0.985483,-0.049329, 0.012819,-0.161943,0
1778777562048,  2255.864, 0.986140,-0.049376, 0.012614,-0.157894,0
1778777562075,  2255.889, 0.984380,-0.049277, 0.013172,-0.168509,0
1778777562096,  2255.914, 0.986667,-0.049418, 0.012434,-0.154567,0
1778777562118,  2255.934, 0.985930,-0.049392, 0.012682,-0.159188,0
1778777562145,  2255.959, 0.984779,-0.049265, 0.013005,-0.166178,0
1778777562166,  2255.984, 0.985845,-0.049382, 0.012716,-0.159715,0
1778777562189,  2256.004, 0.986231,-0.049383, 0.012563,-0.157325,0
1778777562215,  2256.029, 0.985115,-0.049331, 0.012943,-0.164155,0
1778777562237,  2256.054, 0.984159,-0.049214, 0.013208,-0.169806,0
1778777562259,  2256.074, 0.985503,-0.049369, 0.012831,-0.161808,0
1778777562285,  2256.099, 0.986508,-0.049406, 0.012494,-0.155580,0
1778777562307,  2256.124, 0.983735,-0.049195, 0.013353,-0.172241,0
1778777562329,  2256.144, 0.983723,-0.049185, 0.013345,-0.172312,0
1778777562355,  2256.169, 0.984699,-0.049265, 0.013055,-0.166645,0
1778777562377,  2256.194, 0.985232,-0.049295, 0.012899,-0.163469,0
1778777562399,  2256.214, 0.985086,-0.049300, 0.012962,-0.164336,0
1778777562425,  2256.239, 0.985155,-0.049316, 0.012957,-0.163920,0
1778777562447,  2256.264, 0.986369,-0.049378, 0.012559,-0.156462,0
1778777562470,  2256.284, 0.985705,-0.049343, 0.012789,-0.160586,0
1778777562495,  2256.309, 0.985384,-0.049279, 0.012866,-0.162553,0
1778777562517,  2256.334, 0.986381,-0.049395, 0.012578,-0.156382,0
1778777562540,  2256.359, 0.983631,-0.049141, 0.013367,-0.172848,0
1778777562565,  2256.379, 0.983903,-0.049204, 0.013330,-0.171278,0
1778777562587,  2256.404, 0.983874,-0.049164, 0.013311,-0.171457,0
1778777562610,  2256.429, 0.985129,-0.049312, 0.012970,-0.164078,0
1778777562635,  2256.444, 0.985701,-0.049322, 0.012766,-0.160617,0
1778777562657,  2256.474, 0.985315,-0.049347, 0.012924,-0.162951,0
1778777562680,  2256.499, 0.985936,-0.049367, 0.012700,-0.159159,0
1778777562705,  2256.519, 0.984859,-0.049276, 0.013010,-0.165696,0
1778777562727,  2256.544, 0.986293,-0.049375, 0.012577,-0.156937,0
1778777562750,  2256.569, 0.985127,-0.049295, 0.012954,-0.164095,0
1778777562776,  2256.589, 0.985108,-0.049307, 0.012974,-0.164202,0
1778777562797,  2256.614, 0.986213,-0.049392, 0.012670,-0.157431,0
1778777562820,  2256.639, 0.985651,-0.049350, 0.012856,-0.160909,0
1778777562846,  2256.659, 0.987000,-0.049436, 0.012396,-0.152427,0
1778777562867,  2256.684, 0.987015,-0.049443, 0.012393,-0.152323,0
1778777562894,  2256.709, 0.984539,-0.049206, 0.013123,-0.167601,0
1778777562916,  2256.729, 0.985430,-0.049345, 0.012896,-0.162253,0
1778777562937,  2256.754, 0.986146,-0.049359, 0.012635,-0.157861,0
1778777562964,  2256.779, 0.984180,-0.049239, 0.013267,-0.169675,0
1778777562986,  2256.804, 0.984901,-0.049265, 0.013031,-0.165451,0
1778777563007,  2256.824, 0.984142,-0.049223, 0.013280,-0.169901,0
1778777563034,  2256.849, 0.984886,-0.049229, 0.013040,-0.165547,0
1778777563056,  2256.874, 0.983907,-0.049211, 0.013376,-0.171250,0
1778777563078,  2256.894, 0.984314,-0.049201, 0.013237,-0.168907,0
1778777563105,  2256.919, 0.985319,-0.049285, 0.012948,-0.162941,0
1778777563126,  2256.944, 0.984276,-0.049210, 0.013265,-0.169122,0
1778777563148,  2256.964, 0.985623,-0.049320, 0.012860,-0.161087,0
1778777563175,  2256.989, 0.983528,-0.049160, 0.013484,-0.173418,0
1778777563196,  2257.014, 0.983629,-0.049167, 0.013436,-0.172850,0
1778777563218,  2257.034, 0.985734,-0.049346, 0.012845,-0.160400,0
1778777563245,  2257.059, 0.985519,-0.049298, 0.012876,-0.161730,0
1778777563266,  2257.084, 0.984024,-0.049236, 0.013350,-0.170572,0
1778777563288,  2257.104, 0.985126,-0.049266, 0.012993,-0.164106,0
1778777563315,  2257.129, 0.985501,-0.049322, 0.012917,-0.161829,0
1778777563336,  2257.154, 0.986056,-0.049329, 0.012721,-0.158426,0
1778777563358,  2257.174, 0.984822,-0.049237, 0.013122,-0.165918,0
