Time,GPS_ts,fGPS_ts,scaledAccelX,scaledAccelY,scaledAccelZ,deltaVelX,deltaVelY,deltaVelZ,estLinearAccelX,estLinearAccelY,estLinearAccelZ,estLinearAccel:valid,estAngularRateX,estAngularRateY,estAngularRateZ,estAngularRate:valid,estGravityX,estGravityY,estGravityZ,estGravity:valid,flag
1778781452483,  2472.037,  2472.037, 0.008648, 0.017902,-0.998880, 0.000089, 0.000162,-0.010013, 0.026566, 0.004565, 0.009316,1,-0.000193, 0.003776,-0.000923,1,-0.058355,-0.171000, 9.804985,1,0
1778781452483,  2472.062,  2472.057, 0.002430, 0.013631,-1.001218, 0.000027, 0.000148,-0.009995,-0.030442, 0.036752, 0.105673,1, 0.000663,-0.003423, 0.000077,1,-0.058535,-0.171001, 9.804984,1,0
1778781452483,  2472.082,  2472.082, 0.008320, 0.018715,-0.996950, 0.000082, 0.000174,-0.010001, 0.023565, 0.012661, 0.028250,1, 0.000840, 0.005599,-0.000913,1,-0.058204,-0.170845, 9.804989,1,0
1778781452483,  2472.107,  2472.107, 0.004843, 0.019778,-0.985498, 0.000052, 0.000211,-0.009843,-0.011250, 0.023318, 0.140556,1, 0.002230,-0.001663, 0.000470,1,-0.058693,-0.170565, 9.804991,1,0
1778781452483,  2472.132,  2472.127, 0.004472, 0.021240,-0.996445, 0.000047, 0.000195,-0.009988,-0.002284,-0.045263,-0.063889,1,-0.001486,-0.001863,-0.000318,1,-0.057871,-0.170467, 9.804997,1,0
1778781452483,  2472.157,  2472.157, 0.003012, 0.018561,-0.988642, 0.000030, 0.000196,-0.009863,-0.007741, 0.061718, 0.156043,1,-0.001119, 0.003818, 0.000016,1,-0.058746,-0.170661, 9.804989,1,0
1778781452483,  2472.182,  2472.177, 0.006965, 0.022475,-0.995588, 0.000069, 0.000208,-0.009981, 0.011347,-0.036761,-0.101232,1,-0.001024,-0.000261,-0.000332,1,-0.057605,-0.170571, 9.804997,1,0
1778781452483,  2472.207,  2472.202, 0.004433, 0.017101,-0.987270, 0.000042, 0.000182,-0.009846,-0.015218,-0.002946, 0.123177,1, 0.000071,-0.003789, 0.000384,1,-0.058570,-0.170655, 9.804990,1,0
1778781452483,  2472.232,  2472.227, 0.006578, 0.022173,-0.995136, 0.000061, 0.000209,-0.009980, 0.008825,-0.041767,-0.088101,1,-0.002917,-0.000538,-0.000042,1,-0.057788,-0.171163, 9.804986,1,0
1778781452483,  2472.252,  2472.247, 0.004666, 0.017190,-0.993154, 0.000046, 0.000183,-0.009911, 0.005206, 0.041877, 0.144873,1,-0.000943, 0.002424,-0.000252,1,-0.058895,-0.171383, 9.804976,1,0
1778781452483,  2472.272,  2472.267, 0.008079, 0.013966,-1.005220, 0.000081, 0.000140,-0.010073,-0.017712,-0.041680,-0.063348,1,-0.000001,-0.005285, 0.000786,1,-0.057858,-0.171419, 9.804981,1,0
1778781452497,  2488.097,  2488.097, 0.006174, 0.021768,-0.999278, 0.000063, 0.000210,-0.010019, 0.014232, 0.025067, 0.005164,1,-0.000607, 0.005237, 0.000162,1,-0.046479,-0.188425, 9.804729,1,0
1778781452518,  2488.122,  2488.117, 0.005460, 0.016064,-0.999542, 0.000056, 0.000167,-0.009981, 0.005798, 0.019263, 0.123541,1, 0.001555,-0.002840, 0.000878,1,-0.046765,-0.188071, 9.804735,1,0
1778781452540,  2488.142,  2488.137, 0.009852, 0.020680,-0.994585, 0.000102, 0.000198,-0.009967, 0.037198,-0.036214,-0.045161,1,-0.001474,-0.000673,-0.000206,1,-0.046047,-0.188091, 9.804738,1,0
1778781452567,  2488.167,  2488.167,-0.000310, 0.021229,-0.989815, 0.000003, 0.000222,-0.009879,-0.049665, 0.020281, 0.097966,1, 0.002046,-0.003983, 0.000745,1,-0.046499,-0.187843, 9.804741,1,0
