time,Vehicle speed (km/h)
11:43:01.992,0.0
11:43:02.809,0.0
11:43:04.064,0.0
11:43:05.125,0.0
11:43:05.850,0.0
11:43:06.649,0.0
11:43:07.441,0.0
11:43:08.586,0.0
11:43:09.834,0.0
11:43:10.524,0.0
11:43:11.417,0.0
11:43:13.096,0.0
11:43:14.863,0.0
11:43:16.442,0.0
11:43:19.416,0.0
11:43:20.256,0.0
11:43:21.384,0.0
11:43:22.639,0.0
11:43:23.685,0.0
11:43:24.807,0.0
11:43:25.697,0.0
11:43:27.122,0.0
11:43:28.735,0.0
11:43:30.921,0.0
11:43:32.084,0.0
11:43:32.757,0.0
11:43:33.879,0.0
11:43:35.037,0.0
11:43:35.810,0.0
11:43:37.677,0.0
11:43:39.143,0.0
11:43:40.322,0.0
11:43:41.061,0.0
11:43:42.221,0.0
11:43:42.970,0.0
11:43:43.830,0.0
11:43:45.061,0.0
11:43:46.542,0.0
11:43:47.224,0.0
11:43:48.402,0.0
11:43:49.026,0.0
11:43:50.060,0.0
11:43:50.893,0.0
11:43:51.630,0.0
11:43:52.477,0.0
11:43:53.615,0.0
11:43:54.516,0.0
11:43:55.261,4.0
11:43:56.837,6.0
11:43:58.328,1.0
11:43:59.772,7.0
11:44:00.824,7.0
11:44:01.554,7.0
11:44:02.307,6.0
11:44:03.715,8.0
11:44:04.769,10.0
11:44:05.435,10.0
11:44:06.282,12.0
11:44:07.382,14.0
11:44:08.548,16.0
11:44:09.270,18.0
11:44:10.473,19.0
11:44:11.512,20.0
11:44:14.807,19.0
11:44:21.846,21.0
11:44:22.566,21.0
11:44:23.344,21.0
11:44:24.696,21.0
11:44:25.764,21.0
11:44:27.395,21.0
11:44:38.390,21.0
11:44:39.182,21.0
11:44:39.986,20.0
11:44:40.685,20.0
11:44:41.397,20.0
11:44:42.172,20.0
11:44:43.362,19.0
11:44:44.988,17.0
11:44:46.274,14.0
11:44:47.478,13.0
11:44:48.416,11.0
11:44:49.587,11.0
11:44:50.659,15.0
11:44:51.759,17.0
11:44:52.919,16.0
11:44:53.758,18.0
11:44:55.266,18.0
11:44:56.296,18.0
11:44:57.656,18.0
11:44:58.961,18.0
11:44:59.699,17.0
11:45:00.375,15.0
11:45:01.386,15.0
11:45:02.112,15.0
11:45:02.749,14.0
11:45:03.518,12.0
11:45:04.147,14.0
11:45:04.824,13.0
11:45:05.821,12.0
11:45:06.538,11.0
11:45:07.689,13.0
11:45:08.490,13.0
11:45:09.213,15.0
11:45:10.276,17.0
11:45:11.042,17.0
11:45:11.734,16.0
11:45:12.454,18.0
11:45:13.180,18.0
11:45:13.826,18.0
11:45:14.654,19.0
11:45:15.388,19.0
11:45:16.127,5.0
11:45:16.904,18.0
11:45:17.928,18.0
11:45:18.761,19.0
11:45:19.452,19.0
11:45:20.681,18.0
11:45:21.429,19.0
11:45:22.175,19.0
11:45:22.911,21.0
11:45:23.656,21.0
11:45:25.441,21.0
11:45:26.189,21.0
11:45:27.369,21.0
11:45:28.156,21.0
11:45:29.017,21.0
11:45:30.178,21.0
11:45:30.956,22.0
11:45:31.851,21.0
11:45:32.590,21.0
11:45:33.385,23.0
11:45:34.588,21.0
11:45:35.494,23.0
11:45:36.198,21.0
11:45:36.993,23.0
11:45:37.711,20.0
11:45:38.552,20.0
11:45:39.655,18.0
11:45:40.814,18.0
11:45:41.559,18.0
11:45:42.621,13.0
11:45:43.357,11.0
11:45:44.116,7.0
11:45:44.944,6.0
11:45:45.732,6.0
11:45:46.435,8.0
11:45:47.621,10.0
11:45:48.353,5.0
11:45:49.130,14.0
11:45:50.994,14.0
11:45:52.186,1.0
11:45:53.711,11.0
11:45:54.459,11.0
11:45:55.220,11.0
11:45:55.962,16.0
11:45:56.737,18.0
11:45:57.810,20.0
11:45:58.656,19.0
11:45:59.566,21.0
11:46:00.331,15.0
11:46:01.386,20.0
11:46:02.250,19.0
11:46:03.253,19.0
11:46:04.059,1.0
11:46:04.802,18.0
11:46:05.622,17.0
11:46:06.883,15.0
11:46:07.750,15.0
11:46:08.426,15.0
11:46:09.578,15.0
11:46:10.320,17.0
11:46:11.165,16.0
11:46:11.970,15.0
11:46:12.810,15.0
11:46:13.580,13.0
11:46:15.212,10.0
11:46:16.458,7.0
11:46:18.778,3.0
11:46:19.933,0.0
11:46:22.446,0.0
11:46:23.196,0.0
11:46:24.422,4.0
11:46:25.184,9.0
11:46:26.074,13.0
11:46:26.967,15.0
11:46:27.768,15.0
11:46:28.541,15.0
11:46:29.372,16.0
11:46:30.125,18.0
11:46:30.940,17.0
11:46:31.671,17.0
11:46:32.556,17.0
11:46:33.693,17.0
11:46:34.895,15.0
11:46:35.706,15.0
11:46:36.947,15.0
11:46:38.067,14.0
11:46:38.788,14.0
11:46:39.591,13.0
11:46:40.691,14.0
11:46:41.530,14.0
11:46:42.352,12.0
11:46:43.155,10.0
11:46:44.348,7.0
11:46:45.515,4.0
11:46:46.591,3.0
11:46:47.356,3.0
11:46:48.132,3.0
11:46:49.294,0.0
11:46:50.530,7.0
11:46:51.655,10.0
11:46:52.743,8.0
11:46:53.459,10.0
11:46:54.244,11.0
11:46:55.047,11.0
11:46:55.800,10.0
11:46:56.583,12.0
11:46:56.762,12.0
11:46:56.912,12.0
11:46:57.094,12.0
11:46:57.242,12.0
11:46:57.360,12.0
11:46:57.544,14.0
11:46:57.658,14.0
11:46:57.809,14.0
11:46:57.993,14.0
11:46:58.110,13.0
11:46:58.261,13.0
11:46:58.444,13.0
11:46:58.560,13.0
11:46:58.744,13.0
11:46:58.891,13.0
11:46:59.044,15.0
11:46:59.222,15.0
11:46:59.342,15.0
11:46:59.792,15.0
11:47:00.334,15.0
11:47:00.783,15.0
11:47:01.504,17.0
11:47:02.251,16.0
11:47:03.001,16.0
11:47:03.753,18.0
11:47:04.529,18.0
11:47:05.252,18.0
11:47:06.002,17.0
11:47:06.751,17.0
11:47:07.534,16.0
11:47:08.251,16.0
11:47:08.999,16.0
11:47:09.785,18.0
11:47:10.497,17.0
11:47:11.266,16.0
11:47:11.998,15.0
11:47:12.787,14.0
11:47:13.502,13.0
11:47:14.286,11.0
11:47:14.998,10.0
11:47:15.751,12.0
11:47:16.502,12.0
11:47:17.249,12.0
11:47:18.030,9.0
11:47:18.748,6.0
11:47:19.499,5.0
11:47:21.037,3.0
11:47:21.744,3.0
11:47:22.509,0.0
11:47:23.254,0.0
11:47:24.003,0.0
11:47:24.744,0.0
