unix_time_ms,GPS_ts_week,GPS_ts_tow,GPS_valid,orientQ0,orientQ1,orientQ2,orientQ3,flag_sensor,flag_filter
1779139782110.000000000,2419,163800.110000000,3,0.854094625,-0.005590383,0.020188721,-0.519695640,0,0
1779139782120.000000000,2419,163800.120000000,3,0.852968574,-0.005553911,0.020204687,-0.521541595,0,0
1779139782140.000000000,2419,163800.140000000,3,0.851621628,-0.005504077,0.020226579,-0.523737669,0,0
1779139782150.000000000,2419,163800.150000000,3,0.854644835,-0.005624258,0.020194542,-0.518789709,0,0
1779139782170.000000000,2419,163800.170000000,3,0.851618409,-0.005510814,0.020224076,-0.523742914,0,0
1779139782180.000000000,2419,163800.180000000,3,0.852376878,-0.005541211,0.020215617,-0.522507727,0,0
1779139782200.000000000,2419,163800.200000000,3,0.851616681,-0.005511024,0.020227794,-0.523745656,0,0
1779139782210.000000000,2419,163800.210000000,3,0.853714049,-0.005593121,0.020205263,-0.520319939,0,0
1779139782230.000000000,2419,163800.230000000,3,0.852196693,-0.005535596,0.020217540,-0.522801459,0,0
1779139782240.000000000,2419,163800.240000000,3,0.853172779,-0.005569290,0.020202948,-0.521207333,0,0
1779139782250.000000000,2419,163800.250000000,3,0.852365375,-0.005535876,0.020211358,-0.522526801,0,0
1779139782270.000000000,2419,163800.270000000,3,0.850113153,-0.005451443,0.020230344,-0.526183069,0,0
1779139782280.000000000,2419,163800.280000000,3,0.849503934,-0.005428745,0.020233778,-0.527166247,0,0
1779139782300.000000000,2419,163800.300000000,3,0.852547109,-0.005552542,0.020200467,-0.522230506,0,0
1779139782310.000000000,2419,163800.310000000,3,0.851060748,-0.005493826,0.020218272,-0.524649143,0,0
1779139782330.000000000,2419,163800.330000000,3,0.852000117,-0.005530516,0.020210149,-0.523122072,0,0
1779139782340.000000000,2419,163800.340000000,3,0.852188408,-0.005538977,0.020206608,-0.522815466,0,0
1779139782360.000000000,2419,163800.360000000,3,0.852199197,-0.005536904,0.020207975,-0.522797883,0,0
1779139782370.000000000,2419,163800.370000000,3,0.851216733,-0.005496635,0.020217456,-0.524395943,0,0
1779139782380.000000000,2419,163800.380000000,3,0.851415277,-0.005501465,0.020212140,-0.524073660,0,0
1779139782400.000000000,2419,163800.400000000,3,0.851219118,-0.005491379,0.020213116,-0.524392307,0,0
1779139782410.000000000,2419,163800.410000000,3,0.855556011,-0.005656882,0.020163747,-0.517286539,0,0
1779139782430.000000000,2419,163800.430000000,3,0.851610482,-0.005506275,0.020201281,-0.523756862,0,0
1779139782440.000000000,2419,163800.440000000,3,0.852958620,-0.005555897,0.020185428,-0.521558583,0,0
1779139782460.000000000,2419,163800.460000000,3,0.851419628,-0.005502976,0.020195970,-0.524067283,0,0
1779139782470.000000000,2419,163800.470000000,3,0.853680551,-0.005590452,0.020167299,-0.520376384,0,0
1779139782490.000000000,2419,163800.490000000,3,0.851427615,-0.005503255,0.020192580,-0.524054408,0,0
1779139782500.000000000,2419,163800.500000000,3,0.853123903,-0.005569069,0.020175401,-0.521288455,0,0
1779139782520.000000000,2419,163800.520000000,3,0.853502214,-0.005578239,0.020175774,-0.520668626,0,0
1779139782530.000000000,2419,163800.530000000,3,0.853698492,-0.005585987,0.020174285,-0.520346642,0,0
1779139782540.000000000,2419,163800.540000000,3,0.852554917,-0.005543957,0.020183951,-0.522218287,0,0
1779139782560.000000000,2419,163800.560000000,3,0.851993859,-0.005522401,0.020186286,-0.523133457,0,0
1779139782570.000000000,2419,163800.570000000,3,0.855763018,-0.005669022,0.020140029,-0.516944945,0,0
1779139782590.000000000,2419,163800.590000000,3,0.850086570,-0.005447863,0.020195557,-0.526227474,0,0
1779139782600.000000000,2419,163800.600000000,3,0.854251325,-0.005610337,0.020153984,-0.519439220,0,0
1779139782620.000000000,2419,163800.620000000,3,0.851628840,-0.005511942,0.020184901,-0.523727596,0,0
1779139782630.000000000,2419,163800.630000000,3,0.854083300,-0.005606799,0.020159207,-0.519715309,0,0
1779139782650.000000000,2419,163800.650000000,3,0.851440847,-0.005500272,0.020187862,-0.524033070,0,0
1779139782660.000000000,2419,163800.660000000,3,0.850500584,-0.005461757,0.020196537,-0.525557935,0,0
1779139782670.000000000,2419,163800.670000000,3,0.853139460,-0.005563270,0.020165723,-0.521263480,0,0
1779139782690.000000000,2419,163800.690000000,3,0.852782547,-0.005549258,0.020169791,-0.521847069,0,0
1779139782700.000000000,2419,163800.700000000,3,0.851997077,-0.005520958,0.020183092,-0.523128331,0,0
1779139782720.000000000,2419,163800.720000000,3,0.850294590,-0.005456821,0.020198762,-0.525891066,0,0
1779139782730.000000000,2419,163800.730000000,3,0.850482702,-0.005464003,0.020193527,-0.525586963,0,0
1779139782750.000000000,2419,163800.750000000,3,0.852750957,-0.005551237,0.020164613,-0.521898806,0,0
1779139782760.000000000,2419,163800.760000000,3,0.852370262,-0.005538968,0.020170921,-0.522520244,0,0
1779139782780.000000000,2419,163800.780000000,3,0.852531791,-0.005546170,0.020168403,-0.522256792,0,0
1779139782790.000000000,2419,163800.790000000,3,0.852391362,-0.005541328,0.020167753,-0.522486031,0,0
1779139782810.000000000,2419,163800.810000000,3,0.851606011,-0.005518298,0.020181078,-0.523764789,0,0
1779139782820.000000000,2419,163800.820000000,3,0.853885055,-0.005613045,0.020155201,-0.520040989,0,0
1779139782830.000000000,2419,163800.830000000,3,0.853506327,-0.005599230,0.020160180,-0.520662308,0,0
1779139782850.000000000,2419,163800.850000000,3,0.851415992,-0.005513880,0.020185320,-0.524073541,0,0
1779139782860.000000000,2419,163800.860000000,3,0.852557480,-0.005556781,0.020173525,-0.522214472,0,0
1779139782880.000000000,2419,163800.880000000,3,0.855909228,-0.005688585,0.020135164,-0.516702771,0,0
1779139782890.000000000,2419,163800.890000000,3,0.854792416,-0.005646219,0.020150447,-0.518548012,0,0
1779139782910.000000000,2419,163800.910000000,3,0.851029694,-0.005498158,0.020189440,-0.524700582,0,0
1779139782920.000000000,2419,163800.920000000,3,0.851232648,-0.005502245,0.020193571,-0.524371088,0,0
1779139782940.000000000,2419,163800.940000000,3,0.854242265,-0.005618891,0.020169687,-0.519453466,0,0
1779139782950.000000000,2419,163800.950000000,3,0.854049683,-0.005609871,0.020171333,-0.519770086,0,0
1779139782960.000000000,2419,163800.960000000,3,0.852174580,-0.005541963,0.020191271,-0.522838533,0,0
1779139782980.000000000,2419,163800.980000000,3,0.851613522,-0.005517377,0.020190582,-0.523752153,0,0
1779139782990.000000000,2419,163800.990000000,3,0.855384111,-0.005666248,0.020150729,-0.517571211,0,0
1779139783010.000000000,2419,163801.010000000,3,0.853316128,-0.005584526,0.020173104,-0.520973563,0,0
