unix_time_ms,fGPS_ts_week,fGPS_ts_tow,fGPS_valid,estQ0,estQ1,estQ2,estQ3,estQ_valid,flag_sensor,flag_filter
1779139782110.000000000,2419,163800.110000000,3,0.999784589,-0.014913726,0.014414288,-0.000735500,1,0,0
1779139782120.000000000,2419,163800.120000000,3,0.999784470,-0.014922670,0.014413216,-0.000728890,1,0,0
1779139782140.000000000,2419,163800.140000000,3,0.999784350,-0.014928594,0.014418325,-0.000715975,1,0,0
1779139782150.000000000,2419,163800.150000000,3,0.999784350,-0.014931182,0.014416939,-0.000710428,1,0,0
1779139782170.000000000,2419,163800.170000000,3,0.999784410,-0.014929594,0.014412447,-0.000707018,1,0,0
1779139782180.000000000,2419,163800.180000000,3,0.999784470,-0.014928308,0.014411733,-0.000712038,1,0,0
1779139782200.000000000,2419,163800.200000000,3,0.999784350,-0.014929195,0.014415986,-0.000725109,1,0,0
1779139782210.000000000,2419,163800.210000000,3,0.999784350,-0.014929867,0.014415314,-0.000728933,1,0,0
1779139782230.000000000,2419,163800.230000000,3,0.999784410,-0.014931286,0.014411087,-0.000737834,1,0,0
1779139782240.000000000,2419,163800.240000000,3,0.999784470,-0.014926231,0.014410076,-0.000740021,1,0,0
1779139782250.000000000,2419,163800.250000000,3,0.999784291,-0.014934160,0.014416002,-0.000742298,1,0,0
1779139782270.000000000,2419,163800.270000000,3,0.999784291,-0.014937090,0.014412624,-0.000740570,1,0,0
1779139782280.000000000,2419,163800.280000000,3,0.999784291,-0.014937468,0.014410447,-0.000736637,1,0,0
1779139782300.000000000,2419,163800.300000000,3,0.999784291,-0.014942153,0.014405677,-0.000725524,1,0,0
1779139782310.000000000,2419,163800.310000000,3,0.999784291,-0.014942070,0.014408154,-0.000720552,1,0,0
1779139782330.000000000,2419,163800.330000000,3,0.999784231,-0.014943140,0.014409477,-0.000717724,1,0,0
1779139782340.000000000,2419,163800.340000000,3,0.999784291,-0.014943114,0.014407490,-0.000717476,1,0,0
1779139782360.000000000,2419,163800.360000000,3,0.999784291,-0.014940431,0.014409993,-0.000722502,1,0,0
1779139782370.000000000,2419,163800.370000000,3,0.999784291,-0.014937763,0.014410607,-0.000728180,1,0,0
1779139782380.000000000,2419,163800.380000000,3,0.999784410,-0.014933564,0.014408962,-0.000734274,1,0,0
1779139782400.000000000,2419,163800.400000000,3,0.999784470,-0.014930626,0.014407489,-0.000748937,1,0,0
1779139782410.000000000,2419,163800.410000000,3,0.999784529,-0.014927453,0.014405817,-0.000754637,1,0,0
1779139782430.000000000,2419,163800.430000000,3,0.999784589,-0.014928117,0.014401016,-0.000763228,1,0,0
1779139782440.000000000,2419,163800.440000000,3,0.999784589,-0.014926325,0.014402198,-0.000766077,1,0,0
1779139782460.000000000,2419,163800.460000000,3,0.999784529,-0.014930095,0.014400418,-0.000765791,1,0,0
1779139782470.000000000,2419,163800.470000000,3,0.999784589,-0.014928573,0.014398066,-0.000763003,1,0,0
1779139782490.000000000,2419,163800.490000000,3,0.999784589,-0.014928854,0.014399615,-0.000757851,1,0,0
1779139782500.000000000,2419,163800.500000000,3,0.999784589,-0.014928905,0.014399888,-0.000758657,1,0,0
1779139782520.000000000,2419,163800.520000000,3,0.999784529,-0.014927347,0.014403809,-0.000760824,1,0,0
1779139782530.000000000,2419,163800.530000000,3,0.999784529,-0.014927858,0.014403059,-0.000759147,1,0,0
1779139782540.000000000,2419,163800.540000000,3,0.999784589,-0.014928024,0.014398702,-0.000762416,1,0,0
1779139782560.000000000,2419,163800.560000000,3,0.999784648,-0.014925855,0.014395776,-0.000770204,1,0,0
