unix_time_ms_sensor,GPS_ts_week,GPS_ts_tow,scaledAccelX,scaledAccelY,scaledAccelZ,deltaVelX,deltaVelY,deltaVelZ,unix_time_ms_filter,fGPS_ts_week,fGPS_ts_tow,estLinAccelX,estLinAccelY,estLinAccelZ,estLinAccel_valid,estAngRateX,estAngRateY,estAngRateZ,estAngRate_valid,estGravityX,estGravityY,estGravityZ,estGravity_valid,flag_sensor,flag_filter
1779139782110.000000000,2419,163800.110000000,0.029653845,0.028402846,-0.998521090,0.000298904,0.000286314,-0.009992398,1779139782110.000000000,2419,163800.110000000,0.008361893,-0.014073915,0.006065910,1,-0.001365721,-0.000266270,0.001096212,1,-0.282435715,-0.292652309,9.798213005,1,0,0
1779139782120.000000000,2419,163800.120000000,0.030072503,0.028274585,-0.999190569,0.000300731,0.000283078,-0.009995786,1779139782120.000000000,2419,163800.120000000,0.012506863,-0.015493819,-0.000503028,1,-0.001732749,0.000375320,0.001173346,1,-0.282416463,-0.292825788,9.798208237,1,0,0
1779139782140.000000000,2419,163800.140000000,0.029164121,0.031443208,-0.999241829,0.000292126,0.000312100,-0.009990633,1779139782140.000000000,2419,163800.140000000,0.003490135,0.015425774,-0.001013277,1,-0.000398680,0.000229569,0.001021404,1,-0.282520324,-0.292938322,9.798201561,1,0,0
1779139782150.000000000,2419,163800.150000000,0.029194245,0.031912543,-1.000087857,0.000291319,0.000317801,-0.009997970,1779139782150.000000000,2419,163800.150000000,0.003799426,0.019985469,-0.009310914,1,-0.000593012,-0.000139830,0.000796707,1,-0.282494694,-0.292987496,9.798200607,1,0,0
1779139782170.000000000,2419,163800.170000000,0.028376525,0.034638178,-0.999838948,0.000284319,0.000343733,-0.009995253,1779139782170.000000000,2419,163800.170000000,-0.004124026,0.046716977,-0.006867641,1,0.000394563,0.000163750,-0.000152360,1,-0.282407671,-0.292955339,9.798204422,1,0,0
1779139782180.000000000,2419,163800.180000000,0.028316371,0.033686336,-0.998637915,0.000284323,0.000340848,-0.009988352,1779139782180.000000000,2419,163800.180000000,-0.004704143,0.037412599,0.004911653,1,0.000220657,0.000008898,-0.001014302,1,-0.282392234,-0.292931557,9.798205376,1,0,0
1779139782200.000000000,2419,163800.200000000,0.028956329,0.030271094,-1.000110984,0.000290716,0.000303986,-0.009998025,1779139782200.000000000,2419,163800.200000000,0.001524353,0.003904853,-0.009535073,1,0.000058288,0.001052761,-0.001433215,1,-0.282471746,-0.292952657,9.798202515,1,0,0
1779139782210.000000000,2419,163800.210000000,0.029513901,0.028925082,-0.999000490,0.000292780,0.000293853,-0.009991380,1779139782210.000000000,2419,163800.210000000,0.006977133,-0.009305585,0.001353751,1,-0.000081745,0.000086008,-0.000667035,1,-0.282457471,-0.292966932,9.798202515,1,0,0
1779139782230.000000000,2419,163800.230000000,0.028858732,0.027099747,-0.999529898,0.000291062,0.000273153,-0.009993753,1779139782230.000000000,2419,163800.230000000,0.000600981,-0.027243806,-0.003837457,1,0.000146108,-0.001102722,-0.000210812,1,-0.282371938,-0.292997211,9.798204422,1,0,0
1779139782240.000000000,2419,163800.240000000,0.027590035,0.028298073,-0.998659551,0.000275588,0.000282000,-0.009995207,1779139782240.000000000,2419,163800.240000000,-0.011790965,-0.015420869,0.004701091,1,0.001031604,-0.000142811,-0.000812988,1,-0.282351583,-0.292898715,9.798207283,1,0,0
