unix_time_ms,fGPS_ts_week,fGPS_ts_tow,fGPS_valid,estQ0,estQ1,estQ2,estQ3,estQ_valid,flag_sensor,flag_filter
1779140527920.000000000,2419,164545.920000000,3,0.999896705,0.012973131,0.006182118,0.000032647,1,0,0
1779140527930.000000000,2419,164545.930000000,3,0.999895573,0.012962891,0.006385347,0.000010514,1,0,0
1779140527950.000000000,2419,164545.950000000,3,0.999895692,0.013013317,0.006265186,-0.000080844,1,0,0
1779140527960.000000000,2419,164545.960000000,3,0.999895096,0.012977010,0.006436849,-0.000127704,1,0,0
1779140527980.000000000,2419,164545.980000000,3,0.999895334,0.013010667,0.006325112,-0.000184045,1,0,0
1779140527990.000000000,2419,164545.990000000,3,0.999894857,0.013014225,0.006392200,-0.000161180,1,0,0
1779140528010.000000000,2419,164546.010000000,3,0.999895453,0.012977836,0.006373592,-0.000062081,1,0,0
1779140528020.000000000,2419,164546.020000000,3,0.999895751,0.012974517,0.006339428,-0.000041397,1,0,0
1779140528040.000000000,2419,164546.040000000,3,0.999895394,0.012991875,0.006353815,-0.000079757,1,0,0
1779140528050.000000000,2419,164546.050000000,3,0.999895215,0.013020917,0.006327108,-0.000124989,1,0,0
1779140528060.000000000,2419,164546.060000000,3,0.999895275,0.013025653,0.006306224,-0.000175124,1,0,0
1779140528080.000000000,2419,164546.080000000,3,0.999894559,0.013058787,0.006346911,-0.000248730,1,0,0
1779140528090.000000000,2419,164546.090000000,3,0.999894202,0.013088305,0.006339693,-0.000253238,1,0,0
1779140528110.000000000,2419,164546.110000000,3,0.999894142,0.013103339,0.006321111,-0.000202656,1,0,0
1779140528120.000000000,2419,164546.120000000,3,0.999894917,0.013035429,0.006340253,-0.000181176,1,0,0
1779140528140.000000000,2419,164546.140000000,3,0.999895513,0.013016661,0.006288949,-0.000176292,1,0,0
1779140528150.000000000,2419,164546.150000000,3,0.999895275,0.012998927,0.006355410,-0.000174011,1,0,0
1779140528170.000000000,2419,164546.170000000,3,0.999895155,0.013035332,0.006300856,-0.000188790,1,0,0
1779140528180.000000000,2419,164546.180000000,3,0.999894202,0.013102667,0.006316346,-0.000201091,1,0,0
1779140528190.000000000,2419,164546.190000000,3,0.999894023,0.013148709,0.006243953,-0.000205707,1,0,0
1779140528210.000000000,2419,164546.210000000,3,0.999893129,0.013197857,0.006282099,-0.000203416,1,0,0
1779140528220.000000000,2419,164546.220000000,3,0.999893308,0.013167255,0.006323897,-0.000201077,1,0,0
1779140528240.000000000,2419,164546.240000000,3,0.999895871,0.012969804,0.006326713,-0.000136221,1,0,0
1779140528250.000000000,2419,164546.250000000,3,0.999896765,0.012905463,0.006316543,-0.000061339,1,0,0
1779140528270.000000000,2419,164546.270000000,3,0.999896586,0.012957687,0.006235437,0.000054793,1,0,0
1779140528280.000000000,2419,164546.280000000,3,0.999896169,0.012929613,0.006362941,0.000059189,1,0,0
1779140528300.000000000,2419,164546.300000000,3,0.999896824,0.012906849,0.006302376,0.000035937,1,0,0
1779140528310.000000000,2419,164546.310000000,3,0.999896407,0.012880669,0.006420765,0.000012465,1,0,0
1779140528330.000000000,2419,164546.330000000,3,0.999897599,0.012826242,0.006345720,-0.000040197,1,0,0
