unix_time_ms_sensor,GPS_ts_week,GPS_ts_tow,scaledAccelX,scaledAccelY,scaledAccelZ,deltaVelX,deltaVelY,deltaVelZ,unix_time_ms_filter,fGPS_ts_week,fGPS_ts_tow,estLinAccelX,estLinAccelY,estLinAccelZ,estLinAccel_valid,estAngRateX,estAngRateY,estAngRateZ,estAngRate_valid,estGravityX,estGravityY,estGravityZ,estGravity_valid,flag_sensor,flag_filter
1779140671838.000000000,2419,164689.838000000,0.013564844,-0.018039335,-0.999235213,0.000124084,-0.000175831,-0.009977775,1779140671838.000000000,2419,164689.838000000,-0.010381310,0.006683582,0.004731598,1,0.000426478,0.003446274,0.000915088,1,-0.143514007,0.183602765,9.803880692,1,0,0
1779140671848.000000000,2419,164689.848000000,0.015785463,-0.015628431,-0.993729413,0.000158383,-0.000160049,-0.009959782,1779140671848.000000000,2419,164689.848000000,0.011469469,0.030257519,0.058727913,1,0.000392530,-0.002247105,0.000299921,1,-0.143262759,0.183532476,9.803885460,1,0,0
1779140671868.000000000,2419,164689.868000000,0.014843200,-0.013639800,-0.993142545,0.000151978,-0.000145545,-0.009955433,1779140671868.000000000,2419,164689.868000000,0.002219086,0.050055329,0.064477511,1,-0.000599925,-0.000552343,-0.000389912,1,-0.143326730,0.183799148,9.803879738,1,0,0
1779140671878.000000000,2419,164689.878000000,0.015218902,-0.016953340,-0.998784959,0.000150869,-0.000162273,-0.009962255,1779140671878.000000000,2419,164689.878000000,0.005916134,0.017615173,0.009143376,1,0.000805851,-0.000524974,-0.000124667,1,-0.143314064,0.183895871,9.803877831,1,0,0
1779140671898.000000000,2419,164689.898000000,0.014223095,-0.020175472,-0.997519255,0.000136609,-0.000197775,-0.009952816,1779140671898.000000000,2419,164689.898000000,-0.003967654,-0.014064323,0.021555297,1,0.000043586,0.001362792,-0.001573166,1,-0.143492028,0.183790132,9.803877831,1,0,0
1779140671908.000000000,2419,164689.908000000,0.011079854,-0.019397344,-0.993751585,0.000118917,-0.000201256,-0.009958458,1779140671908.000000000,2419,164689.908000000,-0.034664575,-0.006464504,0.058506094,1,0.000305098,-0.002013861,-0.000066778,1,-0.143258035,0.183767989,9.803881645,1,0,0
1779140671928.000000000,2419,164689.928000000,0.014082825,-0.019439306,-0.994334579,0.000142718,-0.000200873,-0.009962343,1779140671928.000000000,2419,164689.928000000,-0.005402483,-0.006836237,0.052785657,1,-0.000338559,-0.000530017,-0.000148500,1,-0.143491372,0.183787629,9.803877831,1,0,0
1779140671938.000000000,2419,164689.938000000,0.014728825,-0.019829985,-0.997671366,0.000141473,-0.000197669,-0.009957860,1779140671938.000000000,2419,164689.938000000,0.000940122,-0.010645837,0.020062158,1,0.000233587,0.000649484,-0.000134253,1,-0.143520653,0.183827117,9.803876877,1,0,0
1779140671948.000000000,2419,164689.948000000,0.017284228,-0.018803235,-0.994811177,0.000171627,-0.000191672,-0.009962728,1779140671948.000000000,2419,164689.948000000,0.025895512,-0.000640425,0.048110969,1,-0.000508400,0.000540354,-0.000251981,1,-0.143621892,0.183740348,9.803876877,1,0,0
1779140671968.000000000,2419,164689.968000000,0.016875213,-0.019857660,-0.994838893,0.000169965,-0.000199685,-0.009962142,1779140671968.000000000,2419,164689.968000000,0.021897838,-0.010911099,0.047837824,1,-0.000654691,0.000348478,0.000236990,1,-0.143602207,0.183805734,9.803875923,1,0,0
1779140671978.000000000,2419,164689.978000000,0.017712111,-0.019522946,-0.995470583,0.000175196,-0.000194928,-0.009947899,1779140671978.000000000,2419,164689.978000000,0.030048117,-0.007664027,0.041642688,1,-0.000546927,-0.000166859,0.000093402,1,-0.143643081,0.183773652,9.803875923,1,0,0
1779140671988.000000000,2419,164689.988000000,0.015056673,-0.018493285,-0.995128930,0.000155796,-0.000186507,-0.009960853,1779140671988.000000000,2419,164689.988000000,0.004118219,0.002463442,0.044994082,1,-0.000222604,-0.001160996,0.000302088,1,-0.143500909,0.183813825,9.803876877,1,0,0
1779140671998.000000000,2419,164689.998000000,0.014493981,-0.017964128,-0.995158255,0.000141337,-0.000174328,-0.009944594,1779140671998.000000000,2419,164689.998000000,-0.001409313,0.007632190,0.044707227,1,-0.000315679,0.001413926,0.000060048,1,-0.143590808,0.183790296,9.803875923,1,0,0
1779140672008.000000000,2419,164690.008000000,0.014210492,-0.018341444,-0.996392787,0.000143464,-0.000182160,-0.009973357,1779140672008.000000000,2419,164690.008000000,-0.004149234,0.003887061,0.032601643,1,-0.000441451,-0.001559486,0.000570530,1,-0.143457577,0.183741689,9.803878784,1,0,0
1779140672028.000000000,2419,164690.028000000,0.013603784,-0.018120827,-0.995757282,0.000137953,-0.000184899,-0.009968009,1779140672028.000000000,2419,164690.028000000,-0.010023123,0.005958784,0.038837273,1,-0.000462436,0.000412222,0.000364278,1,-0.143443331,0.183649138,9.803880692,1,0,0
1779140672038.000000000,2419,164690.038000000,0.014330851,-0.019028621,-0.995849669,0.000139414,-0.000187995,-0.009948598,1779140672038.000000000,2419,164690.038000000,-0.002931642,-0.002945211,0.037930310,1,0.000624209,0.000188898,-0.000037205,1,-0.143475205,0.183681279,9.803879738,1,0,0
1779140672058.000000000,2419,164690.058000000,0.014833884,-0.018234545,-0.996107578,0.000147452,-0.000182063,-0.009955470,1779140672058.000000000,2419,164690.058000000,0.001921613,0.004808806,0.035400007,1,0.000332228,0.000485078,-0.000569299,1,-0.143561810,0.183630958,9.803879738,1,0,0
1779140672068.000000000,2419,164690.068000000,0.014742125,-0.016926114,-0.995787978,0.000151360,-0.000171101,-0.009962982,1779140672068.000000000,2419,164690.068000000,0.001065959,0.017632896,0.038535647,1,-0.000340559,-0.000921724,-0.000555097,1,-0.143476292,0.183609992,9.803881645,1,0,0
1779140672078.000000000,2419,164690.078000000,0.014278507,-0.017563675,-0.995463848,0.000138570,-0.000175447,-0.009951198,1779140672078.000000000,2419,164690.078000000,-0.003446368,0.011380284,0.041714963,1,0.000187030,0.000540037,-0.001268269,1,-0.143488273,0.183626339,9.803880692,1,0,0
1779140672098.000000000,2419,164690.098000000,0.014436631,-0.019094503,-0.995348871,0.000142028,-0.000191180,-0.009952620,1779140672098.000000000,2419,164690.098000000,-0.001892369,-0.003628711,0.042842288,1,0.000839162,-0.000542485,-0.000359235,1,-0.143450648,0.183650434,9.803880692,1,0,0
1779140672108.000000000,2419,164690.108000000,0.014593548,-0.019784663,-0.996097267,0.000141964,-0.000199014,-0.009965201,1779140672108.000000000,2419,164690.108000000,-0.000363825,-0.010375503,0.035501905,1,-0.000053754,0.000236881,-0.000172021,1,-0.143485144,0.183644027,9.803880692,1,0,0
1779140672128.000000000,2419,164690.128000000,0.015304958,-0.019413233,-0.996571183,0.000153096,-0.000192415,-0.009967689,1779140672128.000000000,2419,164690.128000000,0.006614652,-0.006693476,0.030854288,1,-0.000575662,-0.000344739,0.000021420,1,-0.143464953,0.183667377,9.803880692,1,0,0
1779140672138.000000000,2419,164690.138000000,0.015927127,-0.018792313,-0.995327175,0.000157571,-0.000186711,-0.009948300,1779140672138.000000000,2419,164690.138000000,0.012703631,-0.000637120,0.043054376,1,-0.000458475,0.000328280,0.000093113,1,-0.143498316,0.183638245,9.803880692,1,0,0
1779140672158.000000000,2419,164690.158000000,0.014174071,-0.018685356,-0.995229006,0.000139178,-0.000185924,-0.009952135,1779140672158.000000000,2419,164690.158000000,-0.004545623,0.000339316,0.044017542,1,-0.000525822,0.000953736,-0.000136489,1,-0.143575639,0.183563590,9.803880692,1,0,0
1779140672168.000000000,2419,164690.168000000,0.014057962,-0.018197633,-0.995682955,0.000142366,-0.000183635,-0.009959146,1779140672168.000000000,2419,164690.168000000,-0.005757356,0.005079870,0.039565511,1,-0.000018919,0.000361897,0.000085201,1,-0.143630132,0.183537140,9.803880692,1,0,0
1779140672188.000000000,2419,164690.188000000,0.014926063,-0.017538702,-0.996633351,0.000145914,-0.000177092,-0.009966211,1779140672188.000000000,2419,164690.188000000,0.002770591,0.011552735,0.030245278,1,0.000177417,0.000027503,-0.000287789,1,-0.143605113,0.183554053,9.803880692,1,0,0
1779140672198.000000000,2419,164690.198000000,0.015418033,-0.018333536,-0.995712101,0.000154435,-0.000182825,-0.009955605,1779140672198.000000000,2419,164690.198000000,0.007580410,0.003771184,0.039279133,1,-0.000006966,-0.000051401,0.000179411,1,-0.143617138,0.183561623,9.803879738,1,0,0
1779140672218.000000000,2419,164690.218000000,0.015430800,-0.019932138,-0.995145798,0.000153885,-0.000199418,-0.009952316,1779140672218.000000000,2419,164690.218000000,0.007627848,-0.011977280,0.044833105,1,-0.000513274,0.000152623,0.000173583,1,-0.143701270,0.183474302,9.803880692,1,0,0
1779140672228.000000000,2419,164690.228000000,0.014989235,-0.020240458,-0.996350169,0.000148949,-0.000201108,-0.009960178,1779140672228.000000000,2419,164690.228000000,0.003317711,-0.015040924,0.033023208,1,-0.000890166,-0.000872465,-0.000224780,1,-0.143649369,0.183422282,9.803882599,1,0,0
1779140672238.000000000,2419,164690.238000000,0.014261857,-0.019065054,-0.995668888,0.000141612,-0.000192242,-0.009959155,1779140672238.000000000,2419,164690.238000000,-0.003793945,-0.003502619,0.039704584,1,-0.000128761,0.000287120,-0.000114804,1,-0.143664017,0.183457628,9.803881645,1,0,0
1779140672258.000000000,2419,164690.258000000,0.013830816,-0.018349303,-0.995604515,0.000138712,-0.000181276,-0.009958224,1779140672258.000000000,2419,164690.258000000,-0.008140702,0.003589808,0.040333152,1,0.000703546,0.000497838,-0.000673329,1,-0.143800735,0.183562845,9.803876877,1,0,0
1779140672268.000000000,2419,164690.268000000,0.014217097,-0.018591680,-0.996634245,0.000141575,-0.000185027,-0.009964196,1779140672268.000000000,2419,164690.268000000,-0.004442481,0.001245221,0.030232569,1,0.000268871,0.000465032,-0.000389515,1,-0.143879980,0.183575943,9.803875923,1,0,0
1779140672288.000000000,2419,164690.288000000,0.014974535,-0.019086109,-0.996131241,0.000149319,-0.000191049,-0.009957184,1779140672288.000000000,2419,164690.288000000,0.002922137,-0.003563254,0.035163693,1,0.000638184,-0.000035906,-0.000038430,1,-0.143926799,0.183627442,9.803874016,1,0,0
1779140672298.000000000,2419,164690.298000000,0.014986159,-0.019130932,-0.996131480,0.000150205,-0.000193335,-0.009966001,1779140672298.000000000,2419,164690.298000000,0.003011728,-0.003976536,0.035160054,1,0.000174961,0.000243236,-0.000361608,1,-0.143960103,0.183639139,9.803874016,1,0,0
1779140672318.000000000,2419,164690.318000000,0.014785874,-0.018502455,-0.995020807,0.000148502,-0.000187173,-0.009952514,1779140672318.000000000,2419,164690.318000000,0.001029816,0.002279137,0.046049807,1,0.000343818,0.000131829,0.000436987,1,-0.143973947,0.183737159,9.803871155,1,0,0
1779140672328.000000000,2419,164690.328000000,0.015089444,-0.018323394,-0.995780170,0.000148831,-0.000183091,-0.009955633,1779140672328.000000000,2419,164690.328000000,0.003934795,0.004078909,0.038601793,1,0.000293630,0.000886587,-0.000079049,1,-0.144069821,0.183779150,9.803869247,1,0,0
