unix_time_ms,GPS_ts_week,GPS_ts_tow,GPS_valid,orientQ0,orientQ1,orientQ2,orientQ3,flag_sensor,flag_filter
1779140814624.000000000,2419,164832.624000000,3,0.792697430,0.013973515,-0.001642398,-0.609452963,0,0
1779140814634.000000000,2419,164832.634000000,3,0.793761075,0.013974980,-0.001620091,-0.608067095,0,0
1779140814654.000000000,2419,164832.654000000,3,0.796096206,0.013976927,-0.001566164,-0.605006635,0,0
1779140814664.000000000,2419,164832.664000000,3,0.793958783,0.013973051,-0.001612795,-0.607808828,0,0
1779140814674.000000000,2419,164832.674000000,3,0.794692397,0.013969747,-0.001594547,-0.606849492,0,0
1779140814694.000000000,2419,164832.694000000,3,0.789490342,0.013957525,-0.001716080,-0.613601863,0,0
1779140814704.000000000,2419,164832.704000000,3,0.793593287,0.013966626,-0.001625866,-0.608286142,0,0
1779140814724.000000000,2419,164832.724000000,3,0.789298952,0.013952377,-0.001722335,-0.613848209,0,0
1779140814734.000000000,2419,164832.734000000,3,0.794792891,0.013969402,-0.001596873,-0.606717944,0,0
1779140814754.000000000,2419,164832.754000000,3,0.792181730,0.013960633,-0.001658541,-0.610123336,0,0
1779140814764.000000000,2419,164832.764000000,3,0.794321656,0.013966156,-0.001610892,-0.607334793,0,0
1779140814784.000000000,2419,164832.784000000,3,0.801842332,0.013983470,-0.001438740,-0.597370386,0,0
1779140814794.000000000,2419,164832.794000000,3,0.798785865,0.013971043,-0.001511495,-0.601451397,0,0
1779140814804.000000000,2419,164832.804000000,3,0.798138559,0.013970856,-0.001528937,-0.602310061,0,0
1779140814824.000000000,2419,164832.824000000,3,0.795653343,0.013962812,-0.001586207,-0.605589271,0,0
1779140814834.000000000,2419,164832.834000000,3,0.802747488,0.013984072,-0.001417936,-0.596153498,0,0
1779140814854.000000000,2419,164832.854000000,3,0.800419092,0.013977317,-0.001470200,-0.599276066,0,0
1779140814864.000000000,2419,164832.864000000,3,0.792370141,0.013956374,-0.001656078,-0.609878778,0,0
1779140814884.000000000,2419,164832.884000000,3,0.793384314,0.013959921,-0.001636184,-0.608558714,0,0
1779140814894.000000000,2419,164832.894000000,3,0.797545731,0.013972443,-0.001542170,-0.603094757,0,0
1779140814914.000000000,2419,164832.914000000,3,0.796061516,0.013967630,-0.001573196,-0.605052412,0,0
1779140814924.000000000,2419,164832.924000000,3,0.796893299,0.013968739,-0.001550835,-0.603956640,0,0
1779140814944.000000000,2419,164832.944000000,3,0.792127669,0.013950362,-0.001658115,-0.610193849,0,0
1779140814954.000000000,2419,164832.954000000,3,0.793213189,0.013953589,-0.001631230,-0.608781934,0,0
1779140814964.000000000,2419,164832.964000000,3,0.798207998,0.013961871,-0.001515362,-0.602218330,0,0
1779140814984.000000000,2419,164832.984000000,3,0.800774217,0.013966201,-0.001461110,-0.598801792,0,0
1779140814994.000000000,2419,164832.994000000,3,0.790362537,0.013936311,-0.001702839,-0.612478614,0,0
1779140815014.000000000,2419,164833.014000000,3,0.796315730,0.013946380,-0.001563499,-0.604718447,0,0
1779140815024.000000000,2419,164833.024000000,3,0.789130449,0.013924692,-0.001729355,-0.614065468,0,0
1779140815044.000000000,2419,164833.044000000,3,0.796384335,0.013943202,-0.001557361,-0.604628146,0,0
1779140815054.000000000,2419,164833.054000000,3,0.791803479,0.013933030,-0.001658057,-0.610614777,0,0
1779140815074.000000000,2419,164833.074000000,3,0.791491270,0.013929530,-0.001657589,-0.611019492,0,0
1779140815084.000000000,2419,164833.084000000,3,0.800341725,0.013956519,-0.001447384,-0.599379957,0,0
1779140815094.000000000,2419,164833.094000000,3,0.794032753,0.013941108,-0.001592579,-0.607712984,0,0
1779140815114.000000000,2419,164833.114000000,3,0.794009328,0.013942145,-0.001594646,-0.607743680,0,0
1779140815124.000000000,2419,164833.124000000,3,0.787437201,0.013921821,-0.001747449,-0.616235137,0,0
1779140815144.000000000,2419,164833.144000000,3,0.791424811,0.013933845,-0.001656613,-0.611105561,0,0
1779140815154.000000000,2419,164833.154000000,3,0.798764050,0.013952841,-0.001486690,-0.601480842,0,0
1779140815174.000000000,2419,164833.174000000,3,0.795253396,0.013946835,-0.001571358,-0.606114745,0,0
1779140815184.000000000,2419,164833.184000000,3,0.793711007,0.013942840,-0.001605976,-0.608133078,0,0
