unix_time_ms,GPS_ts_tow,GPS_valid,orientQ0,orientQ1,orientQ2,orientQ3,flag
1779390997362,415015.362000000,3,0.569489121,0.022377850,0.016696466,-0.821524620,0
1779390997372,415015.372000000,3,0.568322182,0.022383446,0.016673887,-0.822332561,0
1779390997392,415015.392000000,3,0.564104855,0.022488577,0.016507315,-0.825231850,0
1779390997402,415015.402000000,3,0.566635668,0.022466570,0.016565977,-0.823495507,0
1779390997432,415015.432000000,3,0.571710587,0.022320738,0.016751435,-0.819980621,0
1779390997442,415015.442000000,3,0.565727115,0.022451736,0.016577367,-0.824120164,0
1779390997462,415015.462000000,3,0.568161964,0.022411669,0.016670652,-0.822442651,0
1779390997472,415015.472000000,3,0.560712039,0.022533730,0.016492812,-0.827539921,0
1779390997482,415015.482000000,3,0.568288505,0.022364357,0.016693594,-0.822355926,0
1779390997492,415015.492000000,3,0.565022230,0.022442585,0.016582556,-0.824603736,0
1779390997502,415015.502000000,3,0.568514526,0.022400983,0.016664401,-0.822199345,0
1779390997522,415015.522000000,3,0.564869940,0.022448799,0.016600089,-0.824707568,0
1779390997532,415015.532000000,3,0.568253458,0.022364872,0.016679198,-0.822380543,0
1779390997552,415015.552000000,3,0.560413241,0.022572346,0.016408660,-0.827742934,0
1779390997562,415015.562000000,3,0.565433264,0.022475922,0.016551264,-0.824321628,0
1779390997572,415015.572000000,3,0.567185104,0.022417041,0.016616097,-0.823117554,0
1779390997592,415015.592000000,3,0.564110935,0.022480730,0.016514895,-0.825227737,0
1779390997602,415015.602000000,3,0.559913695,0.022592125,0.016390320,-0.828080773,0
1779390997622,415015.622000000,3,0.567964017,0.022407183,0.016653225,-0.822579801,0
1779390997632,415015.632000000,3,0.564959526,0.022454316,0.016570222,-0.824646652,0
1779390997652,415015.652000000,3,0.563676715,0.022530112,0.016512387,-0.825523019,0
1779390997662,415015.662000000,3,0.566048563,0.022475896,0.016604001,-0.823898137,0
1779390997682,415015.682000000,3,0.566364706,0.022429634,0.016635166,-0.823681533,0
1779390997692,415015.692000000,3,0.563794911,0.022495877,0.016538622,-0.825442731,0
1779390997712,415015.712000000,3,0.563380837,0.022532698,0.016520482,-0.825724781,0
1779390997722,415015.722000000,3,0.567912400,0.022413196,0.016662031,-0.822615087,0
1779390997732,415015.732000000,3,0.565915287,0.022442168,0.016604384,-0.823990583,0
1779390997752,415015.752000000,3,0.569601834,0.022409618,0.016678184,-0.821445882,0
1779390997762,415015.762000000,3,0.567982078,0.022441793,0.016654005,-0.822566390,0
1779390997782,415015.782000000,3,0.566807747,0.022428116,0.016643571,-0.823376596,0
1779390997792,415015.792000000,3,0.563574731,0.022505239,0.016544880,-0.825592756,0
1779390997812,415015.812000000,3,0.560706913,0.022567695,0.016509531,-0.827542067,0
1779390997822,415015.822000000,3,0.567971468,0.022387341,0.016732203,-0.822573543,0
1779390997842,415015.842000000,3,0.568198919,0.022386722,0.016680496,-0.822417617,0
1779390997852,415015.852000000,3,0.568307400,0.022412065,0.016666953,-0.822342217,0
1779390997862,415015.862000000,3,0.565441906,0.022464562,0.016624954,-0.824314535,0
1779390997882,415015.882000000,3,0.569599926,0.022317560,0.016804663,-0.821447194,0
