unix_time_ms,fGPS_ts_tow,fGPS_valid,estQ0,estQ1,estQ2,estQ3,estQ_valid,flag
1779391854120,415872.120000000,3,0.999849319,-0.008823421,0.014947610,-0.000071523,1,0
1779391854130,415872.130000000,3,0.999849081,-0.008821620,0.014967166,-0.000070419,1,0
1779391854150,415872.150000000,3,0.999850810,-0.008779212,0.014875528,-0.000088145,1,0
1779391854160,415872.160000000,3,0.999850452,-0.008779315,0.014897560,-0.000085102,1,0
1779391854180,415872.180000000,3,0.999850154,-0.008788798,0.014913946,-0.000077962,1,0
1779391854190,415872.190000000,3,0.999851227,-0.008781435,0.014846070,-0.000084448,1,0
1779391854200,415872.200000000,3,0.999851584,-0.008781341,0.014821179,-0.000089025,1,0
1779391854220,415872.220000000,3,0.999849498,-0.008805894,0.014949516,-0.000075058,1,0
1779391854230,415872.230000000,3,0.999849558,-0.008800481,0.014948635,-0.000073604,1,0
1779391854250,415872.250000000,3,0.999851406,-0.008771717,0.014840145,-0.000093584,1,0
1779391854260,415872.260000000,3,0.999850869,-0.008780657,0.014869745,-0.000088926,1,0
1779391854280,415872.280000000,3,0.999849856,-0.008801751,0.014926746,-0.000075626,1,0
1779391854290,415872.290000000,3,0.999850690,-0.008795464,0.014875036,-0.000079361,1,0
1779391854310,415872.310000000,3,0.999850333,-0.008800563,0.014895690,-0.000084296,1,0
1779391854320,415872.320000000,3,0.999849439,-0.008816101,0.014945821,-0.000074882,1,0
1779391854330,415872.330000000,3,0.999849796,-0.008812571,0.014924192,-0.000072045,1,0
1779391854350,415872.350000000,3,0.999851465,-0.008793681,0.014823584,-0.000080612,1,0
1779391854360,415872.360000000,3,0.999850690,-0.008810963,0.014866292,-0.000073963,1,0
1779391854380,415872.380000000,3,0.999849796,-0.008835249,0.014911828,-0.000061515,1,0
1779391854390,415872.390000000,3,0.999850929,-0.008818737,0.014843974,-0.000071697,1,0
1779391854410,415872.410000000,3,0.999850512,-0.008822120,0.014870310,-0.000069141,1,0
1779391854420,415872.420000000,3,0.999849439,-0.008839433,0.014931548,-0.000057375,1,0
1779391854440,415872.440000000,3,0.999850750,-0.008821297,0.014853015,-0.000071216,1,0
1779391854450,415872.450000000,3,0.999851286,-0.008810483,0.014823861,-0.000076837,1,0
