unix_time_ms,fGPS_ts_tow,fGPS_valid,estQ0,estQ1,estQ2,estQ3,estQ_valid,flag
1779393654774,417672.774000000,3,0.999109805,0.012424393,0.040165488,-0.003462202,1,0
1779393654784,417672.784000000,3,0.999110520,0.012425600,0.040147465,-0.003459902,1,0
1779393654804,417672.804000000,3,0.999111772,0.012591857,0.040063255,-0.003470117,1,0
1779393654814,417672.814000000,3,0.999110878,0.012521901,0.040108070,-0.003470305,1,0
1779393654834,417672.834000000,3,0.999110520,0.012372334,0.040164068,-0.003464043,1,0
1779393654844,417672.844000000,3,0.999111593,0.012485762,0.040101234,-0.003466688,1,0
1779393654864,417672.864000000,3,0.999111116,0.012544754,0.040093385,-0.003474032,1,0
1779393654874,417672.874000000,3,0.999110341,0.012429311,0.040149342,-0.003470361,1,0
1779393654884,417672.884000000,3,0.999110878,0.012388915,0.040148664,-0.003468065,1,0
1779393654904,417672.904000000,3,0.999111891,0.012563975,0.040068027,-0.003479833,1,0
1779393654914,417672.914000000,3,0.999110997,0.012536723,0.040099002,-0.003480319,1,0
1779393654934,417672.934000000,3,0.999110341,0.012420870,0.040151156,-0.003475505,1,0
1779393654944,417672.944000000,3,0.999111652,0.012503664,0.040092453,-0.003481448,1,0
1779393654964,417672.964000000,3,0.999111295,0.012537791,0.040091228,-0.003486194,1,0
1779393654974,417672.974000000,3,0.999110341,0.012427381,0.040149417,-0.003478535,1,0
1779393654994,417672.994000000,3,0.999111354,0.012484202,0.040107232,-0.003475383,1,0
1779393655004,417673.004000000,3,0.999111772,0.012584685,0.040065013,-0.003482311,1,0
1779393655024,417673.024000000,3,0.999109983,0.012469632,0.040145390,-0.003483136,1,0
1779393655034,417673.034000000,3,0.999110639,0.012412161,0.040147427,-0.003479698,1,0
1779393655044,417673.044000000,3,0.999111593,0.012481063,0.040101551,-0.003481261,1,0
1779393655064,417673.064000000,3,0.999111652,0.012549967,0.040077373,-0.003487420,1,0
1779393655074,417673.074000000,3,0.999110162,0.012456633,0.040144924,-0.003478374,1,0
1779393655094,417673.094000000,3,0.999110878,0.012472670,0.040122643,-0.003476155,1,0
1779393655104,417673.104000000,3,0.999111176,0.012553794,0.040089268,-0.003484083,1,0
1779393655124,417673.124000000,3,0.999110281,0.012446358,0.040145181,-0.003478650,1,0
1779393655134,417673.134000000,3,0.999110699,0.012411136,0.040145252,-0.003476820,1,0
1779393655154,417673.154000000,3,0.999112010,0.012562423,0.040065661,-0.003483795,1,0
1779393655164,417673.164000000,3,0.999110997,0.012528610,0.040100809,-0.003485455,1,0
1779393655174,417673.174000000,3,0.999109685,0.012426540,0.040165462,-0.003481591,1,0
1779393655194,417673.194000000,3,0.999110878,0.012475818,0.040119909,-0.003487665,1,0
1779393655204,417673.204000000,3,0.999111652,0.012579521,0.040067799,-0.003495293,1,0
1779393655224,417673.224000000,3,0.999110520,0.012446930,0.040138461,-0.003487621,1,0
1779393655234,417673.234000000,3,0.999110878,0.012389084,0.040147785,-0.003481494,1,0
1779393655254,417673.254000000,3,0.999112248,0.012560227,0.040059995,-0.003490703,1,0
1779393655264,417673.264000000,3,0.999111235,0.012552860,0.040087093,-0.003492589,1,0
1779393655284,417673.284000000,3,0.999110043,0.012397775,0.040165763,-0.003483382,1,0
1779393655294,417673.294000000,3,0.999111354,0.012455413,0.040115472,-0.003488185,1,0
1779393655314,417673.314000000,3,0.999111772,0.012511450,0.040086355,-0.003493170,1,0
