time(ms),VPWR(V),VSS(km/h)
1779392571000,13.42,-
1779392571087,13.42,0.0
1779392571119,13.43,0.0
1779392571136,13.44,0.0
1779392571152,13.45,0.0
1779392571168,13.46,0.0
1779392571183,13.45,0.0
1779392571200,13.44,0.0
1779392571216,13.44,0.0
1779392571233,13.44,0.0
1779392571249,13.45,0.0
1779392571263,13.46,0.0
1779392571279,13.45,0.0
1779392571296,13.44,0.0
1779392571313,13.44,0.0
1779392571328,13.44,0.0
1779392571345,13.44,0.0
1779392571359,13.44,0.0
1779392571377,13.44,0.0
1779392571392,13.44,0.0
1779392571408,13.45,0.0
1779392571426,13.46,0.0
1779392571440,13.46,0.0
1779392571457,13.46,0.0
1779392571472,13.45,0.0
1779392571487,13.44,0.0
1779392571504,13.44,0.0
1779392571519,13.44,0.0
1779392571537,13.44,0.0
1779392571551,13.44,0.0
1779392571575,13.43,0.0
1779392571585,13.42,0.0
1779392571600,13.43,0.0
1779392571615,13.44,0.0
1779392571634,13.43,0.0
1779392571648,13.42,0.0
1779392571663,13.43,0.0
1779392571680,13.44,0.0
1779392571698,13.45,0.0
1779392571713,13.46,0.0
1779392571727,13.45,0.0
1779392571743,13.44,0.0
1779392571760,13.44,0.0
1779392571777,13.44,0.0
1779392571794,13.44,0.0
1779392571808,13.44,0.0
1779392571824,13.44,0.0
1779392571839,13.44,0.0
1779392571856,13.44,0.0
1779392571873,13.44,0.0
1779392571888,13.45,0.0
1779392571905,13.46,0.0
1779392571920,13.45,0.0
1779392571938,13.44,0.0
1779392571954,13.44,0.0
1779392571969,13.44,0.0
1779392571985,13.45,0.0
1779392572001,13.46,0.0
1779392572016,13.45,0.0
1779392572031,13.44,0.0
1779392572048,13.43,0.0
1779392572065,13.42,0.0
1779392572080,13.42,0.0
1779392572095,13.42,0.0
1779392572114,13.41,0.0
1779392572130,13.40,0.0
1779392572145,13.41,0.0
1779392572160,13.42,0.0
1779392572178,13.31,0.0
1779392572191,13.20,0.0
1779392572208,13.08,0.0
1779392572224,12.95,0.0
1779392572241,12.92,0.0
1779392572255,12.89,0.0
1779392572274,12.88,0.0
1779392572288,12.87,0.0
1779392572305,12.86,0.0
1779392572320,12.85,0.0
1779392572336,12.86,0.0
1779392572353,12.87,0.0
1779392572368,12.87,0.0
1779392572384,12.87,0.0
1779392572401,12.88,0.0
1779392572417,12.89,0.0
1779392572433,12.90,0.0
1779392572447,12.91,0.0
1779392572463,12.91,0.0
1779392572480,12.91,0.0
1779392572498,12.91,0.0
1779392572513,12.91,0.0
1779392572528,12.92,0.0
1779392572546,12.93,0.0
1779392572561,12.94,0.0
1779392572577,12.95,0.0
1779392572592,12.95,0.0
1779392572608,12.95,0.0
1779392572624,12.96,0.0
1779392572640,12.97,0.0
1779392572657,12.97,0.0
1779392572673,12.97,0.0
1779392572690,12.97,0.0
1779392572704,12.97,0.0
1779392572720,12.98,0.0
1779392572738,12.99,0.0
1779392572753,12.99,0.0
1779392572768,12.99,0.0
1779392572784,12.99,0.0
1779392572801,12.99,0.0
1779392572817,13.00,0.0
1779392572834,13.01,0.0
1779392572849,13.01,0.0
1779392572866,13.01,0.0
1779392572881,13.01,0.0
1779392572897,13.01,0.0
1779392572912,13.02,0.0
1779392572930,13.03,0.0
1779392572946,13.03,0.0
1779392572961,13.03,0.0
1779392572977,13.03,0.0
1779392572992,13.03,0.0
1779392573009,13.04,0.0
1779392573025,13.05,0.0
1779392573040,13.04,0.0
1779392573056,13.03,0.0
1779392573073,13.04,0.0
1779392573088,13.05,0.0
1779392573105,13.05,0.0
1779392573121,13.05,0.0
1779392573137,13.05,0.0
1779392573152,13.05,0.0
1779392573169,13.05,0.0
1779392573186,13.05,0.0
1779392573201,13.06,0.0
1779392573216,13.07,0.0
1779392573233,13.06,0.0
1779392573250,13.05,0.0
1779392573264,13.06,0.0
1779392573281,13.07,0.0
1779392573298,13.08,0.0
1779392573315,13.09,0.0
1779392573329,13.08,0.0
1779392573344,13.07,0.0
1779392573361,13.08,0.0
1779392573378,13.09,0.0
1779392573393,13.09,0.0
1779392573409,13.09,0.0
1779392573424,13.09,0.0
1779392573441,13.09,0.0
1779392573457,13.10,0.0
1779392573472,13.11,0.0
1779392573490,13.11,0.0
1779392573505,13.11,0.0
1779392573522,13.10,0.0
1779392573536,13.09,0.0
1779392573554,13.10,0.0
1779392573569,13.11,0.0
1779392573585,13.11,0.0
1779392573601,13.11,0.0
1779392573617,13.10,0.0
