time(ms),VPWR(V),VSS(km/h)
1779392720000,13.44,-
1779392720020,13.44,0.0
1779392720051,13.45,0.0
1779392720068,13.46,0.0
1779392720084,13.44,0.0
1779392720116,13.43,0.0
1779392720132,13.42,0.0
1779392720149,13.43,0.0
1779392720164,13.44,0.0
1779392720211,13.44,0.0
1779392720226,13.44,0.0
1779392720274,13.43,0.0
1779392720292,13.42,0.0
1779392720307,13.44,0.0
1779392720322,13.46,0.0
1779392720340,13.45,0.0
1779392720355,13.44,0.0
1779392720373,13.44,0.0
1779392720387,13.44,0.0
1779392720402,13.44,0.0
1779392720421,13.44,0.0
1779392720435,13.44,0.0
1779392720450,13.44,0.0
1779392720468,13.45,0.0
1779392720483,13.46,0.0
1779392720498,13.47,0.0
1779392720516,13.48,0.0
1779392720530,13.46,0.0
1779392720547,13.44,0.0
1779392720563,13.44,0.0
1779392720580,13.44,0.0
1779392720594,13.45,0.0
1779392720612,13.46,0.0
1779392720626,13.45,0.0
1779392720644,13.44,0.0
1779392720659,13.44,0.0
1779392720674,13.44,0.0
1779392720692,13.43,0.0
1779392720707,13.42,0.0
1779392720729,13.41,0.0
1779392720741,13.40,0.0
1779392720755,13.42,0.0
1779392720773,13.44,0.0
1779392720789,13.44,0.0
1779392720802,13.44,0.0
1779392720820,13.43,0.0
1779392720835,13.42,0.0
1779392720853,13.43,0.0
1779392720867,13.44,0.0
1779392720882,13.44,0.0
1779392720900,13.44,0.0
1779392720915,13.44,0.0
1779392720931,13.44,0.0
1779392720947,13.45,0.0
1779392720962,13.46,0.0
1779392720980,13.45,0.0
1779392720995,13.44,0.0
1779392721012,13.44,0.0
1779392721026,13.44,0.0
1779392721044,13.44,0.0
1779392721060,13.44,0.0
1779392721076,13.43,0.0
1779392721091,13.42,0.0
1779392721108,13.42,0.0
1779392721124,13.42,0.0
1779392721139,13.41,0.0
1779392721154,13.40,0.0
1779392721171,13.40,0.0
1779392721189,13.40,0.0
1779392721203,13.43,0.0
1779392721221,13.46,0.0
1779392721236,13.44,0.0
1779392721251,13.42,0.0
1779392721269,13.42,0.0
1779392721285,13.42,0.0
1779392721299,13.43,0.0
1779392721317,13.44,0.0
1779392721331,13.44,0.0
1779392721348,13.44,0.0
1779392721365,13.45,0.0
1779392721380,13.46,0.0
1779392721395,13.46,0.0
1779392721413,13.46,0.0
1779392721428,13.45,0.0
1779392721444,13.44,0.0
1779392721460,13.44,0.0
1779392721475,13.44,0.0
1779392721493,13.45,0.0
1779392721507,13.46,0.0
1779392721523,13.45,0.0
1779392721541,13.44,0.0
1779392721556,13.45,0.0
1779392721574,13.46,0.0
1779392721589,13.45,0.0
1779392721603,13.44,0.0
1779392721620,13.45,0.0
1779392721635,13.46,0.0
1779392721653,13.47,0.0
1779392721668,13.48,0.0
1779392721684,13.47,0.0
1779392721699,13.46,0.0
1779392721717,13.45,0.0
1779392721731,13.44,0.0
1779392721748,13.45,0.0
1779392721763,13.46,0.0
1779392721779,13.45,0.0
1779392721812,13.44,0.0
1779392721828,13.44,0.0
1779392721843,13.44,0.0
1779392721861,13.44,0.0
1779392721876,13.43,0.0
1779392721892,13.42,0.0
1779392721909,13.43,0.0
1779392721924,13.44,0.0
1779392721941,13.44,0.0
1779392721955,13.44,0.0
1779392721973,13.43,0.0
1779392721988,13.42,0.0
1779392722004,13.43,0.0
1779392722019,13.44,0.0
1779392722037,13.44,0.0
1779392722052,13.44,0.0
1779392722068,13.44,0.0
1779392722085,13.44,0.0
1779392722100,13.45,0.0
1779392722117,13.46,0.0
1779392722131,13.45,0.0
1779392722149,13.44,0.0
1779392722163,13.43,0.0
1779392722180,13.42,0.0
1779392722195,13.43,0.0
1779392722212,13.44,0.0
1779392722229,13.44,0.0
1779392722244,13.44,0.0
1779392722260,13.45,0.0
1779392722275,13.46,0.0
1779392722293,13.46,0.0
1779392722308,13.46,0.0
1779392722323,13.45,0.0
1779392722339,13.44,0.0
1779392722356,13.45,0.0
1779392722372,13.46,0.0
1779392722387,13.46,0.0
1779392722403,13.46,0.0
1779392722421,13.46,0.0
1779392722436,13.46,0.0
1779392722454,13.46,0.0
1779392722469,13.46,0.0
1779392722484,13.45,0.0
1779392722502,13.44,0.0
1779392722517,13.45,0.0
1779392722532,13.46,0.0
1779392722547,13.46,0.0
1779392722563,13.46,0.0
1779392722581,13.46,0.0
1779392722596,13.46,0.0
1779392722611,13.45,0.0
1779392722627,13.44,0.0
1779392722645,13.45,0.0
1779392722659,13.46,0.0
1779392722675,13.45,0.0
1779392722692,13.44,0.0
1779392722710,13.45,0.0
1779392722724,13.46,0.0
1779392722741,13.46,0.0
1779392722757,13.46,0.0
1779392722771,13.45,0.0
1779392722788,13.44,0.0
1779392722805,13.44,0.0
1779392722822,13.44,0.0
1779392722838,13.44,0.0
1779392722852,13.44,0.0
1779392722867,13.43,0.0
1779392722884,13.42,0.0
1779392722899,13.43,0.0
1779392722917,13.44,0.0
1779392722934,13.44,0.0
1779392722949,13.44,0.0
1779392722966,13.44,0.0
1779392722981,13.44,0.0
1779392722997,13.45,0.0
1779392723012,13.46,0.0
1779392723030,13.45,0.0
1779392723045,13.44,0.0
1779392723060,13.44,0.0
1779392723078,13.44,0.0
1779392723092,13.45,0.0
1779392723107,13.46,0.0
1779392723126,13.46,0.0
1779392723140,13.46,0.0
1779392723157,13.46,0.0
1779392723172,13.46,0.0
1779392723190,13.46,0.0
1779392723205,13.46,0.0
1779392723220,13.45,0.0
1779392723236,13.44,0.0
1779392723254,13.44,0.0
1779392723268,13.44,0.0
1779392723286,13.45,0.0
1779392723301,13.46,0.0
1779392723316,13.46,0.0
1779392723334,13.46,0.0
1779392723348,13.48,0.0
1779392723364,13.50,0.0
1779392723413,13.50,0.0
1779392723428,13.50,0.0
