time(ms),VPWR(V),VSS(km/h)
1779392874000,13.46,-
1779392874014,13.45,0.0
1779392874031,13.44,0.0
1779392874049,13.44,0.0
1779392874096,13.44,0.0
1779392874111,13.44,0.0
1779392874126,13.44,0.0
1779392874143,13.45,0.0
1779392874161,13.46,0.0
1779392874176,13.44,0.0
1779392874191,13.42,0.0
1779392874208,13.42,0.0
1779392874223,13.42,0.0
1779392874239,13.43,0.0
1779392874256,13.44,0.0
1779392874272,13.43,0.0
1779392874289,13.42,0.0
1779392874304,13.41,0.0
1779392874321,13.40,0.0
1779392874336,13.41,0.0
1779392874351,13.42,0.0
1779392874367,13.41,0.0
1779392874383,13.40,0.0
1779392874400,13.42,0.0
1779392874415,13.44,0.0
1779392874432,13.44,0.0
1779392874449,13.44,0.0
1779392874464,13.43,0.0
1779392874480,13.42,0.0
1779392874495,13.43,0.0
1779392874510,13.44,0.0
1779392874528,13.44,0.0
1779392874543,13.44,0.0
1779392874558,13.44,0.0
1779392874577,13.44,0.0
1779392874594,13.45,0.0
1779392874608,13.46,0.0
1779392874623,13.45,0.0
1779392874640,13.44,0.0
1779392874655,13.44,0.0
1779392874673,13.44,0.0
1779392874688,13.45,0.0
1779392874703,13.46,0.0
1779392874721,13.45,0.0
1779392874735,13.44,0.0
1779392874752,13.44,0.0
1779392874769,13.44,0.0
1779392874784,13.44,0.0
1779392874799,13.44,0.0
1779392874816,13.44,0.0
1779392874832,13.44,0.0
1779392874848,13.45,0.0
1779392874865,13.46,0.0
1779392874880,13.45,0.0
1779392874895,13.44,0.0
1779392874911,13.43,0.0
1779392874930,13.42,0.0
1779392874945,13.43,0.0
1779392874960,13.44,0.0
1779392874976,13.44,0.0
1779392874992,13.44,0.0
1779392875007,13.44,0.0
1779392875025,13.44,0.0
1779392875041,13.45,0.0
1779392875055,13.46,0.0
1779392875072,13.45,0.0
1779392875087,13.44,0.0
1779392875104,13.44,0.0
1779392875119,13.44,0.0
1779392875136,13.45,0.0
1779392875151,13.46,0.0
1779392875167,13.45,0.0
1779392875185,13.44,0.0
1779392875200,13.44,0.0
1779392875216,13.44,0.0
1779392875231,13.44,0.0
1779392875248,13.44,0.0
1779392875265,13.44,0.0
1779392875281,13.44,0.0
1779392875295,13.45,0.0
1779392875313,13.46,0.0
1779392875327,13.45,0.0
1779392875344,13.44,0.0
1779392875361,13.44,0.0
1779392875375,13.44,0.0
1779392875392,13.45,0.0
1779392875408,13.46,0.0
1779392875424,13.46,0.0
1779392875439,13.46,0.0
1779392875456,13.47,0.0
1779392875473,13.48,0.0
1779392875489,13.47,0.0
1779392875504,13.46,0.0
1779392875521,13.45,0.0
1779392875538,13.44,0.0
1779392875552,13.44,0.0
1779392875569,13.44,0.0
1779392875583,13.44,0.0
1779392875600,13.44,0.0
1779392875615,13.43,0.0
1779392875631,13.42,0.0
1779392875649,13.44,0.0
1779392875665,13.46,0.0
1779392875679,13.46,0.0
1779392875696,13.46,0.0
1779392875713,13.46,0.0
1779392875728,13.46,0.0
1779392875743,13.47,0.0
1779392875759,13.48,0.0
1779392875778,13.47,0.0
1779392875793,13.46,0.0
1779392875808,13.45,0.0
1779392875825,13.44,0.0
