time(ms),VPWR(V),VSS(km/h)
1779393020000,13.48,-
1779393020007,13.46,0.0
1779393020024,13.44,0.0
1779393020040,13.45,0.0
1779393020055,13.46,0.0
1779393020070,13.46,0.0
1779393020086,13.46,0.0
1779393020104,13.46,0.0
1779393020119,13.46,0.0
1779393020134,13.47,0.0
1779393020150,13.48,0.0
1779393020166,13.47,0.0
1779393020184,13.46,0.0
1779393020199,13.46,0.0
1779393020214,13.46,0.0
1779393020232,13.45,0.0
1779393020248,13.44,0.0
1779393020263,13.42,0.0
1779393020280,13.40,0.0
1779393020295,13.40,0.0
1779393020311,13.40,0.0
1779393020327,13.40,0.0
1779393020342,13.40,0.0
1779393020360,13.40,0.0
1779393020376,13.40,0.0
1779393020390,13.41,0.0
1779393020407,13.42,0.0
1779393020425,13.42,0.0
1779393020439,13.42,0.0
1779393020455,13.42,0.0
1779393020472,13.42,0.0
1779393020486,13.44,0.0
1779393020503,13.46,0.0
1779393020520,13.45,0.0
1779393020534,13.44,0.0
1779393020551,13.44,0.0
1779393020566,13.44,0.0
1779393020583,13.45,0.0
1779393020599,13.46,0.0
1779393020616,13.45,0.0
1779393020630,13.44,0.0
1779393020647,13.45,0.0
1779393020665,13.46,0.0
1779393020680,13.46,0.0
1779393020695,13.46,0.0
1779393020710,13.45,0.0
1779393020728,13.44,0.0
1779393020742,13.44,0.0
1779393020760,13.44,0.0
1779393020775,13.44,0.0
1779393020790,13.44,0.0
1779393020808,13.44,0.0
1779393020823,13.44,0.0
1779393020838,13.44,0.0
1779393020856,13.44,0.0
1779393020871,13.43,0.0
1779393020886,13.42,0.0
1779393020904,13.43,0.0
1779393020919,13.44,0.0
1779393020937,13.45,0.0
1779393020952,13.46,0.0
1779393020967,13.45,0.0
1779393020984,13.44,0.0
1779393020999,13.44,0.0
1779393021014,13.44,0.0
1779393021031,13.44,0.0
1779393021048,13.44,0.0
1779393021063,13.43,0.0
1779393021081,13.42,0.0
1779393021095,13.43,0.0
1779393021110,13.44,0.0
1779393021127,13.43,0.0
1779393021142,13.42,0.0
1779393021160,13.42,0.0
1779393021176,13.42,0.0
1779393021193,13.43,0.0
1779393021208,13.44,0.0
1779393021223,13.44,0.0
1779393021240,13.44,0.0
1779393021255,13.44,0.0
1779393021273,13.44,0.0
1779393021288,13.44,0.0
1779393021303,13.44,0.0
1779393021318,13.44,0.0
1779393021335,13.44,0.0
1779393021351,13.44,0.0
1779393021368,13.44,0.0
1779393021382,13.45,0.0
1779393021400,13.46,0.0
1779393021417,13.45,0.0
1779393021432,13.44,0.0
1779393021447,13.45,0.0
1779393021463,13.46,0.0
1779393021478,13.45,0.0
1779393021497,13.44,0.0
1779393021512,13.45,0.0
1779393021529,13.46,0.0
1779393021544,13.47,0.0
1779393021558,13.48,0.0
1779393021575,13.47,0.0
1779393021590,13.46,0.0
1779393021608,13.46,0.0
1779393021625,13.46,0.0
1779393021639,13.45,0.0
1779393021655,13.44,0.0
1779393021672,13.44,0.0
1779393021688,13.44,0.0
1779393021703,13.44,0.0
1779393021718,13.44,0.0
1779393021734,13.45,0.0
1779393021751,13.46,0.0
1779393021766,13.45,0.0
1779393021785,13.44,0.0
1779393021800,13.45,0.0
1779393021815,13.46,0.0
1779393021832,13.47,0.0
1779393021847,13.48,0.0
1779393021864,13.47,0.0
1779393021879,13.46,0.0
1779393021895,13.47,0.0
1779393021912,13.48,0.0
1779393021928,13.48,0.0
1779393021943,13.48,0.0
1779393021961,13.48,0.0
1779393021975,13.48,0.0
1779393021991,13.48,0.0
1779393022008,13.48,0.0
1779393022023,13.47,0.0
1779393022041,13.46,0.0
1779393022055,13.46,0.0
1779393022072,13.46,0.0
1779393022087,13.48,0.0
1779393022104,13.50,0.0
1779393022121,13.50,0.0
1779393022135,13.50,0.0
1779393022154,13.49,0.0
1779393022168,13.48,0.0
1779393022183,13.48,0.0
1779393022200,13.48,0.0
1779393022215,13.50,0.0
1779393022234,13.52,0.0
1779393022249,13.51,0.0
1779393022264,13.50,0.0
1779393022280,13.50,0.0
1779393022298,13.50,0.0
1779393022313,13.51,0.0
1779393022329,13.52,0.0
1779393022345,13.52,0.0
1779393022361,13.52,0.0
1779393022376,13.53,0.0
1779393022391,13.54,0.0
1779393022409,13.54,0.0
1779393022424,13.54,0.0
1779393022439,13.54,0.0
1779393022458,13.54,0.0
1779393022471,13.53,0.0
1779393022488,13.52,0.0
1779393022505,13.51,0.0
1779393022519,13.50,0.0
1779393022536,13.51,0.0
1779393022551,13.52,0.0
1779393022569,13.52,0.0
1779393022584,13.52,0.0
1779393022602,13.50,0.0
1779393022617,13.48,0.0
1779393022634,13.48,0.0
1779393022647,13.48,0.0
1779393022663,13.47,0.0
1779393022681,13.46,0.0
1779393022696,13.47,0.0
1779393022712,13.48,0.0
1779393022728,13.48,0.0
1779393022743,13.48,0.0
1779393022759,13.46,0.0
1779393022777,13.44,0.0
1779393022794,13.43,0.0
1779393022807,13.42,0.0
1779393022824,13.42,0.0
1779393022841,13.42,0.0
1779393022855,13.42,0.0
1779393022874,13.42,0.0
1779393022888,13.42,0.0
1779393022903,13.42,0.0
1779393022920,13.41,0.0
1779393022937,13.40,0.0
1779393022953,13.40,0.0
1779393022968,13.40,0.0
1779393022983,13.40,0.0
1779393023000,13.40,0.0
1779393023016,13.38,0.0
1779393023034,13.36,0.0
1779393023048,13.34,0.0
1779393023064,13.32,0.0
1779393023080,13.31,0.0
1779393023097,13.30,0.0
1779393023112,13.29,0.0
1779393023129,13.28,0.0
1779393023145,13.28,0.0
1779393023159,13.28,0.0
1779393023178,13.26,0.0
1779393023192,13.24,0.0
1779393023207,13.23,0.0
1779393023224,13.22,0.0
1779393023241,13.21,0.0
1779393023256,13.20,0.0
1779393023280,13.19,0.0
1779393023289,13.18,0.0
1779393023304,13.18,0.0
1779393023321,13.18,0.0
1779393023336,13.17,0.0
1779393023353,13.16,0.0
1779393023368,13.15,0.0
1779393023386,13.14,0.0
1779393023401,13.13,0.0
1779393023416,13.11,0.0
1779393023432,13.12,0.0
1779393023448,13.13,0.0
1779393023465,13.11,0.0
1779393023480,13.09,0.0
1779393023496,13.09,0.0
1779393023513,13.09,0.0
1779393023529,13.09,0.0
1779393023545,13.09,0.0
1779393023562,13.09,0.0
1779393023577,13.09,0.0
1779393023594,13.10,0.0
1779393023609,13.11,0.0
1779393023626,13.12,0.0
1779393023640,13.13,0.0
1779393023656,13.14,0.0
1779393023673,13.14,0.0
1779393023689,13.16,0.0
1779393023704,13.18,0.0
1779393023720,13.21,0.0
1779393023737,13.24,0.0
1779393023753,13.26,0.0
1779393023769,13.28,2.0
1779393023785,13.29,3.0
1779393023800,13.30,3.0
1779393023817,13.30,3.0
1779393023832,13.30,3.0
1779393023849,13.30,3.0
1779393023866,13.30,3.0
1779393023880,13.30,3.0
1779393023897,13.30,3.0
1779393023912,13.30,3.0
1779393023928,13.30,3.0
1779393023944,13.30,3.0
1779393023961,13.30,3.0
1779393023977,13.30,3.0
