time(ms),VPWR(V),VSS(km/h)
1779393180000,13.44,-
1779393180005,13.45,0.0
1779393180023,13.46,0.0
1779393180039,13.46,0.0
1779393180053,13.46,0.0
1779393180069,13.46,0.0
1779393180086,13.46,0.0
1779393180102,13.45,0.0
1779393180117,13.44,0.0
1779393180165,13.44,0.0
1779393180182,13.44,0.0
1779393180199,13.44,0.0
1779393180213,13.44,0.0
1779393180230,13.41,0.0
1779393180246,13.38,0.0
1779393180263,13.37,0.0
1779393180278,13.36,0.0
1779393180295,13.36,0.0
1779393180310,13.36,0.0
1779393180325,13.36,0.0
1779393180340,13.36,0.0
1779393180356,13.38,0.0
1779393180373,13.40,0.0
1779393180391,13.40,0.0
1779393180405,13.40,0.0
1779393180422,13.40,0.0
1779393180437,13.40,0.0
1779393180455,13.41,0.0
1779393180469,13.42,0.0
1779393180486,13.43,0.0
1779393180502,13.44,0.0
1779393180518,13.44,0.0
1779393180534,13.44,0.0
1779393180550,13.45,0.0
1779393180565,13.46,0.0
1779393180582,13.46,0.0
1779393180596,13.46,0.0
1779393180612,13.47,0.0
1779393180630,13.48,0.0
1779393180646,13.47,0.0
1779393180662,13.46,0.0
1779393180677,13.45,0.0
1779393180694,13.44,0.0
1779393180711,13.44,0.0
1779393180727,13.44,0.0
1779393180742,13.44,0.0
1779393180758,13.44,0.0
1779393180774,13.45,0.0
1779393180791,13.46,0.0
1779393180805,13.48,0.0
1779393180821,13.50,0.0
1779393180838,13.49,0.0
1779393180854,13.48,0.0
1779393180870,13.47,0.0
1779393180886,13.46,0.0
1779393180903,13.47,0.0
1779393180917,13.48,0.0
1779393180934,13.48,0.0
1779393180949,13.48,0.0
1779393180967,13.48,0.0
1779393180982,13.48,0.0
1779393180997,13.47,0.0
1779393181016,13.46,0.0
1779393181029,13.45,0.0
1779393181046,13.44,0.0
1779393181063,13.45,0.0
1779393181079,13.46,0.0
1779393181095,13.47,0.0
1779393181111,13.48,0.0
1779393181126,13.48,0.0
1779393181142,13.48,0.0
1779393181158,13.48,0.0
1779393181173,13.48,0.0
1779393181190,13.48,0.0
1779393181205,13.48,0.0
1779393181222,13.48,0.0
1779393181239,13.48,0.0
1779393181253,13.48,0.0
1779393181269,13.48,0.0
1779393181287,13.47,0.0
1779393181304,13.46,0.0
1779393181319,13.45,0.0
1779393181333,13.44,0.0
1779393181351,13.45,0.0
1779393181368,13.46,0.0
1779393181382,13.46,0.0
1779393181399,13.46,0.0
1779393181414,13.46,0.0
1779393181430,13.46,0.0
1779393181447,13.46,0.0
1779393181462,13.46,0.0
1779393181479,13.46,0.0
1779393181494,13.46,0.0
1779393181510,13.46,0.0
1779393181527,13.46,0.0
1779393181542,13.46,0.0
1779393181559,13.46,0.0
1779393181574,13.45,0.0
1779393181590,13.44,0.0
1779393181605,13.44,0.0
1779393181622,13.44,0.0
1779393181639,13.43,0.0
1779393181655,13.42,0.0
1779393181670,13.42,0.0
1779393181687,13.42,0.0
1779393181702,13.43,0.0
1779393181719,13.44,0.0
1779393181734,13.43,0.0
1779393181750,13.42,0.0
1779393181767,13.42,0.0
1779393181782,13.42,0.0
1779393181798,13.44,0.0
1779393181814,13.46,0.0
1779393181831,13.46,0.0
1779393181845,13.46,0.0
1779393181862,13.45,0.0
1779393181877,13.44,0.0
1779393181896,13.44,0.0
1779393181909,13.44,0.0
1779393181927,13.44,0.0
1779393181941,13.44,0.0
1779393181957,13.46,0.0
1779393181974,13.48,0.0
1779393181991,13.47,0.0
1779393182005,13.46,0.0
1779393182023,13.45,0.0
1779393182038,13.44,0.0
1779393182054,13.44,0.0
1779393182069,13.44,0.0
1779393182086,13.44,0.0
1779393182103,13.44,0.0
1779393182118,13.44,0.0
1779393182134,13.44,0.0
1779393182151,13.45,0.0
1779393182168,13.46,0.0
1779393182182,13.45,0.0
1779393182199,13.44,0.0
1779393182215,13.43,0.0
1779393182231,13.42,0.0
1779393182247,13.44,0.0
1779393182263,13.46,0.0
1779393182278,13.45,0.0
1779393182296,13.44,0.0
1779393182309,13.45,0.0
1779393182325,13.46,0.0
1779393182344,13.47,0.0
1779393182358,13.48,0.0
1779393182374,13.47,0.0
1779393182390,13.46,0.0
1779393182405,13.47,0.0
1779393182423,13.48,0.0
1779393182439,13.47,0.0
1779393182455,13.46,0.0
1779393182471,13.45,0.0
1779393182487,13.44,0.0
1779393182502,13.44,0.0
1779393182519,13.44,0.0
1779393182535,13.45,0.0
1779393182550,13.46,0.0
1779393182567,13.46,0.0
1779393182582,13.46,0.0
1779393182600,13.46,0.0
1779393182615,13.46,0.0
1779393182631,13.46,0.0
1779393182647,13.46,0.0
1779393182662,13.46,0.0
1779393182680,13.46,0.0
1779393182695,13.47,0.0
1779393182711,13.48,0.0
1779393182728,13.46,0.0
1779393182743,13.44,0.0
1779393182758,13.44,0.0
1779393182774,13.44,0.0
1779393182790,13.44,0.0
1779393182807,13.44,0.0
1779393182824,13.45,0.0
1779393182839,13.46,0.0
1779393182855,13.46,0.0
1779393182871,13.46,0.0
1779393182886,13.45,0.0
1779393182903,13.44,0.0
1779393182918,13.43,0.0
1779393182936,13.42,0.0
1779393182952,13.43,0.0
1779393182966,13.44,0.0
1779393182983,13.44,0.0
1779393182998,13.44,0.0
1779393183015,13.43,0.0
1779393183031,13.42,0.0
1779393183046,13.43,0.0
1779393183064,13.44,0.0
1779393183078,13.43,0.0
1779393183096,13.42,0.0
1779393183112,13.44,0.0
1779393183126,13.46,0.0
1779393183142,13.46,0.0
1779393183158,13.46,0.0
1779393183174,13.44,0.0
1779393183191,13.42,0.0
