time(ms),VPWR(V),VSS(km/h),timestamp_gmt,t_s
1779393657011,13.47,0.0,2026-05-21 20:00:57.011000+00:00,0.0
1779393657026,13.46,0.0,2026-05-21 20:00:57.026000+00:00,0.015
1779393657044,13.46,0.0,2026-05-21 20:00:57.044000+00:00,0.033
1779393657067,13.46,0.0,2026-05-21 20:00:57.067000+00:00,0.056
1779393657075,13.47,0.0,2026-05-21 20:00:57.075000+00:00,0.064
1779393657090,13.48,0.0,2026-05-21 20:00:57.090000+00:00,0.079
1779393657105,13.47,0.0,2026-05-21 20:00:57.105000+00:00,0.094
1779393657121,13.46,0.0,2026-05-21 20:00:57.121000+00:00,0.11
1779393657138,13.47,0.0,2026-05-21 20:00:57.138000+00:00,0.127
1779393657154,13.48,0.0,2026-05-21 20:00:57.154000+00:00,0.143
1779393657170,13.48,0.0,2026-05-21 20:00:57.170000+00:00,0.159
1779393657187,13.48,0.0,2026-05-21 20:00:57.187000+00:00,0.176
1779393657202,13.48,0.0,2026-05-21 20:00:57.202000+00:00,0.191
1779393657218,13.48,0.0,2026-05-21 20:00:57.218000+00:00,0.207
1779393657235,13.48,0.0,2026-05-21 20:00:57.235000+00:00,0.224
1779393657250,13.48,0.0,2026-05-21 20:00:57.250000+00:00,0.239
1779393657268,13.48,0.0,2026-05-21 20:00:57.268000+00:00,0.257
1779393657283,13.48,0.0,2026-05-21 20:00:57.283000+00:00,0.272
1779393657299,13.47,0.0,2026-05-21 20:00:57.299000+00:00,0.288
1779393657316,13.46,0.0,2026-05-21 20:00:57.316000+00:00,0.305
1779393657330,13.48,0.0,2026-05-21 20:00:57.330000+00:00,0.319
1779393657348,13.5,0.0,2026-05-21 20:00:57.348000+00:00,0.337
1779393657363,13.49,0.0,2026-05-21 20:00:57.363000+00:00,0.352
1779393657380,13.48,0.0,2026-05-21 20:00:57.380000+00:00,0.369
1779393657393,13.48,0.0,2026-05-21 20:00:57.393000+00:00,0.382
1779393657411,13.48,0.0,2026-05-21 20:00:57.411000+00:00,0.4
1779393657428,13.48,0.0,2026-05-21 20:00:57.428000+00:00,0.417
1779393657442,13.48,0.0,2026-05-21 20:00:57.442000+00:00,0.431
1779393657460,13.48,0.0,2026-05-21 20:00:57.460000+00:00,0.449
1779393657475,13.48,0.0,2026-05-21 20:00:57.475000+00:00,0.464
1779393657491,13.49,0.0,2026-05-21 20:00:57.491000+00:00,0.48
1779393657507,13.5,0.0,2026-05-21 20:00:57.507000+00:00,0.496
1779393657524,13.49,0.0,2026-05-21 20:00:57.524000+00:00,0.513
1779393657539,13.48,0.0,2026-05-21 20:00:57.539000+00:00,0.528
1779393657555,13.47,0.0,2026-05-21 20:00:57.555000+00:00,0.544
1779393657572,13.46,0.0,2026-05-21 20:00:57.572000+00:00,0.561
1779393657586,13.47,0.0,2026-05-21 20:00:57.586000+00:00,0.575
1779393657602,13.48,0.0,2026-05-21 20:00:57.602000+00:00,0.591
1779393657619,13.49,0.0,2026-05-21 20:00:57.619000+00:00,0.608
1779393657634,13.5,0.0,2026-05-21 20:00:57.634000+00:00,0.623
1779393657650,13.49,0.0,2026-05-21 20:00:57.650000+00:00,0.639
1779393657668,13.48,0.0,2026-05-21 20:00:57.668000+00:00,0.657
1779393657683,13.48,0.0,2026-05-21 20:00:57.683000+00:00,0.672
1779393657700,13.48,0.0,2026-05-21 20:00:57.700000+00:00,0.689
1779393657715,13.48,0.0,2026-05-21 20:00:57.715000+00:00,0.704
1779393657730,13.48,0.0,2026-05-21 20:00:57.730000+00:00,0.719
1779393657747,13.47,0.0,2026-05-21 20:00:57.747000+00:00,0.736
1779393657762,13.46,0.0,2026-05-21 20:00:57.762000+00:00,0.751
1779393657780,13.47,0.0,2026-05-21 20:00:57.780000+00:00,0.769
1779393657794,13.48,0.0,2026-05-21 20:00:57.794000+00:00,0.783
1779393657811,13.47,0.0,2026-05-21 20:00:57.811000+00:00,0.8
1779393657828,13.46,0.0,2026-05-21 20:00:57.828000+00:00,0.817
1779393657842,13.45,0.0,2026-05-21 20:00:57.842000+00:00,0.831
1779393657859,13.44,0.0,2026-05-21 20:00:57.859000+00:00,0.848
1779393657875,13.45,0.0,2026-05-21 20:00:57.875000+00:00,0.864
1779393657892,13.46,0.0,2026-05-21 20:00:57.892000+00:00,0.881
1779393657908,13.45,0.0,2026-05-21 20:00:57.908000+00:00,0.897
1779393657923,13.44,0.0,2026-05-21 20:00:57.923000+00:00,0.912
1779393657940,13.44,0.0,2026-05-21 20:00:57.940000+00:00,0.929
1779393657954,13.44,0.0,2026-05-21 20:00:57.954000+00:00,0.943
1779393657971,13.44,0.0,2026-05-21 20:00:57.971000+00:00,0.96
1779393657987,13.44,0.0,2026-05-21 20:00:57.987000+00:00,0.976
1779393658002,13.43,0.0,2026-05-21 20:00:58.002000+00:00,0.991
1779393658018,13.42,0.0,2026-05-21 20:00:58.018000+00:00,1.007
1779393658035,13.41,0.0,2026-05-21 20:00:58.035000+00:00,1.024
1779393658052,13.4,0.0,2026-05-21 20:00:58.052000+00:00,1.041
1779393658067,13.41,0.0,2026-05-21 20:00:58.067000+00:00,1.056
1779393658082,13.42,0.0,2026-05-21 20:00:58.082000+00:00,1.071
1779393658099,13.42,0.0,2026-05-21 20:00:58.099000+00:00,1.088
1779393658115,13.42,0.0,2026-05-21 20:00:58.115000+00:00,1.104
1779393658132,13.41,0.0,2026-05-21 20:00:58.132000+00:00,1.121
1779393658147,13.4,0.0,2026-05-21 20:00:58.147000+00:00,1.136
1779393658163,13.41,0.0,2026-05-21 20:00:58.163000+00:00,1.152
1779393658180,13.42,0.0,2026-05-21 20:00:58.180000+00:00,1.169
1779393658196,13.43,0.0,2026-05-21 20:00:58.196000+00:00,1.185
1779393658211,13.44,0.0,2026-05-21 20:00:58.211000+00:00,1.2
1779393658226,13.44,0.0,2026-05-21 20:00:58.226000+00:00,1.215
1779393658244,13.44,0.0,2026-05-21 20:00:58.244000+00:00,1.233
1779393658259,13.44,0.0,2026-05-21 20:00:58.259000+00:00,1.248
1779393658274,13.44,0.0,2026-05-21 20:00:58.274000+00:00,1.263
1779393658293,13.45,0.0,2026-05-21 20:00:58.293000+00:00,1.282
1779393658307,13.46,0.0,2026-05-21 20:00:58.307000+00:00,1.296
1779393658322,13.46,0.0,2026-05-21 20:00:58.322000+00:00,1.311
1779393658340,13.46,0.0,2026-05-21 20:00:58.340000+00:00,1.329
1779393658354,13.46,0.0,2026-05-21 20:00:58.354000+00:00,1.343
1779393658372,13.46,0.0,2026-05-21 20:00:58.372000+00:00,1.361
1779393658387,13.46,0.0,2026-05-21 20:00:58.387000+00:00,1.376
1779393658404,13.46,0.0,2026-05-21 20:00:58.404000+00:00,1.393
1779393658420,13.46,0.0,2026-05-21 20:00:58.420000+00:00,1.409
1779393658435,13.46,0.0,2026-05-21 20:00:58.435000+00:00,1.424
1779393658451,13.45,0.0,2026-05-21 20:00:58.451000+00:00,1.44
1779393658467,13.44,0.0,2026-05-21 20:00:58.467000+00:00,1.456
1779393658485,13.45,0.0,2026-05-21 20:00:58.485000+00:00,1.474
1779393658499,13.46,0.0,2026-05-21 20:00:58.499000+00:00,1.488
1779393658514,13.47,0.0,2026-05-21 20:00:58.514000+00:00,1.503
1779393658532,13.48,0.0,2026-05-21 20:00:58.532000+00:00,1.521
1779393658547,13.48,0.0,2026-05-21 20:00:58.547000+00:00,1.536
1779393658565,13.48,0.0,2026-05-21 20:00:58.565000+00:00,1.554
1779393658578,13.48,0.0,2026-05-21 20:00:58.578000+00:00,1.567
1779393658596,13.48,0.0,2026-05-21 20:00:58.596000+00:00,1.585
1779393658611,13.47,0.0,2026-05-21 20:00:58.611000+00:00,1.6
1779393658627,13.46,0.0,2026-05-21 20:00:58.627000+00:00,1.616
1779393658644,13.47,0.0,2026-05-21 20:00:58.644000+00:00,1.633
1779393658661,13.48,0.0,2026-05-21 20:00:58.661000+00:00,1.65
1779393658674,13.5,0.0,2026-05-21 20:00:58.674000+00:00,1.663
1779393658693,13.52,0.0,2026-05-21 20:00:58.693000+00:00,1.682
1779393658708,13.51,0.0,2026-05-21 20:00:58.708000+00:00,1.697
1779393658723,13.5,0.0,2026-05-21 20:00:58.723000+00:00,1.712
1779393658740,13.5,0.0,2026-05-21 20:00:58.740000+00:00,1.729
1779393658755,13.5,0.0,2026-05-21 20:00:58.755000+00:00,1.744
1779393658770,13.5,0.0,2026-05-21 20:00:58.770000+00:00,1.759
1779393658789,13.5,0.0,2026-05-21 20:00:58.789000+00:00,1.778
1779393658804,13.51,0.0,2026-05-21 20:00:58.804000+00:00,1.793
1779393658818,13.52,0.0,2026-05-21 20:00:58.818000+00:00,1.807
1779393658835,13.51,0.0,2026-05-21 20:00:58.835000+00:00,1.824
1779393658851,13.5,0.0,2026-05-21 20:00:58.851000+00:00,1.84
1779393658869,13.5,0.0,2026-05-21 20:00:58.869000+00:00,1.858
1779393658883,13.5,0.0,2026-05-21 20:00:58.883000+00:00,1.872
1779393658901,13.49,0.0,2026-05-21 20:00:58.901000+00:00,1.89
1779393658915,13.48,0.0,2026-05-21 20:00:58.915000+00:00,1.904
1779393658932,13.48,0.0,2026-05-21 20:00:58.932000+00:00,1.921
1779393658949,13.48,0.0,2026-05-21 20:00:58.949000+00:00,1.938
1779393658964,13.49,0.0,2026-05-21 20:00:58.964000+00:00,1.953
1779393658980,13.5,0.0,2026-05-21 20:00:58.980000+00:00,1.969
1779393658996,13.5,0.0,2026-05-21 20:00:58.996000+00:00,1.985
1779393659012,13.5,0.0,2026-05-21 20:00:59.012000+00:00,2.001
1779393659027,13.5,0.0,2026-05-21 20:00:59.027000+00:00,2.016
1779393659042,13.5,0.0,2026-05-21 20:00:59.042000+00:00,2.031
1779393659060,13.49,0.0,2026-05-21 20:00:59.060000+00:00,2.049
1779393659074,13.48,0.0,2026-05-21 20:00:59.074000+00:00,2.063
1779393659091,13.48,0.0,2026-05-21 20:00:59.091000+00:00,2.08
1779393659109,13.48,0.0,2026-05-21 20:00:59.109000+00:00,2.098
1779393659123,13.48,0.0,2026-05-21 20:00:59.123000+00:00,2.112
1779393659139,13.48,0.0,2026-05-21 20:00:59.139000+00:00,2.128
1779393659156,13.48,0.0,2026-05-21 20:00:59.156000+00:00,2.145
1779393659171,13.48,0.0,2026-05-21 20:00:59.171000+00:00,2.16
1779393659188,13.48,0.0,2026-05-21 20:00:59.188000+00:00,2.177
1779393659204,13.48,0.0,2026-05-21 20:00:59.204000+00:00,2.193
1779393659219,13.48,0.0,2026-05-21 20:00:59.219000+00:00,2.208
1779393659236,13.48,0.0,2026-05-21 20:00:59.236000+00:00,2.225
1779393659252,13.48,0.0,2026-05-21 20:00:59.252000+00:00,2.241
1779393659267,13.48,0.0,2026-05-21 20:00:59.267000+00:00,2.256
1779393659285,13.48,0.0,2026-05-21 20:00:59.285000+00:00,2.274
1779393659300,13.48,0.0,2026-05-21 20:00:59.300000+00:00,2.289
1779393659315,13.48,0.0,2026-05-21 20:00:59.315000+00:00,2.304
1779393659333,13.48,0.0,2026-05-21 20:00:59.333000+00:00,2.322
1779393659348,13.48,0.0,2026-05-21 20:00:59.348000+00:00,2.337
1779393659363,13.48,0.0,2026-05-21 20:00:59.363000+00:00,2.352
1779393659381,13.49,0.0,2026-05-21 20:00:59.381000+00:00,2.37
1779393659395,13.5,0.0,2026-05-21 20:00:59.395000+00:00,2.384
1779393659411,13.49,0.0,2026-05-21 20:00:59.411000+00:00,2.4
1779393659429,13.48,0.0,2026-05-21 20:00:59.429000+00:00,2.418
1779393659443,13.47,0.0,2026-05-21 20:00:59.443000+00:00,2.432
1779393659458,13.46,0.0,2026-05-21 20:00:59.458000+00:00,2.447
1779393659477,13.46,0.0,2026-05-21 20:00:59.477000+00:00,2.466
1779393659492,13.46,0.0,2026-05-21 20:00:59.492000+00:00,2.481
1779393659507,13.46,0.0,2026-05-21 20:00:59.507000+00:00,2.496
1779393659525,13.46,0.0,2026-05-21 20:00:59.525000+00:00,2.514
1779393659540,13.47,0.0,2026-05-21 20:00:59.540000+00:00,2.529
1779393659557,13.48,0.0,2026-05-21 20:00:59.557000+00:00,2.546
1779393659572,13.47,0.0,2026-05-21 20:00:59.572000+00:00,2.561
1779393659587,13.46,0.0,2026-05-21 20:00:59.587000+00:00,2.576
1779393659605,13.46,0.0,2026-05-21 20:00:59.605000+00:00,2.594
1779393659619,13.46,2.0,2026-05-21 20:00:59.619000+00:00,2.608
1779393659636,13.46,3.0,2026-05-21 20:00:59.636000+00:00,2.625
1779393659652,13.46,3.0,2026-05-21 20:00:59.652000+00:00,2.641
1779393659667,13.47,3.0,2026-05-21 20:00:59.667000+00:00,2.656
1779393659684,13.48,3.0,2026-05-21 20:00:59.684000+00:00,2.673
1779393659701,13.47,3.0,2026-05-21 20:00:59.701000+00:00,2.69
1779393659716,13.46,3.0,2026-05-21 20:00:59.716000+00:00,2.705
1779393659731,13.46,3.0,2026-05-21 20:00:59.731000+00:00,2.72
1779393659747,13.46,3.0,2026-05-21 20:00:59.747000+00:00,2.736
1779393659763,13.45,3.0,2026-05-21 20:00:59.763000+00:00,2.752
1779393659780,13.44,3.0,2026-05-21 20:00:59.780000+00:00,2.769
1779393659804,13.45,3.0,2026-05-21 20:00:59.804000+00:00,2.793
1779393659812,13.46,3.0,2026-05-21 20:00:59.812000+00:00,2.801
1779393659829,13.47,3.0,2026-05-21 20:00:59.829000+00:00,2.818
1779393659843,13.48,3.0,2026-05-21 20:00:59.843000+00:00,2.832
1779393659859,13.47,3.0,2026-05-21 20:00:59.859000+00:00,2.848
1779393659876,13.46,3.0,2026-05-21 20:00:59.876000+00:00,2.865
1779393659891,13.46,3.0,2026-05-21 20:00:59.891000+00:00,2.88
1779393659910,13.46,3.0,2026-05-21 20:00:59.910000+00:00,2.899
1779393659925,13.45,3.0,2026-05-21 20:00:59.925000+00:00,2.914
1779393659939,13.44,3.0,2026-05-21 20:00:59.939000+00:00,2.928
1779393659955,13.45,3.0,2026-05-21 20:00:59.955000+00:00,2.944
1779393659973,13.46,3.0,2026-05-21 20:00:59.973000+00:00,2.962
1779393659989,13.47,3.0,2026-05-21 20:00:59.989000+00:00,2.978
1779393660004,13.48,3.0,2026-05-21 20:01:00.004000+00:00,2.993
1779393660020,13.48,3.0,2026-05-21 20:01:00.020000+00:00,3.009
1779393660037,13.48,3.0,2026-05-21 20:01:00.037000+00:00,3.026
1779393660051,13.47,3.0,2026-05-21 20:01:00.051000+00:00,3.04
1779393660067,13.46,3.0,2026-05-21 20:01:00.067000+00:00,3.056
1779393660083,13.46,3.0,2026-05-21 20:01:00.083000+00:00,3.072
1779393660101,13.46,4.0,2026-05-21 20:01:00.101000+00:00,3.09
1779393660116,13.47,5.0,2026-05-21 20:01:00.116000+00:00,3.105
1779393660132,13.48,5.0,2026-05-21 20:01:00.132000+00:00,3.121
1779393660149,13.48,5.0,2026-05-21 20:01:00.149000+00:00,3.138
1779393660164,13.48,5.0,2026-05-21 20:01:00.164000+00:00,3.153
1779393660182,13.48,5.0,2026-05-21 20:01:00.182000+00:00,3.171
1779393660196,13.48,5.0,2026-05-21 20:01:00.196000+00:00,3.185
1779393660213,13.48,5.0,2026-05-21 20:01:00.213000+00:00,3.202
1779393660228,13.48,5.0,2026-05-21 20:01:00.228000+00:00,3.217
1779393660243,13.48,5.0,2026-05-21 20:01:00.243000+00:00,3.232
1779393660261,13.48,5.0,2026-05-21 20:01:00.261000+00:00,3.25
1779393660276,13.49,5.0,2026-05-21 20:01:00.276000+00:00,3.265
1779393660292,13.5,5.0,2026-05-21 20:01:00.292000+00:00,3.281
1779393660310,13.5,5.0,2026-05-21 20:01:00.310000+00:00,3.299
1779393660324,13.5,5.0,2026-05-21 20:01:00.324000+00:00,3.313
1779393660341,13.5,5.0,2026-05-21 20:01:00.341000+00:00,3.33
1779393660356,13.5,5.0,2026-05-21 20:01:00.356000+00:00,3.345
1779393660371,13.49,5.0,2026-05-21 20:01:00.371000+00:00,3.36
1779393660389,13.48,5.0,2026-05-21 20:01:00.389000+00:00,3.378
1779393660403,13.49,5.0,2026-05-21 20:01:00.403000+00:00,3.392
1779393660420,13.5,5.0,2026-05-21 20:01:00.420000+00:00,3.409
1779393660435,13.5,5.0,2026-05-21 20:01:00.435000+00:00,3.424
1779393660452,13.5,5.0,2026-05-21 20:01:00.452000+00:00,3.441
1779393660467,13.5,5.0,2026-05-21 20:01:00.467000+00:00,3.456
1779393660484,13.5,5.0,2026-05-21 20:01:00.484000+00:00,3.473
1779393660501,13.5,5.0,2026-05-21 20:01:00.501000+00:00,3.49
1779393660516,13.5,5.0,2026-05-21 20:01:00.516000+00:00,3.505
1779393660534,13.5,5.0,2026-05-21 20:01:00.534000+00:00,3.523
1779393660549,13.5,5.0,2026-05-21 20:01:00.549000+00:00,3.538
1779393660565,13.51,5.0,2026-05-21 20:01:00.565000+00:00,3.554
1779393660581,13.52,6.0,2026-05-21 20:01:00.581000+00:00,3.57
1779393660597,13.52,7.0,2026-05-21 20:01:00.597000+00:00,3.586
1779393660612,13.52,7.0,2026-05-21 20:01:00.612000+00:00,3.601
