time(ms),VPWR(V),VSS(km/h)
1779393657000,13.48,-
1779393657011,13.47,0.0
1779393657026,13.46,0.0
1779393657044,13.46,0.0
1779393657067,13.46,0.0
1779393657075,13.47,0.0
1779393657090,13.48,0.0
1779393657105,13.47,0.0
1779393657121,13.46,0.0
1779393657138,13.47,0.0
1779393657154,13.48,0.0
1779393657170,13.48,0.0
1779393657187,13.48,0.0
1779393657202,13.48,0.0
1779393657218,13.48,0.0
1779393657235,13.48,0.0
1779393657250,13.48,0.0
1779393657268,13.48,0.0
1779393657283,13.48,0.0
1779393657299,13.47,0.0
1779393657316,13.46,0.0
1779393657330,13.48,0.0
1779393657348,13.50,0.0
1779393657363,13.49,0.0
1779393657380,13.48,0.0
1779393657393,13.48,0.0
1779393657411,13.48,0.0
1779393657428,13.48,0.0
1779393657442,13.48,0.0
1779393657460,13.48,0.0
1779393657475,13.48,0.0
1779393657491,13.49,0.0
1779393657507,13.50,0.0
1779393657524,13.49,0.0
1779393657539,13.48,0.0
1779393657555,13.47,0.0
1779393657572,13.46,0.0
1779393657586,13.47,0.0
1779393657602,13.48,0.0
1779393657619,13.49,0.0
1779393657634,13.50,0.0
1779393657650,13.49,0.0
1779393657668,13.48,0.0
1779393657683,13.48,0.0
1779393657700,13.48,0.0
1779393657715,13.48,0.0
1779393657730,13.48,0.0
1779393657747,13.47,0.0
1779393657762,13.46,0.0
1779393657780,13.47,0.0
1779393657794,13.48,0.0
1779393657811,13.47,0.0
1779393657828,13.46,0.0
1779393657842,13.45,0.0
1779393657859,13.44,0.0
1779393657875,13.45,0.0
1779393657892,13.46,0.0
1779393657908,13.45,0.0
1779393657923,13.44,0.0
1779393657940,13.44,0.0
1779393657954,13.44,0.0
1779393657971,13.44,0.0
1779393657987,13.44,0.0
1779393658002,13.43,0.0
1779393658018,13.42,0.0
1779393658035,13.41,0.0
1779393658052,13.40,0.0
1779393658067,13.41,0.0
1779393658082,13.42,0.0
1779393658099,13.42,0.0
1779393658115,13.42,0.0
1779393658132,13.41,0.0
1779393658147,13.40,0.0
1779393658163,13.41,0.0
1779393658180,13.42,0.0
1779393658196,13.43,0.0
1779393658211,13.44,0.0
1779393658226,13.44,0.0
1779393658244,13.44,0.0
1779393658259,13.44,0.0
1779393658274,13.44,0.0
1779393658293,13.45,0.0
1779393658307,13.46,0.0
1779393658322,13.46,0.0
1779393658340,13.46,0.0
1779393658354,13.46,0.0
1779393658372,13.46,0.0
1779393658387,13.46,0.0
1779393658404,13.46,0.0
1779393658420,13.46,0.0
1779393658435,13.46,0.0
1779393658451,13.45,0.0
1779393658467,13.44,0.0
1779393658485,13.45,0.0
1779393658499,13.46,0.0
1779393658514,13.47,0.0
1779393658532,13.48,0.0
1779393658547,13.48,0.0
1779393658565,13.48,0.0
1779393658578,13.48,0.0
1779393658596,13.48,0.0
1779393658611,13.47,0.0
1779393658627,13.46,0.0
1779393658644,13.47,0.0
1779393658661,13.48,0.0
1779393658674,13.50,0.0
1779393658693,13.52,0.0
1779393658708,13.51,0.0
1779393658723,13.50,0.0
1779393658740,13.50,0.0
1779393658755,13.50,0.0
1779393658770,13.50,0.0
1779393658789,13.50,0.0
1779393658804,13.51,0.0
1779393658818,13.52,0.0
1779393658835,13.51,0.0
1779393658851,13.50,0.0
1779393658869,13.50,0.0
1779393658883,13.50,0.0
1779393658901,13.49,0.0
1779393658915,13.48,0.0
1779393658932,13.48,0.0
1779393658949,13.48,0.0
1779393658964,13.49,0.0
1779393658980,13.50,0.0
1779393658996,13.50,0.0
1779393659012,13.50,0.0
1779393659027,13.50,0.0
1779393659042,13.50,0.0
1779393659060,13.49,0.0
1779393659074,13.48,0.0
1779393659091,13.48,0.0
1779393659109,13.48,0.0
1779393659123,13.48,0.0
1779393659139,13.48,0.0
1779393659156,13.48,0.0
1779393659171,13.48,0.0
1779393659188,13.48,0.0
1779393659204,13.48,0.0
1779393659219,13.48,0.0
1779393659236,13.48,0.0
1779393659252,13.48,0.0
1779393659267,13.48,0.0
1779393659285,13.48,0.0
1779393659300,13.48,0.0
1779393659315,13.48,0.0
1779393659333,13.48,0.0
1779393659348,13.48,0.0
1779393659363,13.48,0.0
1779393659381,13.49,0.0
1779393659395,13.50,0.0
1779393659411,13.49,0.0
1779393659429,13.48,0.0
1779393659443,13.47,0.0
1779393659458,13.46,0.0
1779393659477,13.46,0.0
1779393659492,13.46,0.0
1779393659507,13.46,0.0
1779393659525,13.46,0.0
1779393659540,13.47,0.0
1779393659557,13.48,0.0
1779393659572,13.47,0.0
1779393659587,13.46,0.0
1779393659605,13.46,0.0
1779393659619,13.46,2.0
1779393659636,13.46,3.0
1779393659652,13.46,3.0
1779393659667,13.47,3.0
1779393659684,13.48,3.0
1779393659701,13.47,3.0
1779393659716,13.46,3.0
1779393659731,13.46,3.0
1779393659747,13.46,3.0
1779393659763,13.45,3.0
1779393659780,13.44,3.0
1779393659804,13.45,3.0
1779393659812,13.46,3.0
1779393659829,13.47,3.0
1779393659843,13.48,3.0
1779393659859,13.47,3.0
1779393659876,13.46,3.0
1779393659891,13.46,3.0
1779393659910,13.46,3.0
1779393659925,13.45,3.0
1779393659939,13.44,3.0
1779393659955,13.45,3.0
1779393659973,13.46,3.0
1779393659989,13.47,3.0
1779393660004,13.48,3.0
1779393660020,13.48,3.0
1779393660037,13.48,3.0
1779393660051,13.47,3.0
1779393660067,13.46,3.0
1779393660083,13.46,3.0
1779393660101,13.46,4.0
1779393660116,13.47,5.0
1779393660132,13.48,5.0
1779393660149,13.48,5.0
1779393660164,13.48,5.0
1779393660182,13.48,5.0
1779393660196,13.48,5.0
1779393660213,13.48,5.0
1779393660228,13.48,5.0
1779393660243,13.48,5.0
1779393660261,13.48,5.0
1779393660276,13.49,5.0
1779393660292,13.50,5.0
1779393660310,13.50,5.0
1779393660324,13.50,5.0
1779393660341,13.50,5.0
1779393660356,13.50,5.0
1779393660371,13.49,5.0
1779393660389,13.48,5.0
1779393660403,13.49,5.0
1779393660420,13.50,5.0
1779393660435,13.50,5.0
1779393660452,13.50,5.0
1779393660467,13.50,5.0
1779393660484,13.50,5.0
1779393660501,13.50,5.0
1779393660516,13.50,5.0
1779393660534,13.50,5.0
1779393660549,13.50,5.0
1779393660565,13.51,5.0
1779393660581,13.52,6.0
1779393660597,13.52,7.0
1779393660612,13.52,7.0
1779393660628,13.51,7.0
1779393660643,13.50,7.0
1779393660661,13.50,7.0
1779393660676,13.50,7.0
1779393660693,13.51,7.0
1779393660709,13.52,7.0
1779393660723,13.52,7.0
1779393660740,13.52,7.0
1779393660757,13.52,7.0
1779393660775,13.52,7.0
1779393660788,13.51,7.0
1779393660806,13.50,7.0
1779393660822,13.50,7.0
1779393660838,13.50,7.0
1779393660854,13.51,7.0
1779393660868,13.52,7.0
1779393660884,13.52,7.0
1779393660900,13.52,7.0
1779393660917,13.52,7.0
1779393660934,13.52,7.0
1779393660948,13.51,7.0
1779393660964,13.50,7.0
1779393660980,13.51,7.0
1779393660997,13.52,7.0
1779393661012,13.53,7.0
1779393661027,13.54,8.0
1779393661045,13.54,9.0
1779393661061,13.54,9.0
1779393661077,13.53,9.0
1779393661093,13.52,9.0
1779393661107,13.53,9.0
1779393661125,13.54,9.0
1779393661141,13.55,9.0
1779393661156,13.55,9.0
1779393661171,13.55,9.0
1779393661189,13.55,9.0
1779393661204,13.55,9.0
1779393661222,13.55,9.0
1779393661237,13.55,9.0
1779393661253,13.55,9.0
1779393661270,13.55,9.0
1779393661286,13.54,9.0
1779393661301,13.55,9.0
1779393661318,13.55,9.0
1779393661332,13.55,9.0
1779393661348,13.55,9.0
1779393661365,13.55,9.0
1779393661380,13.54,9.0
1779393661397,13.54,9.0
1779393661414,13.54,9.0
1779393661430,13.54,9.0
1779393661445,13.54,9.0
1779393661462,13.55,9.0
1779393661476,13.55,9.0
1779393661494,13.55,9.0
1779393661509,13.55,11.0
1779393661524,13.55,12.0
1779393661540,13.55,12.0
1779393661556,13.55,12.0
1779393661574,13.54,12.0
1779393661589,13.55,12.0
1779393661605,13.55,12.0
1779393661621,13.55,12.0
1779393661636,13.54,12.0
1779393661654,13.54,12.0
1779393661668,13.54,12.0
1779393661686,13.54,12.0
1779393661702,13.54,12.0
1779393661716,13.55,12.0
1779393661734,13.55,12.0
1779393661749,13.55,12.0
1779393661766,13.55,12.0
1779393661781,13.55,12.0
1779393661797,13.55,12.0
1779393661813,13.55,12.0
1779393661829,13.54,12.0
1779393661847,13.54,12.0
1779393661862,13.54,12.0
1779393661877,13.55,12.0
1779393661893,13.55,12.0
1779393661910,13.55,12.0
1779393661925,13.55,12.0
1779393661942,13.55,12.0
1779393661957,13.55,12.0
1779393661972,13.55,12.0
1779393661989,13.54,13.0
1779393662004,13.54,14.0
1779393662022,13.54,14.0
1779393662037,13.55,14.0
1779393662053,13.55,14.0
1779393662070,13.55,14.0
1779393662085,13.55,14.0
1779393662102,13.55,14.0
1779393662118,13.54,14.0
1779393662132,13.54,14.0
1779393662151,13.54,14.0
1779393662164,13.54,14.0
1779393662182,13.54,14.0
1779393662197,13.54,14.0
1779393662213,13.54,14.0
1779393662228,13.55,14.0
1779393662245,13.55,14.0
1779393662261,13.55,14.0
1779393662278,13.54,14.0
1779393662293,13.54,14.0
1779393662308,13.54,14.0
1779393662325,13.54,14.0
1779393662341,13.54,14.0
1779393662359,13.54,14.0
1779393662373,13.54,14.0
1779393662389,13.55,14.0
1779393662406,13.55,14.0
1779393662422,13.55,14.0
1779393662436,13.54,14.0
1779393662455,13.54,14.0
1779393662471,13.54,14.0
1779393662486,13.54,14.0
1779393662502,13.54,14.0
1779393662520,13.53,14.0
1779393662533,13.52,14.0
1779393662550,13.52,14.0
1779393662566,13.52,14.0
1779393662582,13.52,14.0
1779393662597,13.52,14.0
1779393662615,13.53,14.0
1779393662629,13.54,14.0
1779393662645,13.53,14.0
1779393662663,13.52,14.0
1779393662677,13.52,14.0
1779393662692,13.52,14.0
1779393662710,13.52,14.0
1779393662725,13.52,14.0
1779393662741,13.52,14.0
1779393662757,13.52,14.0
1779393662774,13.53,14.0
1779393662790,13.54,14.0
1779393662806,13.54,14.0
1779393662823,13.54,14.0
1779393662838,13.53,14.0
1779393662853,13.52,14.0
1779393662871,13.52,14.0
1779393662884,13.52,14.0
1779393662900,13.54,14.0
1779393662918,13.55,15.0
1779393662932,13.55,16.0
1779393662950,13.55,16.0
1779393662965,13.55,16.0
1779393662981,13.54,16.0
1779393662999,13.54,16.0
1779393663015,13.54,16.0
1779393663029,13.55,16.0
1779393663045,13.55,16.0
1779393663063,13.55,16.0
1779393663077,13.55,16.0
1779393663094,13.55,16.0
1779393663111,13.55,16.0
1779393663125,13.55,16.0
1779393663142,13.54,16.0
1779393663158,13.54,16.0
1779393663174,13.54,16.0
