Time,orientQuaternion[0-0],orientQuaternion[0-1],orientQuaternion[0-2],orientQuaternion[0-3],flagStop
1777503175184626828, 0.999561, 0.000297,-0.000149,-0.029611,0
1777503175194999724, 0.999521, 0.000267,-0.000179,-0.030952,0
1777503175205077216, 0.999521, 0.000267,-0.000179,-0.030952,0
1777503175222984823, 0.962615, 0.036404,-0.011914,-0.268150,0
1777503175233059242, 0.962615, 0.036404,-0.011914,-0.268150,0
1777503175243157789, 0.962615, 0.036404,-0.011914,-0.268150,0
1777503175253255207, 0.962615, 0.036404,-0.011914,-0.268150,0
1777503175263339254, 0.962615, 0.036404,-0.011914,-0.268150,0
1777503175282057018, 0.962585, 0.036394,-0.011908,-0.268260,0
1777503175292133047, 0.962585, 0.036394,-0.011908,-0.268260,0
1777503175302205650, 0.962585, 0.036394,-0.011908,-0.268260,0
1777503175312279068, 0.962585, 0.036394,-0.011908,-0.268260,0
1777503175322350949, 0.962585, 0.036394,-0.011908,-0.268260,0
1777503175333041026, 0.962563, 0.036065,-0.011710,-0.268393,0
1777503175343113166, 0.962563, 0.036065,-0.011710,-0.268393,0
1777503175353185862, 0.962563, 0.036065,-0.011710,-0.268393,0
1777503175363259891, 0.962563, 0.036065,-0.011710,-0.268393,0
1777503175373332328, 0.962563, 0.036065,-0.011710,-0.268393,0
1777503175392057369, 0.962533, 0.036055,-0.011703,-0.268503,0
1777503175402129250, 0.962533, 0.036055,-0.011703,-0.268503,0
1777503175412202020, 0.962533, 0.036055,-0.011703,-0.268503,0
1777503175422274678, 0.962533, 0.036055,-0.011703,-0.268503,0
1777503175432347078, 0.962533, 0.036055,-0.011703,-0.268503,0
1777503175443056932, 0.962498, 0.036015,-0.011678,-0.268634,0
1777503175453130795, 0.962498, 0.036015,-0.011678,-0.268634,0
1777503175463203583, 0.962498, 0.036015,-0.011678,-0.268634,0
1777503175473276168, 0.962498, 0.036015,-0.011678,-0.268634,0
1777503175483353753, 0.962498, 0.036015,-0.011678,-0.268634,0
1777503175502133478, 0.962468, 0.036040,-0.011683,-0.268738,0
1777503175512208137, 0.962468, 0.036040,-0.011683,-0.268738,0
1777503175522280740, 0.962468, 0.036040,-0.011683,-0.268738,0
1777503175532355084, 0.962468, 0.036040,-0.011683,-0.268738,0
1777503175542427891, 0.962468, 0.036040,-0.011683,-0.268738,0
1777503175553136282, 0.962431, 0.036061,-0.011688,-0.268867,0
1777503175563210756, 0.962431, 0.036061,-0.011688,-0.268867,0
1777503175573283303, 0.962431, 0.036061,-0.011688,-0.268867,0
1777503175583357592, 0.962431, 0.036061,-0.011688,-0.268867,0
1777503175593430306, 0.962431, 0.036061,-0.011688,-0.268867,0
1777503175612142532, 0.962401, 0.036033,-0.011664,-0.268980,0
1777503175622215284, 0.962401, 0.036033,-0.011664,-0.268980,0
1777503175632287721, 0.962401, 0.036033,-0.011664,-0.268980,0
1777503175642359787, 0.962401, 0.036033,-0.011664,-0.268980,0
1777503175652432594, 0.962401, 0.036033,-0.011664,-0.268980,0
1777503175663143744, 0.962363, 0.036061,-0.011673,-0.269110,0
1777503175673216792, 0.962363, 0.036061,-0.011673,-0.269110,0
1777503175683290173, 0.962363, 0.036061,-0.011673,-0.269110,0
1777503175693362832, 0.962363, 0.036061,-0.011673,-0.269110,0
1777503175703435768, 0.962363, 0.036061,-0.011673,-0.269110,0
1777503175722275882, 0.962330, 0.036112,-0.011702,-0.269220,0
1777503175732348855, 0.962330, 0.036112,-0.011702,-0.269220,0
1777503175742421107, 0.962330, 0.036112,-0.011702,-0.269220,0
1777503175752494043, 0.962330, 0.036112,-0.011702,-0.269220,0
