Time,reference_time,estOrientQuaternion[0-0],estOrientQuaternion[0-1],estOrientQuaternion[0-2],estOrientQuaternion[0-3],estOrientQuaternion:valid,flagStop
1777588226453,  5763.320, 0.999945, 0.008163,-0.006626, 0.000053,1,0
1777588226464,  5763.750, 0.999944, 0.008177,-0.006646, 0.000046,1,0
1777588226474,  5763.750, 0.999944, 0.008177,-0.006646, 0.000046,1,0
1777588226484,  5766.440, 0.999944, 0.008181,-0.006691, 0.000011,1,0
1777588226494,  5766.440, 0.999944, 0.008181,-0.006691, 0.000011,1,0
1777588226504,  5766.440, 0.999944, 0.008181,-0.006691, 0.000011,1,0
1777588226514,  5766.440, 0.999944, 0.008181,-0.006691, 0.000011,1,0
1777588226525,  5766.480, 0.999944, 0.008177,-0.006689, 0.000011,1,0
1777588226535,  5766.480, 0.999944, 0.008177,-0.006689, 0.000011,1,0
1777588226545,  5766.480, 0.999944, 0.008177,-0.006689, 0.000011,1,0
1777588226555,  5766.480, 0.999944, 0.008177,-0.006689, 0.000011,1,0
1777588226573,  5766.530, 0.999944, 0.008180,-0.006681, 0.000011,1,0
1777588226583,  5766.530, 0.999944, 0.008180,-0.006681, 0.000011,1,0
1777588226593,  5766.530, 0.999944, 0.008180,-0.006681, 0.000011,1,0
1777588226603,  5766.530, 0.999944, 0.008180,-0.006681, 0.000011,1,0
1777588226613,  5766.570, 0.999944, 0.008178,-0.006674, 0.000012,1,0
1777588226624,  5766.570, 0.999944, 0.008178,-0.006674, 0.000012,1,0
1777588226634,  5766.570, 0.999944, 0.008178,-0.006674, 0.000012,1,0
1777588226644,  5766.570, 0.999944, 0.008178,-0.006674, 0.000012,1,0
1777588226654,  5766.610, 0.999944, 0.008179,-0.006676, 0.000007,1,0
1777588226664,  5766.610, 0.999944, 0.008179,-0.006676, 0.000007,1,0
1777588226674,  5766.610, 0.999944, 0.008179,-0.006676, 0.000007,1,0
1777588226684,  5766.610, 0.999944, 0.008179,-0.006676, 0.000007,1,0
1777588226702,  5766.660, 0.999944, 0.008178,-0.006674, 0.000000,1,0
1777588226712,  5766.660, 0.999944, 0.008178,-0.006674, 0.000000,1,0
1777588226722,  5766.660, 0.999944, 0.008178,-0.006674, 0.000000,1,0
1777588226733,  5766.660, 0.999944, 0.008178,-0.006674, 0.000000,1,0
1777588226743,  5766.700, 0.999944, 0.008168,-0.006678, 0.000001,1,0
1777588226753,  5766.700, 0.999944, 0.008168,-0.006678, 0.000001,1,0
1777588226763,  5766.700, 0.999944, 0.008168,-0.006678, 0.000001,1,0
1777588226773,  5766.700, 0.999944, 0.008168,-0.006678, 0.000001,1,0
1777588226784,  5766.740, 0.999944, 0.008177,-0.006675, 0.000007,1,0
1777588226794,  5766.740, 0.999944, 0.008177,-0.006675, 0.000007,1,0
1777588226804,  5766.740, 0.999944, 0.008177,-0.006675, 0.000007,1,0
1777588226814,  5766.740, 0.999944, 0.008177,-0.006675, 0.000007,1,0
1777588226824,  5766.780, 0.999944, 0.008186,-0.006680, 0.000007,1,0
1777588226834,  5766.780, 0.999944, 0.008186,-0.006680, 0.000007,1,0
1777588226845,  5766.780, 0.999944, 0.008186,-0.006680, 0.000007,1,0
1777588226855,  5766.780, 0.999944, 0.008186,-0.006680, 0.000007,1,0
1777588226873,  5766.830, 0.999944, 0.008182,-0.006683, 0.000005,1,0
1777588226883,  5766.830, 0.999944, 0.008182,-0.006683, 0.000005,1,0
1777588226893,  5766.830, 0.999944, 0.008182,-0.006683, 0.000005,1,0
1777588226903,  5766.830, 0.999944, 0.008182,-0.006683, 0.000005,1,0
1777588226913,  5766.870, 0.999944, 0.008178,-0.006684, 0.000005,1,0
1777588226923,  5766.870, 0.999944, 0.008178,-0.006684, 0.000005,1,0
1777588226933,  5766.870, 0.999944, 0.008178,-0.006684, 0.000005,1,0
1777588226944,  5766.870, 0.999944, 0.008178,-0.006684, 0.000005,1,0
1777588226954,  5766.910, 0.999944, 0.008174,-0.006685,-0.000001,1,0
1777588226964,  5766.910, 0.999944, 0.008174,-0.006685,-0.000001,1,0
1777588226974,  5766.910, 0.999944, 0.008174,-0.006685,-0.000001,1,0
1777588226984,  5766.910, 0.999944, 0.008174,-0.006685,-0.000001,1,0
1777588226995,  5766.950, 0.999944, 0.008173,-0.006684,-0.000011,1,0
1777588227005,  5766.950, 0.999944, 0.008173,-0.006684,-0.000011,1,0
1777588227015,  5766.950, 0.999944, 0.008173,-0.006684,-0.000011,1,0
1777588227025,  5766.950, 0.999944, 0.008173,-0.006684,-0.000011,1,0
1777588227043,  5767.000, 0.999944, 0.008173,-0.006685,-0.000009,1,0
1777588227053,  5767.000, 0.999944, 0.008173,-0.006685,-0.000009,1,0
1777588227063,  5767.000, 0.999944, 0.008173,-0.006685,-0.000009,1,0
1777588227073,  5767.000, 0.999944, 0.008173,-0.006685,-0.000009,1,0
1777588227084,  5767.040, 0.999944, 0.008173,-0.006683,-0.000010,1,0
1777588227094,  5767.040, 0.999944, 0.008173,-0.006683,-0.000010,1,0
1777588227104,  5767.040, 0.999944, 0.008173,-0.006683,-0.000010,1,0
1777588227114,  5767.040, 0.999944, 0.008173,-0.006683,-0.000010,1,0
1777588227124,  5767.080, 0.999944, 0.008183,-0.006677,-0.000008,1,0
1777588227134,  5767.080, 0.999944, 0.008183,-0.006677,-0.000008,1,0
